Date,AKZOINDIA
2012-01-02,774.6
2012-01-03,780.1
2012-01-04,791.45
2012-01-05,787.7
2012-01-06,774.95
2012-01-07,784.55
2012-01-09,779.8
2012-01-10,773.85
2012-01-11,772.35
2012-01-12,844.85
2012-01-13,819.55
2012-01-16,800.2
2012-01-17,815.15
2012-01-18,816.4
2012-01-19,818.9
2012-01-20,815.65
2012-01-23,794.4
2012-01-24,805.55
2012-01-25,812.8
2012-01-27,801.85
2012-01-30,795.95
2012-01-31,802.0
2012-02-01,804.05
2012-02-02,814.15
2012-02-03,897.0
2012-02-06,869.4
2012-02-07,862.3
2012-02-08,852.95
2012-02-09,861.7
2012-02-10,854.65
2012-02-13,849.5
2012-02-14,834.45
2012-02-15,826.2
2012-02-16,811.8
2012-02-17,815.05
2012-02-21,818.4
2012-02-22,809.7
2012-02-23,806.9
2012-02-24,805.1
2012-02-27,805.25
2012-02-28,818.4
2012-02-29,817.7
2012-03-01,811.95
2012-03-02,805.9
2012-03-03,810.8
2012-03-05,806.9
2012-03-06,813.65
2012-03-07,806.4
2012-03-09,808.3
2012-03-12,808.0
2012-03-13,808.55
2012-03-14,808.45
2012-03-15,807.1
2012-03-16,810.15
2012-03-19,812.3
2012-03-20,816.65
2012-03-21,816.3
2012-03-22,806.25
2012-03-23,815.15
2012-03-26,806.4
2012-03-27,810.1
2012-03-28,806.1
2012-03-29,803.65
2012-03-30,816.1
2012-04-02,807.2
2012-04-03,836.95
2012-04-04,841.45
2012-04-09,841.45
2012-04-10,838.2
2012-04-11,851.0
2012-04-12,864.35
2012-04-13,861.9
2012-04-16,855.9
2012-04-17,854.2
2012-04-18,843.85
2012-04-19,848.15
2012-04-20,847.45
2012-04-23,841.2
2012-04-24,833.6
2012-04-25,831.25
2012-04-26,827.8
2012-04-27,827.8
2012-04-28,821.35
2012-04-30,869.75
2012-05-02,849.6
2012-05-03,839.1
2012-05-04,840.75
2012-05-07,842.6
2012-05-08,836.7
2012-05-09,844.7
2012-05-10,843.65
2012-05-11,839.95
2012-05-14,842.55
2012-05-15,846.9
2012-05-16,838.25
2012-05-17,842.0
2012-05-18,879.75
2012-05-21,863.25
2012-05-22,878.4
2012-05-23,883.4
2012-05-24,879.9
2012-05-25,876.05
2012-05-28,872.05
2012-05-29,876.6
2012-05-30,874.75
2012-05-31,874.85
2012-06-01,874.15
2012-06-04,873.7
2012-06-05,873.3
2012-06-06,883.45
2012-06-07,879.9
2012-06-08,873.3
2012-06-11,877.0
2012-06-12,877.65
2012-06-13,880.0
2012-06-14,879.7
2012-06-15,881.7
2012-06-18,880.65
2012-06-19,880.6
2012-06-20,880.0
2012-06-21,884.4
2012-06-22,878.6
2012-06-25,879.35
2012-06-26,868.9
2012-06-27,864.4
2012-06-28,869.85
2012-06-29,880.75
2012-07-02,874.4
2012-07-03,869.0
2012-07-04,869.45
2012-07-05,869.4
2012-07-06,873.4
2012-07-09,872.4
2012-07-09,872.4
2012-07-10,882.95
2012-07-11,892.75
2012-07-12,878.5
2012-07-13,896.6
2012-07-16,881.05
2012-07-17,883.55
2012-07-18,869.75
2012-07-19,871.6
2012-07-20,874.6
2012-07-23,875.65
2012-07-24,880.6
2012-07-25,912.1
2012-07-26,887.35
2012-07-27,898.75
2012-07-30,880.25
2012-07-31,879.35
2012-08-01,882.6
2012-08-02,879.5
2012-08-03,877.3
2012-08-06,896.8
2012-08-07,885.85
2012-08-08,882.75
2012-08-09,871.2
2012-08-10,865.4
2012-08-13,859.8
2012-08-14,871.4
2012-08-16,852.5
2012-08-17,863.3
2012-08-21,869.8
2012-08-22,872.7
2012-08-23,875.7
2012-08-24,868.05
2012-08-27,868.25
2012-08-28,863.25
2012-08-29,852.85
2012-08-30,884.4
2012-08-31,885.65
2012-09-03,878.85
2012-09-04,886.1
2012-09-05,900.05
2012-09-06,890.7
2012-09-07,890.5
2012-09-08,884.8
2012-09-10,890.45
2012-09-11,891.9
2012-09-12,893.4
2012-09-13,889.65
2012-09-14,891.9
2012-09-17,884.75
2012-09-18,887.95
2012-09-20,881.95
2012-09-21,880.7
2012-09-24,874.1
2012-09-25,884.6
2012-09-26,867.35
2012-09-27,870.35
2012-09-28,870.5
2012-10-01,869.9
2012-10-03,872.45
2012-10-04,873.1
2012-10-05,853.65
2012-10-08,873.3
2012-10-09,877.85
2012-10-10,883.45
2012-10-11,901.7
2012-10-12,902.9
2012-10-15,903.65
2012-10-16,921.7
2012-10-17,936.6
2012-10-18,930.75
2012-10-19,930.1
2012-10-22,931.6
2012-10-23,933.05
2012-10-25,938.6
2012-10-26,956.6
2012-10-29,962.9
2012-10-30,955.15
2012-10-31,968.35
2012-11-01,967.75
2012-11-02,960.3
2012-11-05,947.55
2012-11-06,959.2
2012-11-07,952.05
2012-11-08,937.8
2012-11-09,936.8
2012-11-12,930.05
2012-11-13,948.65
2012-11-15,931.2
2012-11-16,930.1
2012-11-19,932.25
2012-11-20,925.0
2012-11-21,925.4
2012-11-22,933.05
2012-11-23,944.1
2012-11-26,929.9
2012-11-27,930.85
2012-11-29,954.2
2012-11-30,964.35
2012-12-03,965.5
2012-12-04,963.0
2012-12-05,956.7
2012-12-06,945.55
2012-12-07,937.7
2012-12-10,942.25
2012-12-11,944.0
2012-12-12,944.25
2012-12-13,932.65
2012-12-14,939.6
2012-12-17,938.75
2012-12-18,931.75
2012-12-19,942.9
2012-12-20,938.05
2012-12-21,940.85
2012-12-24,942.35
2012-12-26,945.1
2012-12-27,939.8
2012-12-28,941.35
2012-12-31,960.4
