Date,PNBGILTS
2012-01-02,23.7
2012-01-03,23.8
2012-01-04,23.8
2012-01-05,24.2
2012-01-06,23.8
2012-01-07,23.95
2012-01-09,23.8
2012-01-10,25.25
2012-01-11,24.55
2012-01-12,24.0
2012-01-13,24.85
2012-01-16,24.95
2012-01-17,25.1
2012-01-18,24.65
2012-01-19,24.65
2012-01-20,24.6
2012-01-23,24.65
2012-01-24,24.8
2012-01-25,24.8
2012-01-27,24.65
2012-01-30,24.3
2012-01-31,24.8
2012-02-01,24.6
2012-02-02,24.55
2012-02-03,24.5
2012-02-06,24.65
2012-02-07,24.65
2012-02-08,24.75
2012-02-09,24.9
2012-02-10,25.05
2012-02-13,26.7
2012-02-14,25.95
2012-02-15,26.6
2012-02-16,26.5
2012-02-17,26.3
2012-02-21,26.3
2012-02-22,26.4
2012-02-23,26.35
2012-02-24,25.95
2012-02-27,24.6
2012-02-28,25.7
2012-02-29,25.6
2012-03-01,25.2
2012-03-02,25.2
2012-03-03,25.2
2012-03-05,25.0
2012-03-06,25.0
2012-03-07,24.7
2012-03-09,26.9
2012-03-12,25.7
2012-03-13,25.2
2012-03-14,26.8
2012-03-15,27.65
2012-03-16,27.35
2012-03-19,26.1
2012-03-20,25.9
2012-03-21,26.4
2012-03-22,25.5
2012-03-23,25.7
2012-03-26,26.0
2012-03-27,25.7
2012-03-28,25.15
2012-03-29,25.05
2012-03-30,25.5
2012-04-02,25.45
2012-04-03,25.55
2012-04-04,25.65
2012-04-09,25.25
2012-04-10,25.4
2012-04-11,25.35
2012-04-12,25.45
2012-04-13,25.65
2012-04-16,25.8
2012-04-17,25.85
2012-04-18,25.75
2012-04-19,25.7
2012-04-20,25.6
2012-04-23,25.05
2012-04-24,25.05
2012-04-25,24.85
2012-04-26,24.85
2012-04-27,26.05
2012-04-28,27.05
2012-04-30,30.0
2012-05-02,27.85
2012-05-03,27.55
2012-05-04,26.05
2012-05-07,25.7
2012-05-08,25.65
2012-05-09,25.1
2012-05-10,24.8
2012-05-11,24.75
2012-05-14,24.6
2012-05-15,24.65
2012-05-16,24.7
2012-05-17,24.55
2012-05-18,24.45
2012-05-21,24.9
2012-05-22,25.0
2012-05-23,24.75
2012-05-24,24.5
2012-05-25,24.6
2012-05-28,24.85
2012-05-29,24.6
2012-05-30,24.45
2012-05-31,24.5
2012-06-01,24.1
2012-06-04,24.15
2012-06-05,24.15
2012-06-06,24.75
2012-06-07,25.05
2012-06-08,24.9
2012-06-11,25.2
2012-06-12,25.45
2012-06-13,25.2
2012-06-14,25.35
2012-06-15,25.3
2012-06-18,24.9
2012-06-19,24.9
2012-06-20,24.75
2012-06-21,24.95
2012-06-22,24.9
2012-06-25,25.35
2012-06-26,25.05
2012-06-27,25.3
2012-06-28,25.35
2012-06-29,26.75
2012-07-02,27.6
2012-07-03,26.6
2012-07-04,27.05
2012-07-05,26.85
2012-07-06,26.7
2012-07-09,27.2
2012-07-09,27.2
2012-07-10,27.05
2012-07-11,27.3
2012-07-12,26.95
2012-07-13,27.0
2012-07-16,26.9
2012-07-17,26.35
2012-07-18,26.6
2012-07-19,25.95
2012-07-20,26.7
2012-07-23,26.6
2012-07-24,25.95
2012-07-25,25.5
2012-07-26,25.25
2012-07-27,25.5
2012-07-30,26.25
2012-07-31,26.0
2012-08-01,25.55
2012-08-02,25.6
2012-08-03,25.4
2012-08-06,25.45
2012-08-07,25.2
2012-08-08,25.1
2012-08-09,24.7
2012-08-10,24.85
2012-08-13,24.05
2012-08-14,25.0
2012-08-16,24.6
2012-08-17,24.45
2012-08-21,24.45
2012-08-22,24.5
2012-08-23,26.7
2012-08-24,26.35
2012-08-27,25.7
2012-08-28,25.3
2012-08-29,25.05
2012-08-30,25.1
2012-08-31,25.0
2012-09-03,24.95
2012-09-04,25.0
2012-09-05,24.85
2012-09-06,24.8
2012-09-07,24.95
2012-09-08,24.95
2012-09-10,25.0
2012-09-11,24.9
2012-09-12,25.3
2012-09-13,25.3
2012-09-14,25.35
2012-09-17,25.35
2012-09-18,25.4
2012-09-20,25.0
2012-09-21,25.5
2012-09-24,25.8
2012-09-25,25.7
2012-09-26,25.5
2012-09-27,25.45
2012-09-28,25.6
2012-10-01,25.75
2012-10-03,26.05
2012-10-04,26.1
2012-10-05,25.75
2012-10-08,25.85
2012-10-09,25.9
2012-10-10,26.2
2012-10-11,26.0
2012-10-12,25.95
2012-10-15,26.3
2012-10-16,26.35
2012-10-17,26.45
2012-10-18,26.7
2012-10-19,26.5
2012-10-22,26.6
2012-10-23,26.4
2012-10-25,26.35
2012-10-26,26.05
2012-10-29,26.2
2012-10-30,25.9
2012-10-31,25.55
2012-11-01,25.55
2012-11-02,25.6
2012-11-05,25.25
2012-11-06,25.35
2012-11-07,25.75
2012-11-08,26.0
2012-11-09,25.55
2012-11-12,26.85
2012-11-13,27.0
2012-11-15,26.25
2012-11-16,26.65
2012-11-19,26.3
2012-11-20,26.15
2012-11-21,26.1
2012-11-22,26.35
2012-11-23,26.65
2012-11-26,26.1
2012-11-27,26.15
2012-11-29,26.5
2012-11-30,26.95
2012-12-03,27.2
2012-12-04,27.1
2012-12-05,27.5
2012-12-06,27.45
2012-12-07,27.35
2012-12-10,27.4
2012-12-11,26.95
2012-12-12,26.8
2012-12-13,26.6
2012-12-14,26.7
2012-12-17,26.85
2012-12-18,26.7
2012-12-19,26.7
2012-12-20,26.45
2012-12-21,26.3
2012-12-24,27.25
2012-12-26,27.95
2012-12-27,27.75
2012-12-28,27.95
2012-12-31,27.85
