Date,TULSI
2012-01-02,8.05
2012-01-03,8.1
2012-01-04,8.3
2012-01-05,8.45
2012-01-06,8.5
2012-01-07,8.65
2012-01-09,8.75
2012-01-10,9.35
2012-01-11,9.85
2012-01-12,10.25
2012-01-13,10.3
2012-01-16,10.0
2012-01-17,10.2
2012-01-18,10.4
2012-01-19,10.5
2012-01-20,10.35
2012-01-23,10.05
2012-01-24,10.05
2012-01-25,12.05
2012-01-27,11.7
2012-01-30,11.75
2012-01-31,11.75
2012-02-01,11.75
2012-02-02,11.75
2012-02-03,11.35
2012-02-06,10.9
2012-02-07,10.75
2012-02-08,10.8
2012-02-09,10.8
2012-02-10,10.55
2012-02-13,10.7
2012-02-14,11.05
2012-02-15,11.15
2012-02-16,11.05
2012-02-17,11.2
2012-02-21,11.05
2012-02-22,10.7
2012-02-23,10.5
2012-02-24,10.85
2012-02-27,10.15
2012-02-28,10.15
2012-02-29,10.25
2012-03-01,10.15
2012-03-02,10.05
2012-03-03,9.9
2012-03-05,9.9
2012-03-06,9.65
2012-03-07,9.3
2012-03-09,9.4
2012-03-12,9.6
2012-03-13,9.6
2012-03-14,9.5
2012-03-15,9.3
2012-03-16,9.3
2012-03-19,9.1
2012-03-20,9.05
2012-03-21,9.3
2012-03-22,9.0
2012-03-23,9.05
2012-03-26,8.5
2012-03-27,8.65
2012-03-28,8.35
2012-03-29,8.2
2012-03-30,8.45
2012-04-02,8.75
2012-04-03,9.1
2012-04-04,8.9
2012-04-09,8.75
2012-04-10,8.65
2012-04-11,8.55
2012-04-12,8.65
2012-04-13,8.65
2012-04-16,8.65
2012-04-17,8.9
2012-04-18,8.6
2012-04-19,8.85
2012-04-20,8.55
2012-04-23,8.55
2012-04-24,8.5
2012-04-25,8.4
2012-04-26,8.05
2012-04-27,7.9
2012-04-28,8.0
2012-04-30,8.35
2012-05-02,8.5
2012-05-03,8.15
2012-05-04,8.05
2012-05-07,7.95
2012-05-08,7.9
2012-05-09,7.9
2012-05-10,7.75
2012-05-11,7.5
2012-05-14,7.35
2012-05-15,7.95
2012-05-16,7.95
2012-05-17,7.8
2012-05-18,7.55
2012-05-21,7.75
2012-05-22,7.65
2012-05-23,7.75
2012-05-24,7.7
2012-05-25,7.55
2012-05-28,7.7
2012-05-29,7.9
2012-05-30,7.9
2012-05-31,7.55
2012-06-01,7.55
2012-06-04,7.6
2012-06-05,7.5
2012-06-06,7.55
2012-06-07,7.7
2012-06-08,7.65
2012-06-11,7.7
2012-06-12,7.55
2012-06-13,7.65
2012-06-14,7.75
2012-06-15,7.8
2012-06-18,7.65
2012-06-19,7.65
2012-06-20,7.55
2012-06-21,7.7
2012-06-22,7.8
2012-06-25,7.75
2012-06-26,7.95
2012-06-27,7.85
2012-06-28,8.0
2012-06-29,8.15
2012-07-02,8.4
2012-07-03,8.45
2012-07-04,8.45
2012-07-05,8.95
2012-07-06,9.5
2012-07-09,9.6
2012-07-10,9.55
2012-07-11,9.55
2012-07-12,9.45
2012-07-13,9.45
2012-07-16,9.45
2012-07-17,9.3
2012-07-18,9.0
2012-07-19,9.15
2012-07-20,9.2
2012-07-23,9.05
2012-07-24,8.8
2012-07-25,8.65
2012-07-26,8.55
2012-07-27,8.35
2012-07-30,8.35
2012-07-31,8.45
2012-08-01,8.6
2012-08-02,8.4
2012-08-03,8.15
2012-08-06,8.35
2012-08-07,8.45
2012-08-08,8.25
2012-08-09,8.15
2012-08-10,8.15
2012-08-13,8.15
2012-08-14,8.2
2012-08-16,8.35
2012-08-17,8.25
2012-08-21,8.15
2012-08-22,8.05
2012-08-23,8.0
2012-08-24,7.9
2012-08-27,7.65
2012-08-28,7.45
2012-08-29,7.5
2012-08-30,7.9
2012-08-31,7.65
2012-09-03,7.8
2012-09-04,7.9
2012-09-05,7.95
2012-09-06,7.85
2012-09-07,7.8
2012-09-08,7.85
2012-09-10,7.7
2012-09-11,7.85
2012-09-12,8.4
2012-09-13,7.85
2012-09-14,7.9
2012-09-17,7.8
2012-09-18,7.85
2012-09-20,7.85
2012-09-21,8.35
2012-09-24,8.0
2012-09-25,7.8
2012-09-26,8.0
2012-09-27,7.9
2012-09-28,7.95
2012-10-01,8.35
2012-10-03,8.2
2012-10-04,8.3
2012-10-05,8.0
2012-10-08,8.1
2012-10-09,7.95
2012-10-10,7.8
2012-10-11,7.9
2012-10-12,7.95
2012-10-15,7.9
2012-10-16,7.9
2012-10-17,7.75
2012-10-18,8.05
2012-10-19,7.95
2012-10-22,7.9
2012-10-23,7.75
2012-10-25,7.65
2012-10-26,7.8
2012-10-29,7.6
2012-10-30,7.55
2012-10-31,7.5
2012-11-01,7.5
2012-11-02,7.7
2012-11-05,7.6
2012-11-06,7.75
2012-11-07,7.75
2012-11-08,7.8
2012-11-09,8.0
2012-11-12,7.4
2012-11-13,7.4
2012-11-15,7.3
2012-11-16,7.3
2012-11-19,7.45
2012-11-20,7.5
2012-11-21,7.15
2012-11-22,7.15
2012-11-23,7.1
2012-11-26,7.25
2012-11-27,7.2
2012-11-29,7.2
2012-11-30,7.4
2012-12-03,7.4
2012-12-04,7.4
2012-12-05,7.65
2012-12-06,7.95
2012-12-07,7.85
2012-12-10,7.95
2012-12-11,7.85
2012-12-12,8.1
2012-12-13,7.9
2012-12-14,7.75
2012-12-17,7.55
2012-12-18,7.6
2012-12-19,7.4
2012-12-20,7.35
2012-12-21,7.3
2012-12-24,7.35
2012-12-26,7.4
2012-12-27,7.15
2012-12-28,7.2
2012-12-31,7.3
