Date,AUROPHARMA
2012-01-02,86.25
2012-01-03,91.0
2012-01-04,90.0
2012-01-05,91.8
2012-01-06,89.8
2012-01-07,90.5
2012-01-09,96.55
2012-01-10,101.05
2012-01-11,107.6
2012-01-12,105.1
2012-01-13,107.25
2012-01-16,104.7
2012-01-17,102.35
2012-01-18,97.8
2012-01-19,96.6
2012-01-20,99.95
2012-01-23,99.8
2012-01-24,101.65
2012-01-25,110.2
2012-01-27,113.0
2012-01-30,107.4
2012-01-31,115.0
2012-02-01,117.45
2012-02-02,115.45
2012-02-03,120.4
2012-02-06,119.6
2012-02-07,116.65
2012-02-08,119.6
2012-02-09,117.4
2012-02-10,110.65
2012-02-13,109.15
2012-02-14,117.85
2012-02-15,115.7
2012-02-16,119.2
2012-02-17,118.75
2012-02-21,117.2
2012-02-22,113.7
2012-02-23,112.9
2012-02-24,109.5
2012-02-27,103.9
2012-02-28,112.55
2012-02-29,112.1
2012-03-01,111.6
2012-03-02,120.15
2012-03-03,121.85
2012-03-05,120.05
2012-03-06,113.9
2012-03-07,112.25
2012-03-09,114.85
2012-03-12,118.0
2012-03-13,118.55
2012-03-14,117.05
2012-03-15,114.5
2012-03-16,113.3
2012-03-19,114.15
2012-03-20,116.3
2012-03-21,116.95
2012-03-22,115.9
2012-03-23,119.1
2012-03-26,114.65
2012-03-27,115.55
2012-03-28,114.9
2012-03-29,115.5
2012-03-30,119.0
2012-04-02,114.05
2012-04-03,113.95
2012-04-04,114.3
2012-04-09,112.9
2012-04-10,114.25
2012-04-11,112.95
2012-04-12,115.55
2012-04-13,116.55
2012-04-16,126.4
2012-04-17,128.9
2012-04-18,130.5
2012-04-19,133.2
2012-04-20,133.5
2012-04-23,128.2
2012-04-24,129.35
2012-04-25,127.3
2012-04-26,126.05
2012-04-27,127.15
2012-04-28,131.5
2012-04-30,130.75
2012-05-02,128.7
2012-05-03,124.5
2012-05-04,120.6
2012-05-07,125.7
2012-05-08,123.75
2012-05-09,116.7
2012-05-10,113.9
2012-05-11,109.4
2012-05-14,102.65
2012-05-15,106.1
2012-05-16,106.35
2012-05-17,105.9
2012-05-18,107.7
2012-05-21,107.85
2012-05-22,110.15
2012-05-23,107.85
2012-05-24,115.45
2012-05-25,117.0
2012-05-28,116.85
2012-05-29,110.4
2012-05-30,108.25
2012-05-31,108.85
2012-06-01,104.95
2012-06-04,105.5
2012-06-05,106.15
2012-06-06,109.2
2012-06-07,110.05
2012-06-08,107.15
2012-06-11,108.0
2012-06-12,107.25
2012-06-13,105.8
2012-06-14,106.05
2012-06-15,108.85
2012-06-18,106.05
2012-06-19,105.25
2012-06-20,106.45
2012-06-21,108.25
2012-06-22,109.25
2012-06-25,108.2
2012-06-26,108.25
2012-06-27,107.75
2012-06-28,106.9
2012-06-29,110.0
2012-07-02,114.05
2012-07-03,116.3
2012-07-04,115.05
2012-07-05,115.2
2012-07-06,115.5
2012-07-09,111.25
2012-07-09,111.25
2012-07-10,114.4
2012-07-11,113.0
2012-07-12,114.15
2012-07-13,112.5
2012-07-16,110.4
2012-07-17,109.8
2012-07-18,111.05
2012-07-19,109.25
2012-07-20,108.4
2012-07-23,108.4
2012-07-24,108.15
2012-07-25,107.65
2012-07-26,103.6
2012-07-27,101.25
2012-07-30,104.45
2012-07-31,109.0
2012-08-01,113.4
2012-08-02,112.55
2012-08-03,113.6
2012-08-06,112.35
2012-08-07,111.9
2012-08-08,110.05
2012-08-09,101.65
2012-08-10,103.1
2012-08-13,105.0
2012-08-14,104.1
2012-08-16,104.0
2012-08-17,102.7
2012-08-21,104.7
2012-08-22,107.35
2012-08-23,107.75
2012-08-24,111.9
2012-08-27,111.05
2012-08-28,111.6
2012-08-29,112.15
2012-08-30,109.45
2012-08-31,110.3
2012-09-03,118.25
2012-09-04,118.65
2012-09-05,116.0
2012-09-06,119.35
2012-09-07,123.25
2012-09-08,128.0
2012-09-10,131.1
2012-09-11,131.3
2012-09-12,129.6
2012-09-13,128.4
2012-09-14,125.8
2012-09-17,127.15
2012-09-18,129.05
2012-09-20,128.65
2012-09-21,129.8
2012-09-24,129.6
2012-09-25,137.85
2012-09-26,140.7
2012-09-27,140.75
2012-09-28,142.0
2012-10-01,144.35
2012-10-03,146.45
2012-10-04,144.7
2012-10-05,138.6
2012-10-08,143.45
2012-10-09,149.6
2012-10-10,152.0
2012-10-11,159.5
2012-10-12,159.9
2012-10-15,155.55
2012-10-16,154.65
2012-10-17,156.45
2012-10-18,158.95
2012-10-19,156.9
2012-10-22,161.0
2012-10-23,159.75
2012-10-25,163.25
2012-10-26,160.1
2012-10-29,158.2
2012-10-30,161.4
2012-10-31,158.45
2012-11-01,169.95
2012-11-02,170.3
2012-11-05,169.85
2012-11-06,175.35
2012-11-07,175.65
2012-11-08,178.55
2012-11-09,170.25
2012-11-12,178.75
2012-11-13,178.45
2012-11-15,173.45
2012-11-16,176.65
2012-11-19,174.75
2012-11-20,172.1
2012-11-21,178.75
2012-11-22,176.25
2012-11-23,172.45
2012-11-26,178.9
2012-11-27,180.15
2012-11-29,184.15
2012-11-30,188.0
2012-12-03,191.1
2012-12-04,197.6
2012-12-05,194.9
2012-12-06,195.65
2012-12-07,193.1
2012-12-10,192.0
2012-12-11,191.45
2012-12-12,193.8
2012-12-13,187.75
2012-12-14,183.35
2012-12-17,187.0
2012-12-18,190.45
2012-12-19,188.55
2012-12-20,195.4
2012-12-21,192.4
2012-12-24,194.25
2012-12-26,193.25
2012-12-27,189.4
2012-12-28,190.9
2012-12-31,189.4
