Date,DICIND
2012-01-02,198.25
2012-01-03,196.55
2012-01-04,199.65
2012-01-05,199.9
2012-01-06,198.3
2012-01-07,201.6
2012-01-09,204.65
2012-01-10,201.8
2012-01-11,203.0
2012-01-12,208.0
2012-01-13,210.0
2012-01-16,206.15
2012-01-17,214.6
2012-01-18,210.0
2012-01-19,212.65
2012-01-20,212.65
2012-01-23,216.05
2012-01-24,211.4
2012-01-25,214.6
2012-01-27,212.85
2012-01-30,212.3
2012-01-31,216.45
2012-02-01,224.95
2012-02-02,228.1
2012-02-03,227.05
2012-02-06,231.2
2012-02-07,229.2
2012-02-08,229.3
2012-02-09,249.7
2012-02-10,257.4
2012-02-13,275.8
2012-02-14,278.8
2012-02-15,276.05
2012-02-16,280.0
2012-02-17,278.9
2012-02-21,281.35
2012-02-22,275.7
2012-02-23,277.5
2012-02-24,274.4
2012-02-27,269.35
2012-02-28,274.65
2012-02-29,274.55
2012-03-01,285.05
2012-03-02,285.8
2012-03-03,291.35
2012-03-05,286.75
2012-03-06,283.9
2012-03-07,280.6
2012-03-09,284.85
2012-03-12,286.55
2012-03-13,283.35
2012-03-14,282.85
2012-03-15,279.8
2012-03-16,277.2
2012-03-19,272.95
2012-03-20,274.75
2012-03-21,277.15
2012-03-22,273.25
2012-03-23,270.15
2012-03-26,269.3
2012-03-27,267.5
2012-03-28,273.8
2012-03-29,273.05
2012-03-30,276.65
2012-04-02,281.55
2012-04-03,282.15
2012-04-04,283.6
2012-04-09,281.25
2012-04-10,277.1
2012-04-11,278.95
2012-04-12,279.25
2012-04-13,290.0
2012-04-16,299.1
2012-04-17,303.3
2012-04-18,305.95
2012-04-19,302.0
2012-04-20,312.35
2012-04-23,310.75
2012-04-24,309.85
2012-04-25,290.35
2012-04-26,284.35
2012-04-27,277.9
2012-04-28,279.4
2012-04-30,279.9
2012-05-02,283.2
2012-05-03,281.4
2012-05-04,280.1
2012-05-07,280.15
2012-05-08,275.05
2012-05-09,274.0
2012-05-10,275.0
2012-05-11,270.35
2012-05-14,266.1
2012-05-15,254.6
2012-05-16,255.8
2012-05-17,252.7
2012-05-18,251.25
2012-05-21,254.05
2012-05-22,249.2
2012-05-23,249.45
2012-05-24,250.8
2012-05-25,254.95
2012-05-28,251.6
2012-05-29,255.85
2012-05-30,250.0
2012-05-31,251.2
2012-06-01,245.95
2012-06-04,245.0
2012-06-05,247.35
2012-06-06,246.35
2012-06-07,250.55
2012-06-08,250.1
2012-06-11,252.0
2012-06-12,253.45
2012-06-13,252.0
2012-06-14,249.4
2012-06-15,247.9
2012-06-18,253.8
2012-06-19,253.5
2012-06-20,252.8
2012-06-21,253.05
2012-06-22,253.05
2012-06-25,252.45
2012-06-26,254.95
2012-06-27,254.85
2012-06-28,255.65
2012-06-29,255.7
2012-07-02,260.8
2012-07-03,261.75
2012-07-04,271.05
2012-07-05,275.2
2012-07-06,268.25
2012-07-09,266.8
2012-07-09,266.8
2012-07-10,269.2
2012-07-11,264.4
2012-07-12,264.15
2012-07-13,263.0
2012-07-16,262.65
2012-07-17,261.25
2012-07-18,260.4
2012-07-19,260.0
2012-07-20,258.45
2012-07-23,258.8
2012-07-24,253.75
2012-07-25,252.5
2012-07-26,249.5
2012-07-27,242.95
2012-07-30,241.3
2012-07-31,241.1
2012-08-01,240.7
2012-08-02,240.35
2012-08-03,239.55
2012-08-06,238.45
2012-08-07,242.95
2012-08-08,241.0
2012-08-09,242.5
2012-08-10,237.6
2012-08-13,238.15
2012-08-14,240.0
2012-08-16,236.1
2012-08-17,238.5
2012-08-21,238.45
2012-08-22,236.95
2012-08-23,237.9
2012-08-24,239.0
2012-08-27,235.3
2012-08-28,235.8
2012-08-29,230.8
2012-08-30,233.0
2012-08-31,230.5
2012-09-03,229.25
2012-09-04,227.75
2012-09-05,232.2
2012-09-06,237.5
2012-09-07,236.45
2012-09-08,239.95
2012-09-10,234.5
2012-09-11,237.75
2012-09-12,234.05
2012-09-13,251.8
2012-09-14,245.15
2012-09-17,247.6
2012-09-18,248.95
2012-09-20,245.75
2012-09-21,249.15
2012-09-24,243.6
2012-09-25,243.7
2012-09-26,247.5
2012-09-27,242.95
2012-09-28,249.75
2012-10-01,251.3
2012-10-03,254.7
2012-10-04,254.2
2012-10-05,253.2
2012-10-08,251.5
2012-10-09,252.25
2012-10-10,250.6
2012-10-11,252.75
2012-10-12,246.1
2012-10-15,251.0
2012-10-16,250.35
2012-10-17,249.3
2012-10-18,250.35
2012-10-19,247.95
2012-10-22,251.2
2012-10-23,247.05
2012-10-25,248.0
2012-10-26,249.8
2012-10-29,245.05
2012-10-30,242.5
2012-10-31,243.55
2012-11-01,243.15
2012-11-02,243.7
2012-11-05,246.8
2012-11-06,240.4
2012-11-07,241.75
2012-11-08,241.4
2012-11-09,241.8
2012-11-12,241.05
2012-11-13,241.7
2012-11-15,242.0
2012-11-16,238.75
2012-11-19,235.6
2012-11-20,237.5
2012-11-21,232.7
2012-11-22,235.1
2012-11-23,230.8
2012-11-26,233.0
2012-11-27,240.2
2012-11-29,236.3
2012-11-30,239.6
2012-12-03,240.05
2012-12-04,243.1
2012-12-05,241.2
2012-12-06,240.6
2012-12-07,240.65
2012-12-10,243.0
2012-12-11,240.8
2012-12-12,243.05
2012-12-13,245.95
2012-12-14,245.0
2012-12-17,244.9
2012-12-18,245.0
2012-12-19,244.4
2012-12-20,244.65
2012-12-21,241.0
2012-12-24,240.7
2012-12-26,238.35
2012-12-27,239.0
2012-12-28,239.05
2012-12-31,241.4
