Date,EDUCOMP
2012-01-02,190.9
2012-01-03,202.8
2012-01-04,203.7
2012-01-05,200.6
2012-01-06,200.35
2012-01-07,199.95
2012-01-09,209.0
2012-01-10,220.25
2012-01-11,215.05
2012-01-12,211.6
2012-01-13,217.85
2012-01-16,223.2
2012-01-17,223.35
2012-01-18,221.05
2012-01-19,216.85
2012-01-20,205.5
2012-01-23,204.8
2012-01-24,205.2
2012-01-25,210.15
2012-01-27,216.8
2012-01-30,208.15
2012-01-31,215.85
2012-02-01,220.5
2012-02-02,234.25
2012-02-03,243.4
2012-02-06,241.95
2012-02-07,236.65
2012-02-08,250.85
2012-02-09,257.45
2012-02-10,249.75
2012-02-13,251.7
2012-02-14,248.45
2012-02-15,236.3
2012-02-16,239.0
2012-02-17,233.1
2012-02-21,236.55
2012-02-22,223.7
2012-02-23,219.3
2012-02-24,214.1
2012-02-27,200.05
2012-02-28,208.7
2012-02-29,212.0
2012-03-01,210.95
2012-03-02,211.1
2012-03-03,211.85
2012-03-05,200.75
2012-03-06,195.8
2012-03-07,193.45
2012-03-09,199.9
2012-03-12,200.7
2012-03-13,200.2
2012-03-14,197.5
2012-03-15,206.35
2012-03-16,194.35
2012-03-19,189.1
2012-03-20,187.0
2012-03-21,193.15
2012-03-22,191.3
2012-03-23,194.25
2012-03-26,191.9
2012-03-27,195.65
2012-03-28,192.15
2012-03-29,190.4
2012-03-30,193.05
2012-04-02,199.55
2012-04-03,202.8
2012-04-04,204.55
2012-04-09,199.55
2012-04-10,199.3
2012-04-11,194.05
2012-04-12,195.0
2012-04-13,190.7
2012-04-16,193.8
2012-04-17,199.15
2012-04-18,200.45
2012-04-19,206.5
2012-04-20,203.65
2012-04-23,193.35
2012-04-24,194.4
2012-04-25,191.0
2012-04-26,187.7
2012-04-27,188.0
2012-04-28,192.15
2012-04-30,193.95
2012-05-02,197.2
2012-05-03,186.5
2012-05-04,177.3
2012-05-07,183.3
2012-05-08,173.6
2012-05-09,165.35
2012-05-10,167.35
2012-05-11,167.7
2012-05-14,155.5
2012-05-15,158.85
2012-05-16,156.75
2012-05-17,159.2
2012-05-18,157.15
2012-05-21,154.7
2012-05-22,150.35
2012-05-23,146.6
2012-05-24,143.9
2012-05-25,145.9
2012-05-28,146.4
2012-05-29,148.8
2012-05-30,143.3
2012-05-31,140.35
2012-06-01,133.1
2012-06-04,132.25
2012-06-05,133.9
2012-06-06,137.05
2012-06-07,140.05
2012-06-08,140.2
2012-06-11,135.95
2012-06-12,133.75
2012-06-13,134.9
2012-06-14,129.9
2012-06-15,133.2
2012-06-18,134.7
2012-06-19,137.05
2012-06-20,152.4
2012-06-21,156.65
2012-06-22,157.65
2012-06-25,167.1
2012-06-26,169.1
2012-06-27,163.5
2012-06-28,170.6
2012-06-29,169.5
2012-07-02,174.6
2012-07-03,172.2
2012-07-04,173.5
2012-07-05,174.95
2012-07-06,171.25
2012-07-09,167.65
2012-07-09,167.65
2012-07-10,173.1
2012-07-11,172.4
2012-07-12,168.5
2012-07-13,168.0
2012-07-16,170.05
2012-07-17,168.55
2012-07-18,170.7
2012-07-19,169.6
2012-07-20,169.05
2012-07-23,167.05
2012-07-24,170.1
2012-07-25,153.8
2012-07-26,154.35
2012-07-27,153.65
2012-07-30,159.45
2012-07-31,160.2
2012-08-01,159.45
2012-08-02,160.45
2012-08-03,157.45
2012-08-06,158.65
2012-08-07,162.5
2012-08-08,159.1
2012-08-09,158.7
2012-08-10,161.95
2012-08-13,157.2
2012-08-14,159.55
2012-08-16,158.75
2012-08-17,159.25
2012-08-21,163.4
2012-08-22,162.45
2012-08-23,164.75
2012-08-24,161.85
2012-08-27,158.1
2012-08-28,147.65
2012-08-29,135.95
2012-08-30,143.2
2012-08-31,144.7
2012-09-03,142.85
2012-09-04,149.95
2012-09-05,149.0
2012-09-06,150.0
2012-09-07,149.9
2012-09-08,150.45
2012-09-10,152.15
2012-09-11,153.55
2012-09-12,151.0
2012-09-13,148.7
2012-09-14,152.9
2012-09-17,155.1
2012-09-18,156.2
2012-09-20,160.0
2012-09-21,163.95
2012-09-24,160.9
2012-09-25,158.7
2012-09-26,160.05
2012-09-27,159.65
2012-09-28,160.65
2012-10-01,163.25
2012-10-03,162.85
2012-10-04,164.4
2012-10-05,175.75
2012-10-08,172.7
2012-10-09,172.4
2012-10-10,167.05
2012-10-11,164.5
2012-10-12,165.2
2012-10-15,165.4
2012-10-16,162.15
2012-10-17,161.75
2012-10-18,162.85
2012-10-19,161.05
2012-10-22,159.6
2012-10-23,158.15
2012-10-25,157.65
2012-10-26,154.6
2012-10-29,152.8
2012-10-30,149.8
2012-10-31,147.45
2012-11-01,152.2
2012-11-02,152.1
2012-11-05,150.8
2012-11-06,149.4
2012-11-07,151.4
2012-11-08,150.15
2012-11-09,148.85
2012-11-12,145.85
2012-11-13,148.45
2012-11-15,145.95
2012-11-16,146.15
2012-11-19,143.9
2012-11-20,143.8
2012-11-21,144.5
2012-11-22,144.45
2012-11-23,145.5
2012-11-26,146.05
2012-11-27,147.35
2012-11-29,150.05
2012-11-30,150.55
2012-12-03,151.95
2012-12-04,153.55
2012-12-05,155.15
2012-12-06,155.6
2012-12-07,155.1
2012-12-10,153.5
2012-12-11,152.6
2012-12-12,151.8
2012-12-13,149.35
2012-12-14,146.6
2012-12-17,147.05
2012-12-18,147.5
2012-12-19,148.7
2012-12-20,147.75
2012-12-21,143.25
2012-12-24,144.3
2012-12-26,144.25
2012-12-27,143.0
2012-12-28,141.8
2012-12-31,139.6
