Date,NATCOPHARM
2012-01-02,232.95
2012-01-03,239.45
2012-01-04,236.7
2012-01-05,234.9
2012-01-06,235.85
2012-01-07,234.75
2012-01-09,237.7
2012-01-10,243.25
2012-01-11,254.25
2012-01-12,252.85
2012-01-13,252.6
2012-01-16,254.05
2012-01-17,264.45
2012-01-18,265.1
2012-01-19,266.85
2012-01-20,272.15
2012-01-23,274.0
2012-01-24,271.8
2012-01-25,265.6
2012-01-27,272.45
2012-01-30,272.65
2012-01-31,279.45
2012-02-01,274.95
2012-02-02,276.7
2012-02-03,273.7
2012-02-06,276.0
2012-02-07,273.95
2012-02-08,275.6
2012-02-09,273.7
2012-02-10,277.95
2012-02-13,273.45
2012-02-14,278.2
2012-02-15,280.45
2012-02-16,280.15
2012-02-17,280.4
2012-02-21,278.6
2012-02-22,276.0
2012-02-23,272.45
2012-02-24,274.75
2012-02-27,269.4
2012-02-28,276.5
2012-02-29,280.3
2012-03-01,276.75
2012-03-02,274.3
2012-03-03,275.6
2012-03-05,283.35
2012-03-06,284.25
2012-03-07,282.95
2012-03-09,296.15
2012-03-12,313.7
2012-03-13,320.1
2012-03-14,310.9
2012-03-15,351.15
2012-03-16,342.2
2012-03-19,340.7
2012-03-20,339.7
2012-03-21,339.85
2012-03-22,327.75
2012-03-23,336.65
2012-03-26,340.1
2012-03-27,340.9
2012-03-28,339.9
2012-03-29,341.9
2012-03-30,353.9
2012-04-02,365.95
2012-04-03,364.6
2012-04-04,364.3
2012-04-09,360.85
2012-04-10,356.9
2012-04-11,357.15
2012-04-12,362.2
2012-04-13,370.95
2012-04-16,376.8
2012-04-17,367.1
2012-04-18,372.2
2012-04-19,370.65
2012-04-20,368.7
2012-04-23,376.3
2012-04-24,375.7
2012-04-25,390.8
2012-04-26,395.35
2012-04-27,424.2
2012-04-28,425.1
2012-04-30,428.1
2012-05-02,414.0
2012-05-03,417.25
2012-05-04,394.5
2012-05-07,398.6
2012-05-08,376.5
2012-05-09,364.95
2012-05-10,379.2
2012-05-11,375.25
2012-05-14,376.1
2012-05-15,372.25
2012-05-16,364.8
2012-05-17,364.0
2012-05-18,359.05
2012-05-21,361.4
2012-05-22,357.95
2012-05-23,379.75
2012-05-24,389.25
2012-05-25,413.0
2012-05-28,410.7
2012-05-29,403.4
2012-05-30,398.9
2012-05-31,389.85
2012-06-01,370.65
2012-06-04,364.45
2012-06-05,371.0
2012-06-06,376.5
2012-06-07,378.05
2012-06-08,377.25
2012-06-11,375.85
2012-06-12,375.85
2012-06-13,374.1
2012-06-14,367.65
2012-06-15,368.75
2012-06-18,362.75
2012-06-19,373.15
2012-06-20,378.95
2012-06-21,375.35
2012-06-22,373.95
2012-06-25,350.7
2012-06-26,347.75
2012-06-27,344.3
2012-06-28,337.1
2012-06-29,337.3
2012-07-02,331.1
2012-07-03,340.15
2012-07-04,340.35
2012-07-05,347.0
2012-07-06,342.8
2012-07-09,350.6
2012-07-09,350.6
2012-07-10,350.0
2012-07-11,347.0
2012-07-12,340.45
2012-07-13,350.35
2012-07-16,349.95
2012-07-17,350.05
2012-07-18,349.95
2012-07-19,355.25
2012-07-20,353.5
2012-07-23,357.85
2012-07-24,365.85
2012-07-25,359.55
2012-07-26,355.55
2012-07-27,346.35
2012-07-30,348.2
2012-07-31,347.45
2012-08-01,343.95
2012-08-02,344.1
2012-08-03,351.95
2012-08-06,355.5
2012-08-07,356.3
2012-08-08,359.9
2012-08-09,357.75
2012-08-10,356.4
2012-08-13,354.65
2012-08-14,360.85
2012-08-16,360.1
2012-08-17,358.85
2012-08-21,356.3
2012-08-22,350.55
2012-08-23,343.35
2012-08-24,346.85
2012-08-27,350.35
2012-08-28,352.7
2012-08-29,349.95
2012-08-30,347.3
2012-08-31,351.6
2012-09-03,349.7
2012-09-04,347.75
2012-09-05,344.6
2012-09-06,345.05
2012-09-07,349.45
2012-09-08,349.0
2012-09-10,373.7
2012-09-11,373.3
2012-09-12,372.25
2012-09-13,378.0
2012-09-14,378.05
2012-09-17,370.2
2012-09-18,381.45
2012-09-20,375.5
2012-09-21,376.85
2012-09-24,370.1
2012-09-25,371.3
2012-09-26,369.4
2012-09-27,374.5
2012-09-28,366.7
2012-10-01,370.1
2012-10-03,384.95
2012-10-04,386.35
2012-10-05,378.95
2012-10-08,380.15
2012-10-09,383.55
2012-10-10,395.9
2012-10-11,389.6
2012-10-12,385.0
2012-10-15,387.65
2012-10-16,384.3
2012-10-17,380.4
2012-10-18,380.15
2012-10-19,380.6
2012-10-22,380.2
2012-10-23,378.1
2012-10-25,375.55
2012-10-26,376.05
2012-10-29,374.45
2012-10-30,369.3
2012-10-31,375.5
2012-11-01,370.95
2012-11-02,371.45
2012-11-05,374.2
2012-11-06,382.9
2012-11-07,384.15
2012-11-08,382.95
2012-11-09,392.5
2012-11-12,403.55
2012-11-13,400.35
2012-11-15,404.2
2012-11-16,406.55
2012-11-19,403.45
2012-11-20,403.55
2012-11-21,402.0
2012-11-22,414.55
2012-11-23,422.25
2012-11-26,431.85
2012-11-27,417.8
2012-11-29,439.55
2012-11-30,441.25
2012-12-03,438.25
2012-12-04,439.95
2012-12-05,435.3
2012-12-06,438.45
2012-12-07,451.05
2012-12-10,473.15
2012-12-11,468.05
2012-12-12,470.0
2012-12-13,468.3
2012-12-14,465.55
2012-12-17,471.55
2012-12-18,469.0
2012-12-19,490.45
2012-12-20,481.7
2012-12-21,465.0
2012-12-24,457.6
2012-12-26,457.8
2012-12-27,455.75
2012-12-28,451.0
2012-12-31,459.55
