Date,SUZLON
2012-01-02,18.05
2012-01-03,18.85
2012-01-04,18.4
2012-01-05,18.25
2012-01-06,18.2
2012-01-07,18.35
2012-01-09,18.85
2012-01-10,19.65
2012-01-11,20.5
2012-01-12,20.65
2012-01-13,22.45
2012-01-16,22.5
2012-01-17,22.95
2012-01-18,22.15
2012-01-19,22.7
2012-01-20,24.6
2012-01-23,26.1
2012-01-24,26.55
2012-01-25,27.25
2012-01-27,28.6
2012-01-30,26.35
2012-01-31,28.0
2012-02-01,29.55
2012-02-02,29.55
2012-02-03,29.45
2012-02-06,29.9
2012-02-07,29.15
2012-02-08,29.75
2012-02-09,31.45
2012-02-10,30.8
2012-02-13,28.45
2012-02-14,27.55
2012-02-15,28.95
2012-02-16,29.45
2012-02-17,29.05
2012-02-21,30.6
2012-02-22,28.4
2012-02-23,27.95
2012-02-24,26.75
2012-02-27,24.5
2012-02-28,26.25
2012-02-29,26.6
2012-03-01,29.65
2012-03-02,29.2
2012-03-03,28.75
2012-03-05,27.8
2012-03-06,27.2
2012-03-07,27.15
2012-03-09,27.6
2012-03-12,28.25
2012-03-13,29.2
2012-03-14,30.0
2012-03-15,28.85
2012-03-16,28.3
2012-03-19,27.35
2012-03-20,27.55
2012-03-21,29.15
2012-03-22,27.4
2012-03-23,28.0
2012-03-26,27.15
2012-03-27,27.45
2012-03-28,26.9
2012-03-29,26.1
2012-03-30,25.25
2012-04-02,25.8
2012-04-03,25.6
2012-04-04,25.15
2012-04-09,24.4
2012-04-10,24.3
2012-04-11,24.4
2012-04-12,24.5
2012-04-13,24.15
2012-04-16,24.1
2012-04-17,24.3
2012-04-18,24.1
2012-04-19,24.0
2012-04-20,23.4
2012-04-23,22.65
2012-04-24,22.7
2012-04-25,22.4
2012-04-26,22.3
2012-04-27,21.35
2012-04-28,21.8
2012-04-30,22.75
2012-05-02,22.4
2012-05-03,21.6
2012-05-04,22.05
2012-05-07,21.95
2012-05-08,21.3
2012-05-09,20.5
2012-05-10,19.45
2012-05-11,18.95
2012-05-14,19.2
2012-05-15,19.8
2012-05-16,19.3
2012-05-17,20.0
2012-05-18,20.1
2012-05-21,21.45
2012-05-22,21.5
2012-05-23,20.95
2012-05-24,20.9
2012-05-25,20.85
2012-05-28,20.65
2012-05-29,21.0
2012-05-30,19.75
2012-05-31,17.9
2012-06-01,17.55
2012-06-04,17.25
2012-06-05,17.15
2012-06-06,17.55
2012-06-07,18.2
2012-06-08,18.0
2012-06-11,18.2
2012-06-12,17.8
2012-06-13,17.85
2012-06-14,17.7
2012-06-15,17.95
2012-06-18,17.6
2012-06-19,17.3
2012-06-20,17.45
2012-06-21,17.55
2012-06-22,17.4
2012-06-25,17.75
2012-06-26,17.9
2012-06-27,18.1
2012-06-28,17.95
2012-06-29,18.6
2012-07-02,18.9
2012-07-03,18.85
2012-07-04,19.05
2012-07-05,19.3
2012-07-06,19.75
2012-07-09,19.35
2012-07-10,19.55
2012-07-11,19.75
2012-07-12,19.4
2012-07-13,19.3
2012-07-16,18.95
2012-07-17,18.2
2012-07-18,18.15
2012-07-19,18.05
2012-07-20,17.9
2012-07-23,17.5
2012-07-24,17.55
2012-07-25,17.25
2012-07-26,17.25
2012-07-27,17.15
2012-07-30,19.1
2012-07-31,18.45
2012-08-01,18.6
2012-08-02,18.45
2012-08-03,17.9
2012-08-06,17.9
2012-08-07,17.9
2012-08-08,17.45
2012-08-09,17.2
2012-08-10,17.25
2012-08-13,17.7
2012-08-14,17.0
2012-08-16,17.0
2012-08-17,16.8
2012-08-21,16.8
2012-08-22,16.55
2012-08-23,16.55
2012-08-24,16.15
2012-08-27,15.3
2012-08-28,15.1
2012-08-29,14.95
2012-08-30,15.0
2012-08-31,15.0
2012-09-03,15.0
2012-09-04,15.25
2012-09-05,15.15
2012-09-06,15.2
2012-09-07,15.35
2012-09-08,15.35
2012-09-10,15.3
2012-09-11,15.45
2012-09-12,15.9
2012-09-13,15.95
2012-09-14,16.1
2012-09-17,16.7
2012-09-18,17.15
2012-09-20,16.5
2012-09-21,17.3
2012-09-24,18.5
2012-09-25,18.55
2012-09-26,18.0
2012-09-27,17.9
2012-09-28,17.75
2012-10-01,17.95
2012-10-03,17.75
2012-10-04,17.9
2012-10-05,17.55
2012-10-08,17.35
2012-10-09,17.15
2012-10-10,16.55
2012-10-11,16.15
2012-10-12,15.9
2012-10-15,15.9
2012-10-16,15.7
2012-10-17,15.65
2012-10-18,15.75
2012-10-19,15.65
2012-10-22,16.0
2012-10-23,15.55
2012-10-25,15.85
2012-10-26,15.5
2012-10-29,15.9
2012-10-30,15.8
2012-10-31,15.8
2012-11-01,15.75
2012-11-02,15.65
2012-11-05,15.6
2012-11-06,15.6
2012-11-07,15.65
2012-11-08,15.55
2012-11-09,15.5
2012-11-12,15.3
2012-11-13,15.65
2012-11-15,15.7
2012-11-16,15.45
2012-11-19,15.45
2012-11-20,15.5
2012-11-21,15.35
2012-11-22,15.25
2012-11-23,15.25
2012-11-26,15.45
2012-11-27,17.1
2012-11-29,18.55
2012-11-30,19.55
2012-12-03,19.55
2012-12-04,18.85
2012-12-05,19.0
2012-12-06,19.05
2012-12-07,18.7
2012-12-10,18.7
2012-12-11,18.4
2012-12-12,18.3
2012-12-13,18.3
2012-12-14,18.65
2012-12-17,18.85
2012-12-18,18.5
2012-12-19,18.7
2012-12-20,18.65
2012-12-21,18.25
2012-12-24,17.9
2012-12-26,17.6
2012-12-27,17.95
2012-12-28,19.35
2012-12-31,18.55
