Date,MANAPPURAM
2012-01-02,46.0
2012-01-03,47.0
2012-01-04,48.45
2012-01-05,49.35
2012-01-06,49.4
2012-01-07,50.3
2012-01-09,49.95
2012-01-10,51.1
2012-01-11,51.4
2012-01-12,54.85
2012-01-13,55.55
2012-01-16,55.55
2012-01-17,53.55
2012-01-18,54.0
2012-01-19,54.8
2012-01-20,55.15
2012-01-23,54.55
2012-01-24,55.2
2012-01-25,55.2
2012-01-27,55.65
2012-01-30,54.95
2012-01-31,57.0
2012-02-01,57.6
2012-02-02,58.85
2012-02-03,58.85
2012-02-06,56.4
2012-02-07,45.15
2012-02-08,49.35
2012-02-09,45.8
2012-02-10,47.05
2012-02-13,45.9
2012-02-14,43.35
2012-02-15,44.6
2012-02-16,47.1
2012-02-17,46.15
2012-02-21,45.3
2012-02-22,45.15
2012-02-23,44.05
2012-02-24,43.2
2012-02-27,41.9
2012-02-28,42.0
2012-02-29,41.55
2012-03-01,41.65
2012-03-02,41.65
2012-03-03,41.65
2012-03-05,40.75
2012-03-06,40.5
2012-03-07,38.7
2012-03-09,38.7
2012-03-12,39.0
2012-03-13,44.25
2012-03-14,46.1
2012-03-15,46.75
2012-03-16,45.05
2012-03-19,45.0
2012-03-20,44.6
2012-03-21,45.2
2012-03-22,36.9
2012-03-23,36.35
2012-03-26,32.45
2012-03-27,29.95
2012-03-28,30.75
2012-03-29,30.5
2012-03-30,30.45
2012-04-02,31.7
2012-04-03,34.85
2012-04-04,35.9
2012-04-09,34.4
2012-04-10,35.2
2012-04-11,34.15
2012-04-12,34.2
2012-04-13,33.15
2012-04-16,33.95
2012-04-17,31.95
2012-04-18,30.75
2012-04-19,30.55
2012-04-20,30.0
2012-04-23,30.15
2012-04-24,29.85
2012-04-25,29.95
2012-04-26,30.35
2012-04-27,30.4
2012-04-28,30.3
2012-04-30,30.05
2012-05-02,28.95
2012-05-03,28.0
2012-05-04,26.2
2012-05-07,25.95
2012-05-08,24.15
2012-05-09,20.9
2012-05-10,20.2
2012-05-11,23.05
2012-05-14,23.6
2012-05-15,23.3
2012-05-16,23.9
2012-05-17,24.5
2012-05-18,23.5
2012-05-21,24.1
2012-05-22,23.25
2012-05-23,22.35
2012-05-24,21.75
2012-05-25,21.65
2012-05-28,21.85
2012-05-29,21.85
2012-05-30,20.85
2012-05-31,20.4
2012-06-01,20.4
2012-06-04,21.55
2012-06-05,21.45
2012-06-06,21.75
2012-06-07,22.05
2012-06-08,21.85
2012-06-11,22.2
2012-06-12,22.15
2012-06-13,22.3
2012-06-14,21.75
2012-06-15,21.8
2012-06-18,21.75
2012-06-19,22.0
2012-06-20,23.0
2012-06-21,23.0
2012-06-22,24.55
2012-06-25,27.2
2012-06-26,30.25
2012-06-27,33.0
2012-06-28,32.05
2012-06-29,31.4
2012-07-02,30.55
2012-07-03,30.9
2012-07-04,30.5
2012-07-05,31.65
2012-07-06,30.9
2012-07-09,32.65
2012-07-09,32.65
2012-07-10,33.95
2012-07-11,34.05
2012-07-12,33.4
2012-07-13,33.05
2012-07-16,33.05
2012-07-17,31.95
2012-07-18,31.65
2012-07-19,31.95
2012-07-20,31.6
2012-07-23,31.95
2012-07-24,32.05
2012-07-25,31.0
2012-07-26,30.8
2012-07-27,31.05
2012-07-30,30.7
2012-07-31,33.55
2012-08-01,34.25
2012-08-02,34.65
2012-08-03,33.35
2012-08-06,32.85
2012-08-07,32.8
2012-08-08,33.7
2012-08-09,33.5
2012-08-10,33.8
2012-08-13,33.85
2012-08-14,33.4
2012-08-16,36.05
2012-08-17,36.75
2012-08-21,35.65
2012-08-22,34.75
2012-08-23,36.05
2012-08-24,36.65
2012-08-27,36.45
2012-08-28,36.75
2012-08-29,33.8
2012-08-30,33.9
2012-08-31,34.3
2012-09-03,34.85
2012-09-04,34.9
2012-09-05,34.75
2012-09-06,34.6
2012-09-07,35.45
2012-09-08,35.15
2012-09-10,37.25
2012-09-11,37.55
2012-09-12,37.0
2012-09-13,37.65
2012-09-14,38.4
2012-09-17,38.15
2012-09-18,38.0
2012-09-20,37.8
2012-09-21,39.25
2012-09-24,38.75
2012-09-25,40.1
2012-09-26,38.7
2012-09-27,38.85
2012-09-28,39.75
2012-10-01,39.9
2012-10-03,39.45
2012-10-04,40.0
2012-10-05,40.0
2012-10-08,40.55
2012-10-09,41.9
2012-10-10,40.95
2012-10-11,40.8
2012-10-12,40.65
2012-10-15,41.55
2012-10-16,41.3
2012-10-17,41.2
2012-10-18,40.95
2012-10-19,39.75
2012-10-22,39.65
2012-10-23,38.65
2012-10-25,37.45
2012-10-26,38.35
2012-10-29,37.9
2012-10-30,36.75
2012-10-31,36.85
2012-11-01,36.3
2012-11-02,36.5
2012-11-05,36.05
2012-11-06,36.7
2012-11-07,37.65
2012-11-08,38.1
2012-11-09,32.85
2012-11-12,31.25
2012-11-13,33.05
2012-11-15,33.05
2012-11-16,32.8
2012-11-19,32.2
2012-11-20,31.65
2012-11-21,32.65
2012-11-22,33.3
2012-11-23,35.65
2012-11-26,36.2
2012-11-27,36.4
2012-11-29,37.0
2012-11-30,36.55
2012-12-03,36.4
2012-12-04,35.95
2012-12-05,36.1
2012-12-06,36.6
2012-12-07,36.7
2012-12-10,36.5
2012-12-11,36.0
2012-12-12,35.45
2012-12-13,36.2
2012-12-14,36.05
2012-12-17,35.85
2012-12-18,35.75
2012-12-19,35.9
2012-12-20,35.65
2012-12-21,34.85
2012-12-24,34.7
2012-12-26,34.15
2012-12-27,34.55
2012-12-28,34.1
2012-12-31,33.8
