Date,IDBI
2012-01-02,78.65
2012-01-03,82.25
2012-01-04,82.7
2012-01-05,83.9
2012-01-06,83.4
2012-01-07,83.5
2012-01-09,84.6
2012-01-10,86.95
2012-01-11,87.6
2012-01-12,90.35
2012-01-13,91.15
2012-01-16,91.45
2012-01-17,93.65
2012-01-18,91.75
2012-01-19,93.05
2012-01-20,95.9
2012-01-23,96.5
2012-01-24,101.25
2012-01-25,102.55
2012-01-27,100.7
2012-01-30,97.45
2012-01-31,101.4
2012-02-01,100.0
2012-02-02,97.4
2012-02-03,100.05
2012-02-06,102.75
2012-02-07,105.55
2012-02-08,105.6
2012-02-09,105.3
2012-02-10,105.25
2012-02-13,105.95
2012-02-14,109.1
2012-02-15,114.35
2012-02-16,116.25
2012-02-17,118.05
2012-02-21,118.45
2012-02-22,110.15
2012-02-23,109.5
2012-02-24,109.5
2012-02-27,104.35
2012-02-28,111.4
2012-02-29,108.1
2012-03-01,109.55
2012-03-02,112.8
2012-03-03,111.65
2012-03-05,106.9
2012-03-06,106.05
2012-03-07,107.0
2012-03-09,111.7
2012-03-12,112.6
2012-03-13,113.75
2012-03-14,115.35
2012-03-15,110.3
2012-03-16,107.55
2012-03-19,104.55
2012-03-20,107.0
2012-03-21,110.8
2012-03-22,105.7
2012-03-23,108.2
2012-03-26,105.4
2012-03-27,107.15
2012-03-28,104.65
2012-03-29,100.0
2012-03-30,104.7
2012-04-02,105.55
2012-04-03,106.15
2012-04-04,106.7
2012-04-09,104.05
2012-04-10,106.2
2012-04-11,106.6
2012-04-12,107.75
2012-04-13,105.45
2012-04-16,108.8
2012-04-17,109.0
2012-04-18,107.35
2012-04-19,107.45
2012-04-20,106.1
2012-04-23,104.95
2012-04-24,106.05
2012-04-25,102.8
2012-04-26,104.4
2012-04-27,100.6
2012-04-28,101.55
2012-04-30,101.55
2012-05-02,101.25
2012-05-03,98.2
2012-05-04,95.8
2012-05-07,97.4
2012-05-08,95.15
2012-05-09,91.85
2012-05-10,92.35
2012-05-11,92.0
2012-05-14,89.35
2012-05-15,91.3
2012-05-16,89.2
2012-05-17,86.7
2012-05-18,88.15
2012-05-21,89.4
2012-05-22,87.25
2012-05-23,85.55
2012-05-24,86.6
2012-05-25,87.1
2012-05-28,89.25
2012-05-29,88.9
2012-05-30,86.2
2012-05-31,84.95
2012-06-01,83.8
2012-06-04,85.7
2012-06-05,85.7
2012-06-06,88.9
2012-06-07,89.35
2012-06-08,90.8
2012-06-11,90.65
2012-06-12,92.95
2012-06-13,93.25
2012-06-14,90.45
2012-06-15,91.85
2012-06-18,87.55
2012-06-19,88.6
2012-06-20,89.6
2012-06-21,92.05
2012-06-22,91.65
2012-06-25,90.8
2012-06-26,90.7
2012-06-27,92.45
2012-06-28,90.75
2012-06-29,93.4
2012-07-02,95.2
2012-07-03,96.15
2012-07-04,96.6
2012-07-05,98.55
2012-07-06,97.85
2012-07-09,95.35
2012-07-09,95.35
2012-07-10,97.85
2012-07-11,96.9
2012-07-12,95.45
2012-07-13,95.05
2012-07-16,94.75
2012-07-17,92.45
2012-07-18,92.85
2012-07-19,93.85
2012-07-20,92.65
2012-07-23,90.0
2012-07-24,88.75
2012-07-25,87.65
2012-07-26,86.6
2012-07-27,85.1
2012-07-30,88.5
2012-07-31,88.0
2012-08-01,86.55
2012-08-02,87.15
2012-08-03,86.75
2012-08-06,86.75
2012-08-07,87.25
2012-08-08,86.45
2012-08-09,85.9
2012-08-10,84.15
2012-08-13,85.05
2012-08-14,86.15
2012-08-16,87.1
2012-08-17,86.7
2012-08-21,87.7
2012-08-22,86.45
2012-08-23,86.65
2012-08-24,85.5
2012-08-27,84.25
2012-08-28,84.1
2012-08-29,83.7
2012-08-30,85.7
2012-08-31,83.95
2012-09-03,84.95
2012-09-04,86.9
2012-09-05,86.5
2012-09-06,86.9
2012-09-07,87.95
2012-09-08,88.35
2012-09-10,87.55
2012-09-11,87.7
2012-09-12,88.35
2012-09-13,87.6
2012-09-14,90.25
2012-09-17,94.3
2012-09-18,98.25
2012-09-20,95.9
2012-09-21,98.6
2012-09-24,98.65
2012-09-25,98.15
2012-09-26,97.8
2012-09-27,99.4
2012-09-28,100.05
2012-10-01,102.1
2012-10-03,104.25
2012-10-04,104.0
2012-10-05,101.95
2012-10-08,99.65
2012-10-09,100.0
2012-10-10,98.2
2012-10-11,100.05
2012-10-12,99.35
2012-10-15,100.15
2012-10-16,98.1
2012-10-17,98.1
2012-10-18,100.9
2012-10-19,99.4
2012-10-22,98.35
2012-10-23,97.75
2012-10-25,97.1
2012-10-26,95.55
2012-10-29,94.75
2012-10-30,92.05
2012-10-31,92.8
2012-11-01,94.35
2012-11-02,96.05
2012-11-05,97.0
2012-11-06,98.2
2012-11-07,103.6
2012-11-08,106.75
2012-11-09,104.85
2012-11-12,106.25
2012-11-13,106.45
2012-11-15,106.7
2012-11-16,103.15
2012-11-19,101.55
2012-11-20,99.9
2012-11-21,101.25
2012-11-22,102.9
2012-11-23,102.4
2012-11-26,102.5
2012-11-27,102.05
2012-11-29,104.6
2012-11-30,108.15
2012-12-03,108.6
2012-12-04,109.3
2012-12-05,109.1
2012-12-06,109.6
2012-12-07,109.55
2012-12-10,114.0
2012-12-11,110.75
2012-12-12,111.2
2012-12-13,107.55
2012-12-14,109.9
2012-12-17,110.15
2012-12-18,111.0
2012-12-19,110.9
2012-12-20,112.25
2012-12-21,108.4
2012-12-24,108.6
2012-12-26,109.3
2012-12-27,109.05
2012-12-28,110.35
2012-12-31,111.45
