Date,KAMDHENU
2012-01-02,11.7
2012-01-03,12.0
2012-01-04,12.8
2012-01-05,12.5
2012-01-06,12.2
2012-01-07,12.3
2012-01-09,12.4
2012-01-10,13.05
2012-01-11,13.7
2012-01-12,13.55
2012-01-13,13.65
2012-01-16,13.5
2012-01-17,13.8
2012-01-18,13.15
2012-01-19,13.55
2012-01-20,13.5
2012-01-23,13.45
2012-01-24,13.5
2012-01-25,13.35
2012-01-27,13.65
2012-01-30,13.3
2012-01-31,13.35
2012-02-01,13.6
2012-02-02,13.55
2012-02-03,13.65
2012-02-06,13.65
2012-02-07,13.95
2012-02-08,13.9
2012-02-09,14.55
2012-02-10,14.45
2012-02-13,15.25
2012-02-14,16.25
2012-02-15,17.05
2012-02-16,17.1
2012-02-17,16.9
2012-02-21,17.3
2012-02-22,17.15
2012-02-23,16.85
2012-02-24,16.4
2012-02-27,16.45
2012-02-28,17.05
2012-02-29,17.1
2012-03-01,17.15
2012-03-02,17.8
2012-03-03,16.85
2012-03-05,16.8
2012-03-06,16.75
2012-03-07,16.75
2012-03-09,16.9
2012-03-12,17.1
2012-03-13,17.1
2012-03-14,17.05
2012-03-15,16.85
2012-03-16,16.95
2012-03-19,18.55
2012-03-20,19.3
2012-03-21,18.7
2012-03-22,18.45
2012-03-23,18.7
2012-03-26,17.85
2012-03-27,17.7
2012-03-28,17.2
2012-03-29,18.0
2012-03-30,18.65
2012-04-02,18.55
2012-04-03,18.45
2012-04-04,18.45
2012-04-09,18.15
2012-04-10,18.15
2012-04-11,18.25
2012-04-12,18.15
2012-04-13,18.3
2012-04-16,18.7
2012-04-17,18.5
2012-04-18,18.35
2012-04-19,18.1
2012-04-20,18.2
2012-04-23,18.3
2012-04-24,18.55
2012-04-25,18.2
2012-04-26,18.25
2012-04-27,18.05
2012-04-28,17.95
2012-04-30,18.15
2012-05-02,18.2
2012-05-03,18.05
2012-05-04,17.15
2012-05-07,17.15
2012-05-08,17.15
2012-05-09,16.3
2012-05-10,16.4
2012-05-11,15.35
2012-05-14,14.3
2012-05-15,14.7
2012-05-16,14.55
2012-05-17,14.25
2012-05-18,13.95
2012-05-21,14.4
2012-05-22,14.45
2012-05-23,14.75
2012-05-24,14.65
2012-05-25,15.1
2012-05-28,15.4
2012-05-29,16.2
2012-05-30,16.9
2012-05-31,16.85
2012-06-01,16.8
2012-06-04,16.95
2012-06-05,17.25
2012-06-06,16.9
2012-06-07,16.7
2012-06-08,16.6
2012-06-11,16.95
2012-06-12,16.75
2012-06-13,16.65
2012-06-14,16.7
2012-06-15,16.35
2012-06-18,16.25
2012-06-19,16.2
2012-06-20,16.05
2012-06-21,15.95
2012-06-22,16.3
2012-06-25,16.25
2012-06-26,16.5
2012-06-27,16.55
2012-06-28,16.25
2012-06-29,16.1
2012-07-02,16.3
2012-07-03,16.45
2012-07-04,16.65
2012-07-05,16.8
2012-07-06,17.0
2012-07-09,16.4
2012-07-09,16.4
2012-07-10,16.6
2012-07-11,16.5
2012-07-12,16.45
2012-07-13,16.9
2012-07-16,17.0
2012-07-17,16.55
2012-07-18,16.8
2012-07-19,17.1
2012-07-20,17.2
2012-07-23,17.15
2012-07-24,17.05
2012-07-25,17.05
2012-07-26,16.95
2012-07-27,16.85
2012-07-30,17.0
2012-07-31,16.3
2012-08-01,16.6
2012-08-02,16.25
2012-08-03,16.35
2012-08-06,16.15
2012-08-07,16.45
2012-08-08,16.4
2012-08-09,16.3
2012-08-10,16.25
2012-08-13,15.9
2012-08-14,15.85
2012-08-16,15.3
2012-08-17,15.35
2012-08-21,14.3
2012-08-22,14.55
2012-08-23,15.25
2012-08-24,15.1
2012-08-27,15.25
2012-08-28,14.9
2012-08-29,15.15
2012-08-30,14.85
2012-08-31,14.35
2012-09-03,14.3
2012-09-04,15.05
2012-09-05,15.6
2012-09-06,15.2
2012-09-07,14.65
2012-09-10,15.2
2012-09-11,15.25
2012-09-12,15.55
2012-09-13,15.1
2012-09-14,15.0
2012-09-17,14.85
2012-09-18,15.3
2012-09-20,15.8
2012-09-21,15.35
2012-09-24,16.65
2012-09-25,16.65
2012-09-26,16.7
2012-09-27,16.7
2012-09-28,16.45
2012-10-01,16.5
2012-10-03,16.9
2012-10-04,16.9
2012-10-05,17.0
2012-10-08,16.85
2012-10-09,17.05
2012-10-10,17.4
2012-10-11,17.45
2012-10-12,17.1
2012-10-15,17.35
2012-10-16,17.3
2012-10-17,17.25
2012-10-18,17.55
2012-10-19,17.0
2012-10-22,17.1
2012-10-23,17.5
2012-10-25,17.05
2012-10-26,17.05
2012-10-29,17.2
2012-10-30,16.6
2012-10-31,16.55
2012-11-01,16.6
2012-11-02,16.65
2012-11-05,18.55
2012-11-06,19.35
2012-11-07,19.9
2012-11-08,18.85
2012-11-09,18.55
2012-11-12,22.25
2012-11-13,22.0
2012-11-15,20.4
2012-11-16,20.4
2012-11-19,19.9
2012-11-20,19.4
2012-11-21,19.2
2012-11-22,19.15
2012-11-23,19.0
2012-11-26,19.2
2012-11-27,20.95
2012-11-29,20.1
2012-11-30,20.0
2012-12-03,21.65
2012-12-04,20.85
2012-12-05,23.15
2012-12-06,23.2
2012-12-07,23.1
2012-12-10,24.15
2012-12-11,23.6
2012-12-12,23.6
2012-12-13,23.7
2012-12-14,24.95
2012-12-17,25.9
2012-12-18,26.25
2012-12-19,27.0
2012-12-20,30.0
2012-12-21,28.55
2012-12-24,29.6
2012-12-26,30.95
2012-12-27,31.25
2012-12-28,32.3
2012-12-31,32.25
