Date,ONELIFECAP
2012-01-02,234.5
2012-01-03,241.2
2012-01-04,238.7
2012-01-05,239.65
2012-01-06,239.15
2012-01-07,247.95
2012-01-09,238.15
2012-01-10,227.15
2012-01-11,230.3
2012-01-12,231.3
2012-01-13,250.5
2012-01-16,259.55
2012-01-17,264.9
2012-01-18,260.1
2012-01-19,249.75
2012-01-20,266.8
2012-01-23,265.9
2012-01-24,260.2
2012-01-25,260.3
2012-01-27,258.65
2012-01-30,274.6
2012-01-31,299.05
2012-02-01,293.7
2012-02-02,295.65
2012-02-03,295.95
2012-02-06,304.05
2012-02-07,296.9
2012-02-08,290.8
2012-02-09,292.05
2012-02-10,290.75
2012-02-13,292.55
2012-02-14,293.8
2012-02-15,296.05
2012-02-16,303.4
2012-02-17,300.25
2012-02-21,306.6
2012-02-22,293.45
2012-02-23,298.4
2012-02-24,315.9
2012-02-27,312.5
2012-02-28,295.25
2012-02-29,302.65
2012-03-01,276.45
2012-03-02,283.8
2012-03-03,288.95
2012-03-05,305.1
2012-03-06,299.4
2012-03-07,311.8
2012-03-09,310.3
2012-03-12,328.85
2012-03-13,358.7
2012-03-14,390.35
2012-03-15,432.2
2012-03-16,428.65
2012-03-19,381.4
2012-03-20,322.7
2012-03-21,342.55
2012-03-22,309.2
2012-03-23,351.15
2012-03-26,412.95
2012-03-27,368.25
2012-03-28,357.9
2012-03-29,402.8
2012-03-30,322.85
2012-04-02,322.55
2012-04-03,304.05
2012-04-04,304.35
2012-04-09,317.95
2012-04-10,311.7
2012-04-11,303.35
2012-04-12,302.75
2012-04-13,300.7
2012-04-16,301.7
2012-04-17,303.05
2012-04-18,301.1
2012-04-19,297.15
2012-04-20,287.7
2012-04-23,284.5
2012-04-24,279.3
2012-04-25,274.1
2012-04-26,276.55
2012-04-27,281.4
2012-04-28,280.25
2012-04-30,279.4
2012-05-02,281.85
2012-05-03,274.1
2012-05-04,272.45
2012-05-07,274.8
2012-05-08,279.35
2012-05-09,270.0
2012-05-10,270.25
2012-05-11,266.65
2012-05-14,265.85
2012-05-15,265.3
2012-05-16,265.75
2012-05-17,265.5
2012-05-18,266.0
2012-05-21,265.7
2012-05-22,265.0
2012-05-23,268.9
2012-05-24,281.4
2012-05-25,282.9
2012-05-28,282.15
2012-05-29,285.35
2012-05-30,279.6
2012-05-31,280.0
2012-06-01,265.6
2012-06-04,268.25
2012-06-05,265.9
2012-06-06,269.55
2012-06-07,275.75
2012-06-08,272.4
2012-06-11,271.35
2012-06-12,267.85
2012-06-13,267.65
2012-06-14,266.4
2012-06-15,266.4
2012-06-18,265.15
2012-06-19,265.5
2012-06-20,300.55
2012-06-21,278.5
2012-06-22,275.95
2012-06-25,279.65
2012-06-26,280.1
2012-06-27,280.7
2012-06-28,311.6
2012-06-29,317.85
2012-07-02,337.0
2012-07-03,325.55
2012-07-04,356.55
2012-07-05,324.75
2012-07-06,323.5
2012-07-09,376.7
2012-07-09,376.7
2012-07-10,407.3
2012-07-11,462.95
2012-07-12,431.45
2012-07-13,432.05
2012-07-16,436.0
2012-07-17,429.3
2012-07-18,439.05
2012-07-19,467.95
2012-07-20,489.85
2012-07-23,514.55
2012-07-24,506.0
2012-07-25,510.0
2012-07-26,499.9
2012-07-27,498.05
2012-07-30,506.25
2012-07-31,523.3
2012-08-01,536.1
2012-08-02,533.9
2012-08-03,510.15
2012-08-06,542.45
2012-08-07,547.25
2012-08-08,519.9
2012-08-09,525.75
2012-08-10,547.55
2012-08-13,566.25
2012-08-14,559.45
2012-08-16,539.8
2012-08-17,531.85
2012-08-21,552.95
2012-08-22,598.6
2012-08-23,612.6
2012-08-24,633.4
2012-08-27,650.15
2012-08-28,643.4
2012-08-29,645.4
2012-08-30,650.1
2012-08-31,651.55
2012-09-03,653.95
2012-09-04,646.75
2012-09-05,630.05
2012-09-06,661.3
2012-09-07,690.75
2012-09-08,673.0
2012-09-10,654.3
2012-09-11,650.35
2012-09-12,700.85
2012-09-13,713.2
2012-09-14,744.3
2012-09-17,718.6
2012-09-18,711.2
2012-09-20,737.45
2012-09-21,749.5
2012-09-24,747.45
2012-09-25,747.6
2012-09-26,755.6
2012-09-27,712.1
2012-09-28,719.25
2012-10-01,742.65
2012-10-03,749.05
2012-10-04,766.3
2012-10-05,763.3
2012-10-08,776.95
2012-10-09,785.45
2012-10-10,807.35
2012-10-11,819.7
2012-10-12,806.45
2012-10-15,810.15
2012-10-16,798.6
2012-10-17,817.35
2012-10-18,784.5
2012-10-19,780.2
2012-10-22,809.6
2012-10-23,803.3
2012-10-25,786.1
2012-10-26,763.9
2012-10-29,762.6
2012-10-30,755.7
2012-10-31,758.05
2012-11-01,758.9
2012-11-02,760.4
2012-11-05,796.15
2012-11-06,817.15
2012-11-07,774.55
2012-11-08,785.55
2012-11-09,818.95
2012-11-12,802.75
2012-11-13,794.25
2012-11-15,788.7
2012-11-16,791.5
2012-11-19,799.45
2012-11-20,791.35
2012-11-21,782.85
2012-11-22,791.15
2012-11-23,785.35
2012-11-26,788.9
2012-11-27,782.8
2012-11-29,777.25
2012-11-30,752.4
2012-12-03,778.55
2012-12-04,771.6
2012-12-05,772.05
2012-12-06,812.55
2012-12-07,802.65
2012-12-10,793.35
2012-12-11,774.2
2012-12-12,820.7
2012-12-13,802.5
2012-12-14,779.7
2012-12-17,786.45
2012-12-18,782.1
2012-12-19,768.25
2012-12-20,778.0
2012-12-21,774.45
2012-12-24,759.85
2012-12-26,760.8
2012-12-27,749.7
2012-12-28,736.85
2012-12-31,730.5
