Date,HINDUNILVR
2012-01-02,402.4
2012-01-03,407.95
2012-01-04,395.45
2012-01-05,393.35
2012-01-06,396.8
2012-01-07,395.65
2012-01-09,393.45
2012-01-10,395.45
2012-01-11,392.5
2012-01-12,394.05
2012-01-13,391.65
2012-01-16,386.35
2012-01-17,397.6
2012-01-18,392.25
2012-01-19,391.4
2012-01-20,391.15
2012-01-23,395.65
2012-01-24,393.1
2012-01-25,393.55
2012-01-27,389.95
2012-01-30,382.35
2012-01-31,378.95
2012-02-01,384.75
2012-02-02,390.7
2012-02-03,401.4
2012-02-06,387.05
2012-02-07,382.15
2012-02-08,388.55
2012-02-09,393.35
2012-02-10,387.4
2012-02-13,391.75
2012-02-14,391.85
2012-02-15,388.5
2012-02-16,384.05
2012-02-17,385.1
2012-02-21,381.95
2012-02-22,378.5
2012-02-23,388.2
2012-02-24,385.9
2012-02-27,380.05
2012-02-28,381.25
2012-02-29,380.2
2012-03-01,380.35
2012-03-02,382.85
2012-03-03,381.35
2012-03-05,382.55
2012-03-06,380.2
2012-03-07,385.0
2012-03-09,382.25
2012-03-12,380.55
2012-03-13,381.8
2012-03-14,381.55
2012-03-15,388.1
2012-03-16,390.2
2012-03-19,393.85
2012-03-20,395.4
2012-03-21,403.2
2012-03-22,395.85
2012-03-23,403.1
2012-03-26,403.35
2012-03-27,416.05
2012-03-28,412.5
2012-03-29,408.35
2012-03-30,410.05
2012-04-02,405.65
2012-04-03,403.75
2012-04-04,399.2
2012-04-09,404.5
2012-04-10,414.95
2012-04-11,416.6
2012-04-12,421.2
2012-04-13,425.15
2012-04-16,421.25
2012-04-17,422.2
2012-04-18,422.85
2012-04-19,425.5
2012-04-20,423.0
2012-04-23,417.1
2012-04-24,420.5
2012-04-25,419.1
2012-04-26,414.7
2012-04-27,415.4
2012-04-28,417.6
2012-04-30,417.6
2012-05-02,425.0
2012-05-03,434.75
2012-05-04,434.9
2012-05-07,429.95
2012-05-08,430.85
2012-05-09,432.55
2012-05-10,433.25
2012-05-11,432.05
2012-05-14,433.85
2012-05-15,432.45
2012-05-16,427.75
2012-05-17,429.95
2012-05-18,432.05
2012-05-21,426.2
2012-05-22,423.85
2012-05-23,427.0
2012-05-24,424.7
2012-05-25,420.85
2012-05-28,417.45
2012-05-29,416.25
2012-05-30,422.45
2012-05-31,428.0
2012-06-01,419.5
2012-06-04,412.4
2012-06-05,407.3
2012-06-06,420.05
2012-06-07,423.75
2012-06-08,429.3
2012-06-11,436.15
2012-06-12,432.55
2012-06-13,447.55
2012-06-14,440.8
2012-06-15,449.45
2012-06-18,446.45
2012-06-19,449.2
2012-06-20,455.6
2012-06-21,460.15
2012-06-22,460.3
2012-06-25,460.05
2012-06-26,450.7
2012-06-27,452.45
2012-06-28,451.65
2012-06-29,454.5
2012-07-02,446.6
2012-07-03,441.35
2012-07-04,437.95
2012-07-05,440.85
2012-07-06,446.05
2012-07-09,443.95
2012-07-09,443.95
2012-07-10,446.4
2012-07-11,441.4
2012-07-12,442.95
2012-07-13,441.1
2012-07-16,441.15
2012-07-17,444.15
2012-07-18,446.3
2012-07-19,446.65
2012-07-20,446.05
2012-07-23,442.95
2012-07-24,476.2
2012-07-25,464.45
2012-07-26,461.85
2012-07-27,464.6
2012-07-30,465.75
2012-07-31,467.35
2012-08-01,470.15
2012-08-02,468.45
2012-08-03,466.6
2012-08-06,467.35
2012-08-07,469.9
2012-08-08,477.15
2012-08-09,488.25
2012-08-10,497.7
2012-08-13,490.3
2012-08-14,495.9
2012-08-16,494.75
2012-08-17,503.4
2012-08-21,513.6
2012-08-22,512.85
2012-08-23,520.4
2012-08-24,517.95
2012-08-27,521.05
2012-08-28,524.1
2012-08-29,522.55
2012-08-30,528.7
2012-08-31,515.1
2012-09-03,515.1
2012-09-04,521.05
2012-09-05,531.2
2012-09-06,526.45
2012-09-07,538.95
2012-09-08,540.95
2012-09-10,535.15
2012-09-11,531.85
2012-09-12,541.0
2012-09-13,547.05
2012-09-14,548.05
2012-09-17,531.85
2012-09-18,532.4
2012-09-20,527.5
2012-09-21,529.7
2012-09-24,518.05
2012-09-25,528.4
2012-09-26,526.85
2012-09-27,537.75
2012-09-28,545.85
2012-10-01,542.85
2012-10-03,555.5
2012-10-04,555.5
2012-10-05,565.4
2012-10-08,560.05
2012-10-09,568.85
2012-10-10,563.9
2012-10-11,571.35
2012-10-12,575.05
2012-10-15,578.55
2012-10-16,574.25
2012-10-17,573.05
2012-10-18,575.6
2012-10-19,566.55
2012-10-22,569.45
2012-10-23,570.35
2012-10-25,563.95
2012-10-26,552.2
2012-10-29,546.05
2012-10-30,550.6
2012-10-31,546.6
2012-11-01,537.45
2012-11-02,533.0
2012-11-05,533.0
2012-11-06,532.85
2012-11-07,534.55
2012-11-08,533.35
2012-11-09,529.15
2012-11-12,529.8
2012-11-13,529.0
2012-11-15,533.8
2012-11-16,521.0
2012-11-19,516.65
2012-11-20,520.2
2012-11-21,524.6
2012-11-22,524.35
2012-11-23,530.2
2012-11-26,537.4
2012-11-27,541.65
2012-11-29,548.15
2012-11-30,538.1
2012-12-03,536.5
2012-12-04,533.7
2012-12-05,531.75
2012-12-06,535.25
2012-12-07,530.65
2012-12-10,534.85
2012-12-11,544.9
2012-12-12,529.75
2012-12-13,519.75
2012-12-14,516.65
2012-12-17,522.75
2012-12-18,524.75
2012-12-19,522.95
2012-12-20,532.7
2012-12-21,527.15
2012-12-24,531.7
2012-12-26,523.4
2012-12-27,518.2
2012-12-28,522.1
2012-12-31,524.85
