Date,LIQUIDBEES
2012-01-02,999.99
2012-01-03,1000.0
2012-01-04,999.99
2012-01-05,999.99
2012-01-06,1000.0
2012-01-07,1000.22
2012-01-09,999.99
2012-01-10,999.99
2012-01-11,1000.0
2012-01-12,999.99
2012-01-13,1000.0
2012-01-16,999.99
2012-01-17,999.99
2012-01-18,1000.0
2012-01-19,999.99
2012-01-20,1000.0
2012-01-23,999.99
2012-01-24,1000.0
2012-01-25,999.99
2012-01-27,1000.0
2012-01-30,999.99
2012-01-31,999.99
2012-02-01,999.99
2012-02-02,1000.0
2012-02-03,1000.0
2012-02-06,1000.0
2012-02-07,1000.0
2012-02-08,1000.0
2012-02-09,1000.0
2012-02-10,999.99
2012-02-13,1000.0
2012-02-14,999.99
2012-02-15,999.99
2012-02-16,999.99
2012-02-17,999.99
2012-02-21,999.99
2012-02-22,1000.0
2012-02-23,999.99
2012-02-24,1000.0
2012-02-27,999.99
2012-02-28,999.99
2012-02-29,1000.0
2012-03-01,999.99
2012-03-02,1000.0
2012-03-03,999.87
2012-03-05,999.99
2012-03-06,999.99
2012-03-07,1000.0
2012-03-09,999.99
2012-03-12,999.99
2012-03-13,999.99
2012-03-14,1000.0
2012-03-15,1000.0
2012-03-16,1000.0
2012-03-19,999.99
2012-03-20,999.99
2012-03-21,999.99
2012-03-22,999.99
2012-03-23,1000.0
2012-03-26,999.99
2012-03-27,1000.0
2012-03-28,1000.0
2012-03-29,999.99
2012-03-30,1000.0
2012-04-02,1000.0
2012-04-03,999.99
2012-04-04,1000.0
2012-04-09,1000.0
2012-04-10,1000.0
2012-04-11,999.99
2012-04-12,1000.0
2012-04-13,1000.0
2012-04-16,999.99
2012-04-17,999.99
2012-04-18,1000.0
2012-04-19,1000.0
2012-04-20,1000.0
2012-04-23,999.99
2012-04-24,999.99
2012-04-25,1000.0
2012-04-26,999.99
2012-04-27,1000.0
2012-04-28,1000.02
2012-04-30,1000.0
2012-05-02,999.99
2012-05-03,999.99
2012-05-04,999.99
2012-05-07,999.99
2012-05-08,999.99
2012-05-09,1000.0
2012-05-10,1000.0
2012-05-11,1000.0
2012-05-14,1000.0
2012-05-15,999.99
2012-05-16,1000.0
2012-05-17,1000.0
2012-05-18,1000.0
2012-05-21,999.99
2012-05-22,1000.0
2012-05-23,1000.0
2012-05-24,999.99
2012-05-25,999.99
2012-05-28,1000.0
2012-05-29,999.99
2012-05-30,1000.0
2012-05-31,999.99
2012-06-01,1000.0
2012-06-04,999.99
2012-06-05,1000.0
2012-06-06,999.99
2012-06-07,1000.0
2012-06-08,1000.0
2012-06-11,999.99
2012-06-12,999.99
2012-06-13,1000.0
2012-06-14,1000.0
2012-06-15,1000.0
2012-06-18,1000.0
2012-06-19,999.99
2012-06-20,1000.0
2012-06-21,1000.0
2012-06-22,999.99
2012-06-25,1000.0
2012-06-26,1000.0
2012-06-27,1000.0
2012-06-28,1000.0
2012-06-29,1000.0
2012-07-02,999.99
2012-07-03,1000.0
2012-07-04,1000.0
2012-07-05,999.99
2012-07-06,1000.0
2012-07-09,999.99
2012-07-09,999.99
2012-07-10,999.99
2012-07-11,1000.0
2012-07-12,1000.0
2012-07-13,1000.0
2012-07-16,999.99
2012-07-17,1000.0
2012-07-18,999.99
2012-07-19,1000.0
2012-07-20,1000.0
2012-07-23,999.99
2012-07-24,999.99
2012-07-25,999.99
2012-07-26,999.99
2012-07-27,1000.0
2012-07-30,1000.0
2012-07-31,1000.0
2012-08-01,999.99
2012-08-02,999.99
2012-08-03,1000.0
2012-08-06,999.99
2012-08-07,999.99
2012-08-08,1000.0
2012-08-09,1000.0
2012-08-10,1000.0
2012-08-13,999.99
2012-08-14,999.99
2012-08-16,1000.0
2012-08-17,999.99
2012-08-21,1000.0
2012-08-22,1000.0
2012-08-23,999.99
2012-08-24,999.99
2012-08-27,1000.0
2012-08-28,999.99
2012-08-29,1000.0
2012-08-30,999.99
2012-08-31,999.99
2012-09-03,999.99
2012-09-04,999.99
2012-09-05,1000.0
2012-09-06,1000.0
2012-09-07,1000.0
2012-09-08,1000.85
2012-09-10,999.99
2012-09-11,1000.0
2012-09-12,1000.0
2012-09-13,1000.0
2012-09-14,1000.0
2012-09-17,1000.0
2012-09-18,1000.0
2012-09-20,999.99
2012-09-21,999.99
2012-09-24,1000.0
2012-09-25,999.99
2012-09-26,1000.0
2012-09-27,1000.0
2012-09-28,999.99
2012-10-01,999.99
2012-10-03,999.99
2012-10-04,999.99
2012-10-05,999.99
2012-10-08,999.99
2012-10-09,1000.0
2012-10-10,999.99
2012-10-11,999.99
2012-10-12,1000.0
2012-10-15,999.99
2012-10-16,1000.0
2012-10-17,999.99
2012-10-18,1000.0
2012-10-19,1000.0
2012-10-22,999.99
2012-10-23,1000.0
2012-10-25,999.99
2012-10-26,1000.0
2012-10-29,999.99
2012-10-30,1000.0
2012-10-31,999.99
2012-11-01,999.99
2012-11-02,999.99
2012-11-05,999.99
2012-11-06,999.99
2012-11-07,1000.0
2012-11-08,1000.0
2012-11-09,999.99
2012-11-12,999.99
2012-11-13,999.51
2012-11-15,999.99
2012-11-16,1000.0
2012-11-19,999.99
2012-11-20,999.99
2012-11-21,1000.0
2012-11-22,999.99
2012-11-23,999.99
2012-11-26,999.99
2012-11-27,999.99
2012-11-29,1000.0
2012-11-30,1000.0
2012-12-03,1000.0
2012-12-04,1000.0
2012-12-05,1000.0
2012-12-06,999.99
2012-12-07,1000.0
2012-12-10,1000.0
2012-12-11,1000.0
2012-12-12,999.99
2012-12-13,1000.0
2012-12-14,999.99
2012-12-17,999.99
2012-12-18,999.99
2012-12-19,999.99
2012-12-20,999.99
2012-12-21,1000.0
2012-12-24,1000.0
2012-12-26,1000.0
2012-12-27,1000.0
2012-12-28,1000.0
2012-12-31,1000.0
