Date,GLOBOFFS
2012-01-02,71.25
2012-01-03,69.95
2012-01-04,69.4
2012-01-05,69.9
2012-01-06,69.15
2012-01-07,71.0
2012-01-09,71.0
2012-01-10,72.45
2012-01-11,73.0
2012-01-12,72.15
2012-01-13,72.1
2012-01-16,73.15
2012-01-17,75.05
2012-01-18,73.1
2012-01-19,72.7
2012-01-20,71.05
2012-01-23,72.1
2012-01-24,71.5
2012-01-25,71.5
2012-01-27,72.15
2012-01-30,71.3
2012-01-31,70.8
2012-02-01,72.3
2012-02-02,71.95
2012-02-03,72.2
2012-02-06,73.1
2012-02-07,75.25
2012-02-08,76.15
2012-02-09,72.8
2012-02-10,71.0
2012-02-13,72.7
2012-02-14,73.85
2012-02-15,72.8
2012-02-16,77.95
2012-02-17,89.2
2012-02-21,90.55
2012-02-22,84.0
2012-02-23,77.75
2012-02-24,79.7
2012-02-27,78.0
2012-02-28,79.4
2012-02-29,78.2
2012-03-01,77.2
2012-03-02,77.45
2012-03-03,76.35
2012-03-05,76.55
2012-03-06,72.4
2012-03-07,72.25
2012-03-09,74.7
2012-03-12,73.75
2012-03-13,77.3
2012-03-14,73.05
2012-03-15,72.1
2012-03-16,72.1
2012-03-19,70.15
2012-03-20,68.6
2012-03-21,72.2
2012-03-22,70.0
2012-03-23,68.05
2012-03-26,67.65
2012-03-27,65.9
2012-03-28,65.35
2012-03-29,65.85
2012-03-30,66.85
2012-04-02,71.1
2012-04-03,70.6
2012-04-04,70.7
2012-04-09,70.1
2012-04-10,69.75
2012-04-11,70.1
2012-04-12,69.45
2012-04-13,68.25
2012-04-16,67.5
2012-04-17,67.9
2012-04-18,68.3
2012-04-19,68.6
2012-04-20,68.35
2012-04-23,66.6
2012-04-24,68.0
2012-04-25,66.05
2012-04-26,64.6
2012-04-27,65.55
2012-04-30,65.15
2012-05-02,65.15
2012-05-03,66.55
2012-05-04,65.8
2012-05-07,78.95
2012-05-08,71.7
2012-05-09,71.05
2012-05-10,76.55
2012-05-11,73.4
2012-05-14,69.75
2012-05-15,72.1
2012-05-16,68.3
2012-05-17,66.7
2012-05-18,66.85
2012-05-21,67.9
2012-05-22,67.05
2012-05-23,66.75
2012-05-24,73.95
2012-05-25,74.4
2012-05-28,73.75
2012-05-29,73.85
2012-05-30,68.9
2012-05-31,69.4
2012-06-01,70.9
2012-06-04,70.95
2012-06-05,80.35
2012-06-06,83.0
2012-06-07,82.95
2012-06-08,81.55
2012-06-11,81.05
2012-06-12,79.75
2012-06-13,74.0
2012-06-14,75.95
2012-06-15,76.1
2012-06-18,76.95
2012-06-19,75.4
2012-06-20,76.0
2012-06-21,75.45
2012-06-22,76.25
2012-06-25,75.2
2012-06-26,75.35
2012-06-27,74.5
2012-06-28,74.1
2012-06-29,75.0
2012-07-02,79.3
2012-07-03,79.05
2012-07-04,78.5
2012-07-05,78.45
2012-07-06,74.05
2012-07-09,75.0
2012-07-09,75.0
2012-07-10,79.35
2012-07-11,78.05
2012-07-12,76.8
2012-07-13,76.4
2012-07-16,75.3
2012-07-17,75.5
2012-07-18,74.75
2012-07-19,75.75
2012-07-20,76.5
2012-07-23,76.15
2012-07-24,74.9
2012-07-25,73.3
2012-07-26,72.75
2012-07-27,70.65
2012-07-30,69.75
2012-07-31,71.5
2012-08-01,70.5
2012-08-02,71.55
2012-08-03,70.65
2012-08-06,71.5
2012-08-07,73.9
2012-08-08,72.35
2012-08-09,71.3
2012-08-10,71.1
2012-08-13,72.45
2012-08-14,71.9
2012-08-16,74.25
2012-08-17,75.55
2012-08-21,73.8
2012-08-22,74.5
2012-08-23,73.15
2012-08-24,72.6
2012-08-27,72.65
2012-08-28,72.05
2012-08-29,70.75
2012-08-30,69.4
2012-08-31,69.8
2012-09-03,70.55
2012-09-04,71.7
2012-09-05,71.3
2012-09-06,70.15
2012-09-07,71.7
2012-09-08,72.25
2012-09-10,73.5
2012-09-11,72.65
2012-09-12,72.15
2012-09-13,72.0
2012-09-14,72.65
2012-09-17,73.35
2012-09-18,73.0
2012-09-20,73.2
2012-09-21,70.85
2012-09-24,70.6
2012-09-25,70.95
2012-09-26,74.85
2012-09-27,76.95
2012-09-28,78.15
2012-10-01,75.65
2012-10-03,74.9
2012-10-04,74.85
2012-10-05,73.4
2012-10-08,74.6
2012-10-09,75.65
2012-10-10,76.95
2012-10-11,80.9
2012-10-12,78.65
2012-10-15,78.3
2012-10-16,77.4
2012-10-17,76.6
2012-10-18,76.6
2012-10-19,75.5
2012-10-22,72.65
2012-10-23,72.55
2012-10-25,71.95
2012-10-26,71.15
2012-10-29,70.0
2012-10-30,69.05
2012-10-31,68.4
2012-11-01,69.05
2012-11-02,69.4
2012-11-05,67.7
2012-11-06,72.65
2012-11-07,74.15
2012-11-08,72.4
2012-11-09,72.15
2012-11-12,71.6
2012-11-13,72.45
2012-11-15,72.05
2012-11-16,71.6
2012-11-19,70.0
2012-11-20,69.3
2012-11-21,69.35
2012-11-22,68.75
2012-11-23,68.7
2012-11-26,69.75
2012-11-27,69.4
2012-11-29,68.9
2012-11-30,68.4
2012-12-03,68.35
2012-12-04,67.85
2012-12-05,68.65
2012-12-06,68.25
2012-12-07,68.4
2012-12-10,68.6
2012-12-11,70.0
2012-12-12,69.45
2012-12-13,68.9
2012-12-14,68.05
2012-12-17,67.45
2012-12-18,67.3
2012-12-19,68.4
2012-12-20,67.5
2012-12-21,67.1
2012-12-24,66.7
2012-12-26,69.35
2012-12-27,68.45
2012-12-28,67.6
2012-12-31,67.05
