Date,HTMEDIA
2012-01-02,120.15
2012-01-03,123.55
2012-01-04,117.8
2012-01-05,120.0
2012-01-06,118.9
2012-01-07,118.7
2012-01-09,118.0
2012-01-10,118.75
2012-01-11,119.0
2012-01-12,120.25
2012-01-13,129.75
2012-01-16,138.15
2012-01-17,137.4
2012-01-18,135.05
2012-01-19,131.5
2012-01-20,125.15
2012-01-23,126.1
2012-01-24,128.6
2012-01-25,133.1
2012-01-27,134.95
2012-01-30,135.1
2012-01-31,138.75
2012-02-01,138.3
2012-02-02,134.0
2012-02-03,137.45
2012-02-06,138.55
2012-02-07,139.7
2012-02-08,142.15
2012-02-09,147.6
2012-02-10,143.5
2012-02-13,145.0
2012-02-14,143.7
2012-02-15,146.35
2012-02-16,143.85
2012-02-17,143.95
2012-02-21,142.55
2012-02-22,141.85
2012-02-23,142.9
2012-02-24,143.25
2012-02-27,137.65
2012-02-28,141.8
2012-02-29,144.1
2012-03-01,141.1
2012-03-02,143.2
2012-03-03,141.7
2012-03-05,142.7
2012-03-06,143.0
2012-03-07,141.05
2012-03-09,140.45
2012-03-12,138.6
2012-03-13,139.5
2012-03-14,138.25
2012-03-15,138.15
2012-03-16,134.45
2012-03-19,134.3
2012-03-20,136.2
2012-03-21,136.75
2012-03-22,131.4
2012-03-23,131.65
2012-03-26,130.05
2012-03-27,125.55
2012-03-28,130.95
2012-03-29,137.85
2012-03-30,139.7
2012-04-02,138.55
2012-04-03,138.9
2012-04-04,137.95
2012-04-09,134.95
2012-04-10,132.65
2012-04-11,130.15
2012-04-12,131.25
2012-04-13,132.5
2012-04-16,128.35
2012-04-17,127.8
2012-04-18,129.85
2012-04-19,131.7
2012-04-20,129.9
2012-04-23,128.3
2012-04-24,127.65
2012-04-25,126.25
2012-04-26,126.1
2012-04-27,126.1
2012-04-28,126.4
2012-04-30,127.0
2012-05-02,126.4
2012-05-03,123.75
2012-05-04,122.4
2012-05-07,122.2
2012-05-08,116.8
2012-05-09,117.45
2012-05-10,117.25
2012-05-11,116.1
2012-05-14,113.65
2012-05-15,113.75
2012-05-16,113.25
2012-05-17,112.2
2012-05-18,114.25
2012-05-21,112.5
2012-05-22,114.35
2012-05-23,115.15
2012-05-24,114.3
2012-05-25,111.8
2012-05-28,112.35
2012-05-29,112.0
2012-05-30,111.05
2012-05-31,111.35
2012-06-01,112.7
2012-06-04,109.8
2012-06-05,109.0
2012-06-06,99.65
2012-06-07,97.15
2012-06-08,96.9
2012-06-11,97.7
2012-06-12,96.25
2012-06-13,96.0
2012-06-14,95.0
2012-06-15,96.65
2012-06-18,96.35
2012-06-19,95.6
2012-06-20,96.85
2012-06-21,97.7
2012-06-22,96.7
2012-06-25,98.35
2012-06-26,97.5
2012-06-27,96.85
2012-06-28,96.05
2012-06-29,96.7
2012-07-02,97.4
2012-07-03,96.75
2012-07-04,99.7
2012-07-05,99.85
2012-07-06,100.6
2012-07-09,99.15
2012-07-09,99.15
2012-07-10,97.75
2012-07-11,97.15
2012-07-12,96.45
2012-07-13,97.9
2012-07-16,96.8
2012-07-17,96.3
2012-07-18,96.65
2012-07-19,93.7
2012-07-20,91.3
2012-07-23,89.95
2012-07-24,89.55
2012-07-25,88.1
2012-07-26,86.0
2012-07-27,84.55
2012-07-30,83.7
2012-07-31,83.9
2012-08-01,87.25
2012-08-02,88.8
2012-08-03,87.35
2012-08-06,87.5
2012-08-07,89.4
2012-08-08,88.65
2012-08-09,87.6
2012-08-10,88.4
2012-08-13,86.45
2012-08-14,85.7
2012-08-16,85.05
2012-08-17,85.25
2012-08-21,88.05
2012-08-22,86.85
2012-08-23,87.95
2012-08-24,89.7
2012-08-27,91.15
2012-08-28,93.65
2012-08-29,93.05
2012-08-30,93.85
2012-08-31,91.8
2012-09-03,91.85
2012-09-04,90.15
2012-09-05,89.25
2012-09-06,86.15
2012-09-07,86.9
2012-09-08,86.9
2012-09-10,85.9
2012-09-11,87.65
2012-09-12,86.6
2012-09-13,86.65
2012-09-14,87.4
2012-09-17,89.55
2012-09-18,91.9
2012-09-20,90.95
2012-09-21,93.05
2012-09-24,94.7
2012-09-25,93.75
2012-09-26,93.3
2012-09-27,91.05
2012-09-28,93.05
2012-10-01,94.25
2012-10-03,97.9
2012-10-04,100.15
2012-10-05,102.3
2012-10-08,99.2
2012-10-09,98.85
2012-10-10,96.9
2012-10-11,94.5
2012-10-12,96.75
2012-10-15,95.4
2012-10-16,96.55
2012-10-17,97.95
2012-10-18,98.05
2012-10-19,101.15
2012-10-22,103.55
2012-10-23,102.5
2012-10-25,103.5
2012-10-26,100.65
2012-10-29,101.95
2012-10-30,101.25
2012-10-31,102.35
2012-11-01,101.7
2012-11-02,99.6
2012-11-05,98.0
2012-11-06,97.55
2012-11-07,97.25
2012-11-08,96.45
2012-11-09,95.4
2012-11-12,95.65
2012-11-13,96.55
2012-11-15,99.6
2012-11-16,96.35
2012-11-19,100.6
2012-11-20,99.5
2012-11-21,98.5
2012-11-22,98.05
2012-11-23,95.25
2012-11-26,98.55
2012-11-27,100.5
2012-11-29,101.55
2012-11-30,102.8
2012-12-03,108.25
2012-12-04,107.25
2012-12-05,106.55
2012-12-06,105.1
2012-12-07,103.65
2012-12-10,105.8
2012-12-11,103.4
2012-12-12,102.8
2012-12-13,104.6
2012-12-14,104.75
2012-12-17,103.35
2012-12-18,102.8
2012-12-19,101.45
2012-12-20,99.55
2012-12-21,98.6
2012-12-24,100.85
2012-12-26,103.15
2012-12-27,101.85
2012-12-28,102.45
2012-12-31,106.85
