Date,DLINKINDIA
2012-01-02,15.35
2012-01-03,15.5
2012-01-04,15.35
2012-01-05,15.5
2012-01-06,15.25
2012-01-07,15.7
2012-01-09,15.5
2012-01-10,18.2
2012-01-11,18.2
2012-01-12,18.55
2012-01-13,18.85
2012-01-16,18.2
2012-01-17,18.5
2012-01-18,18.15
2012-01-19,19.1
2012-01-20,18.85
2012-01-23,18.75
2012-01-24,18.7
2012-01-25,18.65
2012-01-27,19.4
2012-01-30,18.55
2012-01-31,22.25
2012-02-01,21.2
2012-02-02,21.55
2012-02-03,21.1
2012-02-06,21.85
2012-02-07,20.95
2012-02-08,21.1
2012-02-09,21.25
2012-02-10,21.95
2012-02-13,23.0
2012-02-14,22.4
2012-02-15,22.5
2012-02-16,22.6
2012-02-17,22.2
2012-02-21,22.8
2012-02-22,21.3
2012-02-23,22.85
2012-02-24,21.7
2012-02-27,20.55
2012-02-28,20.95
2012-02-29,20.95
2012-03-01,20.5
2012-03-02,21.0
2012-03-03,20.85
2012-03-05,20.75
2012-03-06,22.2
2012-03-07,21.35
2012-03-09,21.25
2012-03-12,21.4
2012-03-13,21.45
2012-03-14,21.4
2012-03-15,21.55
2012-03-16,21.15
2012-03-19,20.45
2012-03-20,20.25
2012-03-21,20.95
2012-03-22,20.65
2012-03-23,20.3
2012-03-26,20.4
2012-03-27,20.3
2012-03-28,20.85
2012-03-29,20.2
2012-03-30,20.3
2012-04-02,21.1
2012-04-03,21.7
2012-04-04,21.35
2012-04-09,20.75
2012-04-10,20.75
2012-04-11,21.0
2012-04-12,21.0
2012-04-13,21.0
2012-04-16,20.45
2012-04-17,20.65
2012-04-18,21.1
2012-04-19,21.0
2012-04-20,20.65
2012-04-23,20.25
2012-04-24,20.05
2012-04-25,20.25
2012-04-26,19.85
2012-04-27,20.4
2012-04-28,20.1
2012-04-30,21.8
2012-05-02,23.6
2012-05-03,25.45
2012-05-04,23.25
2012-05-07,23.35
2012-05-08,22.25
2012-05-09,21.65
2012-05-10,22.4
2012-05-11,22.15
2012-05-14,22.65
2012-05-15,22.25
2012-05-16,21.85
2012-05-17,21.95
2012-05-18,21.75
2012-05-21,21.95
2012-05-22,21.95
2012-05-23,22.1
2012-05-24,22.75
2012-05-25,22.35
2012-05-28,22.9
2012-05-29,22.95
2012-05-30,22.8
2012-05-31,21.95
2012-06-01,21.65
2012-06-04,21.6
2012-06-05,21.65
2012-06-06,21.75
2012-06-07,22.15
2012-06-08,21.8
2012-06-11,21.55
2012-06-12,21.85
2012-06-13,21.7
2012-06-14,21.45
2012-06-15,21.45
2012-06-18,21.5
2012-06-19,21.95
2012-06-20,22.3
2012-06-21,22.75
2012-06-22,22.0
2012-06-25,22.55
2012-06-26,22.15
2012-06-27,21.9
2012-06-28,22.05
2012-06-29,22.5
2012-07-02,24.1
2012-07-03,24.5
2012-07-04,24.75
2012-07-05,24.7
2012-07-06,24.25
2012-07-09,23.25
2012-07-09,23.25
2012-07-10,23.95
2012-07-11,24.9
2012-07-12,25.0
2012-07-13,25.0
2012-07-16,25.85
2012-07-17,27.6
2012-07-18,26.65
2012-07-19,28.2
2012-07-20,29.1
2012-07-23,26.8
2012-07-24,26.4
2012-07-25,26.25
2012-07-26,24.95
2012-07-27,24.15
2012-07-30,26.0
2012-07-31,25.7
2012-08-01,26.05
2012-08-02,25.7
2012-08-03,25.9
2012-08-06,25.25
2012-08-07,25.25
2012-08-08,26.35
2012-08-09,26.85
2012-08-10,25.9
2012-08-13,26.95
2012-08-14,27.0
2012-08-16,27.15
2012-08-17,27.0
2012-08-21,27.15
2012-08-22,26.75
2012-08-23,26.45
2012-08-24,26.0
2012-08-27,25.3
2012-08-28,25.0
2012-08-29,24.8
2012-08-30,24.7
2012-08-31,24.55
2012-09-03,24.9
2012-09-04,25.4
2012-09-05,25.3
2012-09-06,25.0
2012-09-07,25.85
2012-09-08,25.5
2012-09-10,25.5
2012-09-11,26.5
2012-09-12,26.2
2012-09-13,25.6
2012-09-14,26.0
2012-09-17,26.5
2012-09-18,26.6
2012-09-20,26.15
2012-09-21,26.95
2012-09-24,27.15
2012-09-25,27.05
2012-09-26,26.9
2012-09-27,26.35
2012-09-28,26.95
2012-10-01,27.5
2012-10-03,28.5
2012-10-04,28.3
2012-10-05,28.7
2012-10-08,32.6
2012-10-09,30.6
2012-10-10,30.65
2012-10-11,33.2
2012-10-12,31.9
2012-10-15,32.25
2012-10-16,31.2
2012-10-17,30.9
2012-10-18,33.2
2012-10-19,32.9
2012-10-22,33.9
2012-10-23,33.2
2012-10-25,32.55
2012-10-26,33.15
2012-10-29,35.85
2012-10-30,35.4
2012-10-31,35.1
2012-11-01,37.0
2012-11-02,36.8
2012-11-05,35.7
2012-11-06,33.05
2012-11-07,33.7
2012-11-08,33.3
2012-11-09,32.15
2012-11-12,31.1
2012-11-13,31.2
2012-11-15,31.15
2012-11-16,30.8
2012-11-19,30.55
2012-11-20,30.5
2012-11-21,31.3
2012-11-22,30.7
2012-11-23,30.05
2012-11-26,30.05
2012-11-27,29.8
2012-11-29,32.1
2012-11-30,33.5
2012-12-03,32.55
2012-12-04,32.2
2012-12-05,33.35
2012-12-06,32.7
2012-12-07,32.15
2012-12-10,31.9
2012-12-11,31.2
2012-12-12,31.15
2012-12-13,30.95
2012-12-14,30.7
2012-12-17,30.4
2012-12-18,29.8
2012-12-19,29.95
2012-12-20,30.05
2012-12-21,29.95
2012-12-24,29.45
2012-12-26,29.5
2012-12-27,30.25
2012-12-28,30.1
2012-12-31,30.9
