Date,TATASPONGE
2012-01-02,235.6
2012-01-03,235.5
2012-01-04,244.8
2012-01-05,248.85
2012-01-06,249.5
2012-01-07,250.8
2012-01-09,251.2
2012-01-10,253.55
2012-01-11,253.0
2012-01-12,254.5
2012-01-13,254.35
2012-01-16,253.85
2012-01-17,255.8
2012-01-18,252.95
2012-01-19,253.85
2012-01-20,257.25
2012-01-23,260.1
2012-01-24,262.35
2012-01-25,275.85
2012-01-27,276.1
2012-01-30,260.3
2012-01-31,262.05
2012-02-01,272.85
2012-02-02,278.85
2012-02-03,279.55
2012-02-06,281.3
2012-02-07,275.45
2012-02-08,274.35
2012-02-09,279.7
2012-02-10,279.0
2012-02-13,282.7
2012-02-14,289.45
2012-02-15,291.55
2012-02-16,300.95
2012-02-17,298.55
2012-02-21,299.95
2012-02-22,291.3
2012-02-23,287.9
2012-02-24,283.1
2012-02-27,272.5
2012-02-28,283.05
2012-02-29,280.3
2012-03-01,280.4
2012-03-02,282.05
2012-03-03,292.15
2012-03-05,287.95
2012-03-06,285.55
2012-03-07,283.15
2012-03-09,282.85
2012-03-12,285.45
2012-03-13,301.0
2012-03-14,315.2
2012-03-15,314.75
2012-03-16,311.4
2012-03-19,304.2
2012-03-20,309.65
2012-03-21,310.85
2012-03-22,304.45
2012-03-23,303.35
2012-03-26,296.25
2012-03-27,300.4
2012-03-28,295.55
2012-03-29,302.9
2012-03-30,302.55
2012-04-02,319.2
2012-04-03,324.55
2012-04-04,321.3
2012-04-09,318.65
2012-04-10,317.15
2012-04-11,323.15
2012-04-12,330.0
2012-04-13,328.85
2012-04-16,329.1
2012-04-17,329.25
2012-04-18,330.35
2012-04-19,327.15
2012-04-20,333.95
2012-04-23,324.75
2012-04-24,315.4
2012-04-25,311.75
2012-04-26,306.95
2012-04-27,301.15
2012-04-28,305.0
2012-04-30,306.0
2012-05-02,303.85
2012-05-03,299.7
2012-05-04,294.7
2012-05-07,292.55
2012-05-08,288.25
2012-05-09,290.6
2012-05-10,287.55
2012-05-11,286.1
2012-05-14,278.85
2012-05-15,271.85
2012-05-16,262.55
2012-05-17,263.6
2012-05-18,262.85
2012-05-21,261.4
2012-05-22,268.35
2012-05-23,265.0
2012-05-24,265.9
2012-05-25,269.4
2012-05-28,272.35
2012-05-29,282.55
2012-05-30,275.4
2012-05-31,274.0
2012-06-01,270.35
2012-06-04,274.7
2012-06-05,279.7
2012-06-06,283.9
2012-06-07,286.95
2012-06-08,289.15
2012-06-11,292.45
2012-06-12,298.75
2012-06-13,299.3
2012-06-14,306.2
2012-06-15,307.0
2012-06-18,345.55
2012-06-19,345.3
2012-06-20,342.5
2012-06-21,341.75
2012-06-22,341.45
2012-06-25,342.35
2012-06-26,343.8
2012-06-27,345.15
2012-06-28,345.9
2012-06-29,341.0
2012-07-02,338.65
2012-07-03,338.1
2012-07-04,338.25
2012-07-05,338.3
2012-07-06,338.05
2012-07-09,337.8
2012-07-10,338.0
2012-07-11,338.1
2012-07-12,338.7
2012-07-13,338.25
2012-07-16,338.85
2012-07-17,339.05
2012-07-18,342.05
2012-07-19,342.6
2012-07-20,343.55
2012-07-23,343.55
2012-07-24,343.5
2012-07-25,343.75
2012-07-26,343.35
2012-07-27,342.95
2012-07-30,343.65
2012-07-31,343.65
2012-08-01,342.45
2012-08-02,341.9
2012-08-03,339.75
2012-08-06,340.75
2012-08-07,339.55
2012-08-08,329.65
2012-08-09,330.1
2012-08-10,330.35
2012-08-13,332.4
2012-08-14,330.85
2012-08-16,329.8
2012-08-17,330.35
2012-08-21,324.55
2012-08-22,323.95
2012-08-23,320.8
2012-08-24,301.7
2012-08-27,303.8
2012-08-28,299.5
2012-08-29,295.3
2012-08-30,294.4
2012-08-31,291.85
2012-09-03,288.9
2012-09-04,294.6
2012-09-05,291.6
2012-09-06,293.35
2012-09-07,304.05
2012-09-08,300.05
2012-09-10,301.9
2012-09-11,309.4
2012-09-12,307.4
2012-09-13,305.7
2012-09-14,309.85
2012-09-17,307.4
2012-09-18,307.65
2012-09-20,303.25
2012-09-21,308.8
2012-09-24,305.95
2012-09-25,307.05
2012-09-26,309.05
2012-09-27,311.15
2012-09-28,315.1
2012-10-01,321.25
2012-10-03,325.35
2012-10-04,331.2
2012-10-05,320.1
2012-10-08,319.6
2012-10-09,322.9
2012-10-10,323.25
2012-10-11,323.55
2012-10-12,328.3
2012-10-15,330.55
2012-10-16,326.3
2012-10-17,325.4
2012-10-18,322.1
2012-10-19,322.15
2012-10-22,329.0
2012-10-23,324.4
2012-10-25,324.7
2012-10-26,338.4
2012-10-29,333.65
2012-10-30,333.4
2012-10-31,331.7
2012-11-01,332.55
2012-11-02,331.05
2012-11-05,330.2
2012-11-06,327.2
2012-11-07,322.95
2012-11-08,323.3
2012-11-09,318.5
2012-11-12,317.1
2012-11-13,319.95
2012-11-15,315.05
2012-11-16,312.75
2012-11-19,309.35
2012-11-20,305.85
2012-11-21,309.25
2012-11-22,307.8
2012-11-23,305.55
2012-11-26,306.9
2012-11-27,307.4
2012-11-29,307.2
2012-11-30,309.95
2012-12-03,310.7
2012-12-04,308.6
2012-12-05,309.75
2012-12-06,308.1
2012-12-07,308.05
2012-12-10,309.25
2012-12-11,305.7
2012-12-12,306.35
2012-12-13,307.1
2012-12-14,307.65
2012-12-17,306.55
2012-12-18,315.35
2012-12-19,316.3
2012-12-20,320.3
2012-12-21,310.8
2012-12-24,309.2
2012-12-26,313.0
2012-12-27,310.6
2012-12-28,310.45
2012-12-31,309.65
