Date,LITL
2012-01-02,9.8
2012-01-03,10.25
2012-01-04,10.2
2012-01-05,10.35
2012-01-06,10.5
2012-01-07,10.6
2012-01-09,11.55
2012-01-10,12.5
2012-01-11,12.8
2012-01-12,13.5
2012-01-13,14.8
2012-01-16,14.85
2012-01-17,14.75
2012-01-18,14.05
2012-01-19,14.95
2012-01-20,14.95
2012-01-23,14.55
2012-01-24,14.95
2012-01-25,14.9
2012-01-27,14.85
2012-01-30,14.75
2012-01-31,15.15
2012-02-01,15.95
2012-02-02,15.8
2012-02-03,16.15
2012-02-06,16.15
2012-02-07,15.75
2012-02-08,16.25
2012-02-09,16.6
2012-02-10,16.2
2012-02-13,16.15
2012-02-14,18.8
2012-02-15,19.05
2012-02-16,20.3
2012-02-17,22.6
2012-02-21,23.35
2012-02-22,19.5
2012-02-23,20.8
2012-02-24,21.5
2012-02-27,18.9
2012-02-28,20.9
2012-02-29,20.9
2012-03-01,21.05
2012-03-02,20.8
2012-03-03,20.7
2012-03-05,19.75
2012-03-06,18.9
2012-03-07,18.75
2012-03-09,20.05
2012-03-12,20.55
2012-03-13,22.3
2012-03-14,21.85
2012-03-15,19.9
2012-03-16,18.75
2012-03-19,19.1
2012-03-20,19.1
2012-03-21,20.0
2012-03-22,18.55
2012-03-23,19.05
2012-03-26,18.6
2012-03-27,18.75
2012-03-28,17.75
2012-03-29,17.4
2012-03-30,18.2
2012-04-02,18.85
2012-04-03,19.1
2012-04-04,19.05
2012-04-09,18.6
2012-04-10,18.6
2012-04-11,18.3
2012-04-12,18.45
2012-04-13,17.85
2012-04-16,17.95
2012-04-17,18.05
2012-04-18,18.15
2012-04-19,17.9
2012-04-20,17.25
2012-04-23,15.75
2012-04-24,15.15
2012-04-25,14.5
2012-04-26,13.8
2012-04-27,12.8
2012-04-28,13.8
2012-04-30,13.95
2012-05-02,13.7
2012-05-03,13.2
2012-05-04,12.9
2012-05-07,13.65
2012-05-08,13.0
2012-05-09,12.8
2012-05-10,12.4
2012-05-11,12.15
2012-05-14,12.0
2012-05-15,12.25
2012-05-16,12.3
2012-05-17,12.1
2012-05-18,12.0
2012-05-21,12.35
2012-05-22,12.0
2012-05-23,12.0
2012-05-24,12.1
2012-05-25,12.25
2012-05-28,12.55
2012-05-29,12.95
2012-05-30,12.55
2012-05-31,12.4
2012-06-01,12.0
2012-06-04,12.1
2012-06-05,12.3
2012-06-06,13.1
2012-06-07,13.3
2012-06-08,13.3
2012-06-11,13.65
2012-06-12,14.1
2012-06-13,13.8
2012-06-14,13.25
2012-06-15,13.5
2012-06-18,13.25
2012-06-19,13.25
2012-06-20,13.8
2012-06-21,14.2
2012-06-22,14.1
2012-06-25,13.8
2012-06-26,13.95
2012-06-27,13.85
2012-06-28,13.9
2012-06-29,14.95
2012-07-02,15.65
2012-07-03,15.6
2012-07-04,15.85
2012-07-05,16.35
2012-07-06,16.25
2012-07-09,15.55
2012-07-09,15.55
2012-07-10,15.95
2012-07-11,15.85
2012-07-12,15.9
2012-07-13,15.7
2012-07-16,15.3
2012-07-17,14.9
2012-07-18,14.65
2012-07-19,14.8
2012-07-20,14.7
2012-07-23,14.05
2012-07-24,14.05
2012-07-25,12.85
2012-07-26,12.1
2012-07-27,12.2
2012-07-30,12.75
2012-07-31,12.65
2012-08-01,13.0
2012-08-02,13.25
2012-08-03,13.0
2012-08-06,13.15
2012-08-07,13.25
2012-08-08,12.55
2012-08-09,12.65
2012-08-10,12.4
2012-08-13,12.9
2012-08-14,12.5
2012-08-16,12.5
2012-08-17,12.35
2012-08-21,12.45
2012-08-22,12.3
2012-08-23,12.3
2012-08-24,11.8
2012-08-27,11.15
2012-08-28,11.1
2012-08-29,10.65
2012-08-30,11.0
2012-08-31,11.05
2012-09-03,10.8
2012-09-04,11.05
2012-09-05,10.9
2012-09-06,10.8
2012-09-07,11.0
2012-09-08,11.05
2012-09-10,10.85
2012-09-11,10.75
2012-09-12,10.85
2012-09-13,10.7
2012-09-14,11.3
2012-09-17,12.45
2012-09-18,13.8
2012-09-20,13.0
2012-09-21,13.75
2012-09-24,15.1
2012-09-25,15.45
2012-09-26,14.85
2012-09-27,14.8
2012-09-28,15.05
2012-10-01,15.1
2012-10-03,14.85
2012-10-04,15.7
2012-10-05,15.9
2012-10-08,15.8
2012-10-09,15.75
2012-10-10,14.45
2012-10-11,14.65
2012-10-12,14.7
2012-10-15,14.4
2012-10-16,14.0
2012-10-17,13.75
2012-10-18,14.15
2012-10-19,13.7
2012-10-22,13.75
2012-10-23,13.35
2012-10-25,13.0
2012-10-26,11.45
2012-10-29,11.9
2012-10-30,11.65
2012-10-31,12.05
2012-11-01,12.45
2012-11-02,12.45
2012-11-05,12.2
2012-11-06,12.3
2012-11-07,12.4
2012-11-08,12.2
2012-11-09,12.1
2012-11-12,12.05
2012-11-13,12.3
2012-11-15,12.7
2012-11-16,12.75
2012-11-19,12.65
2012-11-20,12.25
2012-11-21,12.3
2012-11-22,12.25
2012-11-23,12.2
2012-11-26,12.65
2012-11-27,12.9
2012-11-29,13.3
2012-11-30,13.95
2012-12-03,13.9
2012-12-04,13.9
2012-12-05,14.1
2012-12-06,14.65
2012-12-07,14.15
2012-12-10,13.95
2012-12-11,13.5
2012-12-12,13.15
2012-12-13,12.8
2012-12-14,13.0
2012-12-17,12.85
2012-12-18,12.75
2012-12-19,12.8
2012-12-20,12.8
2012-12-21,12.55
2012-12-24,13.45
2012-12-26,13.6
2012-12-27,13.5
2012-12-28,13.5
2012-12-31,13.55
