Date,SPARC
2012-01-02,74.4
2012-01-03,76.15
2012-01-04,76.6
2012-01-05,77.0
2012-01-06,77.05
2012-01-07,77.0
2012-01-09,78.05
2012-01-10,80.2
2012-01-11,81.3
2012-01-12,80.05
2012-01-13,80.2
2012-01-16,78.35
2012-01-17,83.0
2012-01-18,80.9
2012-01-19,82.0
2012-01-20,83.45
2012-01-23,83.0
2012-01-24,81.6
2012-01-25,80.8
2012-01-27,81.65
2012-01-30,79.95
2012-01-31,83.4
2012-02-01,86.55
2012-02-02,83.05
2012-02-03,83.0
2012-02-06,82.65
2012-02-07,80.75
2012-02-08,81.1
2012-02-09,81.95
2012-02-10,81.85
2012-02-13,83.45
2012-02-14,85.1
2012-02-15,84.55
2012-02-16,84.7
2012-02-17,82.5
2012-02-21,84.15
2012-02-22,80.95
2012-02-23,82.35
2012-02-24,81.6
2012-02-27,79.5
2012-02-28,80.5
2012-02-29,80.6
2012-03-01,78.75
2012-03-02,79.1
2012-03-03,79.7
2012-03-05,78.05
2012-03-06,77.05
2012-03-07,76.9
2012-03-09,79.3
2012-03-12,78.75
2012-03-13,78.45
2012-03-14,78.4
2012-03-15,76.75
2012-03-16,75.55
2012-03-19,76.0
2012-03-20,76.5
2012-03-21,76.25
2012-03-22,77.0
2012-03-23,77.1
2012-03-26,76.5
2012-03-27,74.9
2012-03-28,72.35
2012-03-29,73.75
2012-03-30,74.65
2012-04-02,76.9
2012-04-03,79.05
2012-04-04,77.9
2012-04-09,75.95
2012-04-10,76.55
2012-04-11,76.35
2012-04-12,76.55
2012-04-13,79.75
2012-04-16,79.5
2012-04-17,78.65
2012-04-18,78.1
2012-04-19,79.5
2012-04-20,78.85
2012-04-23,77.65
2012-04-24,77.3
2012-04-25,76.1
2012-04-26,74.75
2012-04-27,74.2
2012-04-28,74.9
2012-04-30,75.05
2012-05-02,74.55
2012-05-03,73.65
2012-05-04,74.05
2012-05-07,73.95
2012-05-08,73.1
2012-05-09,72.05
2012-05-10,71.15
2012-05-11,69.7
2012-05-14,69.3
2012-05-15,69.15
2012-05-16,71.1
2012-05-17,71.1
2012-05-18,73.45
2012-05-21,73.1
2012-05-22,73.25
2012-05-23,74.9
2012-05-24,76.1
2012-05-25,75.25
2012-05-28,76.15
2012-05-29,78.5
2012-05-30,77.9
2012-05-31,78.35
2012-06-01,76.2
2012-06-04,75.3
2012-06-05,73.7
2012-06-06,74.65
2012-06-07,75.5
2012-06-08,74.9
2012-06-11,72.8
2012-06-12,71.7
2012-06-13,69.4
2012-06-14,68.25
2012-06-15,66.9
2012-06-18,69.35
2012-06-19,72.7
2012-06-20,73.15
2012-06-21,74.25
2012-06-22,73.85
2012-06-25,73.85
2012-06-26,72.55
2012-06-27,72.35
2012-06-28,73.25
2012-06-29,73.75
2012-07-02,73.05
2012-07-03,74.55
2012-07-04,74.5
2012-07-05,74.7
2012-07-06,73.85
2012-07-09,73.75
2012-07-10,73.6
2012-07-11,73.55
2012-07-12,73.5
2012-07-13,78.45
2012-07-16,76.2
2012-07-17,74.9
2012-07-18,74.0
2012-07-19,77.0
2012-07-20,75.15
2012-07-23,73.95
2012-07-24,74.7
2012-07-25,75.55
2012-07-26,74.1
2012-07-27,72.8
2012-07-30,73.4
2012-07-31,74.9
2012-08-01,74.35
2012-08-02,73.95
2012-08-03,78.4
2012-08-06,80.25
2012-08-07,79.8
2012-08-08,79.0
2012-08-09,77.8
2012-08-10,77.8
2012-08-13,77.3
2012-08-14,77.75
2012-08-16,77.3
2012-08-17,76.6
2012-08-21,77.25
2012-08-22,77.05
2012-08-23,76.25
2012-08-24,75.75
2012-08-27,74.85
2012-08-28,73.8
2012-08-29,73.15
2012-08-30,73.1
2012-08-31,74.1
2012-09-03,72.85
2012-09-04,72.25
2012-09-05,72.75
2012-09-06,71.95
2012-09-07,71.95
2012-09-08,72.2
2012-09-10,74.05
2012-09-11,81.75
2012-09-12,80.0
2012-09-13,78.85
2012-09-14,77.1
2012-09-17,77.5
2012-09-18,77.7
2012-09-20,79.65
2012-09-21,80.35
2012-09-24,81.8
2012-09-25,81.1
2012-09-26,80.25
2012-09-27,81.25
2012-09-28,80.05
2012-10-01,83.85
2012-10-03,85.6
2012-10-04,87.65
2012-10-05,84.8
2012-10-08,90.45
2012-10-09,94.9
2012-10-10,96.7
2012-10-11,113.1
2012-10-12,106.5
2012-10-15,107.8
2012-10-16,105.95
2012-10-17,106.7
2012-10-18,105.1
2012-10-19,101.6
2012-10-22,104.9
2012-10-23,104.0
2012-10-25,104.5
2012-10-26,101.05
2012-10-29,95.8
2012-10-30,93.75
2012-10-31,96.8
2012-11-01,99.45
2012-11-02,97.45
2012-11-05,96.15
2012-11-06,98.75
2012-11-07,98.9
2012-11-08,97.2
2012-11-09,94.0
2012-11-12,94.8
2012-11-13,96.05
2012-11-15,94.1
2012-11-16,92.9
2012-11-19,92.3
2012-11-20,91.25
2012-11-21,93.55
2012-11-22,96.7
2012-11-23,96.1
2012-11-26,107.3
2012-11-27,110.85
2012-11-29,117.25
2012-11-30,119.95
2012-12-03,125.6
2012-12-04,121.75
2012-12-05,120.55
2012-12-06,121.15
2012-12-07,118.5
2012-12-10,121.15
2012-12-11,118.65
2012-12-12,118.25
2012-12-13,129.0
2012-12-14,129.9
2012-12-17,132.65
2012-12-18,127.9
2012-12-19,130.15
2012-12-20,137.85
2012-12-21,132.7
2012-12-24,136.8
2012-12-26,135.85
2012-12-27,134.65
2012-12-28,133.8
2012-12-31,135.15
