Date,DIAPOWER
2012-01-02,85.35
2012-01-03,92.15
2012-01-04,90.4
2012-01-05,92.95
2012-01-06,89.75
2012-01-07,89.5
2012-01-09,91.45
2012-01-10,99.35
2012-01-11,98.8
2012-01-12,105.5
2012-01-13,109.2
2012-01-16,109.7
2012-01-17,111.5
2012-01-18,108.4
2012-01-19,107.65
2012-01-20,107.55
2012-01-23,106.2
2012-01-24,108.1
2012-01-25,108.35
2012-01-27,110.35
2012-01-30,111.45
2012-01-31,111.9
2012-02-01,113.15
2012-02-02,116.4
2012-02-03,116.6
2012-02-06,116.7
2012-02-07,116.2
2012-02-08,118.9
2012-02-09,126.9
2012-02-10,129.55
2012-02-13,127.55
2012-02-14,131.55
2012-02-15,133.85
2012-02-16,134.5
2012-02-17,137.95
2012-02-21,137.95
2012-02-22,131.0
2012-02-23,126.9
2012-02-24,121.9
2012-02-27,113.7
2012-02-28,116.45
2012-02-29,115.4
2012-03-01,113.5
2012-03-02,114.8
2012-03-03,115.55
2012-03-05,115.6
2012-03-06,113.45
2012-03-07,115.3
2012-03-09,118.3
2012-03-12,119.35
2012-03-13,120.3
2012-03-14,120.0
2012-03-15,118.05
2012-03-16,114.75
2012-03-19,112.9
2012-03-20,110.7
2012-03-21,114.85
2012-03-22,112.6
2012-03-23,113.7
2012-03-26,109.3
2012-03-27,109.0
2012-03-28,106.15
2012-03-29,107.55
2012-03-30,109.05
2012-04-02,109.9
2012-04-03,109.05
2012-04-04,108.95
2012-04-09,109.25
2012-04-10,108.55
2012-04-11,109.25
2012-04-12,109.45
2012-04-13,107.9
2012-04-16,108.25
2012-04-17,110.65
2012-04-18,109.75
2012-04-19,109.95
2012-04-20,108.3
2012-04-23,106.4
2012-04-24,106.15
2012-04-25,104.5
2012-04-26,101.5
2012-04-27,99.4
2012-04-28,99.55
2012-04-30,100.0
2012-05-02,102.95
2012-05-03,106.45
2012-05-04,105.25
2012-05-07,103.5
2012-05-08,99.25
2012-05-09,97.2
2012-05-10,94.7
2012-05-11,92.35
2012-05-14,95.6
2012-05-15,95.75
2012-05-16,97.45
2012-05-17,97.05
2012-05-18,100.2
2012-05-21,97.9
2012-05-22,97.25
2012-05-23,96.05
2012-05-24,96.35
2012-05-25,96.55
2012-05-28,97.1
2012-05-29,96.2
2012-05-30,95.0
2012-05-31,93.95
2012-06-01,93.6
2012-06-04,89.4
2012-06-05,86.4
2012-06-06,88.45
2012-06-07,88.35
2012-06-08,89.1
2012-06-11,90.4
2012-06-12,90.35
2012-06-13,90.7
2012-06-14,91.7
2012-06-15,93.45
2012-06-18,91.8
2012-06-19,90.45
2012-06-20,91.6
2012-06-21,96.75
2012-06-22,96.4
2012-06-25,98.45
2012-06-26,98.2
2012-06-27,97.15
2012-06-28,98.0
2012-06-29,99.25
2012-07-02,99.7
2012-07-03,98.0
2012-07-04,104.0
2012-07-05,104.25
2012-07-06,104.75
2012-07-09,101.5
2012-07-09,101.5
2012-07-10,102.25
2012-07-11,102.2
2012-07-12,98.0
2012-07-13,97.25
2012-07-16,96.4
2012-07-17,95.95
2012-07-18,98.35
2012-07-19,99.4
2012-07-20,99.35
2012-07-23,95.1
2012-07-24,95.95
2012-07-25,95.15
2012-07-26,93.15
2012-07-27,92.05
2012-07-30,92.3
2012-07-31,92.45
2012-08-01,92.8
2012-08-02,93.05
2012-08-03,92.85
2012-08-06,91.85
2012-08-07,94.05
2012-08-08,95.55
2012-08-09,96.05
2012-08-10,93.5
2012-08-13,94.95
2012-08-14,91.1
2012-08-16,93.6
2012-08-17,93.9
2012-08-21,92.9
2012-08-22,93.05
2012-08-23,93.35
2012-08-24,91.9
2012-08-27,92.25
2012-08-28,88.6
2012-08-29,86.45
2012-08-30,87.9
2012-08-31,86.0
2012-09-03,86.85
2012-09-04,85.95
2012-09-05,90.9
2012-09-06,93.45
2012-09-07,94.1
2012-09-08,92.45
2012-09-10,91.25
2012-09-11,92.95
2012-09-12,92.0
2012-09-13,95.0
2012-09-14,94.8
2012-09-17,91.2
2012-09-18,93.1
2012-09-20,93.6
2012-09-21,97.65
2012-09-24,100.0
2012-09-25,99.95
2012-09-26,101.5
2012-09-27,99.65
2012-09-28,102.2
2012-10-01,114.35
2012-10-03,120.45
2012-10-04,127.65
2012-10-05,122.9
2012-10-08,120.65
2012-10-09,119.0
2012-10-10,113.0
2012-10-11,111.0
2012-10-12,111.65
2012-10-15,109.75
2012-10-16,108.15
2012-10-17,105.25
2012-10-18,107.05
2012-10-19,105.2
2012-10-22,108.15
2012-10-23,113.6
2012-10-25,113.45
2012-10-26,108.7
2012-10-29,105.15
2012-10-30,104.0
2012-10-31,105.2
2012-11-01,105.6
2012-11-02,105.45
2012-11-05,103.4
2012-11-06,103.05
2012-11-07,109.55
2012-11-08,107.8
2012-11-09,112.75
2012-11-12,112.65
2012-11-13,114.0
2012-11-15,110.65
2012-11-16,107.85
2012-11-19,106.95
2012-11-20,105.8
2012-11-21,108.2
2012-11-22,108.3
2012-11-23,107.45
2012-11-26,108.15
2012-11-27,109.15
2012-11-29,112.35
2012-11-30,111.7
2012-12-03,111.85
2012-12-04,114.3
2012-12-05,117.35
2012-12-06,114.55
2012-12-07,113.65
2012-12-10,114.1
2012-12-11,109.55
2012-12-12,109.4
2012-12-13,106.7
2012-12-14,108.25
2012-12-17,110.75
2012-12-18,109.65
2012-12-19,109.45
2012-12-20,109.55
2012-12-21,107.9
2012-12-24,107.7
2012-12-26,108.0
2012-12-27,105.9
2012-12-28,106.85
2012-12-31,107.4
