Date,COLPAL
2012-01-02,984.7
2012-01-03,991.05
2012-01-04,981.5
2012-01-05,980.35
2012-01-06,982.7
2012-01-07,984.6
2012-01-09,986.9
2012-01-10,985.0
2012-01-11,981.85
2012-01-12,958.8
2012-01-13,942.0
2012-01-16,951.25
2012-01-17,965.3
2012-01-18,958.8
2012-01-19,967.3
2012-01-20,960.35
2012-01-23,985.2
2012-01-24,984.05
2012-01-25,978.75
2012-01-27,977.25
2012-01-30,983.35
2012-01-31,1003.3
2012-02-01,998.8
2012-02-02,998.4
2012-02-03,1000.45
2012-02-06,1005.35
2012-02-07,1021.95
2012-02-08,1025.1
2012-02-09,1004.85
2012-02-10,1024.95
2012-02-13,1003.85
2012-02-14,1004.4
2012-02-15,1009.65
2012-02-16,1011.35
2012-02-17,1011.65
2012-02-21,1012.2
2012-02-22,1005.55
2012-02-23,1024.1
2012-02-24,1056.5
2012-02-27,1062.3
2012-02-28,1051.95
2012-02-29,1048.55
2012-03-01,1035.3
2012-03-02,1040.3
2012-03-03,1036.65
2012-03-05,1032.4
2012-03-06,1038.3
2012-03-07,1034.55
2012-03-09,1062.8
2012-03-12,1094.1
2012-03-13,1107.4
2012-03-14,1109.2
2012-03-15,1096.45
2012-03-16,1089.75
2012-03-19,1100.45
2012-03-20,1109.55
2012-03-21,1116.2
2012-03-22,1079.8
2012-03-23,1079.55
2012-03-26,1090.3
2012-03-27,1107.95
2012-03-28,1120.1
2012-03-29,1113.3
2012-03-30,1118.25
2012-04-02,1144.8
2012-04-03,1159.6
2012-04-04,1135.3
2012-04-09,1115.4
2012-04-10,1126.65
2012-04-11,1117.95
2012-04-12,1117.15
2012-04-13,1109.8
2012-04-16,1123.4
2012-04-17,1130.3
2012-04-18,1134.2
2012-04-19,1143.95
2012-04-20,1154.75
2012-04-23,1120.0
2012-04-24,1163.5
2012-04-25,1157.3
2012-04-26,1116.3
2012-04-27,1109.7
2012-04-28,1116.95
2012-04-30,1108.95
2012-05-02,1120.3
2012-05-03,1130.4
2012-05-04,1133.55
2012-05-07,1124.3
2012-05-08,1129.85
2012-05-09,1137.7
2012-05-10,1164.6
2012-05-11,1181.1
2012-05-14,1215.8
2012-05-15,1228.95
2012-05-16,1220.35
2012-05-17,1229.4
2012-05-18,1220.75
2012-05-21,1220.25
2012-05-22,1200.45
2012-05-23,1208.2
2012-05-24,1207.1
2012-05-25,1211.8
2012-05-28,1224.0
2012-05-29,1219.75
2012-05-30,1182.15
2012-05-31,1204.1
2012-06-01,1182.8
2012-06-04,1138.65
2012-06-05,1142.95
2012-06-06,1120.9
2012-06-07,1127.2
2012-06-08,1146.8
2012-06-11,1141.3
2012-06-12,1132.85
2012-06-13,1139.5
2012-06-14,1160.9
2012-06-15,1144.85
2012-06-18,1126.45
2012-06-19,1107.3
2012-06-20,1112.5
2012-06-21,1107.1
2012-06-22,1121.15
2012-06-25,1119.95
2012-06-26,1133.4
2012-06-27,1154.8
2012-06-28,1174.1
2012-06-29,1197.25
2012-07-02,1179.15
2012-07-03,1193.4
2012-07-04,1193.75
2012-07-05,1183.15
2012-07-06,1164.15
2012-07-09,1152.5
2012-07-09,1152.5
2012-07-10,1157.3
2012-07-11,1142.2
2012-07-12,1126.7
2012-07-13,1130.95
2012-07-16,1135.8
2012-07-17,1146.25
2012-07-18,1161.05
2012-07-19,1168.35
2012-07-20,1164.65
2012-07-23,1170.9
2012-07-24,1168.85
2012-07-25,1160.35
2012-07-26,1151.65
2012-07-27,1131.0
2012-07-30,1134.45
2012-07-31,1158.25
2012-08-01,1157.0
2012-08-02,1170.15
2012-08-03,1183.45
2012-08-06,1195.6
2012-08-07,1186.7
2012-08-08,1190.25
2012-08-09,1192.05
2012-08-10,1178.35
2012-08-13,1174.95
2012-08-14,1184.85
2012-08-16,1188.45
2012-08-17,1178.0
2012-08-21,1169.7
2012-08-22,1181.6
2012-08-23,1183.05
2012-08-24,1181.5
2012-08-27,1183.85
2012-08-28,1172.55
2012-08-29,1184.1
2012-08-30,1208.6
2012-08-31,1207.25
2012-09-03,1215.9
2012-09-04,1216.7
2012-09-05,1219.65
2012-09-06,1215.3
2012-09-07,1224.0
2012-09-08,1229.05
2012-09-10,1233.75
2012-09-11,1241.2
2012-09-12,1238.35
2012-09-13,1251.8
2012-09-14,1243.8
2012-09-17,1214.15
2012-09-18,1199.45
2012-09-20,1196.05
2012-09-21,1192.1
2012-09-24,1175.75
2012-09-25,1167.2
2012-09-26,1199.15
2012-09-27,1199.1
2012-09-28,1207.0
2012-10-01,1204.75
2012-10-03,1226.65
2012-10-04,1227.3
2012-10-05,1241.45
2012-10-08,1250.65
2012-10-09,1249.95
2012-10-10,1249.35
2012-10-11,1238.9
2012-10-12,1223.1
2012-10-15,1239.4
2012-10-16,1235.75
2012-10-17,1235.55
2012-10-18,1242.1
2012-10-19,1249.1
2012-10-22,1259.25
2012-10-23,1245.25
2012-10-25,1229.7
2012-10-26,1230.85
2012-10-29,1237.2
2012-10-30,1284.9
2012-10-31,1285.6
2012-11-01,1279.9
2012-11-02,1271.3
2012-11-05,1302.65
2012-11-06,1308.3
2012-11-07,1301.9
2012-11-08,1309.8
2012-11-09,1327.55
2012-11-12,1320.75
2012-11-13,1332.0
2012-11-15,1324.8
2012-11-16,1331.3
2012-11-19,1317.75
2012-11-20,1335.0
2012-11-21,1340.8
2012-11-22,1329.3
2012-11-23,1327.0
2012-11-26,1361.8
2012-11-27,1425.65
2012-11-29,1454.2
2012-11-30,1441.05
2012-12-03,1464.4
2012-12-04,1472.6
2012-12-05,1449.7
2012-12-06,1438.45
2012-12-07,1416.65
2012-12-10,1426.1
2012-12-11,1409.55
2012-12-12,1398.9
2012-12-13,1403.1
2012-12-14,1387.1
2012-12-17,1386.6
2012-12-18,1410.1
2012-12-19,1435.9
2012-12-20,1493.45
2012-12-21,1485.8
2012-12-24,1491.85
2012-12-26,1510.7
