Date,BINDALAGRO
2012-01-02,42.6
2012-01-03,44.85
2012-01-04,45.3
2012-01-05,45.0
2012-01-06,44.75
2012-01-07,47.2
2012-01-09,47.05
2012-01-10,48.65
2012-01-11,49.7
2012-01-12,48.0
2012-01-13,50.25
2012-01-16,50.8
2012-01-17,51.45
2012-01-18,49.65
2012-01-19,50.0
2012-01-20,51.4
2012-01-23,52.0
2012-01-24,51.35
2012-01-25,51.15
2012-01-27,51.0
2012-01-30,50.65
2012-01-31,50.6
2012-02-01,50.35
2012-02-02,50.75
2012-02-03,50.75
2012-02-06,51.05
2012-02-07,50.35
2012-02-08,51.85
2012-02-09,55.1
2012-02-10,54.1
2012-02-13,54.65
2012-02-14,55.05
2012-02-15,55.75
2012-02-16,54.3
2012-02-17,54.05
2012-02-21,53.85
2012-02-22,50.9
2012-02-23,49.7
2012-02-24,47.9
2012-02-27,45.1
2012-02-28,47.1
2012-02-29,47.75
2012-03-01,46.6
2012-03-02,46.55
2012-03-03,46.5
2012-03-05,45.15
2012-03-06,44.05
2012-03-07,43.3
2012-03-09,43.65
2012-03-12,44.6
2012-03-13,44.9
2012-03-14,44.1
2012-03-15,43.7
2012-03-16,42.0
2012-03-19,39.9
2012-03-20,39.85
2012-03-21,40.45
2012-03-22,39.45
2012-03-23,39.75
2012-03-26,38.4
2012-03-27,37.3
2012-03-28,37.75
2012-03-29,37.5
2012-03-30,37.95
2012-04-02,37.65
2012-04-03,38.65
2012-04-04,39.8
2012-04-09,46.95
2012-04-10,44.95
2012-04-11,42.35
2012-04-12,40.65
2012-04-13,40.2
2012-04-16,39.65
2012-04-17,39.7
2012-04-18,39.3
2012-04-19,38.4
2012-04-20,38.05
2012-04-23,37.4
2012-04-24,36.1
2012-04-25,36.35
2012-04-26,36.05
2012-04-27,36.1
2012-04-28,37.05
2012-04-30,36.35
2012-05-02,36.35
2012-05-03,38.75
2012-05-04,38.35
2012-05-07,40.05
2012-05-08,38.25
2012-05-09,36.75
2012-05-10,36.0
2012-05-11,36.1
2012-05-14,35.9
2012-05-15,37.5
2012-05-16,35.9
2012-05-17,35.05
2012-05-18,34.15
2012-05-21,33.65
2012-05-22,34.1
2012-05-23,33.9
2012-05-24,33.7
2012-05-25,33.5
2012-05-28,34.4
2012-05-29,34.1
2012-05-30,33.4
2012-05-31,28.45
2012-06-01,25.65
2012-06-04,24.9
2012-06-05,25.35
2012-06-06,25.6
2012-06-07,25.2
2012-06-08,24.9
2012-06-11,27.75
2012-06-12,28.25
2012-06-13,27.85
2012-06-14,27.7
2012-06-15,26.8
2012-06-18,27.35
2012-06-19,27.35
2012-06-20,27.4
2012-06-21,27.35
2012-06-22,27.4
2012-06-25,28.05
2012-06-26,28.55
2012-06-27,28.75
2012-06-28,28.85
2012-06-29,29.25
2012-07-02,30.15
2012-07-03,31.85
2012-07-04,37.1
2012-07-05,42.2
2012-07-06,43.25
2012-07-09,39.45
2012-07-09,39.45
2012-07-10,41.0
2012-07-11,39.7
2012-07-12,38.25
2012-07-13,38.7
2012-07-16,38.7
2012-07-17,37.35
2012-07-18,36.7
2012-07-19,37.2
2012-07-20,36.05
2012-07-23,35.15
2012-07-24,34.05
2012-07-25,33.0
2012-07-26,31.7
2012-07-27,33.1
2012-07-30,34.15
2012-07-31,34.75
2012-08-01,35.0
2012-08-02,35.0
2012-08-03,34.55
2012-08-06,34.2
2012-08-07,34.35
2012-08-08,35.3
2012-08-09,34.4
2012-08-10,33.35
2012-08-13,33.75
2012-08-14,34.0
2012-08-16,34.6
2012-08-17,33.9
2012-08-21,33.8
2012-08-22,33.45
2012-08-23,33.4
2012-08-24,32.35
2012-08-27,30.85
2012-08-28,29.45
2012-08-29,29.3
2012-08-30,30.0
2012-08-31,29.35
2012-09-03,29.3
2012-09-04,29.9
2012-09-05,29.45
2012-09-06,29.05
2012-09-07,29.75
2012-09-08,30.75
2012-09-10,29.65
2012-09-11,29.7
2012-09-12,29.5
2012-09-13,29.35
2012-09-14,29.6
2012-09-17,29.75
2012-09-18,30.5
2012-09-20,29.8
2012-09-21,32.7
2012-09-24,31.85
2012-09-25,30.7
2012-09-26,30.85
2012-09-27,32.75
2012-09-28,31.7
2012-10-01,31.8
2012-10-03,31.8
2012-10-04,32.7
2012-10-05,32.15
2012-10-08,31.7
2012-10-09,35.5
2012-10-10,34.7
2012-10-11,35.7
2012-10-12,34.25
2012-10-15,33.45
2012-10-16,32.1
2012-10-17,31.9
2012-10-18,32.4
2012-10-19,31.7
2012-10-22,31.75
2012-10-23,31.65
2012-10-25,31.45
2012-10-26,30.45
2012-10-29,30.8
2012-10-30,30.1
2012-10-31,30.15
2012-11-01,30.55
2012-11-02,30.7
2012-11-05,30.55
2012-11-06,30.25
2012-11-07,30.55
2012-11-08,30.35
2012-11-09,30.0
2012-11-12,29.35
2012-11-13,29.7
2012-11-15,29.75
2012-11-16,29.75
2012-11-19,28.8
2012-11-20,28.55
2012-11-21,28.8
2012-11-22,28.5
2012-11-23,28.4
2012-11-26,29.1
2012-11-27,28.95
2012-11-29,29.0
2012-11-30,29.45
2012-12-03,30.45
2012-12-04,30.45
2012-12-05,30.7
2012-12-06,31.0
2012-12-07,32.25
2012-12-10,31.2
2012-12-11,30.7
2012-12-12,30.6
2012-12-13,30.05
2012-12-14,30.6
2012-12-17,30.05
2012-12-18,30.35
2012-12-19,30.35
2012-12-20,30.1
2012-12-21,29.15
2012-12-24,29.0
2012-12-26,29.0
2012-12-27,29.05
2012-12-28,29.2
2012-12-31,32.1
