Date,PARABDRUGS
2012-01-02,31.45
2012-01-03,32.5
2012-01-04,32.65
2012-01-05,32.3
2012-01-06,31.3
2012-01-07,32.35
2012-01-09,31.9
2012-01-10,32.15
2012-01-11,32.35
2012-01-12,32.05
2012-01-13,32.5
2012-01-16,33.6
2012-01-17,33.5
2012-01-18,33.1
2012-01-19,33.8
2012-01-20,33.8
2012-01-23,34.0
2012-01-24,33.4
2012-01-25,33.85
2012-01-27,33.75
2012-01-30,34.1
2012-01-31,33.95
2012-02-01,34.15
2012-02-02,34.05
2012-02-03,35.0
2012-02-06,35.55
2012-02-07,36.9
2012-02-08,36.45
2012-02-09,36.9
2012-02-10,37.0
2012-02-13,37.25
2012-02-14,36.65
2012-02-15,36.65
2012-02-16,36.45
2012-02-17,36.95
2012-02-21,37.0
2012-02-22,35.2
2012-02-23,34.1
2012-02-24,34.45
2012-02-27,33.25
2012-02-28,33.7
2012-02-29,33.55
2012-03-01,33.55
2012-03-02,33.05
2012-03-03,33.1
2012-03-05,32.35
2012-03-06,32.2
2012-03-07,31.25
2012-03-09,31.75
2012-03-12,31.8
2012-03-13,31.8
2012-03-14,31.7
2012-03-15,31.05
2012-03-16,31.6
2012-03-19,30.7
2012-03-20,30.75
2012-03-21,32.45
2012-03-22,30.65
2012-03-23,30.45
2012-03-26,29.8
2012-03-27,29.6
2012-03-28,28.7
2012-03-29,28.6
2012-03-30,29.15
2012-04-02,29.9
2012-04-03,30.65
2012-04-04,30.35
2012-04-09,29.65
2012-04-10,29.3
2012-04-11,29.25
2012-04-12,29.7
2012-04-13,29.1
2012-04-16,29.55
2012-04-17,29.35
2012-04-18,29.35
2012-04-19,28.9
2012-04-20,29.0
2012-04-23,27.8
2012-04-24,27.65
2012-04-25,26.95
2012-04-26,26.7
2012-04-27,26.9
2012-04-28,27.4
2012-04-30,26.95
2012-05-02,27.05
2012-05-03,26.9
2012-05-04,26.25
2012-05-07,26.95
2012-05-08,26.5
2012-05-09,25.45
2012-05-10,25.35
2012-05-11,25.0
2012-05-14,23.9
2012-05-15,23.65
2012-05-16,23.6
2012-05-17,24.0
2012-05-18,23.0
2012-05-21,23.0
2012-05-22,22.6
2012-05-23,22.4
2012-05-24,22.35
2012-05-25,22.3
2012-05-28,21.95
2012-05-29,21.65
2012-05-30,20.75
2012-05-31,20.5
2012-06-01,20.45
2012-06-04,19.5
2012-06-05,19.9
2012-06-06,20.35
2012-06-07,19.9
2012-06-08,19.8
2012-06-11,20.5
2012-06-12,21.2
2012-06-13,22.15
2012-06-14,21.25
2012-06-15,21.45
2012-06-18,21.55
2012-06-19,21.45
2012-06-20,21.15
2012-06-21,21.35
2012-06-22,21.35
2012-06-25,20.95
2012-06-26,20.75
2012-06-27,20.3
2012-06-28,20.15
2012-06-29,19.9
2012-07-02,20.0
2012-07-03,20.2
2012-07-04,20.2
2012-07-05,22.0
2012-07-06,24.35
2012-07-09,25.4
2012-07-09,25.4
2012-07-10,24.95
2012-07-11,23.0
2012-07-12,22.7
2012-07-13,23.8
2012-07-16,22.95
2012-07-17,22.95
2012-07-18,23.35
2012-07-19,23.4
2012-07-20,23.05
2012-07-23,22.7
2012-07-24,22.95
2012-07-25,23.65
2012-07-26,22.85
2012-07-27,22.1
2012-07-30,24.6
2012-07-31,23.65
2012-08-01,24.0
2012-08-02,24.4
2012-08-03,23.85
2012-08-06,24.25
2012-08-07,24.1
2012-08-08,23.85
2012-08-09,22.95
2012-08-10,23.05
2012-08-13,24.0
2012-08-14,23.2
2012-08-16,22.8
2012-08-17,23.1
2012-08-21,22.8
2012-08-22,23.0
2012-08-23,22.9
2012-08-24,22.7
2012-08-27,22.55
2012-08-28,22.8
2012-08-29,22.75
2012-08-30,22.9
2012-08-31,23.3
2012-09-03,23.25
2012-09-04,23.8
2012-09-05,22.95
2012-09-06,22.5
2012-09-07,24.3
2012-09-08,24.6
2012-09-10,23.8
2012-09-11,27.5
2012-09-12,28.35
2012-09-13,28.65
2012-09-14,26.7
2012-09-17,24.95
2012-09-18,26.9
2012-09-20,26.25
2012-09-21,26.5
2012-09-24,26.7
2012-09-25,27.95
2012-09-26,27.4
2012-09-27,26.4
2012-09-28,26.2
2012-10-01,25.5
2012-10-03,25.8
2012-10-04,26.25
2012-10-05,26.4
2012-10-08,25.95
2012-10-09,26.05
2012-10-10,25.85
2012-10-11,26.4
2012-10-12,25.55
2012-10-15,25.65
2012-10-16,25.4
2012-10-17,26.95
2012-10-18,27.2
2012-10-19,26.65
2012-10-22,26.65
2012-10-23,26.45
2012-10-25,26.05
2012-10-26,25.25
2012-10-29,25.1
2012-10-30,24.25
2012-10-31,24.0
2012-11-01,23.85
2012-11-02,24.15
2012-11-05,21.1
2012-11-06,19.95
2012-11-07,20.15
2012-11-08,19.8
2012-11-09,19.3
2012-11-12,16.15
2012-11-13,14.85
2012-11-15,13.4
2012-11-16,12.1
2012-11-19,11.5
2012-11-20,11.95
2012-11-21,11.85
2012-11-22,12.0
2012-11-23,11.75
2012-11-26,11.2
2012-11-27,10.9
2012-11-29,11.3
2012-11-30,11.15
2012-12-03,11.05
2012-12-04,11.0
2012-12-05,11.0
2012-12-06,10.95
2012-12-07,11.2
2012-12-10,11.0
2012-12-11,11.0
2012-12-12,10.45
2012-12-13,9.95
2012-12-14,9.55
2012-12-17,10.0
2012-12-18,10.5
2012-12-19,11.0
2012-12-20,11.55
2012-12-21,11.75
2012-12-24,11.4
2012-12-26,11.3
2012-12-27,10.9
2012-12-28,11.0
2012-12-31,10.95
