Date,SELAN
2012-01-02,230.7
2012-01-03,236.05
2012-01-04,232.95
2012-01-05,233.8
2012-01-06,232.25
2012-01-07,234.3
2012-01-09,249.3
2012-01-10,254.45
2012-01-11,259.6
2012-01-12,257.1
2012-01-13,259.4
2012-01-16,268.65
2012-01-17,273.85
2012-01-18,267.15
2012-01-19,276.65
2012-01-20,277.6
2012-01-23,276.35
2012-01-24,275.85
2012-01-25,281.7
2012-01-27,277.0
2012-01-30,272.55
2012-01-31,272.65
2012-02-01,279.95
2012-02-02,281.1
2012-02-03,281.1
2012-02-06,283.85
2012-02-07,282.95
2012-02-08,282.15
2012-02-09,289.05
2012-02-10,295.05
2012-02-13,289.65
2012-02-14,301.1
2012-02-15,303.95
2012-02-16,301.5
2012-02-17,295.8
2012-02-21,298.4
2012-02-22,287.65
2012-02-23,287.05
2012-02-24,285.1
2012-02-27,279.15
2012-02-28,282.0
2012-02-29,283.35
2012-03-01,283.25
2012-03-02,285.6
2012-03-03,285.55
2012-03-05,281.3
2012-03-06,278.15
2012-03-07,273.05
2012-03-09,276.1
2012-03-12,278.8
2012-03-13,281.1
2012-03-14,280.9
2012-03-15,274.75
2012-03-16,274.25
2012-03-19,266.95
2012-03-20,262.25
2012-03-21,269.15
2012-03-22,269.85
2012-03-23,274.85
2012-03-26,274.65
2012-03-27,270.95
2012-03-28,269.75
2012-03-29,275.15
2012-03-30,279.5
2012-04-02,285.85
2012-04-03,287.15
2012-04-04,286.8
2012-04-09,297.6
2012-04-10,290.45
2012-04-11,285.15
2012-04-12,288.85
2012-04-13,285.65
2012-04-16,283.35
2012-04-17,284.4
2012-04-18,286.3
2012-04-19,285.15
2012-04-20,280.85
2012-04-23,278.25
2012-04-24,276.65
2012-04-25,273.3
2012-04-26,271.15
2012-04-27,270.8
2012-04-28,272.0
2012-04-30,270.9
2012-05-02,271.15
2012-05-03,272.8
2012-05-04,271.05
2012-05-07,271.2
2012-05-08,271.0
2012-05-09,270.85
2012-05-10,270.85
2012-05-11,271.0
2012-05-14,271.0
2012-05-15,270.95
2012-05-16,271.3
2012-05-17,270.75
2012-05-18,270.9
2012-05-21,271.05
2012-05-22,271.85
2012-05-23,273.75
2012-05-24,272.75
2012-05-25,275.85
2012-05-28,286.55
2012-05-29,286.05
2012-05-30,279.45
2012-05-31,274.65
2012-06-01,270.75
2012-06-04,272.25
2012-06-05,271.05
2012-06-06,272.0
2012-06-07,271.75
2012-06-08,273.2
2012-06-11,271.35
2012-06-12,271.1
2012-06-13,271.0
2012-06-14,273.1
2012-06-15,275.8
2012-06-18,272.95
2012-06-19,279.9
2012-06-20,275.15
2012-06-21,277.8
2012-06-22,281.5
2012-06-25,286.2
2012-06-26,284.95
2012-06-27,281.2
2012-06-28,280.2
2012-06-29,285.0
2012-07-02,287.75
2012-07-03,286.65
2012-07-04,286.15
2012-07-05,290.45
2012-07-06,284.75
2012-07-09,285.65
2012-07-10,292.85
2012-07-11,298.35
2012-07-12,293.7
2012-07-13,297.9
2012-07-16,287.7
2012-07-17,284.0
2012-07-18,274.5
2012-07-19,274.95
2012-07-20,274.25
2012-07-23,269.55
2012-07-24,268.75
2012-07-25,270.35
2012-07-26,265.85
2012-07-27,263.9
2012-07-30,270.65
2012-07-31,271.7
2012-08-01,264.55
2012-08-02,268.45
2012-08-03,269.8
2012-08-06,270.05
2012-08-07,273.5
2012-08-08,271.35
2012-08-09,267.8
2012-08-10,269.95
2012-08-13,268.7
2012-08-14,268.65
2012-08-16,265.7
2012-08-17,267.95
2012-08-21,265.9
2012-08-22,262.25
2012-08-23,262.15
2012-08-24,262.05
2012-08-27,262.5
2012-08-28,260.9
2012-08-29,258.55
2012-08-30,267.45
2012-08-31,264.1
2012-09-03,293.1
2012-09-04,285.95
2012-09-05,288.05
2012-09-06,285.25
2012-09-07,290.75
2012-09-08,289.2
2012-09-10,285.05
2012-09-11,293.0
2012-09-12,299.0
2012-09-13,296.4
2012-09-14,301.15
2012-09-17,293.25
2012-09-18,300.9
2012-09-20,302.45
2012-09-21,303.3
2012-09-24,314.0
2012-09-25,310.0
2012-09-26,322.15
2012-09-27,338.95
2012-09-28,336.2
2012-10-01,335.3
2012-10-03,336.0
2012-10-04,335.4
2012-10-05,344.15
2012-10-08,335.4
2012-10-09,336.95
2012-10-10,333.0
2012-10-11,334.25
2012-10-12,330.45
2012-10-15,329.05
2012-10-16,326.95
2012-10-17,328.4
2012-10-18,320.25
2012-10-19,328.15
2012-10-22,324.5
2012-10-23,323.75
2012-10-25,331.25
2012-10-26,324.35
2012-10-29,328.0
2012-10-30,322.85
2012-10-31,325.15
2012-11-01,322.45
2012-11-02,326.15
2012-11-05,325.95
2012-11-06,322.4
2012-11-07,322.6
2012-11-08,319.85
2012-11-09,308.6
2012-11-12,305.2
2012-11-13,308.65
2012-11-15,300.85
2012-11-16,304.15
2012-11-19,304.95
2012-11-20,299.9
2012-11-21,304.05
2012-11-22,306.05
2012-11-23,299.05
2012-11-26,297.65
2012-11-27,303.0
2012-11-29,299.1
2012-11-30,299.7
2012-12-03,301.45
2012-12-04,299.3
2012-12-05,299.25
2012-12-06,301.1
2012-12-07,306.25
2012-12-10,311.05
2012-12-11,318.5
2012-12-12,326.5
2012-12-13,329.9
2012-12-14,328.85
2012-12-17,332.8
2012-12-18,320.75
2012-12-19,319.6
2012-12-20,317.45
2012-12-21,313.05
2012-12-24,312.7
2012-12-26,308.2
2012-12-27,311.1
2012-12-28,308.25
2012-12-31,309.1
