Date,SANGAMIND
2012-01-02,33.5
2012-01-03,34.45
2012-01-04,34.35
2012-01-05,34.2
2012-01-06,33.2
2012-01-07,33.75
2012-01-09,34.2
2012-01-10,33.8
2012-01-11,36.1
2012-01-12,35.9
2012-01-13,35.8
2012-01-16,35.5
2012-01-17,36.15
2012-01-18,35.5
2012-01-19,36.05
2012-01-20,36.95
2012-01-23,37.7
2012-01-24,36.65
2012-01-25,39.15
2012-01-27,40.0
2012-01-30,39.95
2012-01-31,40.0
2012-02-01,39.5
2012-02-02,39.6
2012-02-03,38.4
2012-02-06,39.5
2012-02-07,39.15
2012-02-08,39.3
2012-02-09,39.85
2012-02-10,39.95
2012-02-13,39.75
2012-02-14,39.45
2012-02-15,40.4
2012-02-16,42.9
2012-02-17,47.2
2012-02-21,49.35
2012-02-22,46.15
2012-02-23,45.55
2012-02-24,45.55
2012-02-27,44.8
2012-02-28,48.8
2012-02-29,46.85
2012-03-01,49.5
2012-03-02,48.05
2012-03-03,47.8
2012-03-05,46.15
2012-03-06,45.2
2012-03-07,44.45
2012-03-09,46.2
2012-03-12,45.15
2012-03-13,45.7
2012-03-14,46.0
2012-03-15,45.8
2012-03-16,44.65
2012-03-19,43.65
2012-03-20,43.25
2012-03-21,45.2
2012-03-22,45.2
2012-03-23,45.85
2012-03-26,44.25
2012-03-27,43.9
2012-03-28,41.55
2012-03-29,44.65
2012-03-30,46.75
2012-04-02,45.35
2012-04-03,46.05
2012-04-04,45.1
2012-04-09,44.7
2012-04-10,42.35
2012-04-11,42.95
2012-04-12,41.9
2012-04-13,41.7
2012-04-16,42.0
2012-04-17,42.65
2012-04-18,41.8
2012-04-19,42.05
2012-04-20,41.3
2012-04-23,43.6
2012-04-24,42.9
2012-04-25,41.5
2012-04-26,41.05
2012-04-27,42.1
2012-04-28,42.45
2012-04-30,43.8
2012-05-02,42.75
2012-05-03,41.5
2012-05-04,41.5
2012-05-07,42.75
2012-05-08,42.55
2012-05-09,41.3
2012-05-10,42.95
2012-05-11,42.9
2012-05-14,42.7
2012-05-15,44.15
2012-05-16,43.4
2012-05-17,43.6
2012-05-18,43.4
2012-05-21,43.05
2012-05-22,43.8
2012-05-23,42.9
2012-05-24,43.25
2012-05-25,43.6
2012-05-28,44.65
2012-05-29,45.8
2012-05-30,45.25
2012-05-31,44.75
2012-06-01,42.6
2012-06-04,44.0
2012-06-05,44.45
2012-06-06,48.0
2012-06-07,48.6
2012-06-08,47.75
2012-06-11,46.55
2012-06-12,47.65
2012-06-13,46.65
2012-06-14,46.65
2012-06-15,46.9
2012-06-18,45.3
2012-06-19,45.3
2012-06-20,46.05
2012-06-21,45.75
2012-06-22,45.5
2012-06-25,45.1
2012-06-26,44.8
2012-06-27,46.1
2012-06-28,45.95
2012-06-29,48.4
2012-07-02,47.9
2012-07-03,47.0
2012-07-04,47.7
2012-07-05,47.05
2012-07-06,47.9
2012-07-09,47.05
2012-07-10,47.35
2012-07-11,47.2
2012-07-12,47.4
2012-07-13,48.05
2012-07-16,48.0
2012-07-17,46.9
2012-07-18,47.1
2012-07-19,47.4
2012-07-20,47.05
2012-07-23,46.6
2012-07-24,46.1
2012-07-25,45.9
2012-07-26,45.0
2012-07-27,47.55
2012-07-30,46.95
2012-07-31,47.0
2012-08-01,45.9
2012-08-02,46.75
2012-08-03,45.2
2012-08-06,45.55
2012-08-07,46.95
2012-08-08,47.2
2012-08-09,46.25
2012-08-10,46.9
2012-08-13,47.3
2012-08-14,47.45
2012-08-16,46.95
2012-08-17,54.25
2012-08-21,56.85
2012-08-22,59.35
2012-08-23,60.4
2012-08-24,60.5
2012-08-27,58.75
2012-08-28,58.15
2012-08-29,57.45
2012-08-30,54.55
2012-08-31,55.7
2012-09-03,56.1
2012-09-04,56.85
2012-09-05,56.0
2012-09-06,55.75
2012-09-07,56.55
2012-09-08,56.8
2012-09-10,57.4
2012-09-11,56.75
2012-09-12,56.25
2012-09-13,57.35
2012-09-14,57.35
2012-09-17,57.4
2012-09-18,58.65
2012-09-20,57.6
2012-09-21,57.1
2012-09-24,57.55
2012-09-25,56.15
2012-09-26,55.1
2012-09-27,55.7
2012-09-28,56.05
2012-10-01,56.25
2012-10-03,56.8
2012-10-04,55.75
2012-10-05,57.0
2012-10-08,56.4
2012-10-09,55.8
2012-10-10,55.2
2012-10-11,56.65
2012-10-12,56.95
2012-10-15,55.65
2012-10-16,55.35
2012-10-17,55.15
2012-10-18,55.95
2012-10-19,55.0
2012-10-22,54.7
2012-10-23,59.0
2012-10-25,57.95
2012-10-26,58.15
2012-10-29,58.75
2012-10-30,58.0
2012-10-31,59.85
2012-11-01,62.15
2012-11-02,62.7
2012-11-05,63.0
2012-11-06,62.7
2012-11-07,62.65
2012-11-08,63.5
2012-11-09,64.45
2012-11-12,63.95
2012-11-13,63.45
2012-11-15,62.25
2012-11-16,62.15
2012-11-19,61.6
2012-11-20,60.95
2012-11-21,59.7
2012-11-22,60.4
2012-11-23,59.35
2012-11-26,59.5
2012-11-27,57.65
2012-11-29,57.1
2012-11-30,58.1
2012-12-03,57.85
2012-12-04,57.9
2012-12-05,58.4
2012-12-06,58.1
2012-12-07,58.25
2012-12-10,57.5
2012-12-11,56.95
2012-12-12,56.7
2012-12-13,55.5
2012-12-14,55.65
2012-12-17,55.1
2012-12-18,54.8
2012-12-19,53.8
2012-12-20,52.95
2012-12-21,52.65
2012-12-24,51.45
2012-12-26,50.5
2012-12-27,50.35
2012-12-28,50.75
2012-12-31,51.4
