Date,GATI
2012-01-02,28.85
2012-01-03,30.5
2012-01-04,30.35
2012-01-05,31.85
2012-01-06,32.3
2012-01-07,32.55
2012-01-09,32.8
2012-01-10,34.5
2012-01-11,34.2
2012-01-12,33.2
2012-01-13,33.15
2012-01-16,34.1
2012-01-17,34.65
2012-01-18,33.75
2012-01-19,34.1
2012-01-20,33.85
2012-01-23,33.85
2012-01-24,34.3
2012-01-25,33.25
2012-01-27,32.45
2012-01-30,31.15
2012-01-31,31.85
2012-02-01,30.85
2012-02-02,31.7
2012-02-03,34.6
2012-02-06,32.85
2012-02-07,32.0
2012-02-08,38.4
2012-02-09,45.75
2012-02-10,46.45
2012-02-13,41.85
2012-02-14,37.7
2012-02-15,36.25
2012-02-16,38.05
2012-02-17,39.95
2012-02-21,40.9
2012-02-22,38.9
2012-02-23,37.0
2012-02-24,35.85
2012-02-27,35.45
2012-02-28,36.1
2012-02-29,36.1
2012-03-01,35.6
2012-03-02,35.8
2012-03-03,35.45
2012-03-05,35.1
2012-03-06,34.85
2012-03-07,34.2
2012-03-09,34.25
2012-03-12,34.75
2012-03-13,34.9
2012-03-14,34.45
2012-03-15,32.9
2012-03-16,31.5
2012-03-19,31.5
2012-03-20,31.15
2012-03-21,32.05
2012-03-22,32.95
2012-03-23,33.4
2012-03-26,32.2
2012-03-27,31.45
2012-03-28,30.95
2012-03-29,31.1
2012-03-30,31.5
2012-04-02,32.25
2012-04-03,32.0
2012-04-04,32.15
2012-04-09,31.65
2012-04-10,31.55
2012-04-11,31.4
2012-04-12,34.2
2012-04-13,33.0
2012-04-16,35.9
2012-04-17,36.55
2012-04-18,36.85
2012-04-19,36.75
2012-04-20,36.35
2012-04-23,35.8
2012-04-24,35.95
2012-04-25,35.25
2012-04-26,35.0
2012-04-27,35.0
2012-04-28,35.0
2012-04-30,35.05
2012-05-02,35.6
2012-05-03,35.4
2012-05-04,35.0
2012-05-07,34.55
2012-05-08,34.5
2012-05-09,33.6
2012-05-10,33.65
2012-05-11,32.85
2012-05-14,33.85
2012-05-15,34.15
2012-05-16,33.4
2012-05-17,33.4
2012-05-18,34.0
2012-05-21,34.95
2012-05-22,35.35
2012-05-23,35.35
2012-05-24,35.0
2012-05-25,34.95
2012-05-28,35.85
2012-05-29,37.65
2012-05-30,37.55
2012-05-31,38.05
2012-06-01,35.3
2012-06-04,34.7
2012-06-05,36.3
2012-06-06,36.4
2012-06-07,36.35
2012-06-08,36.05
2012-06-11,36.05
2012-06-12,35.25
2012-06-13,34.85
2012-06-14,33.75
2012-06-15,34.05
2012-06-18,34.5
2012-06-19,34.05
2012-06-20,34.6
2012-06-21,34.95
2012-06-22,35.6
2012-06-25,37.95
2012-06-26,41.4
2012-06-27,42.1
2012-06-28,41.5
2012-06-29,40.75
2012-07-02,39.65
2012-07-03,40.65
2012-07-04,40.95
2012-07-05,40.85
2012-07-06,41.6
2012-07-09,41.0
2012-07-09,41.0
2012-07-10,40.7
2012-07-11,40.05
2012-07-12,39.4
2012-07-13,39.25
2012-07-16,38.7
2012-07-17,37.7
2012-07-18,37.8
2012-07-19,38.7
2012-07-20,38.9
2012-07-23,37.85
2012-07-24,38.35
2012-07-25,37.45
2012-07-26,36.3
2012-07-27,35.5
2012-07-30,37.1
2012-07-31,37.2
2012-08-01,39.05
2012-08-02,38.95
2012-08-03,38.15
2012-08-06,40.85
2012-08-07,41.3
2012-08-08,39.95
2012-08-09,39.9
2012-08-10,38.65
2012-08-13,38.3
2012-08-14,38.15
2012-08-16,37.9
2012-08-17,38.15
2012-08-21,38.95
2012-08-22,38.6
2012-08-23,38.8
2012-08-24,38.45
2012-08-27,38.55
2012-08-28,38.0
2012-08-29,36.3
2012-08-30,36.9
2012-08-31,36.35
2012-09-03,36.45
2012-09-04,36.75
2012-09-05,36.45
2012-09-06,37.05
2012-09-07,37.8
2012-09-08,37.55
2012-09-10,37.45
2012-09-11,37.1
2012-09-12,37.35
2012-09-13,36.6
2012-09-14,36.95
2012-09-17,38.2
2012-09-18,38.1
2012-09-20,37.55
2012-09-21,37.65
2012-09-24,38.25
2012-09-25,38.6
2012-09-26,38.5
2012-09-27,39.95
2012-09-28,40.5
2012-10-01,39.95
2012-10-03,39.95
2012-10-04,40.0
2012-10-05,42.35
2012-10-08,42.3
2012-10-09,43.35
2012-10-10,41.15
2012-10-11,41.3
2012-10-12,40.85
2012-10-15,40.9
2012-10-16,39.75
2012-10-17,40.05
2012-10-18,40.35
2012-10-19,39.25
2012-10-22,36.95
2012-10-23,35.55
2012-10-25,35.05
2012-10-26,35.05
2012-10-29,35.8
2012-10-30,35.3
2012-10-31,35.5
2012-11-01,35.45
2012-11-02,35.35
2012-11-05,35.3
2012-11-06,35.5
2012-11-07,36.55
2012-11-08,36.4
2012-11-09,35.9
2012-11-12,35.95
2012-11-13,35.9
2012-11-15,35.3
2012-11-16,35.05
2012-11-19,34.6
2012-11-20,34.55
2012-11-21,36.5
2012-11-22,36.5
2012-11-23,35.45
2012-11-26,35.45
2012-11-27,35.4
2012-11-29,34.9
2012-11-30,34.9
2012-12-03,35.45
2012-12-04,35.85
2012-12-05,35.9
2012-12-06,36.05
2012-12-07,37.05
2012-12-10,37.3
2012-12-11,36.1
2012-12-12,35.85
2012-12-13,35.25
2012-12-14,34.9
2012-12-17,35.6
2012-12-18,35.95
2012-12-19,35.45
2012-12-20,35.4
2012-12-21,34.8
2012-12-24,35.0
2012-12-26,34.9
2012-12-27,34.7
2012-12-28,35.5
2012-12-31,37.95
