Date,KARURVYSYA
2012-01-02,346.45
2012-01-03,350.15
2012-01-04,352.7
2012-01-05,352.5
2012-01-06,353.95
2012-01-07,353.1
2012-01-09,353.25
2012-01-10,357.55
2012-01-11,359.1
2012-01-12,359.25
2012-01-13,364.65
2012-01-16,365.7
2012-01-17,369.15
2012-01-18,366.9
2012-01-19,367.3
2012-01-20,367.3
2012-01-23,372.6
2012-01-24,375.2
2012-01-25,384.15
2012-01-27,384.35
2012-01-30,370.4
2012-01-31,374.25
2012-02-01,379.0
2012-02-02,385.7
2012-02-03,384.75
2012-02-06,396.5
2012-02-07,391.35
2012-02-08,389.15
2012-02-09,396.05
2012-02-10,395.3
2012-02-13,392.0
2012-02-14,393.3
2012-02-15,397.5
2012-02-16,394.7
2012-02-17,387.95
2012-02-21,387.6
2012-02-22,388.05
2012-02-23,390.2
2012-02-24,384.15
2012-02-27,372.6
2012-02-28,378.95
2012-02-29,377.85
2012-03-01,375.85
2012-03-02,374.05
2012-03-03,374.65
2012-03-05,373.15
2012-03-06,375.35
2012-03-07,371.45
2012-03-09,372.7
2012-03-12,379.25
2012-03-13,382.25
2012-03-14,385.0
2012-03-15,382.35
2012-03-16,375.0
2012-03-19,372.55
2012-03-20,375.35
2012-03-21,380.85
2012-03-22,375.0
2012-03-23,376.1
2012-03-26,372.45
2012-03-27,370.5
2012-03-28,367.75
2012-03-29,366.6
2012-03-30,372.45
2012-04-02,376.1
2012-04-03,381.75
2012-04-04,378.75
2012-04-09,377.1
2012-04-10,376.0
2012-04-11,390.0
2012-04-12,386.8
2012-04-13,387.05
2012-04-16,384.9
2012-04-17,390.2
2012-04-18,398.65
2012-04-19,414.85
2012-04-20,402.3
2012-04-23,403.8
2012-04-24,400.15
2012-04-25,400.25
2012-04-26,400.75
2012-04-27,403.5
2012-04-28,404.4
2012-04-30,403.15
2012-05-02,401.05
2012-05-03,398.2
2012-05-04,401.6
2012-05-07,392.85
2012-05-08,385.9
2012-05-09,390.9
2012-05-10,394.3
2012-05-11,386.15
2012-05-14,385.45
2012-05-15,386.35
2012-05-16,385.25
2012-05-17,381.75
2012-05-18,378.5
2012-05-21,386.5
2012-05-22,381.85
2012-05-23,379.95
2012-05-24,384.05
2012-05-25,398.2
2012-05-28,400.7
2012-05-29,400.85
2012-05-30,413.55
2012-05-31,408.25
2012-06-01,406.95
2012-06-04,407.85
2012-06-05,410.95
2012-06-06,413.25
2012-06-07,413.65
2012-06-08,415.05
2012-06-11,417.5
2012-06-12,415.0
2012-06-13,413.9
2012-06-14,417.1
2012-06-15,419.4
2012-06-18,414.55
2012-06-19,418.95
2012-06-20,421.75
2012-06-21,423.3
2012-06-22,424.25
2012-06-25,424.3
2012-06-26,423.4
2012-06-27,420.7
2012-06-28,420.2
2012-06-29,424.1
2012-07-02,426.85
2012-07-03,427.15
2012-07-04,427.9
2012-07-05,430.15
2012-07-06,433.3
2012-07-09,434.75
2012-07-09,434.75
2012-07-10,437.35
2012-07-11,434.95
2012-07-12,433.05
2012-07-13,436.15
2012-07-16,438.7
2012-07-17,438.15
2012-07-18,439.2
2012-07-19,425.65
2012-07-20,422.05
2012-07-23,413.9
2012-07-24,413.45
2012-07-25,415.75
2012-07-26,414.7
2012-07-27,409.95
2012-07-30,413.5
2012-07-31,414.85
2012-08-01,417.5
2012-08-02,412.45
2012-08-03,417.2
2012-08-06,415.35
2012-08-07,415.2
2012-08-08,413.45
2012-08-09,414.35
2012-08-10,412.85
2012-08-13,411.6
2012-08-14,413.0
2012-08-16,407.25
2012-08-17,408.4
2012-08-21,402.9
2012-08-22,406.0
2012-08-23,403.7
2012-08-24,401.7
2012-08-27,398.1
2012-08-28,395.8
2012-08-29,395.65
2012-08-30,398.1
2012-08-31,393.85
2012-09-03,393.15
2012-09-04,398.45
2012-09-05,395.3
2012-09-06,390.1
2012-09-07,389.9
2012-09-08,393.4
2012-09-10,391.25
2012-09-11,387.05
2012-09-12,390.3
2012-09-13,396.5
2012-09-14,399.75
2012-09-17,412.0
2012-09-18,415.4
2012-09-20,408.95
2012-09-21,400.8
2012-09-24,409.4
2012-09-25,403.4
2012-09-26,399.7
2012-09-27,406.25
2012-09-28,411.1
2012-10-01,414.0
2012-10-03,429.45
2012-10-04,419.85
2012-10-05,425.3
2012-10-08,428.9
2012-10-09,433.2
2012-10-10,434.1
2012-10-11,431.1
2012-10-12,429.95
2012-10-15,437.4
2012-10-16,440.65
2012-10-17,438.45
2012-10-18,441.8
2012-10-19,445.45
2012-10-22,445.05
2012-10-23,445.3
2012-10-25,446.4
2012-10-26,443.35
2012-10-29,447.25
2012-10-30,441.45
2012-10-31,466.45
2012-11-01,472.15
2012-11-02,466.85
2012-11-05,463.7
2012-11-06,469.2
2012-11-07,479.5
2012-11-08,473.3
2012-11-09,468.15
2012-11-12,471.35
2012-11-13,473.85
2012-11-15,464.85
2012-11-16,460.75
2012-11-19,454.1
2012-11-20,455.6
2012-11-21,459.35
2012-11-22,452.65
2012-11-23,452.15
2012-11-26,460.1
2012-11-27,460.2
2012-11-29,458.05
2012-11-30,468.7
2012-12-03,474.8
2012-12-04,487.8
2012-12-05,506.2
2012-12-06,513.1
2012-12-07,513.9
2012-12-10,515.9
2012-12-11,513.35
2012-12-12,498.2
2012-12-13,494.2
2012-12-14,503.55
2012-12-17,505.55
2012-12-18,504.55
2012-12-19,515.6
2012-12-20,507.6
2012-12-21,508.55
2012-12-24,520.6
2012-12-26,525.6
2012-12-27,544.4
2012-12-28,559.85
2012-12-31,561.35
