Date,GRUH
2012-01-02,548.45
2012-01-03,552.25
2012-01-04,551.1
2012-01-05,547.05
2012-01-06,543.5
2012-01-07,544.25
2012-01-09,547.95
2012-01-10,561.95
2012-01-11,575.3
2012-01-12,563.8
2012-01-13,570.7
2012-01-16,559.5
2012-01-17,564.4
2012-01-18,566.95
2012-01-19,566.95
2012-01-20,560.9
2012-01-23,563.05
2012-01-24,567.95
2012-01-25,577.3
2012-01-27,574.4
2012-01-30,579.9
2012-01-31,596.65
2012-02-01,605.1
2012-02-02,600.25
2012-02-03,624.65
2012-02-06,643.6
2012-02-07,651.7
2012-02-08,665.25
2012-02-09,660.9
2012-02-10,653.45
2012-02-13,657.5
2012-02-14,649.7
2012-02-15,651.8
2012-02-16,649.45
2012-02-17,659.0
2012-02-21,673.3
2012-02-22,660.45
2012-02-23,690.85
2012-02-24,685.75
2012-02-27,677.95
2012-02-28,703.75
2012-02-29,706.25
2012-03-01,699.3
2012-03-02,685.2
2012-03-03,695.15
2012-03-05,676.3
2012-03-06,660.9
2012-03-07,666.35
2012-03-09,655.3
2012-03-12,653.9
2012-03-13,660.0
2012-03-14,644.35
2012-03-15,648.8
2012-03-16,651.15
2012-03-19,662.6
2012-03-20,652.9
2012-03-21,655.3
2012-03-22,647.25
2012-03-23,647.2
2012-03-26,648.95
2012-03-27,635.95
2012-03-28,615.2
2012-03-29,627.6
2012-03-30,636.95
2012-04-02,636.3
2012-04-03,662.35
2012-04-04,649.65
2012-04-09,641.35
2012-04-10,641.0
2012-04-11,638.4
2012-04-12,655.85
2012-04-13,668.55
2012-04-16,673.0
2012-04-17,674.5
2012-04-18,688.85
2012-04-19,689.5
2012-04-20,680.0
2012-04-23,679.2
2012-04-24,724.2
2012-04-25,669.8
2012-04-26,683.45
2012-04-27,686.4
2012-04-28,681.65
2012-04-30,680.8
2012-05-02,678.05
2012-05-03,679.85
2012-05-04,676.25
2012-05-07,667.2
2012-05-08,670.7
2012-05-09,662.8
2012-05-10,665.05
2012-05-11,658.75
2012-05-14,650.1
2012-05-15,656.05
2012-05-16,642.4
2012-05-17,653.15
2012-05-18,655.1
2012-05-21,660.6
2012-05-22,650.95
2012-05-23,658.25
2012-05-24,663.25
2012-05-25,669.3
2012-05-28,688.8
2012-05-29,689.45
2012-05-30,689.6
2012-05-31,696.45
2012-06-01,695.3
2012-06-04,700.0
2012-06-05,699.55
2012-06-06,690.0
2012-06-07,688.2
2012-06-08,682.95
2012-06-11,679.0
2012-06-12,681.9
2012-06-13,679.4
2012-06-14,679.35
2012-06-15,687.85
2012-06-18,682.8
2012-06-19,679.65
2012-06-20,674.0
2012-06-21,672.1
2012-06-22,673.75
2012-06-25,679.9
2012-06-26,699.35
2012-06-27,713.75
2012-06-28,718.35
2012-06-29,717.7
2012-07-02,740.35
2012-07-03,763.8
2012-07-04,774.85
2012-07-05,773.9
2012-07-06,767.65
2012-07-09,769.85
2012-07-09,769.85
2012-07-10,776.1
2012-07-11,792.35
2012-07-12,790.95
2012-07-13,785.65
2012-07-16,774.55
2012-07-17,750.65
2012-07-18,749.8
2012-07-19,744.35
2012-07-20,753.7
2012-07-23,754.75
2012-07-24,157.1
2012-07-25,158.6
2012-07-26,160.5
2012-07-27,153.9
2012-07-30,150.75
2012-07-31,153.55
2012-08-01,159.05
2012-08-02,159.25
2012-08-03,158.9
2012-08-06,159.6
2012-08-07,159.25
2012-08-08,160.1
2012-08-09,159.7
2012-08-10,160.35
2012-08-13,161.55
2012-08-14,163.85
2012-08-16,169.4
2012-08-17,175.4
2012-08-21,180.6
2012-08-22,175.95
2012-08-23,176.6
2012-08-24,180.8
2012-08-27,182.8
2012-08-28,179.2
2012-08-29,178.65
2012-08-30,173.8
2012-08-31,178.0
2012-09-03,181.8
2012-09-04,180.05
2012-09-05,177.55
2012-09-06,177.95
2012-09-07,177.7
2012-09-08,178.65
2012-09-10,178.65
2012-09-11,183.4
2012-09-12,189.35
2012-09-13,193.9
2012-09-14,191.4
2012-09-17,188.8
2012-09-18,188.0
2012-09-20,184.25
2012-09-21,187.4
2012-09-24,194.25
2012-09-25,197.45
2012-09-26,195.3
2012-09-27,200.65
2012-09-28,207.2
2012-10-01,217.95
2012-10-03,217.3
2012-10-04,217.55
2012-10-05,212.65
2012-10-08,206.9
2012-10-09,205.4
2012-10-10,200.0
2012-10-11,196.9
2012-10-12,188.15
2012-10-15,183.9
2012-10-16,179.7
2012-10-17,181.65
2012-10-18,188.9
2012-10-19,187.25
2012-10-22,187.1
2012-10-23,185.65
2012-10-25,184.15
2012-10-26,183.0
2012-10-29,183.05
2012-10-30,183.4
2012-10-31,192.0
2012-11-01,189.05
2012-11-02,190.95
2012-11-05,191.6
2012-11-06,195.55
2012-11-07,201.85
2012-11-08,202.15
2012-11-09,202.95
2012-11-12,200.85
2012-11-13,206.95
2012-11-15,203.95
2012-11-16,202.1
2012-11-19,199.0
2012-11-20,195.25
2012-11-21,200.75
2012-11-22,201.5
2012-11-23,203.05
2012-11-26,200.75
2012-11-27,202.25
2012-11-29,210.65
2012-11-30,211.9
2012-12-03,211.8
2012-12-04,208.85
2012-12-05,207.6
2012-12-06,209.2
2012-12-07,211.3
2012-12-10,212.8
2012-12-11,212.0
2012-12-12,213.35
2012-12-13,212.35
2012-12-14,211.9
2012-12-17,213.85
2012-12-18,214.8
2012-12-19,224.95
2012-12-20,229.4
2012-12-21,226.0
2012-12-24,242.9
2012-12-26,240.45
2012-12-27,234.1
2012-12-28,238.8
2012-12-31,237.45
