Date,NITINFIRE
2012-01-02,27.1
2012-01-03,27.1
2012-01-04,27.15
2012-01-05,27.0
2012-01-06,27.35
2012-01-07,27.95
2012-01-09,27.3
2012-01-10,28.0
2012-01-11,27.6
2012-01-12,28.0
2012-01-13,28.25
2012-01-16,28.05
2012-01-17,30.55
2012-01-18,29.4
2012-01-19,30.2
2012-01-20,32.8
2012-01-23,32.6
2012-01-24,32.0
2012-01-25,32.95
2012-01-27,34.4
2012-01-30,34.85
2012-01-31,40.85
2012-02-01,46.75
2012-02-02,44.85
2012-02-03,44.35
2012-02-06,42.6
2012-02-07,41.75
2012-02-08,42.1
2012-02-09,41.45
2012-02-10,40.5
2012-02-13,38.9
2012-02-14,38.05
2012-02-15,39.15
2012-02-16,40.05
2012-02-17,39.4
2012-02-21,39.85
2012-02-22,38.2
2012-02-23,38.3
2012-02-24,38.1
2012-02-27,38.6
2012-02-28,40.45
2012-02-29,43.0
2012-03-01,43.55
2012-03-02,43.7
2012-03-03,45.75
2012-03-05,44.8
2012-03-06,45.75
2012-03-07,44.0
2012-03-09,44.9
2012-03-12,45.25
2012-03-13,46.15
2012-03-14,44.2
2012-03-15,43.0
2012-03-16,42.0
2012-03-19,42.8
2012-03-20,42.4
2012-03-21,42.75
2012-03-22,41.85
2012-03-23,43.45
2012-03-26,42.5
2012-03-27,43.35
2012-03-28,43.35
2012-03-29,43.9
2012-03-30,45.45
2012-04-02,50.85
2012-04-03,52.6
2012-04-04,53.0
2012-04-09,50.65
2012-04-10,53.15
2012-04-11,51.85
2012-04-12,50.45
2012-04-13,48.6
2012-04-16,49.75
2012-04-17,49.85
2012-04-18,49.35
2012-04-19,49.45
2012-04-20,47.35
2012-04-23,47.15
2012-04-24,49.5
2012-04-25,48.75
2012-04-26,49.1
2012-04-27,51.15
2012-04-28,51.15
2012-04-30,50.65
2012-05-02,50.6
2012-05-03,49.0
2012-05-04,47.8
2012-05-07,49.9
2012-05-08,49.1
2012-05-09,48.75
2012-05-10,47.8
2012-05-11,48.2
2012-05-14,48.1
2012-05-15,49.6
2012-05-16,48.25
2012-05-17,48.05
2012-05-18,48.15
2012-05-21,49.25
2012-05-22,49.35
2012-05-23,48.15
2012-05-24,49.35
2012-05-25,49.25
2012-05-28,50.5
2012-05-29,50.55
2012-05-30,49.0
2012-05-31,48.75
2012-06-01,48.0
2012-06-04,46.65
2012-06-05,46.55
2012-06-06,48.1
2012-06-07,48.65
2012-06-08,48.65
2012-06-11,48.35
2012-06-12,48.1
2012-06-13,48.15
2012-06-14,47.45
2012-06-15,47.4
2012-06-18,46.75
2012-06-19,48.3
2012-06-20,47.8
2012-06-21,48.5
2012-06-22,48.2
2012-06-25,48.1
2012-06-26,47.8
2012-06-27,47.8
2012-06-28,48.05
2012-06-29,48.1
2012-07-02,48.65
2012-07-03,48.5
2012-07-04,50.3
2012-07-05,57.6
2012-07-06,57.8
2012-07-09,55.15
2012-07-09,55.15
2012-07-10,56.55
2012-07-11,56.25
2012-07-12,60.75
2012-07-13,59.15
2012-07-16,56.75
2012-07-17,56.35
2012-07-18,62.05
2012-07-19,59.85
2012-07-20,60.1
2012-07-23,60.05
2012-07-24,62.0
2012-07-25,61.45
2012-07-26,58.7
2012-07-27,58.9
2012-07-30,58.6
2012-07-31,58.35
2012-08-01,58.75
2012-08-02,58.9
2012-08-03,57.25
2012-08-06,58.1
2012-08-07,58.2
2012-08-08,57.9
2012-08-09,57.05
2012-08-10,55.75
2012-08-13,57.9
2012-08-14,57.65
2012-08-16,56.8
2012-08-17,56.4
2012-08-21,56.15
2012-08-22,55.55
2012-08-23,56.95
2012-08-24,56.15
2012-08-27,56.55
2012-08-28,55.6
2012-08-29,54.5
2012-08-30,55.0
2012-08-31,54.35
2012-09-03,54.7
2012-09-04,54.25
2012-09-05,53.85
2012-09-06,53.75
2012-09-07,54.35
2012-09-08,54.55
2012-09-10,55.7
2012-09-11,55.3
2012-09-12,57.2
2012-09-13,56.9
2012-09-14,56.9
2012-09-17,57.5
2012-09-18,57.0
2012-09-20,56.65
2012-09-21,56.75
2012-09-24,56.3
2012-09-25,56.85
2012-09-26,56.7
2012-09-27,56.55
2012-09-28,56.1
2012-10-01,57.1
2012-10-03,57.65
2012-10-04,57.1
2012-10-05,56.5
2012-10-08,55.0
2012-10-09,55.5
2012-10-10,53.9
2012-10-11,56.15
2012-10-12,56.25
2012-10-15,57.2
2012-10-16,56.8
2012-10-17,55.85
2012-10-18,57.9
2012-10-19,57.15
2012-10-22,68.55
2012-10-23,65.6
2012-10-25,64.4
2012-10-26,62.45
2012-10-29,67.75
2012-10-30,67.3
2012-10-31,66.75
2012-11-01,66.85
2012-11-02,67.6
2012-11-05,66.2
2012-11-06,65.55
2012-11-07,70.1
2012-11-08,69.4
2012-11-09,70.3
2012-11-12,76.1
2012-11-13,71.9
2012-11-15,69.05
2012-11-16,67.55
2012-11-19,66.8
2012-11-20,64.45
2012-11-21,65.2
2012-11-22,66.0
2012-11-23,68.6
2012-11-26,68.65
2012-11-27,68.25
2012-11-29,67.85
2012-11-30,67.75
2012-12-03,67.85
2012-12-04,67.3
2012-12-05,68.6
2012-12-06,68.45
2012-12-07,68.15
2012-12-10,69.3
2012-12-11,68.15
2012-12-12,68.3
2012-12-13,66.2
2012-12-14,66.95
2012-12-17,66.7
2012-12-18,64.6
2012-12-19,64.65
2012-12-20,63.95
2012-12-21,67.25
2012-12-24,67.6
2012-12-26,66.6
2012-12-27,66.2
2012-12-28,65.4
2012-12-31,67.6
