Date,LOKESHMACH
2012-01-02,39.0
2012-01-03,38.65
2012-01-04,38.5
2012-01-05,38.3
2012-01-06,38.05
2012-01-07,38.5
2012-01-09,38.45
2012-01-10,39.3
2012-01-11,39.4
2012-01-12,38.6
2012-01-13,39.05
2012-01-16,38.95
2012-01-17,39.0
2012-01-18,38.6
2012-01-19,38.85
2012-01-20,39.05
2012-01-23,38.75
2012-01-24,39.0
2012-01-25,38.95
2012-01-27,39.15
2012-01-30,38.45
2012-01-31,38.9
2012-02-01,39.65
2012-02-02,39.35
2012-02-03,39.35
2012-02-06,43.4
2012-02-07,41.65
2012-02-08,43.0
2012-02-09,42.5
2012-02-10,42.25
2012-02-13,41.9
2012-02-14,41.3
2012-02-15,41.9
2012-02-16,42.0
2012-02-17,40.6
2012-02-21,40.4
2012-02-22,39.15
2012-02-23,39.05
2012-02-24,39.1
2012-02-27,38.5
2012-02-28,38.75
2012-02-29,38.7
2012-03-01,38.7
2012-03-02,39.3
2012-03-03,38.35
2012-03-05,38.35
2012-03-06,38.8
2012-03-07,38.2
2012-03-09,38.15
2012-03-12,38.2
2012-03-13,38.3
2012-03-14,38.35
2012-03-15,38.05
2012-03-16,37.8
2012-03-19,37.5
2012-03-20,37.0
2012-03-21,37.65
2012-03-22,37.0
2012-03-23,37.0
2012-03-26,36.1
2012-03-27,36.0
2012-03-28,36.0
2012-03-29,36.0
2012-03-30,37.65
2012-04-02,36.5
2012-04-03,37.0
2012-04-04,36.75
2012-04-09,37.35
2012-04-10,39.15
2012-04-11,38.75
2012-04-12,37.7
2012-04-13,37.45
2012-04-16,36.85
2012-04-17,36.85
2012-04-18,36.05
2012-04-19,35.65
2012-04-20,37.05
2012-04-23,35.9
2012-04-24,35.55
2012-04-25,35.3
2012-04-26,35.6
2012-04-27,35.05
2012-04-28,35.1
2012-04-30,35.05
2012-05-02,35.75
2012-05-03,35.5
2012-05-04,34.05
2012-05-07,34.4
2012-05-08,34.1
2012-05-09,34.35
2012-05-10,34.1
2012-05-11,34.95
2012-05-14,34.4
2012-05-15,34.1
2012-05-16,34.15
2012-05-17,33.85
2012-05-18,34.65
2012-05-21,34.2
2012-05-22,33.5
2012-05-23,34.05
2012-05-24,34.0
2012-05-25,34.4
2012-05-28,34.1
2012-05-29,34.1
2012-05-30,34.6
2012-05-31,34.05
2012-06-01,34.0
2012-06-04,34.05
2012-06-05,34.0
2012-06-06,34.0
2012-06-07,34.2
2012-06-08,34.4
2012-06-11,34.0
2012-06-12,33.85
2012-06-13,34.15
2012-06-14,34.0
2012-06-15,34.05
2012-06-18,34.05
2012-06-19,34.55
2012-06-20,34.1
2012-06-21,34.6
2012-06-22,34.1
2012-06-25,34.5
2012-06-26,34.3
2012-06-27,34.65
2012-06-28,35.05
2012-06-29,35.1
2012-07-02,35.2
2012-07-03,41.4
2012-07-04,42.05
2012-07-05,41.25
2012-07-06,38.85
2012-07-09,38.25
2012-07-09,38.25
2012-07-10,39.25
2012-07-11,38.95
2012-07-12,37.95
2012-07-13,37.3
2012-07-16,37.05
2012-07-17,36.55
2012-07-18,36.3
2012-07-19,36.35
2012-07-20,36.9
2012-07-23,37.15
2012-07-24,36.6
2012-07-25,35.6
2012-07-26,35.2
2012-07-27,34.95
2012-07-30,34.95
2012-07-31,34.75
2012-08-01,35.65
2012-08-02,35.05
2012-08-03,35.95
2012-08-06,36.1
2012-08-07,35.05
2012-08-08,34.65
2012-08-09,35.0
2012-08-10,34.35
2012-08-13,35.05
2012-08-14,34.85
2012-08-16,34.25
2012-08-17,34.0
2012-08-21,34.0
2012-08-22,33.45
2012-08-23,33.6
2012-08-24,33.55
2012-08-27,33.0
2012-08-28,32.2
2012-08-29,31.0
2012-08-30,31.3
2012-08-31,31.75
2012-09-03,31.0
2012-09-04,31.0
2012-09-05,31.55
2012-09-06,31.05
2012-09-07,32.1
2012-09-08,32.65
2012-09-10,31.6
2012-09-11,31.95
2012-09-12,32.6
2012-09-13,32.3
2012-09-14,32.35
2012-09-17,32.4
2012-09-18,32.05
2012-09-20,32.05
2012-09-21,31.9
2012-09-24,31.85
2012-09-25,31.85
2012-09-26,31.1
2012-09-27,31.95
2012-09-28,32.6
2012-10-01,32.3
2012-10-03,32.95
2012-10-04,32.9
2012-10-05,32.45
2012-10-08,31.95
2012-10-09,33.05
2012-10-10,32.3
2012-10-11,32.05
2012-10-12,31.75
2012-10-15,31.9
2012-10-16,31.15
2012-10-17,31.3
2012-10-18,31.6
2012-10-19,31.55
2012-10-22,31.45
2012-10-23,31.5
2012-10-25,31.25
2012-10-26,31.2
2012-10-29,31.35
2012-10-30,31.0
2012-10-31,31.5
2012-11-01,31.0
2012-11-02,31.05
2012-11-05,32.2
2012-11-06,32.0
2012-11-07,32.45
2012-11-08,30.2
2012-11-09,30.65
2012-11-12,31.5
2012-11-13,30.7
2012-11-15,30.8
2012-11-16,29.85
2012-11-19,29.6
2012-11-20,29.7
2012-11-21,30.15
2012-11-22,29.5
2012-11-23,29.7
2012-11-26,29.0
2012-11-27,29.55
2012-11-29,29.1
2012-11-30,29.9
2012-12-03,30.2
2012-12-04,30.9
2012-12-05,30.95
2012-12-06,30.35
2012-12-07,30.05
2012-12-10,30.5
2012-12-11,29.65
2012-12-12,29.65
2012-12-13,29.45
2012-12-14,29.35
2012-12-17,29.3
2012-12-18,29.2
2012-12-19,29.4
2012-12-20,29.0
2012-12-21,29.15
2012-12-24,29.25
2012-12-26,28.95
2012-12-27,29.0
2012-12-28,29.5
2012-12-31,29.0
