Date,TIMKEN
2012-01-02,171.6
2012-01-03,169.9
2012-01-04,171.65
2012-01-05,169.15
2012-01-06,168.35
2012-01-07,168.05
2012-01-09,171.4
2012-01-10,176.85
2012-01-11,176.5
2012-01-12,175.55
2012-01-13,183.45
2012-01-16,185.85
2012-01-17,187.4
2012-01-18,184.4
2012-01-19,183.65
2012-01-20,183.85
2012-01-23,184.35
2012-01-24,185.5
2012-01-25,191.1
2012-01-27,195.0
2012-01-30,188.95
2012-01-31,193.85
2012-02-01,207.6
2012-02-02,219.15
2012-02-03,219.95
2012-02-06,214.7
2012-02-07,209.35
2012-02-08,209.3
2012-02-09,212.55
2012-02-10,215.4
2012-02-13,226.95
2012-02-14,234.0
2012-02-15,234.3
2012-02-16,234.7
2012-02-17,222.8
2012-02-21,223.95
2012-02-22,219.05
2012-02-23,218.1
2012-02-24,221.85
2012-02-27,216.2
2012-02-28,221.9
2012-02-29,220.6
2012-03-01,221.8
2012-03-02,234.4
2012-03-03,245.75
2012-03-05,238.8
2012-03-06,243.3
2012-03-07,237.1
2012-03-09,240.25
2012-03-12,237.6
2012-03-13,237.45
2012-03-14,236.45
2012-03-15,236.4
2012-03-16,228.7
2012-03-19,230.05
2012-03-20,226.55
2012-03-21,226.55
2012-03-22,223.95
2012-03-23,223.0
2012-03-26,216.25
2012-03-27,218.7
2012-03-28,215.9
2012-03-29,214.75
2012-03-30,219.0
2012-04-02,223.75
2012-04-03,221.4
2012-04-04,218.55
2012-04-09,216.5
2012-04-10,230.5
2012-04-11,226.3
2012-04-12,249.9
2012-04-13,245.3
2012-04-16,263.3
2012-04-17,258.55
2012-04-18,255.95
2012-04-19,259.7
2012-04-20,254.3
2012-04-23,248.85
2012-04-24,250.45
2012-04-25,244.05
2012-04-26,239.7
2012-04-27,245.1
2012-04-28,244.75
2012-04-30,245.3
2012-05-02,236.3
2012-05-03,232.2
2012-05-04,221.05
2012-05-07,219.45
2012-05-08,217.85
2012-05-09,215.25
2012-05-10,213.5
2012-05-11,211.95
2012-05-14,205.15
2012-05-15,207.5
2012-05-16,202.95
2012-05-17,206.7
2012-05-18,205.35
2012-05-21,215.05
2012-05-22,214.9
2012-05-23,222.0
2012-05-24,220.45
2012-05-25,222.7
2012-05-28,222.6
2012-05-29,221.25
2012-05-30,214.0
2012-05-31,199.65
2012-06-01,191.55
2012-06-04,191.0
2012-06-05,186.7
2012-06-06,193.5
2012-06-07,193.9
2012-06-08,200.65
2012-06-11,203.15
2012-06-12,204.9
2012-06-13,202.5
2012-06-14,197.85
2012-06-15,197.0
2012-06-18,201.0
2012-06-19,202.6
2012-06-20,204.95
2012-06-21,205.55
2012-06-22,208.7
2012-06-25,206.95
2012-06-26,205.05
2012-06-27,206.35
2012-06-28,204.35
2012-06-29,206.95
2012-07-02,207.0
2012-07-03,207.7
2012-07-04,210.8
2012-07-05,218.0
2012-07-06,213.65
2012-07-09,210.5
2012-07-10,212.7
2012-07-11,213.35
2012-07-12,211.35
2012-07-13,219.35
2012-07-16,228.75
2012-07-17,224.0
2012-07-18,231.85
2012-07-19,222.75
2012-07-20,207.95
2012-07-23,201.9
2012-07-24,202.35
2012-07-25,193.95
2012-07-26,186.9
2012-07-27,185.65
2012-07-30,190.3
2012-07-31,188.55
2012-08-01,191.45
2012-08-02,199.15
2012-08-03,195.7
2012-08-06,202.0
2012-08-07,201.85
2012-08-08,201.65
2012-08-09,198.05
2012-08-10,195.75
2012-08-13,196.95
2012-08-14,197.0
2012-08-16,198.2
2012-08-17,195.25
2012-08-21,195.95
2012-08-22,197.85
2012-08-23,199.1
2012-08-24,196.25
2012-08-27,196.35
2012-08-28,191.75
2012-08-29,188.4
2012-08-30,188.7
2012-08-31,185.75
2012-09-03,186.2
2012-09-04,189.2
2012-09-05,190.8
2012-09-06,196.3
2012-09-07,196.4
2012-09-08,194.9
2012-09-10,196.7
2012-09-11,204.9
2012-09-12,200.4
2012-09-13,196.6
2012-09-14,196.2
2012-09-17,196.65
2012-09-18,199.15
2012-09-20,197.95
2012-09-21,197.5
2012-09-24,199.15
2012-09-25,200.85
2012-09-26,199.25
2012-09-27,198.1
2012-09-28,197.8
2012-10-01,197.5
2012-10-03,211.45
2012-10-04,214.4
2012-10-05,210.3
2012-10-08,206.25
2012-10-09,214.4
2012-10-10,210.75
2012-10-11,209.7
2012-10-12,207.9
2012-10-15,205.3
2012-10-16,202.3
2012-10-17,200.4
2012-10-18,202.3
2012-10-19,202.55
2012-10-22,199.45
2012-10-23,197.85
2012-10-25,199.35
2012-10-26,198.9
2012-10-29,196.95
2012-10-30,192.95
2012-10-31,193.1
2012-11-01,193.8
2012-11-02,196.35
2012-11-05,200.0
2012-11-06,207.15
2012-11-07,207.15
2012-11-08,209.4
2012-11-09,201.8
2012-11-12,203.7
2012-11-13,202.4
2012-11-15,201.9
2012-11-16,198.9
2012-11-19,198.4
2012-11-20,197.0
2012-11-21,196.1
2012-11-22,193.15
2012-11-23,193.6
2012-11-26,195.1
2012-11-27,195.65
2012-11-29,195.8
2012-11-30,198.35
2012-12-03,197.45
2012-12-04,187.8
2012-12-05,189.7
2012-12-06,190.15
2012-12-07,188.05
2012-12-10,190.15
2012-12-11,189.35
2012-12-12,187.15
2012-12-13,187.55
2012-12-14,187.55
2012-12-17,197.3
2012-12-18,196.55
2012-12-19,197.0
2012-12-20,196.2
2012-12-21,196.65
2012-12-24,194.25
2012-12-26,193.95
2012-12-27,191.9
2012-12-28,191.2
2012-12-31,192.8
