Date,GEMINI
2012-01-02,19.9
2012-01-03,20.05
2012-01-04,19.8
2012-01-05,19.8
2012-01-06,19.6
2012-01-07,19.5
2012-01-09,19.95
2012-01-10,20.35
2012-01-11,20.2
2012-01-12,20.0
2012-01-13,20.0
2012-01-16,19.75
2012-01-17,20.15
2012-01-18,20.0
2012-01-19,20.2
2012-01-20,20.0
2012-01-23,20.55
2012-01-24,20.25
2012-01-25,20.0
2012-01-27,20.45
2012-01-30,20.25
2012-01-31,21.35
2012-02-01,23.2
2012-02-02,25.25
2012-02-03,26.85
2012-02-06,27.3
2012-02-07,27.3
2012-02-08,27.0
2012-02-09,27.05
2012-02-10,26.0
2012-02-13,26.85
2012-02-14,26.1
2012-02-15,25.65
2012-02-16,26.35
2012-02-17,25.3
2012-02-21,25.05
2012-02-22,24.1
2012-02-23,24.6
2012-02-24,23.5
2012-02-27,23.6
2012-02-28,23.3
2012-02-29,22.9
2012-03-01,23.05
2012-03-02,22.8
2012-03-03,25.3
2012-03-05,23.6
2012-03-06,23.45
2012-03-07,24.5
2012-03-09,24.7
2012-03-12,25.3
2012-03-13,24.35
2012-03-14,24.45
2012-03-15,24.45
2012-03-16,23.6
2012-03-19,23.7
2012-03-20,23.0
2012-03-21,23.35
2012-03-22,22.0
2012-03-23,22.6
2012-03-26,22.1
2012-03-27,21.75
2012-03-28,21.7
2012-03-29,21.05
2012-03-30,21.75
2012-04-02,22.1
2012-04-03,22.0
2012-04-04,22.15
2012-04-09,21.6
2012-04-10,21.65
2012-04-11,20.75
2012-04-12,16.65
2012-04-13,17.95
2012-04-16,18.8
2012-04-17,18.1
2012-04-18,18.0
2012-04-19,17.5
2012-04-20,17.25
2012-04-23,17.85
2012-04-24,18.6
2012-04-25,18.45
2012-04-26,18.25
2012-04-27,20.0
2012-04-28,22.0
2012-04-30,23.25
2012-05-02,24.3
2012-05-03,23.05
2012-05-04,21.75
2012-05-07,22.0
2012-05-08,23.1
2012-05-09,24.05
2012-05-10,24.1
2012-05-11,23.7
2012-05-14,21.8
2012-05-15,21.15
2012-05-16,20.45
2012-05-17,19.9
2012-05-18,18.15
2012-05-21,19.45
2012-05-22,19.95
2012-05-23,21.85
2012-05-24,20.45
2012-05-25,20.0
2012-05-28,20.4
2012-05-29,19.85
2012-05-30,19.35
2012-05-31,19.4
2012-06-01,20.95
2012-06-04,19.3
2012-06-05,19.05
2012-06-06,19.5
2012-06-07,19.05
2012-06-08,19.05
2012-06-11,19.3
2012-06-12,18.9
2012-06-13,18.95
2012-06-14,18.75
2012-06-15,19.25
2012-06-18,17.75
2012-06-19,17.65
2012-06-20,17.7
2012-06-21,18.05
2012-06-22,17.8
2012-06-25,17.2
2012-06-26,17.0
2012-06-27,16.8
2012-06-28,16.65
2012-06-29,16.9
2012-07-02,17.3
2012-07-03,17.0
2012-07-04,17.1
2012-07-05,17.0
2012-07-06,17.25
2012-07-09,17.05
2012-07-09,17.05
2012-07-10,17.55
2012-07-11,15.3
2012-07-12,15.7
2012-07-13,15.85
2012-07-16,15.5
2012-07-17,14.6
2012-07-18,15.35
2012-07-19,15.45
2012-07-20,15.3
2012-07-23,14.85
2012-07-24,14.75
2012-07-25,14.55
2012-07-26,13.65
2012-07-27,13.65
2012-07-30,13.15
2012-07-31,13.3
2012-08-01,14.0
2012-08-02,14.4
2012-08-03,14.0
2012-08-06,13.85
2012-08-07,13.85
2012-08-08,13.5
2012-08-09,13.6
2012-08-10,13.5
2012-08-13,13.25
2012-08-14,13.15
2012-08-16,12.9
2012-08-17,12.95
2012-08-21,12.85
2012-08-22,12.75
2012-08-23,12.6
2012-08-24,12.65
2012-08-27,11.95
2012-08-28,9.6
2012-08-29,8.6
2012-08-30,7.75
2012-08-31,8.5
2012-09-03,9.35
2012-09-04,10.25
2012-09-05,10.35
2012-09-06,9.7
2012-09-07,9.75
2012-09-08,9.85
2012-09-10,9.4
2012-09-11,9.1
2012-09-12,9.3
2012-09-13,8.85
2012-09-14,8.6
2012-09-17,8.5
2012-09-18,8.3
2012-09-20,8.3
2012-09-21,8.25
2012-09-24,8.2
2012-09-25,8.45
2012-09-26,8.3
2012-09-27,8.4
2012-09-28,8.25
2012-10-01,8.1
2012-10-03,8.25
2012-10-04,8.4
2012-10-05,8.1
2012-10-08,8.05
2012-10-09,8.15
2012-10-10,8.0
2012-10-11,8.25
2012-10-12,8.05
2012-10-15,8.1
2012-10-16,8.05
2012-10-17,8.05
2012-10-18,8.1
2012-10-19,8.0
2012-10-22,8.05
2012-10-23,8.05
2012-10-25,8.1
2012-10-26,7.9
2012-10-29,7.65
2012-10-30,7.45
2012-10-31,7.8
2012-11-01,8.15
2012-11-02,8.55
2012-11-05,8.95
2012-11-06,9.0
2012-11-07,8.5
2012-11-08,8.2
2012-11-09,8.4
2012-11-12,8.75
2012-11-13,8.75
2012-11-15,8.6
2012-11-16,8.65
2012-11-19,8.55
2012-11-20,8.3
2012-11-21,8.4
2012-11-22,8.3
2012-11-23,8.25
2012-11-26,8.0
2012-11-27,8.15
2012-11-29,7.55
2012-11-30,7.45
2012-12-03,7.45
2012-12-04,7.8
2012-12-05,7.9
2012-12-06,8.0
2012-12-07,7.9
2012-12-10,8.0
2012-12-11,7.9
2012-12-12,7.8
2012-12-13,7.65
2012-12-14,7.8
2012-12-17,7.4
2012-12-18,7.35
2012-12-19,7.5
2012-12-20,7.35
2012-12-21,7.05
2012-12-24,7.0
2012-12-26,6.8
2012-12-27,6.25
2012-12-28,6.25
2012-12-31,6.65
