Date,IFBIND
2012-01-02,59.6
2012-01-03,64.85
2012-01-04,62.5
2012-01-05,62.2
2012-01-06,62.7
2012-01-07,62.5
2012-01-09,65.75
2012-01-10,74.0
2012-01-11,72.85
2012-01-12,72.3
2012-01-13,74.2
2012-01-16,72.9
2012-01-17,76.35
2012-01-18,75.0
2012-01-19,77.55
2012-01-20,75.75
2012-01-23,74.4
2012-01-24,75.1
2012-01-25,79.05
2012-01-27,80.25
2012-01-30,76.95
2012-01-31,79.0
2012-02-01,80.45
2012-02-02,83.8
2012-02-03,84.8
2012-02-06,84.8
2012-02-07,83.1
2012-02-08,85.0
2012-02-09,86.65
2012-02-10,90.75
2012-02-13,90.15
2012-02-14,88.75
2012-02-15,90.5
2012-02-16,90.5
2012-02-17,91.85
2012-02-21,90.1
2012-02-22,85.1
2012-02-23,84.5
2012-02-24,82.2
2012-02-27,76.85
2012-02-28,79.4
2012-02-29,81.1
2012-03-01,81.0
2012-03-02,81.9
2012-03-03,81.95
2012-03-05,82.0
2012-03-06,84.3
2012-03-07,82.3
2012-03-09,84.95
2012-03-12,84.4
2012-03-13,83.75
2012-03-14,84.8
2012-03-15,83.45
2012-03-16,81.35
2012-03-19,84.45
2012-03-20,84.0
2012-03-21,85.0
2012-03-22,83.8
2012-03-23,82.55
2012-03-26,79.5
2012-03-27,79.6
2012-03-28,77.8
2012-03-29,78.55
2012-03-30,79.35
2012-04-02,79.85
2012-04-03,81.5
2012-04-04,81.9
2012-04-09,78.2
2012-04-10,77.2
2012-04-11,78.05
2012-04-12,80.95
2012-04-13,78.45
2012-04-16,80.15
2012-04-17,78.4
2012-04-18,80.6
2012-04-19,82.5
2012-04-20,79.95
2012-04-23,78.65
2012-04-24,78.9
2012-04-25,76.95
2012-04-26,76.85
2012-04-27,74.35
2012-04-28,75.15
2012-04-30,75.95
2012-05-02,75.1
2012-05-03,73.05
2012-05-04,70.15
2012-05-07,71.85
2012-05-08,70.8
2012-05-09,69.6
2012-05-10,69.0
2012-05-11,68.55
2012-05-14,66.4
2012-05-15,67.5
2012-05-16,67.5
2012-05-17,66.45
2012-05-18,65.45
2012-05-21,64.9
2012-05-22,64.3
2012-05-23,63.9
2012-05-24,62.55
2012-05-25,64.35
2012-05-28,63.85
2012-05-29,63.55
2012-05-30,63.9
2012-05-31,61.3
2012-06-01,60.5
2012-06-04,61.8
2012-06-05,62.05
2012-06-06,61.3
2012-06-07,61.95
2012-06-08,61.55
2012-06-11,63.25
2012-06-12,62.35
2012-06-13,60.95
2012-06-14,60.5
2012-06-15,62.0
2012-06-18,62.1
2012-06-19,62.0
2012-06-20,61.0
2012-06-21,62.1
2012-06-22,64.95
2012-06-25,63.6
2012-06-26,63.9
2012-06-27,64.0
2012-06-28,63.45
2012-06-29,65.6
2012-07-02,68.8
2012-07-03,68.7
2012-07-04,74.75
2012-07-05,73.65
2012-07-06,72.55
2012-07-09,70.7
2012-07-09,70.7
2012-07-10,72.25
2012-07-11,71.95
2012-07-12,71.5
2012-07-13,72.95
2012-07-16,68.5
2012-07-17,70.0
2012-07-18,68.1
2012-07-19,68.95
2012-07-20,68.65
2012-07-23,67.35
2012-07-24,68.95
2012-07-25,69.0
2012-07-26,65.15
2012-07-27,69.5
2012-07-30,72.05
2012-07-31,69.55
2012-08-01,71.0
2012-08-02,70.1
2012-08-03,69.95
2012-08-06,70.3
2012-08-07,69.95
2012-08-08,72.65
2012-08-09,71.5
2012-08-10,69.65
2012-08-13,69.45
2012-08-14,70.95
2012-08-16,72.1
2012-08-17,76.15
2012-08-21,78.0
2012-08-22,82.0
2012-08-23,80.3
2012-08-24,77.9
2012-08-27,76.75
2012-08-28,75.1
2012-08-29,78.15
2012-08-30,79.0
2012-08-31,80.05
2012-09-03,79.8
2012-09-04,85.6
2012-09-05,90.35
2012-09-06,89.0
2012-09-07,88.6
2012-09-08,88.6
2012-09-10,86.4
2012-09-11,87.0
2012-09-12,91.55
2012-09-13,90.85
2012-09-14,90.2
2012-09-17,90.4
2012-09-18,91.8
2012-09-20,90.65
2012-09-21,91.4
2012-09-24,92.0
2012-09-25,92.2
2012-09-26,90.85
2012-09-27,90.15
2012-09-28,89.9
2012-10-01,91.75
2012-10-03,93.65
2012-10-04,94.6
2012-10-05,94.75
2012-10-08,94.75
2012-10-09,93.5
2012-10-10,90.3
2012-10-11,90.2
2012-10-12,90.6
2012-10-15,90.05
2012-10-16,90.15
2012-10-17,91.85
2012-10-18,96.45
2012-10-19,103.9
2012-10-22,124.65
2012-10-23,116.95
2012-10-25,114.1
2012-10-26,107.9
2012-10-29,106.7
2012-10-30,103.2
2012-10-31,108.3
2012-11-01,107.75
2012-11-02,107.8
2012-11-05,104.85
2012-11-06,107.7
2012-11-07,109.4
2012-11-08,112.35
2012-11-09,109.75
2012-11-12,110.7
2012-11-13,111.2
2012-11-15,106.1
2012-11-16,103.45
2012-11-19,99.45
2012-11-20,99.05
2012-11-21,100.25
2012-11-22,99.95
2012-11-23,98.8
2012-11-26,107.2
2012-11-27,110.55
2012-11-29,111.95
2012-11-30,111.05
2012-12-03,112.4
2012-12-04,112.2
2012-12-05,112.4
2012-12-06,110.3
2012-12-07,107.95
2012-12-10,110.9
2012-12-11,109.65
2012-12-12,109.1
2012-12-13,108.7
2012-12-14,106.45
2012-12-17,110.5
2012-12-18,110.35
2012-12-19,108.95
2012-12-20,108.9
2012-12-21,107.75
2012-12-24,106.15
2012-12-26,105.7
2012-12-27,103.75
2012-12-28,105.0
2012-12-31,104.5
