Date,SASTASUNDR
2012-01-02,27.0
2012-01-03,27.15
2012-01-04,27.2
2012-01-05,27.1
2012-01-06,27.05
2012-01-07,27.05
2012-01-09,27.65
2012-01-10,27.95
2012-01-11,28.9
2012-01-12,28.65
2012-01-13,29.05
2012-01-16,28.6
2012-01-17,29.05
2012-01-18,26.5
2012-01-19,27.55
2012-01-20,28.0
2012-01-23,27.85
2012-01-24,27.65
2012-01-25,27.3
2012-01-27,28.0
2012-01-30,28.2
2012-01-31,28.1
2012-02-01,27.9
2012-02-02,27.8
2012-02-03,28.1
2012-02-06,30.25
2012-02-07,31.1
2012-02-08,30.45
2012-02-09,30.15
2012-02-10,29.85
2012-02-13,29.4
2012-02-14,30.0
2012-02-15,29.7
2012-02-16,30.45
2012-02-17,29.5
2012-02-21,29.9
2012-02-22,28.75
2012-02-23,28.8
2012-02-24,27.35
2012-02-27,27.85
2012-02-28,28.3
2012-02-29,28.25
2012-03-01,27.8
2012-03-02,27.95
2012-03-03,27.75
2012-03-05,27.7
2012-03-06,26.8
2012-03-07,26.8
2012-03-09,27.0
2012-03-12,27.1
2012-03-13,27.2
2012-03-14,27.2
2012-03-15,26.5
2012-03-16,26.25
2012-03-19,25.95
2012-03-20,26.2
2012-03-21,26.15
2012-03-22,25.9
2012-03-23,25.55
2012-03-26,25.3
2012-03-27,24.9
2012-03-28,24.2
2012-03-29,23.95
2012-03-30,23.85
2012-04-02,23.95
2012-04-03,24.4
2012-04-04,24.35
2012-04-09,24.05
2012-04-10,24.7
2012-04-11,24.35
2012-04-12,24.3
2012-04-13,24.0
2012-04-16,24.15
2012-04-17,24.15
2012-04-18,24.15
2012-04-19,24.55
2012-04-20,24.0
2012-04-23,24.15
2012-04-24,23.6
2012-04-25,23.45
2012-04-26,23.65
2012-04-27,23.05
2012-04-28,23.6
2012-04-30,23.3
2012-05-02,22.95
2012-05-03,22.9
2012-05-04,22.85
2012-05-07,22.6
2012-05-08,23.0
2012-05-09,22.8
2012-05-10,21.8
2012-05-11,22.15
2012-05-14,21.75
2012-05-15,21.55
2012-05-16,21.1
2012-05-17,20.9
2012-05-18,21.2
2012-05-21,21.4
2012-05-22,20.7
2012-05-23,21.0
2012-05-24,20.5
2012-05-25,21.35
2012-05-28,21.05
2012-05-29,21.2
2012-05-30,21.1
2012-05-31,21.0
2012-06-01,21.2
2012-06-04,21.1
2012-06-05,21.7
2012-06-06,21.35
2012-06-07,21.35
2012-06-08,21.45
2012-06-11,22.25
2012-06-12,23.2
2012-06-13,24.25
2012-06-14,27.2
2012-06-15,26.2
2012-06-18,26.15
2012-06-19,26.15
2012-06-20,26.05
2012-06-21,26.7
2012-06-22,26.7
2012-06-25,27.1
2012-06-26,27.15
2012-06-27,27.2
2012-06-28,27.25
2012-06-29,27.9
2012-07-02,27.85
2012-07-03,27.45
2012-07-04,27.95
2012-07-05,27.95
2012-07-06,28.05
2012-07-09,28.45
2012-07-09,28.45
2012-07-10,28.9
2012-07-11,28.5
2012-07-12,28.05
2012-07-13,27.7
2012-07-16,27.8
2012-07-17,27.75
2012-07-18,28.0
2012-07-19,27.85
2012-07-20,28.35
2012-07-23,27.3
2012-07-24,27.4
2012-07-25,27.0
2012-07-26,26.3
2012-07-27,26.0
2012-07-30,25.25
2012-07-31,25.2
2012-08-01,25.8
2012-08-02,26.4
2012-08-03,26.05
2012-08-06,25.85
2012-08-07,26.35
2012-08-08,26.8
2012-08-09,26.7
2012-08-10,27.2
2012-08-13,26.9
2012-08-14,27.25
2012-08-16,26.8
2012-08-17,27.0
2012-08-21,27.05
2012-08-22,27.4
2012-08-23,27.15
2012-08-24,26.95
2012-08-27,26.6
2012-08-28,26.0
2012-08-29,27.0
2012-08-30,27.0
2012-08-31,26.6
2012-09-03,27.0
2012-09-04,26.6
2012-09-05,27.0
2012-09-06,27.0
2012-09-07,26.7
2012-09-08,26.2
2012-09-10,26.65
2012-09-11,27.2
2012-09-12,27.1
2012-09-13,27.4
2012-09-14,27.25
2012-09-17,27.05
2012-09-18,27.45
2012-09-20,26.95
2012-09-21,27.1
2012-09-24,27.05
2012-09-25,27.15
2012-09-26,26.95
2012-09-27,27.15
2012-09-28,27.25
2012-10-01,29.1
2012-10-03,29.6
2012-10-04,29.75
2012-10-05,30.4
2012-10-08,34.15
2012-10-09,32.7
2012-10-10,32.4
2012-10-11,34.35
2012-10-12,40.95
2012-10-15,39.85
2012-10-16,38.2
2012-10-17,40.1
2012-10-18,41.1
2012-10-19,40.45
2012-10-22,40.1
2012-10-23,39.95
2012-10-25,38.35
2012-10-26,38.8
2012-10-29,38.95
2012-10-30,38.65
2012-10-31,38.1
2012-11-01,38.8
2012-11-02,38.9
2012-11-05,40.15
2012-11-06,41.8
2012-11-07,41.5
2012-11-08,41.5
2012-11-09,40.85
2012-11-12,40.35
2012-11-13,41.85
2012-11-15,41.0
2012-11-16,40.0
2012-11-19,39.05
2012-11-20,38.55
2012-11-21,38.15
2012-11-22,37.4
2012-11-23,36.55
2012-11-26,37.0
2012-11-27,38.35
2012-11-29,38.1
2012-11-30,38.05
2012-12-03,39.0
2012-12-04,39.0
2012-12-05,40.05
2012-12-06,40.25
2012-12-07,39.8
2012-12-10,39.4
2012-12-11,39.15
2012-12-12,40.0
2012-12-13,39.5
2012-12-14,39.45
2012-12-17,39.9
2012-12-18,39.55
2012-12-19,40.0
2012-12-20,40.8
2012-12-21,41.0
2012-12-24,41.0
2012-12-26,41.1
2012-12-27,41.05
2012-12-28,41.15
2012-12-31,41.35
