Date,ADANIENT
2012-01-02,288.65
2012-01-03,287.35
2012-01-04,278.15
2012-01-05,267.1
2012-01-06,268.55
2012-01-07,269.15
2012-01-09,267.8
2012-01-10,283.35
2012-01-11,314.0
2012-01-12,321.15
2012-01-13,322.9
2012-01-16,355.0
2012-01-17,372.4
2012-01-18,399.85
2012-01-19,440.5
2012-01-20,405.8
2012-01-23,399.45
2012-01-24,405.6
2012-01-25,399.9
2012-01-27,423.45
2012-01-30,393.35
2012-01-31,415.9
2012-02-01,436.25
2012-02-02,430.05
2012-02-03,427.35
2012-02-06,435.05
2012-02-07,401.55
2012-02-08,410.25
2012-02-09,391.8
2012-02-10,393.8
2012-02-13,372.8
2012-02-14,356.1
2012-02-15,378.4
2012-02-16,392.2
2012-02-17,414.25
2012-02-21,421.8
2012-02-22,387.25
2012-02-23,384.4
2012-02-24,376.7
2012-02-27,347.55
2012-02-28,367.75
2012-02-29,374.75
2012-03-01,366.65
2012-03-02,353.2
2012-03-03,359.0
2012-03-05,358.9
2012-03-06,350.5
2012-03-07,319.0
2012-03-09,317.55
2012-03-12,324.6
2012-03-13,333.4
2012-03-14,325.3
2012-03-15,316.85
2012-03-16,307.35
2012-03-19,294.95
2012-03-20,284.25
2012-03-21,299.4
2012-03-22,284.25
2012-03-23,288.75
2012-03-26,276.3
2012-03-27,284.9
2012-03-28,284.2
2012-03-29,299.65
2012-03-30,304.85
2012-04-02,308.0
2012-04-03,320.5
2012-04-04,317.6
2012-04-09,310.75
2012-04-10,316.0
2012-04-11,307.25
2012-04-12,309.55
2012-04-13,303.45
2012-04-16,304.9
2012-04-17,303.45
2012-04-18,307.35
2012-04-19,299.9
2012-04-20,287.35
2012-04-23,278.4
2012-04-24,278.85
2012-04-25,275.75
2012-04-26,272.75
2012-04-27,275.4
2012-04-28,276.35
2012-04-30,280.95
2012-05-02,279.25
2012-05-03,271.3
2012-05-04,269.2
2012-05-07,277.05
2012-05-08,268.75
2012-05-09,258.05
2012-05-10,257.5
2012-05-11,251.55
2012-05-14,239.95
2012-05-15,236.45
2012-05-16,230.25
2012-05-17,229.05
2012-05-18,232.15
2012-05-21,239.15
2012-05-22,242.2
2012-05-23,241.35
2012-05-24,242.3
2012-05-25,259.5
2012-05-28,262.35
2012-05-29,266.85
2012-05-30,262.05
2012-05-31,260.55
2012-06-01,239.9
2012-06-04,230.5
2012-06-05,228.95
2012-06-06,231.25
2012-06-07,230.65
2012-06-08,227.7
2012-06-11,225.4
2012-06-12,228.45
2012-06-13,223.9
2012-06-14,220.7
2012-06-15,222.55
2012-06-18,208.2
2012-06-19,209.05
2012-06-20,216.3
2012-06-21,218.4
2012-06-22,219.65
2012-06-25,211.55
2012-06-26,212.55
2012-06-27,219.35
2012-06-28,217.55
2012-06-29,222.4
2012-07-02,235.0
2012-07-03,238.15
2012-07-04,237.5
2012-07-05,238.9
2012-07-06,234.35
2012-07-09,224.2
2012-07-09,224.2
2012-07-10,228.95
2012-07-11,229.55
2012-07-12,224.75
2012-07-13,222.35
2012-07-16,212.25
2012-07-17,194.5
2012-07-18,198.7
2012-07-19,195.85
2012-07-20,195.7
2012-07-23,191.8
2012-07-24,192.35
2012-07-25,189.8
2012-07-26,180.75
2012-07-27,173.25
2012-07-30,178.1
2012-07-31,180.9
2012-08-01,185.35
2012-08-02,185.75
2012-08-03,179.8
2012-08-06,181.0
2012-08-07,182.7
2012-08-08,181.05
2012-08-09,177.9
2012-08-10,177.5
2012-08-13,182.95
2012-08-14,191.8
2012-08-16,191.0
2012-08-17,183.2
2012-08-21,185.15
2012-08-22,181.85
2012-08-23,178.5
2012-08-24,174.75
2012-08-27,159.1
2012-08-28,155.9
2012-08-29,154.6
2012-08-30,155.35
2012-08-31,155.8
2012-09-03,157.1
2012-09-04,158.15
2012-09-05,154.4
2012-09-06,153.55
2012-09-07,155.15
2012-09-08,155.3
2012-09-10,170.1
2012-09-11,179.5
2012-09-12,175.8
2012-09-13,177.75
2012-09-14,188.95
2012-09-17,192.5
2012-09-18,196.3
2012-09-20,199.7
2012-09-21,203.05
2012-09-24,199.0
2012-09-25,200.3
2012-09-26,198.25
2012-09-27,196.3
2012-09-28,201.15
2012-10-01,198.1
2012-10-03,208.6
2012-10-04,225.15
2012-10-05,235.55
2012-10-08,227.35
2012-10-09,220.3
2012-10-10,211.15
2012-10-11,225.35
2012-10-12,222.65
2012-10-15,221.0
2012-10-16,214.35
2012-10-17,213.85
2012-10-18,220.75
2012-10-19,216.15
2012-10-22,223.35
2012-10-23,223.9
2012-10-25,221.8
2012-10-26,216.65
2012-10-29,215.75
2012-10-30,214.8
2012-10-31,215.35
2012-11-01,225.6
2012-11-02,225.1
2012-11-05,224.3
2012-11-06,227.9
2012-11-07,228.9
2012-11-08,226.95
2012-11-09,225.2
2012-11-12,226.0
2012-11-13,224.8
2012-11-15,235.85
2012-11-16,225.3
2012-11-19,225.5
2012-11-20,222.2
2012-11-21,225.1
2012-11-22,223.85
2012-11-23,226.1
2012-11-26,228.6
2012-11-27,232.4
2012-11-29,230.75
2012-11-30,239.75
2012-12-03,259.15
2012-12-04,254.4
2012-12-05,249.25
2012-12-06,261.85
2012-12-07,263.25
2012-12-10,266.9
2012-12-11,271.95
2012-12-12,275.45
2012-12-13,265.8
2012-12-14,269.4
2012-12-17,280.2
2012-12-18,282.65
2012-12-19,291.7
2012-12-20,271.0
2012-12-21,272.95
2012-12-24,274.65
2012-12-26,272.8
2012-12-27,270.35
2012-12-28,272.15
2012-12-31,271.35
