Date,RENUKA
2012-01-02,24.75
2012-01-03,25.9
2012-01-04,25.85
2012-01-05,25.15
2012-01-06,25.7
2012-01-07,26.5
2012-01-09,28.55
2012-01-10,29.5
2012-01-11,30.25
2012-01-12,32.35
2012-01-13,33.05
2012-01-16,32.3
2012-01-17,33.35
2012-01-18,32.9
2012-01-19,33.65
2012-01-20,34.65
2012-01-23,34.6
2012-01-24,35.25
2012-01-25,36.8
2012-01-27,39.25
2012-01-30,37.25
2012-01-31,38.05
2012-02-01,39.7
2012-02-02,38.85
2012-02-03,39.25
2012-02-06,39.5
2012-02-07,40.1
2012-02-08,40.25
2012-02-09,39.5
2012-02-10,38.8
2012-02-13,37.15
2012-02-14,39.6
2012-02-15,40.7
2012-02-16,39.8
2012-02-17,39.65
2012-02-21,40.5
2012-02-22,37.4
2012-02-23,38.5
2012-02-24,37.65
2012-02-27,35.6
2012-02-28,37.0
2012-02-29,37.8
2012-03-01,38.1
2012-03-02,39.0
2012-03-03,39.2
2012-03-05,38.8
2012-03-06,36.5
2012-03-07,36.7
2012-03-09,37.0
2012-03-12,37.75
2012-03-13,38.05
2012-03-14,37.85
2012-03-15,37.0
2012-03-16,36.55
2012-03-19,33.6
2012-03-20,33.3
2012-03-21,35.1
2012-03-22,32.6
2012-03-23,32.85
2012-03-26,30.45
2012-03-27,31.1
2012-03-28,30.25
2012-03-29,29.75
2012-03-30,31.55
2012-04-02,31.8
2012-04-03,31.5
2012-04-04,31.7
2012-04-09,30.65
2012-04-10,31.4
2012-04-11,31.3
2012-04-12,33.15
2012-04-13,32.6
2012-04-16,32.9
2012-04-17,33.0
2012-04-18,33.7
2012-04-19,33.9
2012-04-20,32.45
2012-04-23,30.6
2012-04-24,30.4
2012-04-25,31.0
2012-04-26,30.55
2012-04-27,30.9
2012-04-28,31.4
2012-04-30,31.8
2012-05-02,30.8
2012-05-03,32.15
2012-05-04,31.0
2012-05-07,31.2
2012-05-08,30.5
2012-05-09,28.8
2012-05-10,29.2
2012-05-11,28.7
2012-05-14,28.3
2012-05-15,28.9
2012-05-16,28.35
2012-05-17,28.8
2012-05-18,28.3
2012-05-21,28.6
2012-05-22,28.3
2012-05-23,27.2
2012-05-24,26.85
2012-05-25,26.8
2012-05-28,27.2
2012-05-29,27.25
2012-05-30,26.15
2012-05-31,26.35
2012-06-01,25.7
2012-06-04,25.9
2012-06-05,25.5
2012-06-06,26.2
2012-06-07,27.85
2012-06-08,28.05
2012-06-11,27.4
2012-06-12,27.95
2012-06-13,27.8
2012-06-14,27.2
2012-06-15,28.35
2012-06-18,27.6
2012-06-19,27.7
2012-06-20,28.55
2012-06-21,29.0
2012-06-22,30.45
2012-06-25,29.9
2012-06-26,30.05
2012-06-27,30.65
2012-06-28,30.8
2012-06-29,31.6
2012-07-02,32.45
2012-07-03,33.15
2012-07-04,32.95
2012-07-05,34.6
2012-07-06,34.9
2012-07-09,34.2
2012-07-10,34.25
2012-07-11,33.75
2012-07-12,34.4
2012-07-13,33.95
2012-07-16,33.9
2012-07-17,32.15
2012-07-18,32.8
2012-07-19,32.9
2012-07-20,32.3
2012-07-23,32.45
2012-07-24,33.85
2012-07-25,33.25
2012-07-26,31.0
2012-07-27,29.4
2012-07-30,30.7
2012-07-31,30.9
2012-08-01,31.9
2012-08-02,32.0
2012-08-03,33.1
2012-08-06,34.35
2012-08-07,33.5
2012-08-08,32.65
2012-08-09,31.7
2012-08-10,32.3
2012-08-13,32.95
2012-08-14,32.7
2012-08-16,32.1
2012-08-17,33.7
2012-08-21,33.5
2012-08-22,32.2
2012-08-23,31.5
2012-08-24,31.55
2012-08-27,30.35
2012-08-28,30.15
2012-08-29,29.95
2012-08-30,30.05
2012-08-31,30.45
2012-09-03,31.85
2012-09-04,32.05
2012-09-05,31.65
2012-09-06,31.75
2012-09-07,31.7
2012-09-08,31.9
2012-09-10,32.95
2012-09-11,33.65
2012-09-12,32.7
2012-09-13,32.35
2012-09-14,32.75
2012-09-17,33.3
2012-09-18,35.3
2012-09-20,35.7
2012-09-21,36.35
2012-09-24,37.4
2012-09-25,35.15
2012-09-26,35.05
2012-09-27,35.7
2012-09-28,36.05
2012-10-01,36.85
2012-10-03,37.25
2012-10-04,37.35
2012-10-05,35.95
2012-10-08,34.8
2012-10-09,35.65
2012-10-10,35.2
2012-10-11,36.7
2012-10-12,36.35
2012-10-15,36.6
2012-10-16,35.2
2012-10-17,34.7
2012-10-18,35.1
2012-10-19,34.45
2012-10-22,34.05
2012-10-23,32.8
2012-10-25,32.3
2012-10-26,31.45
2012-10-29,30.65
2012-10-30,30.65
2012-10-31,31.45
2012-11-01,31.8
2012-11-02,31.5
2012-11-05,31.6
2012-11-06,31.7
2012-11-07,32.05
2012-11-08,31.8
2012-11-09,31.2
2012-11-12,31.45
2012-11-13,31.35
2012-11-15,31.9
2012-11-16,30.9
2012-11-19,30.45
2012-11-20,29.6
2012-11-21,29.7
2012-11-22,29.3
2012-11-23,29.2
2012-11-26,28.6
2012-11-27,29.15
2012-11-29,29.1
2012-11-30,31.2
2012-12-03,31.6
2012-12-04,31.6
2012-12-05,33.1
2012-12-06,33.7
2012-12-07,34.1
2012-12-10,33.25
2012-12-11,32.3
2012-12-12,32.6
2012-12-13,31.45
2012-12-14,31.3
2012-12-17,30.45
2012-12-18,30.8
2012-12-19,30.85
2012-12-20,30.55
2012-12-21,30.4
2012-12-24,30.75
2012-12-26,30.85
2012-12-27,30.7
2012-12-28,31.15
2012-12-31,31.75
