Date,SHARONBIO
2012-01-02,296.5
2012-01-03,304.0
2012-01-04,303.0
2012-01-05,298.55
2012-01-06,297.3
2012-01-07,295.15
2012-01-09,292.75
2012-01-10,295.95
2012-01-11,294.6
2012-01-12,293.8
2012-01-13,295.0
2012-01-16,295.7
2012-01-17,299.4
2012-01-18,300.65
2012-01-19,305.95
2012-01-20,318.95
2012-01-23,316.05
2012-01-24,316.05
2012-01-25,316.15
2012-01-27,318.65
2012-01-30,316.45
2012-01-31,319.95
2012-02-01,321.65
2012-02-02,325.0
2012-02-03,324.85
2012-02-06,326.9
2012-02-07,333.95
2012-02-08,332.9
2012-02-09,335.55
2012-02-10,335.35
2012-02-13,341.05
2012-02-14,343.0
2012-02-15,342.15
2012-02-16,346.2
2012-02-17,347.5
2012-02-21,351.0
2012-02-22,350.05
2012-02-23,349.55
2012-02-24,350.45
2012-02-27,349.8
2012-02-28,352.85
2012-02-29,354.25
2012-03-01,355.0
2012-03-02,351.95
2012-03-03,354.55
2012-03-05,352.0
2012-03-06,351.3
2012-03-07,360.65
2012-03-09,369.1
2012-03-12,368.2
2012-03-13,369.65
2012-03-14,369.1
2012-03-15,371.0
2012-03-16,363.55
2012-03-19,364.95
2012-03-20,361.9
2012-03-21,361.95
2012-03-22,360.55
2012-03-23,360.75
2012-03-26,359.3
2012-03-27,358.15
2012-03-28,357.2
2012-03-29,357.35
2012-03-30,359.0
2012-04-02,363.9
2012-04-03,360.85
2012-04-04,368.3
2012-04-09,366.3
2012-04-10,370.9
2012-04-11,373.45
2012-04-12,379.25
2012-04-13,383.4
2012-04-16,384.55
2012-04-17,394.8
2012-04-18,405.75
2012-04-19,411.35
2012-04-20,426.3
2012-04-23,425.95
2012-04-24,425.7
2012-04-25,426.85
2012-04-26,434.15
2012-04-27,447.8
2012-04-28,448.7
2012-04-30,448.5
2012-05-02,452.3
2012-05-03,450.35
2012-05-04,444.05
2012-05-07,447.5
2012-05-08,453.1
2012-05-09,454.85
2012-05-10,453.75
2012-05-11,446.3
2012-05-14,443.75
2012-05-15,444.6
2012-05-16,442.0
2012-05-17,434.1
2012-05-18,418.15
2012-05-21,421.0
2012-05-22,419.7
2012-05-23,416.55
2012-05-24,418.55
2012-05-25,433.25
2012-05-28,435.9
2012-05-29,439.65
2012-05-30,444.6
2012-05-31,445.4
2012-06-01,442.65
2012-06-04,443.15
2012-06-05,445.1
2012-06-06,451.7
2012-06-07,444.25
2012-06-08,442.15
2012-06-11,447.0
2012-06-12,448.1
2012-06-13,446.25
2012-06-14,445.25
2012-06-15,443.9
2012-06-18,445.15
2012-06-19,446.3
2012-06-20,444.55
2012-06-21,439.9
2012-06-22,438.05
2012-06-25,440.75
2012-06-26,440.05
2012-06-27,439.2
2012-06-28,435.15
2012-06-29,442.9
2012-07-02,440.45
2012-07-03,440.85
2012-07-04,440.35
2012-07-05,439.5
2012-07-06,438.25
2012-07-09,439.35
2012-07-10,450.15
2012-07-11,452.6
2012-07-12,452.3
2012-07-13,447.7
2012-07-16,449.3
2012-07-17,451.5
2012-07-18,449.3
2012-07-19,449.0
2012-07-20,447.2
2012-07-23,443.75
2012-07-24,440.35
2012-07-25,437.2
2012-07-26,425.8
2012-07-27,425.35
2012-07-30,421.8
2012-07-31,422.65
2012-08-01,420.5
2012-08-02,417.65
2012-08-03,410.1
2012-08-06,412.65
2012-08-07,419.4
2012-08-08,413.25
2012-08-09,407.0
2012-08-10,407.55
2012-08-13,405.4
2012-08-14,407.0
2012-08-16,407.1
2012-08-17,406.45
2012-08-21,406.7
2012-08-22,407.15
2012-08-23,407.55
2012-08-24,406.0
2012-08-27,404.95
2012-08-28,404.55
2012-08-29,408.25
2012-08-30,406.95
2012-08-31,406.95
2012-09-03,405.95
2012-09-04,350.4
2012-09-05,368.4
2012-09-06,380.45
2012-09-07,367.1
2012-09-08,375.2
2012-09-10,370.9
2012-09-11,370.1
2012-09-12,369.65
2012-09-13,368.5
2012-09-14,366.5
2012-09-17,365.3
2012-09-18,365.0
2012-09-20,364.45
2012-09-21,366.0
2012-09-24,365.15
2012-09-25,365.35
2012-09-26,364.55
2012-09-27,364.95
2012-09-28,365.2
2012-10-01,364.9
2012-10-03,365.0
2012-10-04,364.45
2012-10-05,364.85
2012-10-08,365.45
2012-10-09,364.75
2012-10-10,364.9
2012-10-11,364.8
2012-10-12,365.15
2012-10-15,365.25
2012-10-16,365.3
2012-10-17,365.5
2012-10-18,364.65
2012-10-19,366.0
2012-10-22,366.55
2012-10-23,364.4
2012-10-25,365.0
2012-10-26,365.0
2012-10-29,364.55
2012-10-30,364.0
2012-10-31,363.2
2012-11-01,363.05
2012-11-02,364.15
2012-11-05,364.05
2012-11-06,361.65
2012-11-07,361.45
2012-11-08,360.0
2012-11-09,360.0
2012-11-12,357.25
2012-11-13,361.15
2012-11-15,359.55
2012-11-16,354.45
2012-11-19,359.0
2012-11-20,351.85
2012-11-21,347.15
2012-11-22,345.3
2012-11-23,340.25
2012-11-26,342.4
2012-11-27,341.45
2012-11-29,344.0
2012-11-30,344.05
2012-12-03,342.0
2012-12-04,342.1
2012-12-05,341.55
2012-12-06,345.0
2012-12-07,343.25
2012-12-10,345.0
2012-12-11,343.15
2012-12-12,343.75
2012-12-13,342.8
2012-12-14,344.0
2012-12-17,343.0
2012-12-18,344.05
2012-12-19,343.0
2012-12-20,342.6
2012-12-21,354.0
2012-12-24,369.3
2012-12-26,426.45
2012-12-27,403.25
2012-12-28,384.5
2012-12-31,387.1
