Date,BASF
2012-01-02,455.55
2012-01-03,455.05
2012-01-04,453.9
2012-01-05,453.1
2012-01-06,461.8
2012-01-07,459.8
2012-01-09,457.35
2012-01-10,475.9
2012-01-11,490.05
2012-01-12,499.5
2012-01-13,503.15
2012-01-16,496.5
2012-01-17,494.3
2012-01-18,503.3
2012-01-19,508.45
2012-01-20,503.8
2012-01-23,498.9
2012-01-24,499.3
2012-01-25,518.85
2012-01-27,524.55
2012-01-30,520.0
2012-01-31,504.1
2012-02-01,491.25
2012-02-02,495.2
2012-02-03,497.35
2012-02-06,503.05
2012-02-07,504.5
2012-02-08,503.2
2012-02-09,506.6
2012-02-10,509.65
2012-02-13,511.15
2012-02-14,512.4
2012-02-15,513.8
2012-02-16,512.25
2012-02-17,501.5
2012-02-21,501.25
2012-02-22,500.3
2012-02-23,496.2
2012-02-24,503.6
2012-02-27,491.2
2012-02-28,491.65
2012-02-29,501.2
2012-03-01,498.8
2012-03-02,495.0
2012-03-03,498.7
2012-03-05,499.55
2012-03-06,494.75
2012-03-07,491.65
2012-03-09,492.05
2012-03-12,494.95
2012-03-13,500.25
2012-03-14,519.9
2012-03-15,512.75
2012-03-16,513.1
2012-03-19,520.25
2012-03-20,524.05
2012-03-21,522.8
2012-03-22,515.15
2012-03-23,511.6
2012-03-26,497.45
2012-03-27,495.6
2012-03-28,490.3
2012-03-29,498.75
2012-03-30,503.55
2012-04-02,513.2
2012-04-03,515.9
2012-04-04,516.7
2012-04-09,516.45
2012-04-10,508.5
2012-04-11,517.1
2012-04-12,547.1
2012-04-13,617.7
2012-04-16,650.7
2012-04-17,626.45
2012-04-18,641.1
2012-04-19,625.5
2012-04-20,629.05
2012-04-23,628.75
2012-04-24,631.75
2012-04-25,613.1
2012-04-26,583.85
2012-04-27,582.7
2012-04-28,578.0
2012-04-30,617.0
2012-05-02,606.65
2012-05-03,586.25
2012-05-04,581.05
2012-05-07,588.7
2012-05-08,574.55
2012-05-09,563.6
2012-05-10,560.45
2012-05-11,561.3
2012-05-14,551.8
2012-05-15,555.9
2012-05-16,556.55
2012-05-17,562.2
2012-05-18,554.3
2012-05-21,572.1
2012-05-22,569.9
2012-05-23,575.3
2012-05-24,577.7
2012-05-25,574.75
2012-05-28,582.7
2012-05-29,592.8
2012-05-30,581.85
2012-05-31,575.65
2012-06-01,568.0
2012-06-04,569.3
2012-06-05,574.8
2012-06-06,585.25
2012-06-07,589.2
2012-06-08,583.15
2012-06-11,578.75
2012-06-12,575.8
2012-06-13,579.2
2012-06-14,576.8
2012-06-15,578.9
2012-06-18,573.2
2012-06-19,571.7
2012-06-20,571.75
2012-06-21,584.15
2012-06-22,577.05
2012-06-25,573.5
2012-06-26,577.5
2012-06-27,573.25
2012-06-28,572.65
2012-06-29,573.05
2012-07-02,573.4
2012-07-03,574.85
2012-07-04,582.3
2012-07-05,608.85
2012-07-06,612.8
2012-07-09,593.25
2012-07-09,593.25
2012-07-10,590.6
2012-07-11,584.3
2012-07-12,582.1
2012-07-13,578.45
2012-07-16,573.6
2012-07-17,565.55
2012-07-18,564.0
2012-07-19,564.85
2012-07-20,566.8
2012-07-23,561.85
2012-07-24,558.25
2012-07-25,556.5
2012-07-26,551.8
2012-07-27,551.5
2012-07-30,550.95
2012-07-31,559.55
2012-08-01,631.3
2012-08-02,608.3
2012-08-03,610.25
2012-08-06,612.25
2012-08-07,615.15
2012-08-08,620.95
2012-08-09,622.3
2012-08-10,617.9
2012-08-13,623.45
2012-08-14,625.95
2012-08-16,629.55
2012-08-17,640.3
2012-08-21,656.1
2012-08-22,657.45
2012-08-23,658.4
2012-08-24,642.2
2012-08-27,628.55
2012-08-28,626.35
2012-08-29,620.9
2012-08-30,636.45
2012-08-31,624.2
2012-09-03,628.75
2012-09-04,633.0
2012-09-05,637.25
2012-09-06,645.45
2012-09-07,664.35
2012-09-08,670.35
2012-09-10,674.2
2012-09-11,671.25
2012-09-12,663.2
2012-09-13,664.35
2012-09-14,649.2
2012-09-17,652.5
2012-09-18,653.95
2012-09-20,653.2
2012-09-21,642.0
2012-09-24,654.2
2012-09-25,653.1
2012-09-26,648.1
2012-09-27,648.55
2012-09-28,651.95
2012-10-01,657.9
2012-10-03,669.15
2012-10-04,670.65
2012-10-05,660.55
2012-10-08,658.35
2012-10-09,659.05
2012-10-10,646.85
2012-10-11,666.55
2012-10-12,657.55
2012-10-15,676.75
2012-10-16,678.1
2012-10-17,671.75
2012-10-18,677.95
2012-10-19,701.9
2012-10-22,680.85
2012-10-23,676.75
2012-10-25,664.7
2012-10-26,658.9
2012-10-29,653.5
2012-10-30,652.15
2012-10-31,652.2
2012-11-01,665.2
2012-11-02,673.3
2012-11-05,673.75
2012-11-06,686.25
2012-11-07,677.7
2012-11-08,672.45
2012-11-09,675.15
2012-11-12,671.55
2012-11-13,677.3
2012-11-15,673.75
2012-11-16,671.6
2012-11-19,670.1
2012-11-20,661.7
2012-11-21,665.35
2012-11-22,670.1
2012-11-23,670.25
2012-11-26,669.5
2012-11-27,669.25
2012-11-29,715.15
2012-11-30,730.45
2012-12-03,735.9
2012-12-04,722.85
2012-12-05,725.9
2012-12-06,716.45
2012-12-07,715.9
2012-12-10,715.65
2012-12-11,718.0
2012-12-12,724.75
2012-12-13,707.6
2012-12-14,706.55
2012-12-17,707.85
2012-12-18,722.45
2012-12-19,750.45
2012-12-20,749.3
2012-12-21,734.0
2012-12-24,732.0
2012-12-26,728.3
2012-12-27,726.55
2012-12-28,723.7
2012-12-31,727.05
