Date,PATELENG
2012-01-02,80.4
2012-01-03,82.7
2012-01-04,82.55
2012-01-05,82.95
2012-01-06,81.65
2012-01-07,82.25
2012-01-09,86.15
2012-01-10,88.4
2012-01-11,92.25
2012-01-12,91.05
2012-01-13,95.3
2012-01-16,98.4
2012-01-17,97.95
2012-01-18,93.75
2012-01-19,98.5
2012-01-20,96.75
2012-01-23,97.75
2012-01-24,100.65
2012-01-25,103.75
2012-01-27,104.9
2012-01-30,98.05
2012-01-31,101.75
2012-02-01,107.65
2012-02-02,104.4
2012-02-03,106.3
2012-02-06,110.9
2012-02-07,106.1
2012-02-08,108.35
2012-02-09,113.4
2012-02-10,114.4
2012-02-13,112.9
2012-02-14,116.55
2012-02-15,120.5
2012-02-16,119.0
2012-02-17,119.05
2012-02-21,121.15
2012-02-22,112.3
2012-02-23,110.0
2012-02-24,108.6
2012-02-27,101.8
2012-02-28,109.05
2012-02-29,109.2
2012-03-01,107.25
2012-03-02,108.75
2012-03-03,108.75
2012-03-05,110.15
2012-03-06,104.65
2012-03-07,105.3
2012-03-09,110.95
2012-03-12,115.9
2012-03-13,117.35
2012-03-14,117.2
2012-03-15,111.05
2012-03-16,107.8
2012-03-19,102.3
2012-03-20,107.1
2012-03-21,110.8
2012-03-22,104.8
2012-03-23,108.0
2012-03-26,104.75
2012-03-27,106.05
2012-03-28,102.0
2012-03-29,101.0
2012-03-30,105.9
2012-04-02,108.85
2012-04-03,110.0
2012-04-04,111.85
2012-04-09,108.05
2012-04-10,108.35
2012-04-11,109.3
2012-04-12,116.55
2012-04-13,112.6
2012-04-16,116.45
2012-04-17,120.3
2012-04-18,122.85
2012-04-19,122.35
2012-04-20,119.25
2012-04-23,116.1
2012-04-24,115.4
2012-04-25,112.85
2012-04-26,109.35
2012-04-27,104.4
2012-04-28,104.35
2012-04-30,107.0
2012-05-02,106.2
2012-05-03,103.45
2012-05-04,103.2
2012-05-07,103.55
2012-05-08,97.9
2012-05-09,94.9
2012-05-10,93.25
2012-05-11,91.7
2012-05-14,87.55
2012-05-15,89.6
2012-05-16,87.45
2012-05-17,85.75
2012-05-18,84.65
2012-05-21,85.8
2012-05-22,84.45
2012-05-23,82.4
2012-05-24,82.95
2012-05-25,84.95
2012-05-28,87.0
2012-05-29,86.5
2012-05-30,83.15
2012-05-31,85.95
2012-06-01,84.15
2012-06-04,83.7
2012-06-05,84.85
2012-06-06,88.95
2012-06-07,91.65
2012-06-08,91.55
2012-06-11,91.35
2012-06-12,92.95
2012-06-13,92.05
2012-06-14,88.35
2012-06-15,89.45
2012-06-18,85.95
2012-06-19,86.55
2012-06-20,90.45
2012-06-21,92.85
2012-06-22,91.05
2012-06-25,90.7
2012-06-26,91.25
2012-06-27,91.7
2012-06-28,89.65
2012-06-29,94.25
2012-07-02,97.65
2012-07-03,97.9
2012-07-04,98.65
2012-07-05,101.4
2012-07-06,99.5
2012-07-09,95.25
2012-07-09,95.25
2012-07-10,98.9
2012-07-11,100.55
2012-07-12,98.45
2012-07-13,97.6
2012-07-16,95.6
2012-07-17,94.4
2012-07-18,95.05
2012-07-19,95.4
2012-07-20,93.7
2012-07-23,91.2
2012-07-24,88.4
2012-07-25,85.7
2012-07-26,80.55
2012-07-27,78.4
2012-07-30,82.75
2012-07-31,83.75
2012-08-01,84.8
2012-08-02,85.0
2012-08-03,83.95
2012-08-06,83.95
2012-08-07,84.65
2012-08-08,82.8
2012-08-09,81.65
2012-08-10,81.15
2012-08-13,80.85
2012-08-14,80.7
2012-08-16,80.65
2012-08-17,78.5
2012-08-21,79.05
2012-08-22,77.55
2012-08-23,76.65
2012-08-24,75.7
2012-08-27,72.8
2012-08-28,69.15
2012-08-29,67.2
2012-08-30,66.5
2012-08-31,66.5
2012-09-03,65.8
2012-09-04,64.35
2012-09-05,64.35
2012-09-06,65.0
2012-09-07,66.55
2012-09-08,67.1
2012-09-10,67.5
2012-09-11,65.95
2012-09-12,64.85
2012-09-13,63.2
2012-09-14,64.2
2012-09-17,68.0
2012-09-18,72.95
2012-09-20,72.95
2012-09-21,74.05
2012-09-24,74.9
2012-09-25,73.75
2012-09-26,77.05
2012-09-27,75.85
2012-09-28,77.15
2012-10-01,77.4
2012-10-03,80.8
2012-10-04,84.0
2012-10-05,82.4
2012-10-08,86.6
2012-10-09,84.95
2012-10-10,81.9
2012-10-11,82.35
2012-10-12,82.3
2012-10-15,82.7
2012-10-16,81.15
2012-10-17,80.25
2012-10-18,81.2
2012-10-19,80.15
2012-10-22,78.7
2012-10-23,78.8
2012-10-25,81.2
2012-10-26,79.85
2012-10-29,79.1
2012-10-30,77.25
2012-10-31,76.75
2012-11-01,77.1
2012-11-02,78.3
2012-11-05,77.0
2012-11-06,77.45
2012-11-07,78.85
2012-11-08,78.5
2012-11-09,77.6
2012-11-12,76.9
2012-11-13,77.35
2012-11-15,76.5
2012-11-16,76.4
2012-11-19,75.6
2012-11-20,73.1
2012-11-21,73.3
2012-11-22,75.35
2012-11-23,76.05
2012-11-26,77.75
2012-11-27,78.15
2012-11-29,79.5
2012-11-30,82.7
2012-12-03,81.25
2012-12-04,82.55
2012-12-05,82.25
2012-12-06,82.3
2012-12-07,85.45
2012-12-10,86.9
2012-12-11,84.25
2012-12-12,83.1
2012-12-13,81.45
2012-12-14,80.9
2012-12-17,79.9
2012-12-18,81.3
2012-12-19,82.15
2012-12-20,81.55
2012-12-21,81.6
2012-12-24,81.45
2012-12-26,81.35
2012-12-27,81.15
2012-12-28,80.55
2012-12-31,80.25
