Date,CASTEXTECH
2012-01-02,97.0
2012-01-03,96.9
2012-01-04,96.4
2012-01-05,96.1
2012-01-06,96.7
2012-01-07,96.4
2012-01-09,96.5
2012-01-10,97.85
2012-01-11,99.05
2012-01-12,97.9
2012-01-13,98.45
2012-01-16,95.85
2012-01-17,98.8
2012-01-18,98.7
2012-01-19,99.25
2012-01-20,99.8
2012-01-23,99.35
2012-01-24,99.6
2012-01-25,98.8
2012-01-27,99.5
2012-01-30,98.7
2012-01-31,99.25
2012-02-01,99.05
2012-02-02,99.55
2012-02-03,99.4
2012-02-06,99.15
2012-02-07,99.05
2012-02-08,99.55
2012-02-09,99.85
2012-02-10,99.45
2012-02-13,99.3
2012-02-14,99.1
2012-02-15,99.35
2012-02-16,99.6
2012-02-17,99.25
2012-02-21,99.2
2012-02-22,99.3
2012-02-23,106.55
2012-02-24,108.0
2012-02-27,98.95
2012-02-28,99.4
2012-02-29,99.4
2012-03-01,99.45
2012-03-02,98.75
2012-03-03,98.9
2012-03-05,99.3
2012-03-06,98.15
2012-03-07,99.35
2012-03-09,101.4
2012-03-12,99.0
2012-03-13,97.75
2012-03-14,97.25
2012-03-15,99.2
2012-03-16,99.7
2012-03-19,98.1
2012-03-20,106.75
2012-03-21,103.25
2012-03-22,102.5
2012-03-23,103.45
2012-03-26,102.4
2012-03-27,106.4
2012-03-28,106.35
2012-03-29,108.1
2012-03-30,106.65
2012-04-02,108.2
2012-04-03,106.75
2012-04-04,107.9
2012-04-09,107.15
2012-04-10,107.2
2012-04-11,105.25
2012-04-12,105.3
2012-04-13,105.3
2012-04-16,105.15
2012-04-17,105.15
2012-04-18,105.2
2012-04-19,107.65
2012-04-20,109.3
2012-04-23,109.3
2012-04-24,108.55
2012-04-25,109.2
2012-04-26,106.0
2012-04-27,104.7
2012-04-28,104.4
2012-04-30,105.15
2012-05-02,103.9
2012-05-03,103.75
2012-05-04,102.15
2012-05-07,101.9
2012-05-08,97.9
2012-05-09,100.1
2012-05-10,99.4
2012-05-11,97.95
2012-05-14,97.2
2012-05-15,95.9
2012-05-16,95.35
2012-05-17,93.65
2012-05-18,92.1
2012-05-21,91.45
2012-05-22,89.7
2012-05-23,90.35
2012-05-24,93.0
2012-05-25,94.9
2012-05-28,97.9
2012-05-29,99.2
2012-05-30,101.5
2012-05-31,102.0
2012-06-01,100.95
2012-06-04,100.6
2012-06-05,101.65
2012-06-06,101.6
2012-06-07,101.4
2012-06-08,101.9
2012-06-11,101.5
2012-06-12,101.45
2012-06-13,99.9
2012-06-14,99.5
2012-06-15,100.75
2012-06-18,101.4
2012-06-19,102.35
2012-06-20,103.85
2012-06-21,104.1
2012-06-22,103.95
2012-06-25,104.9
2012-06-26,104.85
2012-06-27,104.45
2012-06-28,104.5
2012-06-29,104.0
2012-07-02,101.85
2012-07-03,100.75
2012-07-04,99.75
2012-07-05,100.2
2012-07-06,98.35
2012-07-09,96.75
2012-07-09,96.75
2012-07-10,94.85
2012-07-11,94.75
2012-07-12,93.85
2012-07-13,92.95
2012-07-16,92.45
2012-07-17,92.25
2012-07-18,91.1
2012-07-19,92.85
2012-07-20,95.9
2012-07-23,93.35
2012-07-24,92.45
2012-07-25,91.65
2012-07-26,91.4
2012-07-27,90.15
2012-07-30,90.75
2012-07-31,91.35
2012-08-01,91.6
2012-08-02,91.5
2012-08-03,91.65
2012-08-06,88.6
2012-08-07,87.15
2012-08-08,86.4
2012-08-09,83.05
2012-08-10,90.4
2012-08-13,97.5
2012-08-14,97.2
2012-08-16,97.65
2012-08-17,97.4
2012-08-21,97.55
2012-08-22,97.6
2012-08-23,97.35
2012-08-24,98.0
2012-08-27,99.2
2012-08-28,97.85
2012-08-29,96.8
2012-08-30,96.7
2012-08-31,97.75
2012-09-03,98.3
2012-09-04,97.5
2012-09-05,99.0
2012-09-06,98.95
2012-09-07,98.0
2012-09-08,98.25
2012-09-10,98.35
2012-09-11,98.3
2012-09-12,98.95
2012-09-13,98.1
2012-09-14,98.6
2012-09-17,99.5
2012-09-18,98.55
2012-09-20,98.4
2012-09-21,91.45
2012-09-24,95.95
2012-09-25,96.65
2012-09-26,96.85
2012-09-27,95.45
2012-09-28,96.5
2012-10-01,96.0
2012-10-03,96.3
2012-10-04,99.0
2012-10-05,100.15
2012-10-08,100.1
2012-10-09,101.05
2012-10-10,98.15
2012-10-11,97.7
2012-10-12,98.15
2012-10-15,98.45
2012-10-16,97.95
2012-10-17,99.0
2012-10-18,99.75
2012-10-19,99.1
2012-10-22,98.9
2012-10-23,96.5
2012-10-25,98.7
2012-10-26,98.35
2012-10-29,101.25
2012-10-30,95.3
2012-10-31,95.0
2012-11-01,95.7
2012-11-02,95.05
2012-11-05,95.75
2012-11-06,105.65
2012-11-07,108.25
2012-11-08,107.65
2012-11-09,105.25
2012-11-12,107.9
2012-11-13,105.8
2012-11-15,105.5
2012-11-16,107.9
2012-11-19,102.8
2012-11-20,109.15
2012-11-21,104.15
2012-11-22,102.0
2012-11-23,99.3
2012-11-26,97.85
2012-11-27,100.25
2012-11-29,100.25
2012-11-30,103.9
2012-12-03,102.85
2012-12-04,102.8
2012-12-05,103.3
2012-12-06,103.1
2012-12-07,105.25
2012-12-10,102.15
2012-12-11,101.2
2012-12-12,100.3
2012-12-13,99.6
2012-12-14,100.35
2012-12-17,107.15
2012-12-18,114.8
2012-12-19,117.9
2012-12-20,118.4
2012-12-21,117.8
2012-12-24,115.85
2012-12-26,112.85
2012-12-27,110.7
2012-12-28,107.25
2012-12-31,106.05
