Date,JTEKTINDIA
2012-01-02,10.7
2012-01-03,11.35
2012-01-04,11.05
2012-01-05,11.25
2012-01-06,11.45
2012-01-07,11.35
2012-01-09,11.45
2012-01-10,12.15
2012-01-11,12.4
2012-01-12,12.75
2012-01-13,12.9
2012-01-16,13.1
2012-01-17,13.0
2012-01-18,12.95
2012-01-19,13.2
2012-01-20,12.95
2012-01-23,12.35
2012-01-24,13.4
2012-01-25,13.2
2012-01-27,13.7
2012-01-30,13.65
2012-01-31,13.5
2012-02-01,13.75
2012-02-02,14.2
2012-02-03,14.4
2012-02-06,14.4
2012-02-07,14.2
2012-02-08,14.3
2012-02-09,14.45
2012-02-10,14.4
2012-02-13,14.15
2012-02-14,13.85
2012-02-15,14.05
2012-02-16,14.5
2012-02-17,14.1
2012-02-21,14.0
2012-02-22,13.8
2012-02-23,13.6
2012-02-24,13.6
2012-02-27,13.05
2012-02-28,13.55
2012-02-29,13.95
2012-03-01,13.45
2012-03-02,13.4
2012-03-03,13.35
2012-03-05,13.25
2012-03-06,13.15
2012-03-07,13.1
2012-03-09,13.4
2012-03-12,13.15
2012-03-13,13.2
2012-03-14,12.85
2012-03-15,12.35
2012-03-16,12.35
2012-03-19,12.0
2012-03-20,11.4
2012-03-21,11.75
2012-03-22,11.25
2012-03-23,11.5
2012-03-26,10.9
2012-03-27,11.95
2012-03-28,11.1
2012-03-29,11.25
2012-03-30,11.35
2012-04-02,12.3
2012-04-03,12.35
2012-04-04,12.25
2012-04-09,12.4
2012-04-10,12.2
2012-04-11,11.8
2012-04-12,12.1
2012-04-13,12.4
2012-04-16,12.35
2012-04-17,12.35
2012-04-18,12.55
2012-04-19,12.9
2012-04-20,13.35
2012-04-23,13.3
2012-04-24,13.2
2012-04-25,14.2
2012-04-26,13.45
2012-04-27,13.3
2012-04-28,13.55
2012-04-30,13.25
2012-05-02,14.15
2012-05-03,14.0
2012-05-04,13.85
2012-05-07,14.15
2012-05-08,13.9
2012-05-09,13.25
2012-05-10,13.25
2012-05-11,13.45
2012-05-14,13.2
2012-05-15,13.25
2012-05-16,13.15
2012-05-17,13.55
2012-05-18,13.3
2012-05-21,13.15
2012-05-22,13.0
2012-05-23,13.0
2012-05-24,13.05
2012-05-25,13.0
2012-05-28,13.0
2012-05-29,13.15
2012-05-30,13.15
2012-05-31,13.0
2012-06-01,12.9
2012-06-04,12.8
2012-06-05,12.9
2012-06-06,13.0
2012-06-07,12.9
2012-06-08,12.95
2012-06-11,12.9
2012-06-12,13.4
2012-06-13,13.05
2012-06-14,12.85
2012-06-15,13.0
2012-06-18,12.9
2012-06-19,13.0
2012-06-20,12.95
2012-06-21,12.95
2012-06-22,12.9
2012-06-25,12.9
2012-06-26,12.95
2012-06-27,12.95
2012-06-28,14.15
2012-06-29,14.1
2012-07-02,14.0
2012-07-03,13.95
2012-07-04,13.9
2012-07-05,14.45
2012-07-06,14.25
2012-07-09,14.3
2012-07-10,14.35
2012-07-11,14.1
2012-07-12,14.0
2012-07-13,13.95
2012-07-16,13.85
2012-07-17,13.8
2012-07-18,14.35
2012-07-19,14.1
2012-07-20,14.15
2012-07-23,13.1
2012-07-24,13.05
2012-07-25,12.85
2012-07-26,12.7
2012-07-27,12.55
2012-07-30,12.35
2012-07-31,12.25
2012-08-01,12.5
2012-08-02,12.25
2012-08-03,12.2
2012-08-06,11.95
2012-08-07,12.1
2012-08-08,12.0
2012-08-09,12.15
2012-08-10,12.3
2012-08-13,12.5
2012-08-14,12.2
2012-08-16,12.05
2012-08-17,12.35
2012-08-21,12.6
2012-08-22,13.55
2012-08-23,14.05
2012-08-24,13.7
2012-08-27,13.85
2012-08-28,13.3
2012-08-29,12.95
2012-08-30,12.9
2012-08-31,12.05
2012-09-03,12.3
2012-09-04,12.35
2012-09-05,12.5
2012-09-06,12.6
2012-09-07,12.7
2012-09-08,12.7
2012-09-10,12.9
2012-09-11,12.7
2012-09-12,12.85
2012-09-13,13.0
2012-09-14,12.9
2012-09-17,13.05
2012-09-18,12.8
2012-09-20,12.6
2012-09-21,13.05
2012-09-24,12.85
2012-09-25,13.35
2012-09-26,12.95
2012-09-27,12.9
2012-09-28,13.1
2012-10-01,13.1
2012-10-03,13.2
2012-10-04,13.3
2012-10-05,13.15
2012-10-08,13.15
2012-10-09,13.1
2012-10-10,12.85
2012-10-11,13.05
2012-10-12,13.4
2012-10-15,13.2
2012-10-16,13.05
2012-10-17,12.9
2012-10-18,13.1
2012-10-19,12.95
2012-10-22,12.95
2012-10-23,12.85
2012-10-25,12.85
2012-10-26,12.7
2012-10-29,13.0
2012-10-30,12.55
2012-10-31,12.65
2012-11-01,13.6
2012-11-02,13.2
2012-11-05,13.0
2012-11-06,12.95
2012-11-07,13.1
2012-11-08,12.85
2012-11-09,12.75
2012-11-12,12.8
2012-11-13,13.05
2012-11-15,12.75
2012-11-16,12.6
2012-11-19,12.5
2012-11-20,12.35
2012-11-21,12.3
2012-11-22,12.3
2012-11-23,12.35
2012-11-26,12.3
2012-11-27,13.0
2012-11-29,13.95
2012-11-30,13.65
2012-12-03,13.1
2012-12-04,13.05
2012-12-05,13.1
2012-12-06,13.15
2012-12-07,13.05
2012-12-10,13.0
2012-12-11,12.95
2012-12-12,13.0
2012-12-13,12.85
2012-12-14,12.85
2012-12-17,12.85
2012-12-18,12.85
2012-12-19,13.05
2012-12-20,13.0
2012-12-21,12.9
2012-12-24,12.8
2012-12-26,12.8
2012-12-27,12.65
2012-12-28,13.1
2012-12-31,12.85
