Date,RAINBOWPAP
2012-01-02,60.55
2012-01-03,60.5
2012-01-04,60.15
2012-01-05,60.25
2012-01-06,60.25
2012-01-07,60.3
2012-01-09,60.25
2012-01-10,60.5
2012-01-11,60.0
2012-01-12,60.55
2012-01-13,60.95
2012-01-16,60.0
2012-01-17,60.45
2012-01-18,60.1
2012-01-19,60.95
2012-01-20,61.1
2012-01-23,61.05
2012-01-24,61.25
2012-01-25,61.5
2012-01-27,61.15
2012-01-30,61.2
2012-01-31,61.35
2012-02-01,61.35
2012-02-02,61.2
2012-02-03,61.2
2012-02-06,61.9
2012-02-07,62.1
2012-02-08,62.5
2012-02-09,62.25
2012-02-10,62.75
2012-02-13,62.9
2012-02-14,64.05
2012-02-15,64.4
2012-02-16,65.0
2012-02-17,64.1
2012-02-21,64.7
2012-02-22,64.7
2012-02-23,64.45
2012-02-24,64.5
2012-02-27,64.2
2012-02-28,64.35
2012-02-29,64.25
2012-03-01,65.2
2012-03-02,65.6
2012-03-03,65.5
2012-03-05,65.1
2012-03-06,65.1
2012-03-07,65.15
2012-03-09,65.1
2012-03-12,65.35
2012-03-13,64.8
2012-03-14,64.95
2012-03-15,65.05
2012-03-16,65.95
2012-03-19,65.2
2012-03-20,65.15
2012-03-21,67.45
2012-03-22,66.05
2012-03-23,67.65
2012-03-26,67.25
2012-03-27,66.0
2012-03-28,65.35
2012-03-29,66.0
2012-03-30,67.75
2012-04-02,68.5
2012-04-03,67.05
2012-04-04,67.0
2012-04-09,67.0
2012-04-10,66.3
2012-04-11,66.9
2012-04-12,66.0
2012-04-13,66.4
2012-04-16,66.5
2012-04-17,66.3
2012-04-18,66.55
2012-04-19,65.7
2012-04-20,66.45
2012-04-23,66.0
2012-04-24,65.85
2012-04-25,66.0
2012-04-26,65.95
2012-04-27,65.8
2012-04-28,66.05
2012-04-30,65.75
2012-05-02,66.15
2012-05-03,65.4
2012-05-04,65.0
2012-05-07,64.85
2012-05-08,64.15
2012-05-09,64.1
2012-05-10,65.75
2012-05-11,67.5
2012-05-14,69.0
2012-05-15,70.5
2012-05-16,69.9
2012-05-17,73.9
2012-05-18,74.45
2012-05-21,80.55
2012-05-22,84.55
2012-05-23,81.75
2012-05-24,83.6
2012-05-25,82.95
2012-05-28,82.95
2012-05-29,82.0
2012-05-30,81.05
2012-05-31,80.05
2012-06-01,80.0
2012-06-04,79.4
2012-06-05,80.75
2012-06-06,81.0
2012-06-07,80.25
2012-06-08,80.65
2012-06-11,81.0
2012-06-12,81.4
2012-06-13,81.5
2012-06-14,80.45
2012-06-15,82.85
2012-06-18,80.8
2012-06-19,80.35
2012-06-20,82.0
2012-06-21,82.6
2012-06-22,81.25
2012-06-25,81.5
2012-06-26,80.5
2012-06-27,82.5
2012-06-28,82.0
2012-06-29,84.55
2012-07-02,83.75
2012-07-03,83.05
2012-07-04,83.5
2012-07-05,84.85
2012-07-06,84.15
2012-07-09,83.45
2012-07-10,84.2
2012-07-11,83.55
2012-07-12,83.6
2012-07-13,82.85
2012-07-16,82.9
2012-07-17,82.55
2012-07-18,82.95
2012-07-19,82.95
2012-07-20,82.95
2012-07-23,81.9
2012-07-24,82.95
2012-07-25,82.8
2012-07-26,82.25
2012-07-27,84.05
2012-07-30,83.05
2012-07-31,83.55
2012-08-01,83.65
2012-08-02,82.95
2012-08-03,84.25
2012-08-06,83.55
2012-08-07,82.05
2012-08-08,77.0
2012-08-09,75.8
2012-08-10,75.15
2012-08-13,73.2
2012-08-14,71.75
2012-08-16,73.45
2012-08-17,75.05
2012-08-21,76.55
2012-08-22,75.9
2012-08-23,77.95
2012-08-24,77.2
2012-08-27,75.95
2012-08-28,75.35
2012-08-29,74.55
2012-08-30,75.4
2012-08-31,77.45
2012-09-03,75.8
2012-09-04,76.05
2012-09-05,75.55
2012-09-06,76.7
2012-09-07,76.4
2012-09-08,76.8
2012-09-10,76.85
2012-09-11,75.6
2012-09-12,75.5
2012-09-13,74.5
2012-09-14,70.4
2012-09-17,74.1
2012-09-18,78.1
2012-09-20,79.25
2012-09-21,82.5
2012-09-24,77.45
2012-09-25,78.3
2012-09-26,77.45
2012-09-27,76.05
2012-09-28,76.0
2012-10-01,77.2
2012-10-03,78.85
2012-10-04,77.45
2012-10-05,74.85
2012-10-08,74.55
2012-10-09,82.7
2012-10-10,83.9
2012-10-11,82.0
2012-10-12,82.45
2012-10-15,82.2
2012-10-16,82.75
2012-10-17,82.15
2012-10-18,82.85
2012-10-19,81.35
2012-10-22,80.9
2012-10-23,81.4
2012-10-25,80.0
2012-10-26,80.35
2012-10-29,80.2
2012-10-30,79.2
2012-10-31,80.1
2012-11-01,79.7
2012-11-02,79.75
2012-11-05,79.7
2012-11-06,79.05
2012-11-07,79.0
2012-11-08,79.1
2012-11-09,79.05
2012-11-12,79.45
2012-11-13,79.4
2012-11-15,79.1
2012-11-16,79.25
2012-11-19,79.2
2012-11-20,79.25
2012-11-21,79.3
2012-11-22,79.65
2012-11-23,79.45
2012-11-26,79.65
2012-11-27,79.75
2012-11-29,81.8
2012-11-30,81.8
2012-12-03,81.55
2012-12-04,82.45
2012-12-05,83.05
2012-12-06,81.95
2012-12-07,81.45
2012-12-10,81.75
2012-12-11,82.0
2012-12-12,82.35
2012-12-13,81.65
2012-12-14,81.9
2012-12-17,82.15
2012-12-18,81.85
2012-12-19,81.45
2012-12-20,82.4
2012-12-21,82.15
2012-12-24,83.35
2012-12-26,82.0
2012-12-27,82.0
2012-12-28,81.3
2012-12-31,83.05
