Date,METKORE
2012-01-02,18.1
2012-01-03,17.3
2012-01-04,17.3
2012-01-05,17.5
2012-01-06,17.7
2012-01-07,18.0
2012-01-09,18.4
2012-01-10,18.25
2012-01-11,19.0
2012-01-12,18.75
2012-01-13,19.05
2012-01-16,19.0
2012-01-17,19.4
2012-01-18,19.3
2012-01-19,19.55
2012-01-20,20.7
2012-01-23,21.25
2012-01-24,20.35
2012-01-25,21.0
2012-01-27,21.5
2012-01-30,19.95
2012-01-31,19.7
2012-02-01,20.1
2012-02-02,20.5
2012-02-03,19.55
2012-02-06,19.2
2012-02-07,19.15
2012-02-08,19.35
2012-02-09,19.1
2012-02-10,19.15
2012-02-13,19.1
2012-02-14,19.1
2012-02-15,19.55
2012-02-16,19.45
2012-02-17,19.75
2012-02-21,19.3
2012-02-22,18.55
2012-02-23,18.35
2012-02-24,18.4
2012-02-27,18.2
2012-02-28,18.4
2012-02-29,19.15
2012-03-01,19.2
2012-03-02,19.05
2012-03-05,18.2
2012-03-06,17.5
2012-03-07,18.4
2012-03-09,18.8
2012-03-12,18.55
2012-03-13,18.45
2012-03-14,18.3
2012-03-15,18.5
2012-03-16,18.75
2012-03-19,18.0
2012-03-20,17.8
2012-03-21,18.15
2012-03-22,17.9
2012-03-23,17.8
2012-03-26,16.35
2012-03-27,16.0
2012-03-28,14.95
2012-03-29,15.55
2012-03-30,15.1
2012-04-02,15.55
2012-04-03,15.95
2012-04-04,16.15
2012-04-09,16.5
2012-04-10,16.0
2012-04-11,16.05
2012-04-12,16.3
2012-04-13,16.3
2012-04-16,15.65
2012-04-17,15.45
2012-04-18,16.15
2012-04-19,15.45
2012-04-20,15.3
2012-04-23,14.8
2012-04-24,14.2
2012-04-25,14.0
2012-04-26,14.5
2012-04-27,14.25
2012-04-28,15.45
2012-04-30,14.25
2012-05-02,14.3
2012-05-03,14.0
2012-05-04,13.5
2012-05-07,13.15
2012-05-08,13.5
2012-05-09,14.1
2012-05-10,14.0
2012-05-11,13.5
2012-05-14,13.2
2012-05-15,13.7
2012-05-16,13.6
2012-05-17,14.0
2012-05-18,12.8
2012-05-21,13.5
2012-05-22,13.15
2012-05-23,13.45
2012-05-24,13.2
2012-05-25,13.5
2012-05-28,14.25
2012-05-29,14.25
2012-05-30,14.2
2012-05-31,14.0
2012-06-01,13.55
2012-06-04,14.3
2012-06-05,13.6
2012-06-06,14.2
2012-06-07,13.4
2012-06-08,14.0
2012-06-11,14.4
2012-06-12,13.8
2012-06-13,13.65
2012-06-14,13.8
2012-06-15,14.2
2012-06-18,13.9
2012-06-19,13.4
2012-06-20,13.7
2012-06-21,13.4
2012-06-22,13.25
2012-06-25,13.65
2012-06-26,13.6
2012-06-27,13.1
2012-06-28,13.25
2012-06-29,13.2
2012-07-02,13.0
2012-07-03,13.05
2012-07-04,13.65
2012-07-05,13.2
2012-07-06,13.65
2012-07-09,13.75
2012-07-09,13.75
2012-07-10,13.35
2012-07-11,13.65
2012-07-12,13.7
2012-07-13,13.35
2012-07-16,13.45
2012-07-17,13.4
2012-07-18,13.2
2012-07-19,13.4
2012-07-20,13.15
2012-07-23,13.0
2012-07-24,13.3
2012-07-25,12.9
2012-07-26,12.75
2012-07-27,12.45
2012-07-30,13.0
2012-07-31,12.7
2012-08-01,13.25
2012-08-02,13.05
2012-08-03,12.8
2012-08-06,12.75
2012-08-07,13.3
2012-08-08,14.75
2012-08-09,16.35
2012-08-10,16.55
2012-08-13,15.45
2012-08-14,14.8
2012-08-16,14.45
2012-08-17,14.85
2012-08-21,14.65
2012-08-22,14.5
2012-08-23,13.85
2012-08-24,13.75
2012-08-27,13.55
2012-08-28,13.05
2012-08-29,12.7
2012-08-30,12.15
2012-08-31,11.9
2012-09-03,12.15
2012-09-04,12.8
2012-09-05,12.85
2012-09-06,12.15
2012-09-07,12.85
2012-09-08,12.8
2012-09-10,12.8
2012-09-11,13.15
2012-09-12,13.15
2012-09-13,13.2
2012-09-14,13.7
2012-09-17,13.75
2012-09-18,13.55
2012-09-20,13.25
2012-09-21,13.0
2012-09-24,14.0
2012-09-25,13.95
2012-09-26,13.85
2012-09-27,13.65
2012-09-28,13.5
2012-10-01,13.75
2012-10-03,15.7
2012-10-04,15.45
2012-10-05,14.25
2012-10-08,14.3
2012-10-09,14.25
2012-10-10,14.1
2012-10-11,14.35
2012-10-12,14.6
2012-10-15,14.4
2012-10-16,14.1
2012-10-17,14.0
2012-10-18,13.7
2012-10-19,13.7
2012-10-22,13.8
2012-10-23,13.75
2012-10-25,13.4
2012-10-26,13.45
2012-10-29,13.25
2012-10-30,13.05
2012-10-31,14.5
2012-11-01,14.4
2012-11-02,13.5
2012-11-05,13.2
2012-11-06,13.05
2012-11-07,13.1
2012-11-08,13.0
2012-11-09,12.9
2012-11-12,12.75
2012-11-13,12.9
2012-11-15,13.4
2012-11-16,12.45
2012-11-19,12.35
2012-11-20,12.5
2012-11-21,12.15
2012-11-22,12.05
2012-11-23,12.3
2012-11-26,12.0
2012-11-27,12.1
2012-11-29,12.5
2012-11-30,12.85
2012-12-03,13.8
2012-12-04,13.55
2012-12-05,13.0
2012-12-06,12.7
2012-12-07,12.45
2012-12-10,12.45
2012-12-11,12.15
2012-12-12,12.15
2012-12-13,11.95
2012-12-14,12.0
2012-12-17,11.7
2012-12-18,11.85
2012-12-19,11.7
2012-12-20,11.75
2012-12-21,11.6
2012-12-24,11.8
2012-12-26,11.7
2012-12-27,11.7
2012-12-28,11.65
2012-12-31,11.75
