Date,ARCHIES
2012-01-02,22.5
2012-01-03,24.45
2012-01-04,25.1
2012-01-05,25.05
2012-01-06,26.05
2012-01-07,27.45
2012-01-09,27.0
2012-01-10,27.35
2012-01-11,28.9
2012-01-12,27.0
2012-01-13,27.0
2012-01-16,27.25
2012-01-17,27.6
2012-01-18,26.9
2012-01-19,27.05
2012-01-20,26.45
2012-01-23,26.75
2012-01-24,26.9
2012-01-25,27.0
2012-01-27,26.95
2012-01-30,27.15
2012-01-31,27.35
2012-02-01,28.7
2012-02-02,29.85
2012-02-03,29.05
2012-02-06,29.8
2012-02-07,29.8
2012-02-08,31.1
2012-02-09,30.95
2012-02-10,30.9
2012-02-13,30.85
2012-02-14,30.8
2012-02-15,29.75
2012-02-16,28.95
2012-02-17,28.6
2012-02-21,29.05
2012-02-22,27.75
2012-02-23,27.2
2012-02-24,26.75
2012-02-27,26.0
2012-02-28,27.15
2012-02-29,27.4
2012-03-01,26.65
2012-03-02,26.7
2012-03-03,27.05
2012-03-05,26.05
2012-03-06,25.55
2012-03-07,25.05
2012-03-09,25.45
2012-03-12,25.35
2012-03-13,25.25
2012-03-14,25.45
2012-03-15,25.3
2012-03-16,24.55
2012-03-19,24.45
2012-03-20,24.4
2012-03-21,24.35
2012-03-22,24.15
2012-03-23,23.8
2012-03-26,23.35
2012-03-27,23.9
2012-03-28,23.45
2012-03-29,23.3
2012-03-30,23.5
2012-04-02,24.3
2012-04-03,24.8
2012-04-04,24.45
2012-04-09,23.95
2012-04-10,23.8
2012-04-11,23.5
2012-04-12,23.9
2012-04-13,23.6
2012-04-16,23.65
2012-04-17,23.15
2012-04-18,23.55
2012-04-19,23.5
2012-04-20,23.4
2012-04-23,23.3
2012-04-24,23.3
2012-04-25,23.1
2012-04-26,23.0
2012-04-27,22.7
2012-04-28,22.9
2012-04-30,23.15
2012-05-02,22.95
2012-05-03,22.9
2012-05-04,22.25
2012-05-07,22.5
2012-05-08,21.95
2012-05-09,22.1
2012-05-10,21.35
2012-05-11,21.55
2012-05-14,21.15
2012-05-15,21.35
2012-05-16,21.25
2012-05-17,21.2
2012-05-18,21.1
2012-05-21,21.05
2012-05-22,21.05
2012-05-23,21.1
2012-05-24,21.55
2012-05-25,21.95
2012-05-28,22.35
2012-05-29,22.0
2012-05-30,21.75
2012-05-31,21.4
2012-06-01,21.1
2012-06-04,21.1
2012-06-05,21.25
2012-06-06,21.3
2012-06-07,22.25
2012-06-08,22.2
2012-06-11,22.15
2012-06-12,21.75
2012-06-13,22.75
2012-06-14,22.45
2012-06-15,23.6
2012-06-18,23.1
2012-06-19,24.4
2012-06-20,23.8
2012-06-21,23.75
2012-06-22,23.15
2012-06-25,23.1
2012-06-26,23.05
2012-06-27,23.05
2012-06-28,23.25
2012-06-29,24.9
2012-07-02,25.4
2012-07-03,24.6
2012-07-04,24.3
2012-07-05,24.65
2012-07-06,24.4
2012-07-09,24.2
2012-07-09,24.2
2012-07-10,24.15
2012-07-11,24.15
2012-07-12,23.6
2012-07-13,23.7
2012-07-16,23.5
2012-07-17,23.05
2012-07-18,23.1
2012-07-19,23.2
2012-07-20,22.9
2012-07-23,23.25
2012-07-24,23.45
2012-07-25,23.1
2012-07-26,22.2
2012-07-27,21.9
2012-07-30,24.75
2012-07-31,25.45
2012-08-01,24.6
2012-08-02,23.65
2012-08-03,22.95
2012-08-06,23.35
2012-08-07,23.05
2012-08-08,22.55
2012-08-09,22.35
2012-08-10,22.1
2012-08-13,22.75
2012-08-14,22.9
2012-08-16,23.15
2012-08-17,22.95
2012-08-21,23.15
2012-08-22,23.2
2012-08-23,23.2
2012-08-24,24.15
2012-08-27,25.5
2012-08-28,26.3
2012-08-29,25.5
2012-08-30,24.75
2012-08-31,25.1
2012-09-03,25.1
2012-09-04,25.15
2012-09-05,25.0
2012-09-06,24.75
2012-09-07,24.4
2012-09-08,25.0
2012-09-10,25.0
2012-09-11,24.75
2012-09-12,24.5
2012-09-13,24.6
2012-09-14,24.9
2012-09-17,25.5
2012-09-18,26.6
2012-09-20,26.4
2012-09-21,26.25
2012-09-24,26.0
2012-09-25,25.9
2012-09-26,26.05
2012-09-27,25.9
2012-09-28,26.35
2012-10-01,27.55
2012-10-03,27.6
2012-10-04,27.55
2012-10-05,28.95
2012-10-08,29.95
2012-10-09,29.15
2012-10-10,27.85
2012-10-11,28.25
2012-10-12,27.75
2012-10-15,27.45
2012-10-16,27.05
2012-10-17,27.2
2012-10-18,28.05
2012-10-19,27.25
2012-10-22,27.7
2012-10-23,28.1
2012-10-25,27.7
2012-10-26,26.8
2012-10-29,26.05
2012-10-30,25.25
2012-10-31,25.8
2012-11-01,25.95
2012-11-02,26.4
2012-11-05,27.15
2012-11-06,26.55
2012-11-07,26.75
2012-11-08,26.35
2012-11-09,28.8
2012-11-12,28.3
2012-11-13,27.65
2012-11-15,27.15
2012-11-16,26.1
2012-11-19,25.35
2012-11-20,25.65
2012-11-21,25.95
2012-11-22,25.9
2012-11-23,25.35
2012-11-26,25.75
2012-11-27,26.85
2012-11-29,27.25
2012-11-30,26.85
2012-12-03,28.3
2012-12-04,28.25
2012-12-05,28.9
2012-12-06,29.35
2012-12-07,28.15
2012-12-10,27.6
2012-12-11,28.35
2012-12-12,30.4
2012-12-13,28.6
2012-12-14,29.1
2012-12-17,28.65
2012-12-18,28.75
2012-12-19,28.5
2012-12-20,27.8
2012-12-21,27.05
2012-12-24,27.5
2012-12-26,27.35
2012-12-27,26.7
2012-12-28,26.65
2012-12-31,26.7
