Date,TATASTEEL
2012-01-02,341.1
2012-01-03,361.85
2012-01-04,363.95
2012-01-05,362.6
2012-01-06,363.65
2012-01-07,362.75
2012-01-09,361.75
2012-01-10,371.75
2012-01-11,383.0
2012-01-12,388.85
2012-01-13,415.7
2012-01-16,421.75
2012-01-17,442.75
2012-01-18,424.9
2012-01-19,435.85
2012-01-20,436.55
2012-01-23,426.55
2012-01-24,432.35
2012-01-25,444.85
2012-01-27,458.75
2012-01-30,442.3
2012-01-31,450.8
2012-02-01,470.95
2012-02-02,475.9
2012-02-03,467.5
2012-02-06,467.25
2012-02-07,451.35
2012-02-08,450.65
2012-02-09,452.15
2012-02-10,475.05
2012-02-13,485.2
2012-02-14,487.95
2012-02-15,495.15
2012-02-16,479.1
2012-02-17,478.0
2012-02-21,491.5
2012-02-22,470.5
2012-02-23,471.4
2012-02-24,475.5
2012-02-27,442.4
2012-02-28,459.8
2012-02-29,472.55
2012-03-01,462.8
2012-03-02,465.9
2012-03-03,467.6
2012-03-05,450.7
2012-03-06,424.95
2012-03-07,423.8
2012-03-09,455.2
2012-03-12,456.4
2012-03-13,468.1
2012-03-14,460.85
2012-03-15,462.75
2012-03-16,454.6
2012-03-19,448.2
2012-03-20,454.8
2012-03-21,472.4
2012-03-22,449.9
2012-03-23,448.5
2012-03-26,440.15
2012-03-27,447.0
2012-03-28,455.1
2012-03-29,453.1
2012-03-30,471.75
2012-04-02,471.75
2012-04-03,478.2
2012-04-04,475.55
2012-04-09,459.75
2012-04-10,452.8
2012-04-11,446.35
2012-04-12,453.3
2012-04-13,449.8
2012-04-16,455.15
2012-04-17,461.55
2012-04-18,465.2
2012-04-19,467.15
2012-04-20,470.3
2012-04-23,462.85
2012-04-24,470.25
2012-04-25,465.5
2012-04-26,466.8
2012-04-27,461.15
2012-04-28,463.25
2012-04-30,463.65
2012-05-02,461.85
2012-05-03,448.1
2012-05-04,432.5
2012-05-07,441.6
2012-05-08,427.2
2012-05-09,417.45
2012-05-10,415.6
2012-05-11,412.0
2012-05-14,408.2
2012-05-15,418.15
2012-05-16,400.6
2012-05-17,405.85
2012-05-18,399.95
2012-05-21,402.75
2012-05-22,399.3
2012-05-23,396.25
2012-05-24,398.65
2012-05-25,408.6
2012-05-28,411.85
2012-05-29,415.8
2012-05-30,410.3
2012-05-31,403.65
2012-06-01,397.9
2012-06-04,404.0
2012-06-05,398.0
2012-06-06,410.0
2012-06-07,411.1
2012-06-08,410.4
2012-06-11,409.9
2012-06-12,412.9
2012-06-13,411.95
2012-06-14,406.95
2012-06-15,414.55
2012-06-18,419.75
2012-06-19,420.25
2012-06-20,426.8
2012-06-21,430.15
2012-06-22,418.6
2012-06-25,414.65
2012-06-26,410.5
2012-06-27,420.7
2012-06-28,429.05
2012-06-29,441.45
2012-07-02,446.95
2012-07-03,446.35
2012-07-04,451.8
2012-07-05,451.6
2012-07-06,448.25
2012-07-09,437.6
2012-07-10,438.8
2012-07-11,436.0
2012-07-12,428.5
2012-07-13,425.0
2012-07-16,407.95
2012-07-17,405.8
2012-07-18,411.65
2012-07-19,414.45
2012-07-20,415.95
2012-07-23,399.5
2012-07-24,396.85
2012-07-25,386.5
2012-07-26,384.0
2012-07-27,399.15
2012-07-30,410.35
2012-07-31,414.45
2012-08-01,409.55
2012-08-02,405.95
2012-08-03,397.0
2012-08-06,404.3
2012-08-07,406.15
2012-08-08,408.05
2012-08-09,406.3
2012-08-10,400.1
2012-08-13,395.45
2012-08-14,406.1
2012-08-16,398.25
2012-08-17,394.8
2012-08-21,392.1
2012-08-22,392.55
2012-08-23,398.55
2012-08-24,387.8
2012-08-27,385.65
2012-08-28,378.2
2012-08-29,374.4
2012-08-30,365.9
2012-08-31,361.4
2012-09-03,358.0
2012-09-04,363.7
2012-09-05,349.9
2012-09-06,351.25
2012-09-07,370.9
2012-09-08,373.85
2012-09-10,380.05
2012-09-11,376.95
2012-09-12,387.15
2012-09-13,387.6
2012-09-14,405.0
2012-09-17,409.95
2012-09-18,405.3
2012-09-20,393.1
2012-09-21,409.35
2012-09-24,406.7
2012-09-25,400.35
2012-09-26,396.2
2012-09-27,396.3
2012-09-28,400.9
2012-10-01,398.95
2012-10-03,403.8
2012-10-04,409.0
2012-10-05,410.55
2012-10-08,407.65
2012-10-09,412.05
2012-10-10,411.6
2012-10-11,420.25
2012-10-12,420.95
2012-10-15,418.9
2012-10-16,409.1
2012-10-17,407.2
2012-10-18,411.75
2012-10-19,407.45
2012-10-22,407.85
2012-10-23,404.4
2012-10-25,398.8
2012-10-26,399.8
2012-10-29,402.05
2012-10-30,393.05
2012-10-31,392.2
2012-11-01,397.45
2012-11-02,402.35
2012-11-05,397.65
2012-11-06,398.95
2012-11-07,401.95
2012-11-08,403.95
2012-11-09,390.55
2012-11-12,384.1
2012-11-13,385.9
2012-11-15,375.4
2012-11-16,370.1
2012-11-19,363.5
2012-11-20,360.55
2012-11-21,364.75
2012-11-22,365.95
2012-11-23,364.85
2012-11-26,371.85
2012-11-27,375.95
2012-11-29,376.8
2012-11-30,386.2
2012-12-03,390.7
2012-12-04,390.15
2012-12-05,398.2
2012-12-06,399.8
2012-12-07,394.25
2012-12-10,400.3
2012-12-11,396.1
2012-12-12,395.45
2012-12-13,388.65
2012-12-14,397.0
2012-12-17,399.05
2012-12-18,414.3
2012-12-19,424.1
2012-12-20,431.6
2012-12-21,430.7
2012-12-24,428.6
2012-12-26,429.9
2012-12-27,430.75
2012-12-28,428.55
2012-12-31,428.5
