Date,PFIZER
2012-01-02,1094.8
2012-01-03,1099.0
2012-01-04,1093.15
2012-01-05,1095.8
2012-01-06,1092.55
2012-01-07,1099.45
2012-01-09,1080.2
2012-01-10,1097.15
2012-01-11,1092.5
2012-01-12,1097.7
2012-01-13,1097.4
2012-01-16,1096.0
2012-01-17,1126.7
2012-01-18,1136.45
2012-01-19,1145.25
2012-01-20,1181.05
2012-01-23,1201.2
2012-01-24,1201.95
2012-01-25,1225.55
2012-01-27,1231.8
2012-01-30,1187.95
2012-01-31,1191.55
2012-02-01,1179.75
2012-02-02,1183.75
2012-02-03,1185.6
2012-02-06,1192.65
2012-02-07,1168.9
2012-02-08,1166.8
2012-02-09,1181.1
2012-02-10,1163.7
2012-02-13,1206.95
2012-02-14,1223.5
2012-02-15,1228.95
2012-02-16,1241.7
2012-02-17,1247.0
2012-02-21,1224.4
2012-02-22,1201.75
2012-02-23,1205.15
2012-02-24,1219.35
2012-02-27,1205.55
2012-02-28,1211.05
2012-02-29,1232.7
2012-03-01,1222.65
2012-03-02,1220.65
2012-03-03,1237.85
2012-03-05,1231.2
2012-03-06,1240.25
2012-03-07,1224.05
2012-03-09,1223.35
2012-03-12,1224.5
2012-03-13,1222.0
2012-03-14,1224.5
2012-03-15,1226.55
2012-03-16,1226.0
2012-03-19,1226.2
2012-03-20,1216.1
2012-03-21,1220.1
2012-03-22,1209.65
2012-03-23,1208.55
2012-03-26,1205.65
2012-03-27,1190.4
2012-03-28,1190.95
2012-03-29,1204.4
2012-03-30,1203.9
2012-04-02,1200.2
2012-04-03,1229.5
2012-04-04,1214.0
2012-04-09,1204.4
2012-04-10,1199.95
2012-04-11,1200.0
2012-04-12,1226.2
2012-04-13,1250.65
2012-04-16,1308.35
2012-04-17,1337.85
2012-04-18,1325.9
2012-04-19,1329.85
2012-04-20,1345.95
2012-04-23,1341.15
2012-04-24,1333.35
2012-04-25,1323.15
2012-04-26,1341.5
2012-04-27,1321.3
2012-04-28,1315.55
2012-04-30,1313.05
2012-05-02,1301.8
2012-05-03,1281.3
2012-05-04,1245.45
2012-05-07,1271.1
2012-05-08,1255.75
2012-05-09,1244.45
2012-05-10,1278.6
2012-05-11,1257.75
2012-05-14,1229.2
2012-05-15,1205.9
2012-05-16,1200.95
2012-05-17,1214.1
2012-05-18,1197.7
2012-05-21,1194.25
2012-05-22,1175.65
2012-05-23,1163.95
2012-05-24,1164.3
2012-05-25,1164.65
2012-05-28,1176.0
2012-05-29,1166.9
2012-05-30,1138.9
2012-05-31,1088.4
2012-06-01,1109.25
2012-06-04,1117.45
2012-06-05,1113.0
2012-06-06,1120.4
2012-06-07,1118.7
2012-06-08,1123.65
2012-06-11,1139.55
2012-06-12,1125.3
2012-06-13,1116.55
2012-06-14,1114.55
2012-06-15,1125.9
2012-06-18,1122.1
2012-06-19,1118.1
2012-06-20,1118.3
2012-06-21,1141.6
2012-06-22,1156.45
2012-06-25,1153.3
2012-06-26,1157.75
2012-06-27,1167.6
2012-06-28,1167.0
2012-06-29,1195.85
2012-07-02,1213.05
2012-07-03,1189.15
2012-07-04,1202.15
2012-07-05,1198.6
2012-07-06,1190.85
2012-07-09,1181.7
2012-07-09,1181.7
2012-07-10,1185.85
2012-07-11,1188.7
2012-07-12,1185.3
2012-07-13,1189.8
2012-07-16,1192.75
2012-07-17,1206.35
2012-07-18,1182.0
2012-07-19,1196.15
2012-07-20,1215.65
2012-07-23,1211.75
2012-07-24,1207.1
2012-07-25,1215.7
2012-07-26,1198.85
2012-07-27,1212.1
2012-07-30,1197.8
2012-07-31,1213.6
2012-08-01,1224.35
2012-08-02,1210.05
2012-08-03,1202.45
2012-08-06,1214.1
2012-08-07,1207.85
2012-08-08,1213.7
2012-08-09,1227.7
2012-08-10,1243.95
2012-08-13,1280.2
2012-08-14,1262.7
2012-08-16,1253.9
2012-08-17,1247.1
2012-08-21,1251.7
2012-08-22,1243.4
2012-08-23,1230.9
2012-08-24,1237.05
2012-08-27,1241.5
2012-08-28,1251.5
2012-08-29,1262.1
2012-08-30,1253.7
2012-08-31,1277.75
2012-09-03,1291.8
2012-09-04,1290.0
2012-09-05,1288.55
2012-09-06,1281.95
2012-09-07,1289.1
2012-09-08,1284.5
2012-09-10,1297.25
2012-09-11,1325.6
2012-09-12,1335.15
2012-09-13,1327.65
2012-09-14,1272.05
2012-09-17,1255.45
2012-09-18,1232.9
2012-09-20,1217.1
2012-09-21,1227.1
2012-09-24,1243.35
2012-09-25,1244.6
2012-09-26,1246.9
2012-09-27,1242.6
2012-09-28,1251.95
2012-10-01,1240.3
2012-10-03,1233.65
2012-10-04,1227.8
2012-10-05,1214.0
2012-10-08,1200.8
2012-10-09,1204.5
2012-10-10,1202.8
2012-10-11,1202.7
2012-10-12,1196.85
2012-10-15,1198.05
2012-10-16,1191.5
2012-10-17,1192.4
2012-10-18,1211.15
2012-10-19,1200.55
2012-10-22,1183.8
2012-10-23,1170.4
2012-10-25,1166.8
2012-10-26,1173.3
2012-10-29,1157.7
2012-10-30,1142.6
2012-10-31,1139.1
2012-11-01,1138.0
2012-11-02,1153.7
2012-11-05,1142.8
2012-11-06,1138.9
2012-11-07,1145.7
2012-11-08,1134.95
2012-11-09,1132.5
2012-11-12,1124.85
2012-11-13,1139.05
2012-11-15,1122.8
2012-11-16,1119.85
2012-11-19,1119.95
2012-11-20,1118.65
2012-11-21,1112.9
2012-11-22,1122.55
2012-11-23,1111.2
2012-11-26,1146.85
2012-11-27,1143.75
2012-11-29,1165.65
2012-11-30,1163.6
2012-12-03,1167.3
2012-12-04,1163.35
2012-12-05,1151.8
2012-12-06,1150.45
2012-12-07,1135.0
2012-12-10,1168.85
2012-12-11,1158.95
2012-12-12,1145.3
2012-12-13,1160.2
2012-12-14,1166.6
2012-12-17,1172.55
2012-12-18,1168.65
2012-12-19,1162.9
2012-12-20,1163.3
2012-12-21,1156.45
2012-12-24,1165.4
2012-12-26,1176.05
2012-12-27,1175.9
2012-12-28,1187.7
2012-12-31,1196.25
