Date,MONSANTO
2012-01-02,636.85
2012-01-03,648.0
2012-01-04,645.8
2012-01-05,649.75
2012-01-06,651.1
2012-01-07,653.65
2012-01-09,654.15
2012-01-10,697.55
2012-01-11,721.15
2012-01-12,715.65
2012-01-13,713.5
2012-01-16,711.9
2012-01-17,731.7
2012-01-18,731.5
2012-01-19,728.2
2012-01-20,737.2
2012-01-23,728.7
2012-01-24,726.0
2012-01-25,721.3
2012-01-27,721.95
2012-01-30,718.15
2012-01-31,715.6
2012-02-01,720.0
2012-02-02,722.95
2012-02-03,724.5
2012-02-06,723.15
2012-02-07,718.55
2012-02-08,711.15
2012-02-09,711.3
2012-02-10,715.4
2012-02-13,767.25
2012-02-14,769.9
2012-02-15,765.2
2012-02-16,763.35
2012-02-17,754.85
2012-02-21,751.55
2012-02-22,733.95
2012-02-23,725.05
2012-02-24,709.6
2012-02-27,690.85
2012-02-28,696.0
2012-02-29,698.8
2012-03-01,691.8
2012-03-02,697.1
2012-03-03,709.15
2012-03-05,696.35
2012-03-06,681.4
2012-03-07,679.25
2012-03-09,683.3
2012-03-12,696.35
2012-03-13,696.75
2012-03-14,698.45
2012-03-15,684.2
2012-03-16,680.55
2012-03-19,681.7
2012-03-20,683.35
2012-03-21,688.55
2012-03-22,678.7
2012-03-23,678.4
2012-03-26,674.45
2012-03-27,681.35
2012-03-28,669.4
2012-03-29,674.8
2012-03-30,673.75
2012-04-02,679.6
2012-04-03,683.85
2012-04-04,691.75
2012-04-09,703.0
2012-04-10,699.95
2012-04-11,690.55
2012-04-12,698.4
2012-04-13,699.5
2012-04-16,698.1
2012-04-17,698.9
2012-04-18,699.1
2012-04-19,702.45
2012-04-20,688.6
2012-04-23,679.0
2012-04-24,674.15
2012-04-25,673.45
2012-04-26,675.6
2012-04-27,669.55
2012-04-28,677.55
2012-04-30,682.7
2012-05-02,682.35
2012-05-03,677.25
2012-05-04,665.0
2012-05-07,671.3
2012-05-08,658.2
2012-05-09,661.6
2012-05-10,666.35
2012-05-11,657.8
2012-05-14,651.35
2012-05-15,642.3
2012-05-16,639.65
2012-05-17,647.65
2012-05-18,657.3
2012-05-21,647.45
2012-05-22,643.35
2012-05-23,649.2
2012-05-24,650.35
2012-05-25,646.55
2012-05-28,647.7
2012-05-29,640.4
2012-05-30,642.95
2012-05-31,616.35
2012-06-01,616.6
2012-06-04,627.35
2012-06-05,628.15
2012-06-06,629.35
2012-06-07,633.6
2012-06-08,630.3
2012-06-11,632.1
2012-06-12,630.7
2012-06-13,625.6
2012-06-14,634.7
2012-06-15,626.9
2012-06-18,625.1
2012-06-19,629.05
2012-06-20,641.0
2012-06-21,642.65
2012-06-22,634.9
2012-06-25,636.5
2012-06-26,631.5
2012-06-27,635.85
2012-06-28,636.85
2012-06-29,642.05
2012-07-02,651.75
2012-07-03,652.35
2012-07-04,655.0
2012-07-05,663.9
2012-07-06,669.6
2012-07-09,666.75
2012-07-09,666.75
2012-07-10,668.65
2012-07-11,656.0
2012-07-12,644.55
2012-07-13,637.85
2012-07-16,627.95
2012-07-17,623.7
2012-07-18,629.8
2012-07-19,628.75
2012-07-20,619.0
2012-07-23,619.8
2012-07-24,618.2
2012-07-25,605.8
2012-07-26,602.05
2012-07-27,608.4
2012-07-30,602.1
2012-07-31,625.3
2012-08-01,631.85
2012-08-02,633.15
2012-08-03,626.4
2012-08-06,624.45
2012-08-07,612.0
2012-08-08,607.95
2012-08-09,603.25
2012-08-10,607.1
2012-08-13,614.2
2012-08-14,616.9
2012-08-16,634.95
2012-08-17,632.95
2012-08-21,631.15
2012-08-22,629.75
2012-08-23,628.25
2012-08-24,627.55
2012-08-27,621.1
2012-08-28,631.75
2012-08-29,626.0
2012-08-30,631.05
2012-08-31,622.15
2012-09-03,631.1
2012-09-04,630.55
2012-09-05,652.7
2012-09-06,661.5
2012-09-07,663.85
2012-09-08,663.4
2012-09-10,661.8
2012-09-11,644.55
2012-09-12,652.35
2012-09-13,649.5
2012-09-14,643.5
2012-09-17,644.4
2012-09-18,658.25
2012-09-20,655.6
2012-09-21,661.8
2012-09-24,667.45
2012-09-25,663.55
2012-09-26,679.65
2012-09-27,677.85
2012-09-28,681.5
2012-10-01,701.5
2012-10-03,705.95
2012-10-04,700.55
2012-10-05,690.5
2012-10-08,691.25
2012-10-09,686.8
2012-10-10,683.25
2012-10-11,682.95
2012-10-12,682.15
2012-10-15,678.9
2012-10-16,669.35
2012-10-17,667.3
2012-10-18,659.9
2012-10-19,654.65
2012-10-22,656.2
2012-10-23,649.25
2012-10-25,629.55
2012-10-26,633.4
2012-10-29,626.1
2012-10-30,623.05
2012-10-31,621.25
2012-11-01,629.4
2012-11-02,626.3
2012-11-05,627.4
2012-11-06,631.05
2012-11-07,635.35
2012-11-08,637.6
2012-11-09,630.4
2012-11-12,628.45
2012-11-13,631.0
2012-11-15,626.1
2012-11-16,623.35
2012-11-19,617.9
2012-11-20,620.9
2012-11-21,619.2
2012-11-22,619.55
2012-11-23,619.2
2012-11-26,611.0
2012-11-27,616.95
2012-11-29,618.5
2012-11-30,649.65
2012-12-03,651.55
2012-12-04,627.5
2012-12-05,633.75
2012-12-06,637.85
2012-12-07,636.45
2012-12-10,639.0
2012-12-11,632.1
2012-12-12,630.9
2012-12-13,628.4
2012-12-14,630.1
2012-12-17,633.15
2012-12-18,633.85
2012-12-19,668.45
2012-12-20,662.35
2012-12-21,646.9
2012-12-24,636.1
2012-12-26,636.15
2012-12-27,635.7
2012-12-28,643.6
2012-12-31,636.2
