Date,ASHOKLEY
2012-01-02,22.6
2012-01-03,23.4
2012-01-04,23.7
2012-01-05,24.05
2012-01-06,23.45
2012-01-07,23.4
2012-01-09,23.45
2012-01-10,24.0
2012-01-11,24.05
2012-01-12,24.4
2012-01-13,24.9
2012-01-16,25.1
2012-01-17,25.5
2012-01-18,24.85
2012-01-19,27.0
2012-01-20,26.65
2012-01-23,26.8
2012-01-24,27.65
2012-01-25,27.45
2012-01-27,27.25
2012-01-30,26.95
2012-01-31,27.25
2012-02-01,28.6
2012-02-02,26.85
2012-02-03,26.3
2012-02-06,26.45
2012-02-07,25.7
2012-02-08,26.75
2012-02-09,26.75
2012-02-10,26.7
2012-02-13,27.1
2012-02-14,27.8
2012-02-15,29.3
2012-02-16,30.0
2012-02-17,29.45
2012-02-21,29.15
2012-02-22,28.1
2012-02-23,28.05
2012-02-24,27.8
2012-02-27,26.75
2012-02-28,28.0
2012-02-29,28.3
2012-03-01,27.9
2012-03-02,28.65
2012-03-03,28.65
2012-03-05,28.1
2012-03-06,27.85
2012-03-07,28.0
2012-03-09,29.2
2012-03-12,28.7
2012-03-13,28.55
2012-03-14,28.45
2012-03-15,27.35
2012-03-16,27.6
2012-03-19,27.3
2012-03-20,27.35
2012-03-21,27.8
2012-03-22,28.35
2012-03-23,29.1
2012-03-26,28.95
2012-03-27,29.1
2012-03-28,29.2
2012-03-29,29.05
2012-03-30,30.35
2012-04-02,30.95
2012-04-03,32.0
2012-04-04,31.25
2012-04-09,30.2
2012-04-10,29.3
2012-04-11,29.0
2012-04-12,29.65
2012-04-13,29.3
2012-04-16,29.25
2012-04-17,29.35
2012-04-18,30.2
2012-04-19,30.65
2012-04-20,31.15
2012-04-23,31.6
2012-04-24,31.05
2012-04-25,31.05
2012-04-26,32.0
2012-04-27,31.45
2012-04-28,31.65
2012-04-30,32.2
2012-05-02,30.45
2012-05-03,29.7
2012-05-04,28.4
2012-05-07,28.9
2012-05-08,28.65
2012-05-09,28.05
2012-05-10,27.5
2012-05-11,26.85
2012-05-14,26.15
2012-05-15,25.9
2012-05-16,25.4
2012-05-17,24.95
2012-05-18,25.05
2012-05-21,24.95
2012-05-22,24.65
2012-05-23,24.15
2012-05-24,24.4
2012-05-25,24.1
2012-05-28,24.7
2012-05-29,25.1
2012-05-30,24.35
2012-05-31,25.0
2012-06-01,25.05
2012-06-04,25.05
2012-06-05,25.35
2012-06-06,26.15
2012-06-07,26.8
2012-06-08,26.6
2012-06-11,26.9
2012-06-12,27.1
2012-06-13,27.25
2012-06-14,26.15
2012-06-15,25.8
2012-06-18,25.05
2012-06-19,24.95
2012-06-20,25.05
2012-06-21,25.2
2012-06-22,24.9
2012-06-25,24.85
2012-06-26,24.95
2012-06-27,24.9
2012-06-28,24.7
2012-06-29,24.9
2012-07-02,24.5
2012-07-03,24.4
2012-07-04,25.15
2012-07-05,25.8
2012-07-06,25.65
2012-07-09,25.55
2012-07-09,25.55
2012-07-10,26.0
2012-07-11,25.85
2012-07-12,24.75
2012-07-13,24.4
2012-07-16,24.05
2012-07-17,23.95
2012-07-18,24.2
2012-07-19,24.45
2012-07-20,24.05
2012-07-23,23.8
2012-07-24,23.3
2012-07-25,22.5
2012-07-26,21.2
2012-07-27,21.25
2012-07-30,22.3
2012-07-31,22.3
2012-08-01,22.05
2012-08-02,23.0
2012-08-03,22.75
2012-08-06,22.9
2012-08-07,23.0
2012-08-08,22.9
2012-08-09,22.95
2012-08-10,22.9
2012-08-13,23.0
2012-08-14,22.9
2012-08-16,22.75
2012-08-17,22.5
2012-08-21,22.05
2012-08-22,22.05
2012-08-23,22.0
2012-08-24,21.85
2012-08-27,21.3
2012-08-28,20.75
2012-08-29,20.55
2012-08-30,20.6
2012-08-31,20.6
2012-09-03,20.6
2012-09-04,21.0
2012-09-05,20.65
2012-09-06,20.7
2012-09-07,21.15
2012-09-08,21.25
2012-09-10,21.1
2012-09-11,20.8
2012-09-12,21.55
2012-09-13,21.1
2012-09-14,21.9
2012-09-17,23.0
2012-09-18,23.1
2012-09-20,23.6
2012-09-21,24.0
2012-09-24,24.45
2012-09-25,24.5
2012-09-26,24.15
2012-09-27,23.85
2012-09-28,24.1
2012-10-01,24.0
2012-10-03,24.45
2012-10-04,24.7
2012-10-05,24.7
2012-10-08,24.15
2012-10-09,24.0
2012-10-10,23.8
2012-10-11,23.95
2012-10-12,23.85
2012-10-15,23.7
2012-10-16,23.45
2012-10-17,23.35
2012-10-18,23.45
2012-10-19,23.4
2012-10-22,23.5
2012-10-23,23.35
2012-10-25,23.2
2012-10-26,23.2
2012-10-29,23.1
2012-10-30,23.1
2012-10-31,23.45
2012-11-01,23.6
2012-11-02,24.15
2012-11-05,24.05
2012-11-06,24.2
2012-11-07,24.8
2012-11-08,24.1
2012-11-09,25.7
2012-11-12,26.85
2012-11-13,27.0
2012-11-15,28.25
2012-11-16,27.5
2012-11-19,26.25
2012-11-20,25.7
2012-11-21,25.4
2012-11-22,26.0
2012-11-23,26.85
2012-11-26,27.4
2012-11-27,27.95
2012-11-29,27.95
2012-11-30,28.4
2012-12-03,27.75
2012-12-04,27.35
2012-12-05,27.55
2012-12-06,28.2
2012-12-07,28.15
2012-12-10,27.6
2012-12-11,26.65
2012-12-12,26.45
2012-12-13,27.0
2012-12-14,27.35
2012-12-17,27.6
2012-12-18,27.55
2012-12-19,27.8
2012-12-20,27.3
2012-12-21,27.1
2012-12-24,26.55
2012-12-26,26.85
2012-12-27,26.85
2012-12-28,26.95
2012-12-31,26.95
