Date,INGERRAND
2012-01-02,380.0
2012-01-03,382.25
2012-01-04,380.05
2012-01-05,382.05
2012-01-06,382.35
2012-01-07,387.1
2012-01-09,388.05
2012-01-10,398.2
2012-01-11,399.4
2012-01-12,411.8
2012-01-13,420.15
2012-01-16,423.1
2012-01-17,429.0
2012-01-18,428.35
2012-01-19,430.2
2012-01-20,430.05
2012-01-23,430.0
2012-01-24,430.3
2012-01-25,435.0
2012-01-27,438.35
2012-01-30,424.9
2012-01-31,458.35
2012-02-01,472.6
2012-02-02,480.3
2012-02-03,493.85
2012-02-06,487.2
2012-02-07,483.6
2012-02-08,484.35
2012-02-09,490.05
2012-02-10,490.0
2012-02-13,487.0
2012-02-14,488.45
2012-02-15,490.95
2012-02-16,488.5
2012-02-17,483.0
2012-02-21,488.6
2012-02-22,474.2
2012-02-23,474.55
2012-02-24,473.95
2012-02-27,469.2
2012-02-28,471.05
2012-02-29,477.95
2012-03-01,473.5
2012-03-02,471.95
2012-03-03,475.1
2012-03-05,473.6
2012-03-06,468.9
2012-03-07,468.6
2012-03-09,474.8
2012-03-12,473.5
2012-03-13,476.1
2012-03-14,484.8
2012-03-15,479.65
2012-03-16,471.6
2012-03-19,463.7
2012-03-20,464.7
2012-03-21,466.75
2012-03-22,458.9
2012-03-23,458.15
2012-03-26,451.8
2012-03-27,451.05
2012-03-28,447.95
2012-03-29,452.6
2012-03-30,463.45
2012-04-02,473.4
2012-04-03,482.8
2012-04-04,470.0
2012-04-09,469.0
2012-04-10,462.45
2012-04-11,475.65
2012-04-12,479.7
2012-04-13,479.95
2012-04-16,510.2
2012-04-17,522.7
2012-04-18,528.35
2012-04-19,522.25
2012-04-20,519.45
2012-04-23,504.5
2012-04-24,502.9
2012-04-25,501.6
2012-04-26,499.3
2012-04-27,496.7
2012-04-28,496.7
2012-04-30,500.95
2012-05-02,503.85
2012-05-03,498.45
2012-05-04,480.0
2012-05-07,482.45
2012-05-08,470.05
2012-05-09,464.4
2012-05-10,461.25
2012-05-11,458.4
2012-05-14,458.1
2012-05-15,456.6
2012-05-16,456.3
2012-05-17,454.35
2012-05-18,459.8
2012-05-21,464.85
2012-05-22,461.9
2012-05-23,461.95
2012-05-24,458.25
2012-05-25,454.0
2012-05-28,457.45
2012-05-29,463.55
2012-05-30,457.8
2012-05-31,460.3
2012-06-01,452.4
2012-06-04,448.3
2012-06-05,448.65
2012-06-06,474.8
2012-06-07,456.95
2012-06-08,454.9
2012-06-11,451.8
2012-06-12,449.55
2012-06-13,447.2
2012-06-14,445.35
2012-06-15,448.75
2012-06-18,442.4
2012-06-19,448.45
2012-06-20,450.05
2012-06-21,456.0
2012-06-22,455.9
2012-06-25,471.8
2012-06-26,469.4
2012-06-27,469.75
2012-06-28,469.15
2012-06-29,475.35
2012-07-02,468.45
2012-07-03,479.2
2012-07-04,490.65
2012-07-05,489.95
2012-07-06,481.0
2012-07-09,475.15
2012-07-09,475.15
2012-07-10,474.1
2012-07-11,474.5
2012-07-12,466.95
2012-07-13,464.3
2012-07-16,460.85
2012-07-17,458.95
2012-07-18,460.15
2012-07-19,459.6
2012-07-20,457.75
2012-07-23,450.45
2012-07-24,453.0
2012-07-25,451.95
2012-07-26,445.05
2012-07-27,445.15
2012-07-30,447.4
2012-07-31,450.05
2012-08-01,445.35
2012-08-02,448.4
2012-08-03,452.35
2012-08-06,463.05
2012-08-07,456.55
2012-08-08,457.6
2012-08-09,457.25
2012-08-10,455.5
2012-08-13,456.9
2012-08-14,456.6
2012-08-16,452.3
2012-08-17,450.2
2012-08-21,453.3
2012-08-22,456.45
2012-08-23,475.95
2012-08-24,463.85
2012-08-27,462.9
2012-08-28,460.65
2012-08-29,456.0
2012-08-30,452.55
2012-08-31,449.0
2012-09-03,450.6
2012-09-04,451.55
2012-09-05,459.2
2012-09-06,452.25
2012-09-07,467.35
2012-09-08,464.2
2012-09-10,482.5
2012-09-11,474.25
2012-09-12,468.3
2012-09-13,463.2
2012-09-14,462.9
2012-09-17,469.65
2012-09-18,474.9
2012-09-20,473.0
2012-09-21,485.4
2012-09-24,479.95
2012-09-25,482.25
2012-09-26,483.05
2012-09-27,483.05
2012-09-28,497.4
2012-10-01,499.8
2012-10-03,496.8
2012-10-04,499.5
2012-10-05,489.7
2012-10-08,495.3
2012-10-09,508.85
2012-10-10,499.0
2012-10-11,499.35
2012-10-12,493.75
2012-10-15,495.8
2012-10-16,495.1
2012-10-17,490.55
2012-10-18,490.95
2012-10-19,488.85
2012-10-22,493.0
2012-10-23,492.45
2012-10-25,496.2
2012-10-26,488.1
2012-10-29,486.0
2012-10-30,481.35
2012-10-31,485.5
2012-11-01,483.75
2012-11-02,484.4
2012-11-05,479.45
2012-11-06,473.25
2012-11-07,473.85
2012-11-08,470.45
2012-11-09,468.55
2012-11-12,473.4
2012-11-13,481.15
2012-11-15,472.85
2012-11-16,472.1
2012-11-19,463.95
2012-11-20,466.9
2012-11-21,465.9
2012-11-22,465.85
2012-11-23,463.9
2012-11-26,466.2
2012-11-27,467.95
2012-11-29,470.0
2012-11-30,471.5
2012-12-03,475.7
2012-12-04,473.15
2012-12-05,482.15
2012-12-06,490.45
2012-12-07,477.35
2012-12-10,482.8
2012-12-11,479.45
2012-12-12,474.85
2012-12-13,469.05
2012-12-14,470.45
2012-12-17,486.05
2012-12-18,485.15
2012-12-19,482.75
2012-12-20,485.45
2012-12-21,485.8
2012-12-24,491.8
2012-12-26,497.9
2012-12-27,501.0
2012-12-28,498.95
2012-12-31,491.0
