Date,OPTOCIRCUI
2012-01-02,198.15
2012-01-03,202.95
2012-01-04,205.1
2012-01-05,202.45
2012-01-06,201.45
2012-01-07,201.55
2012-01-09,200.5
2012-01-10,203.1
2012-01-11,211.15
2012-01-12,216.9
2012-01-13,215.45
2012-01-16,215.9
2012-01-17,224.25
2012-01-18,218.0
2012-01-19,222.85
2012-01-20,234.4
2012-01-23,230.1
2012-01-24,234.55
2012-01-25,245.45
2012-01-27,241.6
2012-01-30,233.3
2012-01-31,237.4
2012-02-01,241.8
2012-02-02,247.45
2012-02-03,255.25
2012-02-06,263.75
2012-02-07,261.05
2012-02-08,268.5
2012-02-09,270.45
2012-02-10,269.25
2012-02-13,275.65
2012-02-14,282.35
2012-02-15,288.75
2012-02-16,289.7
2012-02-17,287.2
2012-02-21,285.35
2012-02-22,279.0
2012-02-23,276.6
2012-02-24,270.25
2012-02-27,261.6
2012-02-28,263.3
2012-02-29,272.4
2012-03-01,269.8
2012-03-02,271.5
2012-03-03,271.45
2012-03-05,267.25
2012-03-06,261.45
2012-03-07,256.15
2012-03-09,271.3
2012-03-12,272.85
2012-03-13,273.35
2012-03-14,273.7
2012-03-15,270.75
2012-03-16,270.95
2012-03-19,277.5
2012-03-20,275.95
2012-03-21,279.1
2012-03-22,271.95
2012-03-23,274.1
2012-03-26,254.3
2012-03-27,250.25
2012-03-28,246.35
2012-03-29,199.45
2012-03-30,201.5
2012-04-02,199.3
2012-04-03,192.5
2012-04-04,187.75
2012-04-09,184.95
2012-04-10,181.65
2012-04-11,178.0
2012-04-12,178.0
2012-04-13,179.4
2012-04-16,178.4
2012-04-17,177.35
2012-04-18,181.35
2012-04-19,182.8
2012-04-20,180.3
2012-04-23,177.85
2012-04-24,176.55
2012-04-25,178.45
2012-04-26,182.5
2012-04-27,184.3
2012-04-28,184.7
2012-04-30,186.1
2012-05-02,184.4
2012-05-03,182.95
2012-05-04,176.05
2012-05-07,179.75
2012-05-08,173.95
2012-05-09,172.15
2012-05-10,174.65
2012-05-11,172.85
2012-05-14,171.7
2012-05-15,174.05
2012-05-16,176.05
2012-05-17,174.45
2012-05-18,177.05
2012-05-21,174.0
2012-05-22,174.1
2012-05-23,172.3
2012-05-24,167.95
2012-05-25,166.35
2012-05-28,167.15
2012-05-29,166.6
2012-05-30,165.65
2012-05-31,161.75
2012-06-01,158.45
2012-06-04,154.3
2012-06-05,151.85
2012-06-06,153.65
2012-06-07,155.0
2012-06-08,154.45
2012-06-11,146.45
2012-06-12,147.9
2012-06-13,143.8
2012-06-14,143.85
2012-06-15,145.7
2012-06-18,146.35
2012-06-19,145.1
2012-06-20,146.4
2012-06-21,144.9
2012-06-22,148.6
2012-06-25,146.25
2012-06-26,147.4
2012-06-27,153.15
2012-06-28,155.3
2012-06-29,154.25
2012-07-02,158.55
2012-07-03,157.9
2012-07-04,162.05
2012-07-05,164.75
2012-07-06,160.55
2012-07-09,162.05
2012-07-09,162.05
2012-07-10,162.7
2012-07-11,162.9
2012-07-12,160.4
2012-07-13,158.2
2012-07-16,154.3
2012-07-17,151.75
2012-07-18,154.45
2012-07-19,155.25
2012-07-20,161.25
2012-07-23,161.95
2012-07-24,161.95
2012-07-25,159.0
2012-07-26,159.7
2012-07-27,155.4
2012-07-30,152.55
2012-07-31,153.85
2012-08-01,155.4
2012-08-02,156.5
2012-08-03,155.9
2012-08-06,155.55
2012-08-07,155.95
2012-08-08,156.6
2012-08-09,158.45
2012-08-10,153.65
2012-08-13,149.95
2012-08-14,147.85
2012-08-16,143.65
2012-08-17,147.55
2012-08-21,147.3
2012-08-22,137.9
2012-08-23,121.15
2012-08-24,127.4
2012-08-27,128.55
2012-08-28,124.1
2012-08-29,120.15
2012-08-30,125.15
2012-08-31,123.3
2012-09-03,119.55
2012-09-04,127.9
2012-09-05,124.5
2012-09-06,126.25
2012-09-07,131.25
2012-09-08,130.65
2012-09-10,129.6
2012-09-11,139.6
2012-09-12,140.5
2012-09-13,138.35
2012-09-14,133.15
2012-09-17,132.0
2012-09-18,131.95
2012-09-20,128.4
2012-09-21,130.0
2012-09-24,128.05
2012-09-25,127.9
2012-09-26,127.35
2012-09-27,130.4
2012-09-28,129.6
2012-10-01,129.5
2012-10-03,128.25
2012-10-04,135.15
2012-10-05,138.35
2012-10-08,136.0
2012-10-09,136.5
2012-10-10,131.8
2012-10-11,134.5
2012-10-12,131.95
2012-10-15,132.75
2012-10-16,131.2
2012-10-17,130.4
2012-10-18,130.2
2012-10-19,126.85
2012-10-22,127.3
2012-10-23,126.4
2012-10-25,127.45
2012-10-26,125.25
2012-10-29,119.65
2012-10-30,116.4
2012-10-31,120.15
2012-11-01,124.05
2012-11-02,124.1
2012-11-05,125.8
2012-11-06,126.1
2012-11-07,126.7
2012-11-08,125.7
2012-11-09,124.7
2012-11-12,121.5
2012-11-13,120.35
2012-11-15,115.7
2012-11-16,113.9
2012-11-19,110.05
2012-11-20,106.25
2012-11-21,104.9
2012-11-22,102.8
2012-11-23,100.2
2012-11-26,98.8
2012-11-27,98.15
2012-11-29,105.2
2012-11-30,108.35
2012-12-03,108.55
2012-12-04,106.15
2012-12-05,108.05
2012-12-06,106.35
2012-12-07,103.05
2012-12-10,103.45
2012-12-11,105.1
2012-12-12,105.0
2012-12-13,102.35
2012-12-14,105.5
2012-12-17,106.0
2012-12-18,106.65
2012-12-19,105.6
2012-12-20,109.1
2012-12-21,107.4
2012-12-24,105.0
2012-12-26,104.85
2012-12-27,104.45
2012-12-28,106.4
2012-12-31,107.2
