Date,ENERGYDEV
2012-01-02,30.65
2012-01-03,30.75
2012-01-04,30.95
2012-01-05,31.1
2012-01-06,31.45
2012-01-09,31.5
2012-01-10,34.35
2012-01-11,34.0
2012-01-12,34.15
2012-01-13,34.0
2012-01-16,34.95
2012-01-17,34.6
2012-01-18,34.55
2012-01-19,33.8
2012-01-20,34.35
2012-01-23,35.2
2012-01-24,36.0
2012-01-25,35.0
2012-01-27,36.15
2012-01-30,35.8
2012-01-31,35.5
2012-02-01,36.0
2012-02-02,35.75
2012-02-03,34.65
2012-02-06,34.45
2012-02-07,33.35
2012-02-08,34.1
2012-02-09,34.95
2012-02-10,34.1
2012-02-13,36.8
2012-02-14,37.6
2012-02-15,39.8
2012-02-16,44.6
2012-02-17,41.15
2012-02-21,40.85
2012-02-22,38.65
2012-02-23,39.6
2012-02-24,36.95
2012-02-27,34.9
2012-02-28,36.65
2012-02-29,36.85
2012-03-01,37.1
2012-03-02,36.9
2012-03-03,38.1
2012-03-05,43.9
2012-03-06,44.9
2012-03-07,44.5
2012-03-09,42.9
2012-03-12,40.9
2012-03-13,41.2
2012-03-14,40.65
2012-03-15,38.9
2012-03-16,39.55
2012-03-19,37.75
2012-03-20,37.6
2012-03-21,38.05
2012-03-22,36.55
2012-03-23,35.7
2012-03-26,34.7
2012-03-27,33.6
2012-03-28,31.65
2012-03-29,32.95
2012-03-30,33.15
2012-04-02,33.3
2012-04-03,34.4
2012-04-04,34.1
2012-04-09,33.75
2012-04-10,33.85
2012-04-11,33.8
2012-04-12,34.25
2012-04-13,34.1
2012-04-16,35.45
2012-04-17,34.55
2012-04-18,34.2
2012-04-19,34.7
2012-04-20,33.7
2012-04-23,33.0
2012-04-24,33.15
2012-04-25,33.0
2012-04-26,32.5
2012-04-27,30.25
2012-04-28,30.05
2012-04-30,30.7
2012-05-02,30.45
2012-05-03,29.8
2012-05-04,29.05
2012-05-07,28.8
2012-05-08,29.05
2012-05-09,30.3
2012-05-10,29.4
2012-05-11,28.4
2012-05-14,28.1
2012-05-15,28.2
2012-05-16,28.95
2012-05-17,28.7
2012-05-18,28.3
2012-05-21,28.65
2012-05-22,28.75
2012-05-23,28.4
2012-05-24,29.25
2012-05-25,29.0
2012-05-28,29.7
2012-05-29,29.15
2012-05-30,28.7
2012-05-31,29.45
2012-06-01,28.95
2012-06-04,29.15
2012-06-05,28.95
2012-06-06,29.4
2012-06-07,28.75
2012-06-08,29.7
2012-06-11,29.4
2012-06-12,28.5
2012-06-13,28.55
2012-06-14,28.5
2012-06-15,28.3
2012-06-18,28.1
2012-06-19,28.0
2012-06-20,27.85
2012-06-21,27.95
2012-06-22,30.15
2012-06-25,29.9
2012-06-26,30.8
2012-06-27,30.9
2012-06-28,30.55
2012-06-29,30.55
2012-07-02,32.6
2012-07-03,32.75
2012-07-04,32.5
2012-07-05,33.75
2012-07-06,33.0
2012-07-09,36.85
2012-07-09,36.85
2012-07-10,34.9
2012-07-11,34.1
2012-07-12,33.55
2012-07-13,32.3
2012-07-16,31.95
2012-07-17,31.5
2012-07-18,31.25
2012-07-19,31.3
2012-07-20,30.4
2012-07-23,30.25
2012-07-24,30.2
2012-07-25,29.7
2012-07-26,28.05
2012-07-27,28.0
2012-07-30,28.6
2012-07-31,28.6
2012-08-01,28.9
2012-08-02,29.6
2012-08-03,28.9
2012-08-06,29.85
2012-08-07,29.8
2012-08-08,28.85
2012-08-09,28.2
2012-08-10,28.75
2012-08-13,29.05
2012-08-14,29.7
2012-08-16,28.65
2012-08-17,28.75
2012-08-21,29.35
2012-08-22,28.95
2012-08-23,28.95
2012-08-24,29.0
2012-08-27,28.6
2012-08-28,26.7
2012-08-29,27.25
2012-08-30,26.75
2012-08-31,26.25
2012-09-03,26.05
2012-09-04,26.5
2012-09-05,26.9
2012-09-06,27.0
2012-09-07,26.75
2012-09-10,27.2
2012-09-11,27.2
2012-09-12,26.75
2012-09-13,26.75
2012-09-14,27.1
2012-09-17,26.65
2012-09-18,28.0
2012-09-20,27.8
2012-09-21,28.65
2012-09-24,30.6
2012-09-25,30.25
2012-09-26,30.15
2012-09-27,29.3
2012-09-28,29.65
2012-10-01,29.4
2012-10-03,29.5
2012-10-04,30.25
2012-10-05,29.15
2012-10-08,29.35
2012-10-09,29.45
2012-10-10,29.0
2012-10-11,27.35
2012-10-12,26.9
2012-10-15,26.95
2012-10-16,26.9
2012-10-17,27.0
2012-10-18,26.75
2012-10-19,25.55
2012-10-22,25.45
2012-10-23,25.0
2012-10-25,25.05
2012-10-26,25.3
2012-10-29,25.7
2012-10-30,25.4
2012-10-31,25.25
2012-11-01,25.05
2012-11-02,24.95
2012-11-05,25.5
2012-11-06,25.05
2012-11-07,25.5
2012-11-08,25.25
2012-11-09,25.25
2012-11-12,25.1
2012-11-13,25.05
2012-11-15,24.35
2012-11-16,22.95
2012-11-19,22.85
2012-11-20,22.75
2012-11-21,23.2
2012-11-22,22.7
2012-11-23,23.1
2012-11-26,22.65
2012-11-27,22.65
2012-11-29,23.2
2012-11-30,23.45
2012-12-03,24.35
2012-12-04,24.65
2012-12-05,25.05
2012-12-06,24.6
2012-12-07,24.9
2012-12-10,25.05
2012-12-11,24.75
2012-12-12,24.45
2012-12-13,23.5
2012-12-14,23.6
2012-12-17,28.2
2012-12-18,30.35
2012-12-19,28.5
2012-12-20,27.55
2012-12-21,26.25
2012-12-24,26.05
2012-12-26,24.55
2012-12-27,24.65
2012-12-28,25.35
2012-12-31,25.25
