Date,AXISBANK
2012-01-02,794.8
2012-01-03,837.55
2012-01-04,848.15
2012-01-05,870.65
2012-01-06,853.5
2012-01-07,852.2
2012-01-09,858.2
2012-01-10,894.75
2012-01-11,933.65
2012-01-12,940.5
2012-01-13,939.7
2012-01-16,935.25
2012-01-17,962.25
2012-01-18,933.25
2012-01-19,955.05
2012-01-20,1009.05
2012-01-23,996.95
2012-01-24,1032.6
2012-01-25,1063.65
2012-01-27,1073.05
2012-01-30,1023.45
2012-01-31,1075.05
2012-02-01,1088.1
2012-02-02,1075.9
2012-02-03,1099.35
2012-02-06,1110.05
2012-02-07,1113.6
2012-02-08,1127.2
2012-02-09,1134.5
2012-02-10,1118.05
2012-02-13,1116.35
2012-02-14,1129.65
2012-02-15,1221.0
2012-02-16,1224.3
2012-02-17,1278.2
2012-02-21,1287.6
2012-02-22,1216.05
2012-02-23,1217.7
2012-02-24,1183.45
2012-02-27,1114.5
2012-02-28,1170.55
2012-02-29,1177.75
2012-03-01,1152.9
2012-03-02,1166.65
2012-03-03,1172.1
2012-03-05,1150.0
2012-03-06,1147.5
2012-03-07,1164.85
2012-03-09,1213.4
2012-03-12,1225.0
2012-03-13,1240.6
2012-03-14,1274.05
2012-03-15,1242.4
2012-03-16,1216.2
2012-03-19,1198.95
2012-03-20,1186.35
2012-03-21,1228.75
2012-03-22,1176.5
2012-03-23,1179.35
2012-03-26,1125.15
2012-03-27,1141.5
2012-03-28,1115.6
2012-03-29,1122.05
2012-03-30,1146.2
2012-04-02,1154.8
2012-04-03,1175.8
2012-04-04,1166.65
2012-04-09,1145.95
2012-04-10,1153.55
2012-04-11,1157.4
2012-04-12,1196.5
2012-04-13,1162.15
2012-04-16,1196.85
2012-04-17,1211.65
2012-04-18,1196.3
2012-04-19,1195.55
2012-04-20,1177.15
2012-04-23,1134.45
2012-04-24,1113.9
2012-04-25,1094.75
2012-04-26,1086.65
2012-04-27,1104.0
2012-04-28,1121.2
2012-04-30,1106.95
2012-05-02,1103.25
2012-05-03,1058.3
2012-05-04,1009.75
2012-05-07,1022.55
2012-05-08,983.45
2012-05-09,961.15
2012-05-10,981.25
2012-05-11,1000.2
2012-05-14,997.65
2012-05-15,993.6
2012-05-16,971.4
2012-05-17,951.3
2012-05-18,949.4
2012-05-21,963.25
2012-05-22,965.55
2012-05-23,963.45
2012-05-24,997.8
2012-05-25,1000.4
2012-05-28,1029.4
2012-05-29,1024.0
2012-05-30,1000.8
2012-05-31,970.95
2012-06-01,964.55
2012-06-04,988.0
2012-06-05,989.65
2012-06-06,1020.35
2012-06-07,1057.1
2012-06-08,1049.4
2012-06-11,1036.85
2012-06-12,1057.6
2012-06-13,1044.65
2012-06-14,1013.05
2012-06-15,1032.55
2012-06-18,1000.15
2012-06-19,1001.55
2012-06-20,1000.75
2012-06-21,1025.45
2012-06-22,1014.3
2012-06-25,1012.3
2012-06-26,1002.75
2012-06-27,1000.95
2012-06-28,978.6
2012-06-29,1015.75
2012-07-02,1029.3
2012-07-03,1044.05
2012-07-04,1041.4
2012-07-05,1044.0
2012-07-06,1037.5
2012-07-09,1035.85
2012-07-09,1035.85
2012-07-10,1075.3
2012-07-11,1066.7
2012-07-12,1047.8
2012-07-13,1034.7
2012-07-16,1046.3
2012-07-17,1023.8
2012-07-18,1038.25
2012-07-19,1057.05
2012-07-20,1040.8
2012-07-23,1027.55
2012-07-24,1041.35
2012-07-25,1028.7
2012-07-26,1002.2
2012-07-27,997.15
2012-07-30,1040.35
2012-07-31,1044.15
2012-08-01,1046.0
2012-08-02,1058.5
2012-08-03,1041.1
2012-08-06,1063.6
2012-08-07,1091.3
2012-08-08,1096.7
2012-08-09,1087.2
2012-08-10,1070.0
2012-08-13,1080.85
2012-08-14,1107.2
2012-08-16,1113.95
2012-08-17,1110.2
2012-08-21,1110.7
2012-08-22,1108.0
2012-08-23,1094.65
2012-08-24,1075.45
2012-08-27,1039.1
2012-08-28,1017.25
2012-08-29,1018.45
2012-08-30,1013.25
2012-08-31,991.8
2012-09-03,977.6
2012-09-04,978.3
2012-09-05,930.25
2012-09-06,948.7
2012-09-07,976.85
2012-09-08,978.8
2012-09-10,952.95
2012-09-11,952.85
2012-09-12,956.0
2012-09-13,948.05
2012-09-14,1009.9
2012-09-17,1057.5
2012-09-18,1073.4
2012-09-20,1044.4
2012-09-21,1124.65
2012-09-24,1132.65
2012-09-25,1101.95
2012-09-26,1126.8
2012-09-27,1128.8
2012-09-28,1136.0
2012-10-01,1130.7
2012-10-03,1113.4
2012-10-04,1140.8
2012-10-05,1142.95
2012-10-08,1130.95
2012-10-09,1128.4
2012-10-10,1106.8
2012-10-11,1133.7
2012-10-12,1119.7
2012-10-15,1119.1
2012-10-16,1145.9
2012-10-17,1153.95
2012-10-18,1202.35
2012-10-19,1202.25
2012-10-22,1223.75
2012-10-23,1222.25
2012-10-25,1238.05
2012-10-26,1231.65
2012-10-29,1221.75
2012-10-30,1184.7
2012-10-31,1182.6
2012-11-01,1207.15
2012-11-02,1215.5
2012-11-05,1214.25
2012-11-06,1220.15
2012-11-07,1232.05
2012-11-08,1222.5
2012-11-09,1215.1
2012-11-12,1226.45
2012-11-13,1222.6
2012-11-15,1232.25
2012-11-16,1226.25
2012-11-19,1214.3
2012-11-20,1218.95
2012-11-21,1236.35
2012-11-22,1257.05
2012-11-23,1256.75
2012-11-26,1265.8
2012-11-27,1290.05
2012-11-29,1310.2
2012-11-30,1319.9
2012-12-03,1321.6
2012-12-04,1322.1
2012-12-05,1334.7
2012-12-06,1364.1
2012-12-07,1328.75
2012-12-10,1322.85
2012-12-11,1325.4
2012-12-12,1326.35
2012-12-13,1325.35
2012-12-14,1352.7
2012-12-17,1359.05
2012-12-18,1353.95
2012-12-19,1334.9
2012-12-20,1318.6
2012-12-21,1321.25
2012-12-24,1342.65
2012-12-26,1351.95
2012-12-27,1364.3
2012-12-28,1359.55
2012-12-31,1356.55
