Date,AFL
2012-01-02,36.55
2012-01-03,36.7
2012-01-04,36.7
2012-01-05,36.7
2012-01-06,37.15
2012-01-07,37.85
2012-01-09,37.6
2012-01-10,38.45
2012-01-11,37.55
2012-01-12,38.0
2012-01-13,37.95
2012-01-16,37.55
2012-01-17,38.1
2012-01-18,38.5
2012-01-19,38.0
2012-01-20,37.65
2012-01-23,38.45
2012-01-24,39.0
2012-01-25,38.2
2012-01-27,38.95
2012-01-30,38.75
2012-01-31,36.65
2012-02-01,37.0
2012-02-02,35.8
2012-02-03,36.85
2012-02-06,37.05
2012-02-07,37.05
2012-02-08,36.9
2012-02-09,37.35
2012-02-10,37.35
2012-02-13,37.15
2012-02-14,37.3
2012-02-15,37.3
2012-02-16,36.95
2012-02-17,37.1
2012-02-21,37.1
2012-02-22,37.25
2012-02-23,37.0
2012-02-24,37.3
2012-02-27,36.9
2012-02-28,36.5
2012-02-29,36.15
2012-03-01,36.35
2012-03-02,35.95
2012-03-03,36.0
2012-03-05,35.95
2012-03-06,36.1
2012-03-07,35.65
2012-03-09,36.4
2012-03-12,35.6
2012-03-13,36.0
2012-03-14,35.95
2012-03-15,35.9
2012-03-16,35.2
2012-03-19,36.05
2012-03-20,36.0
2012-03-21,35.25
2012-03-22,35.5
2012-03-23,34.05
2012-03-26,33.95
2012-03-27,32.95
2012-03-28,33.8
2012-03-29,35.15
2012-03-30,36.4
2012-04-02,34.95
2012-04-03,34.6
2012-04-04,34.9
2012-04-09,35.35
2012-04-10,35.3
2012-04-11,34.8
2012-04-12,35.25
2012-04-13,34.6
2012-04-16,34.35
2012-04-17,35.0
2012-04-18,35.3
2012-04-19,35.35
2012-04-20,35.05
2012-04-23,35.0
2012-04-24,35.0
2012-04-25,36.05
2012-04-26,34.95
2012-04-27,35.8
2012-04-28,35.0
2012-04-30,36.0
2012-05-02,35.0
2012-05-03,35.05
2012-05-04,34.25
2012-05-07,34.35
2012-05-08,34.75
2012-05-09,34.7
2012-05-10,34.45
2012-05-11,35.05
2012-05-14,34.55
2012-05-15,35.15
2012-05-16,35.15
2012-05-17,35.4
2012-05-18,34.75
2012-05-21,34.95
2012-05-22,34.9
2012-05-23,34.95
2012-05-24,34.75
2012-05-25,34.25
2012-05-28,33.95
2012-05-29,33.85
2012-05-30,34.6
2012-05-31,34.4
2012-06-01,33.95
2012-06-04,33.8
2012-06-05,34.0
2012-06-06,34.0
2012-06-07,34.9
2012-06-08,34.05
2012-06-11,33.6
2012-06-12,33.3
2012-06-13,33.05
2012-06-14,32.85
2012-06-15,33.2
2012-06-18,32.9
2012-06-19,32.85
2012-06-20,32.5
2012-06-21,31.05
2012-06-22,28.05
2012-06-25,29.05
2012-06-26,30.2
2012-06-27,30.25
2012-06-28,30.2
2012-06-29,30.15
2012-07-02,35.2
2012-07-03,32.15
2012-07-04,31.1
2012-07-05,32.1
2012-07-06,32.55
2012-07-09,32.85
2012-07-09,32.85
2012-07-10,34.8
2012-07-11,35.1
2012-07-12,35.0
2012-07-13,34.0
2012-07-16,33.85
2012-07-17,32.85
2012-07-18,32.85
2012-07-19,32.5
2012-07-20,31.75
2012-07-23,31.8
2012-07-24,31.75
2012-07-25,33.15
2012-07-26,31.75
2012-07-27,32.2
2012-07-30,31.55
2012-07-31,30.05
2012-08-01,30.35
2012-08-02,30.75
2012-08-03,30.35
2012-08-06,31.35
2012-08-07,31.9
2012-08-08,31.85
2012-08-09,32.3
2012-08-10,31.55
2012-08-13,32.95
2012-08-14,32.45
2012-08-16,32.75
2012-08-17,32.85
2012-08-21,33.25
2012-08-22,32.75
2012-08-23,32.9
2012-08-24,32.25
2012-08-27,31.9
2012-08-28,31.3
2012-08-29,31.2
2012-08-30,31.05
2012-08-31,30.65
2012-09-03,31.2
2012-09-04,31.5
2012-09-05,32.1
2012-09-06,32.45
2012-09-07,32.35
2012-09-08,32.3
2012-09-10,32.0
2012-09-11,31.7
2012-09-12,32.1
2012-09-13,31.65
2012-09-14,31.65
2012-09-17,31.05
2012-09-18,31.85
2012-09-20,31.15
2012-09-21,31.75
2012-09-24,31.8
2012-09-25,31.5
2012-09-26,31.55
2012-09-27,31.3
2012-09-28,31.7
2012-10-01,31.7
2012-10-03,33.4
2012-10-04,33.4
2012-10-05,33.0
2012-10-08,32.6
2012-10-09,33.05
2012-10-10,32.9
2012-10-11,32.7
2012-10-12,32.5
2012-10-15,32.25
2012-10-16,32.55
2012-10-17,34.25
2012-10-18,35.15
2012-10-19,35.1
2012-10-22,35.5
2012-10-23,35.15
2012-10-25,35.05
2012-10-26,34.5
2012-10-29,34.5
2012-10-30,33.8
2012-10-31,33.65
2012-11-01,33.5
2012-11-02,32.1
2012-11-05,31.6
2012-11-06,31.8
2012-11-07,31.9
2012-11-08,32.2
2012-11-09,32.3
2012-11-12,33.6
2012-11-13,34.0
2012-11-15,34.6
2012-11-16,34.6
2012-11-19,34.7
2012-11-20,33.9
2012-11-21,33.9
2012-11-22,34.5
2012-11-23,34.0
2012-11-26,34.9
2012-11-27,33.0
2012-11-29,33.95
2012-11-30,34.05
2012-12-03,34.5
2012-12-04,35.0
2012-12-05,35.35
2012-12-06,35.4
2012-12-07,35.25
2012-12-10,35.2
2012-12-11,34.2
2012-12-12,33.7
2012-12-13,33.45
2012-12-14,33.0
2012-12-17,32.1
2012-12-18,31.65
2012-12-19,31.55
2012-12-20,31.4
2012-12-21,32.95
2012-12-24,31.85
2012-12-26,31.7
2012-12-27,31.75
2012-12-28,31.25
2012-12-31,31.6
