Date,KOTHARIPRO
2012-01-02,373.0
2012-01-03,370.3
2012-01-04,375.15
2012-01-05,383.8
2012-01-06,376.4
2012-01-07,377.9
2012-01-09,391.0
2012-01-10,410.05
2012-01-11,409.75
2012-01-12,408.4
2012-01-13,413.75
2012-01-16,408.4
2012-01-17,417.05
2012-01-18,412.6
2012-01-19,420.35
2012-01-20,420.0
2012-01-23,428.25
2012-01-24,428.05
2012-01-25,428.7
2012-01-27,433.75
2012-01-30,421.7
2012-01-31,428.8
2012-02-01,430.85
2012-02-02,432.05
2012-02-03,440.75
2012-02-06,468.35
2012-02-07,451.25
2012-02-08,449.75
2012-02-09,454.1
2012-02-10,435.45
2012-02-13,448.5
2012-02-14,450.9
2012-02-15,439.1
2012-02-16,437.3
2012-02-17,432.05
2012-02-21,432.4
2012-02-22,431.45
2012-02-23,414.0
2012-02-24,413.1
2012-02-27,394.9
2012-02-28,398.95
2012-02-29,406.1
2012-03-01,429.3
2012-03-02,424.75
2012-03-03,420.9
2012-03-05,415.45
2012-03-06,418.7
2012-03-07,419.0
2012-03-09,423.35
2012-03-12,431.1
2012-03-13,431.8
2012-03-14,427.35
2012-03-15,428.0
2012-03-16,428.3
2012-03-19,413.6
2012-03-20,416.2
2012-03-21,420.15
2012-03-22,415.05
2012-03-23,413.05
2012-03-26,407.1
2012-03-27,407.2
2012-03-28,405.85
2012-03-29,409.95
2012-03-30,407.15
2012-04-02,414.95
2012-04-03,422.5
2012-04-04,427.6
2012-04-09,413.65
2012-04-10,406.5
2012-04-11,409.55
2012-04-12,409.4
2012-04-13,409.8
2012-04-16,412.45
2012-04-17,411.7
2012-04-18,418.0
2012-04-19,424.7
2012-04-20,431.35
2012-04-23,428.2
2012-04-24,426.7
2012-04-25,419.75
2012-04-26,420.0
2012-04-27,415.3
2012-04-30,424.4
2012-05-02,424.0
2012-05-03,422.7
2012-05-04,411.35
2012-05-07,420.45
2012-05-08,411.55
2012-05-09,418.7
2012-05-10,421.95
2012-05-11,416.7
2012-05-14,410.0
2012-05-15,416.2
2012-05-16,419.95
2012-05-17,414.3
2012-05-18,414.05
2012-05-21,417.8
2012-05-22,412.95
2012-05-23,407.25
2012-05-24,409.45
2012-05-25,407.9
2012-05-28,421.05
2012-05-29,418.6
2012-05-30,427.0
2012-05-31,420.6
2012-06-01,415.45
2012-06-04,422.5
2012-06-05,416.25
2012-06-06,422.05
2012-06-07,420.55
2012-06-08,421.6
2012-06-11,430.2
2012-06-12,422.15
2012-06-13,426.3
2012-06-14,427.3
2012-06-15,426.45
2012-06-18,421.1
2012-06-19,422.0
2012-06-20,422.6
2012-06-21,421.7
2012-06-22,424.85
2012-06-25,428.7
2012-06-26,421.15
2012-06-27,416.25
2012-06-28,414.2
2012-06-29,417.1
2012-07-02,418.65
2012-07-03,413.0
2012-07-04,426.7
2012-07-05,420.35
2012-07-06,416.3
2012-07-09,419.5
2012-07-09,419.5
2012-07-10,422.65
2012-07-11,421.95
2012-07-12,419.1
2012-07-13,403.05
2012-07-16,407.15
2012-07-17,403.25
2012-07-18,405.85
2012-07-19,411.05
2012-07-20,407.0
2012-07-23,406.75
2012-07-24,404.05
2012-07-25,401.05
2012-07-26,400.7
2012-07-27,397.25
2012-07-30,403.85
2012-07-31,408.35
2012-08-01,409.45
2012-08-02,411.55
2012-08-03,417.0
2012-08-06,417.3
2012-08-07,415.45
2012-08-08,416.75
2012-08-09,413.65
2012-08-10,413.5
2012-08-13,420.05
2012-08-14,420.15
2012-08-16,406.95
2012-08-17,408.45
2012-08-21,406.6
2012-08-22,419.7
2012-08-23,418.65
2012-08-24,421.6
2012-08-27,420.9
2012-08-28,420.45
2012-08-29,413.25
2012-08-30,404.75
2012-08-31,406.7
2012-09-03,409.5
2012-09-04,415.25
2012-09-05,416.35
2012-09-06,415.0
2012-09-07,412.05
2012-09-08,413.7
2012-09-10,417.45
2012-09-11,415.65
2012-09-12,404.15
2012-09-13,402.2
2012-09-14,397.95
2012-09-17,396.75
2012-09-18,396.9
2012-09-20,391.45
2012-09-21,393.05
2012-09-24,395.2
2012-09-25,400.45
2012-09-26,401.1
2012-09-27,399.65
2012-09-28,395.3
2012-10-01,395.35
2012-10-03,397.2
2012-10-04,399.65
2012-10-05,399.5
2012-10-08,402.15
2012-10-09,404.95
2012-10-10,405.0
2012-10-11,405.0
2012-10-12,407.0
2012-10-15,401.65
2012-10-16,402.4
2012-10-17,406.25
2012-10-18,400.25
2012-10-19,398.0
2012-10-22,397.65
2012-10-23,397.2
2012-10-25,400.0
2012-10-26,398.6
2012-10-29,394.85
2012-10-30,393.2
2012-10-31,393.1
2012-11-01,396.8
2012-11-02,396.05
2012-11-05,394.65
2012-11-06,389.5
2012-11-07,395.0
2012-11-08,395.65
2012-11-09,390.45
2012-11-12,394.0
2012-11-13,397.1
2012-11-15,396.4
2012-11-16,398.95
2012-11-19,393.55
2012-11-20,385.9
2012-11-21,385.4
2012-11-22,393.9
2012-11-23,389.85
2012-11-26,389.8
2012-11-27,397.75
2012-11-29,398.35
2012-11-30,394.95
2012-12-03,394.55
2012-12-04,393.45
2012-12-05,396.25
2012-12-06,394.55
2012-12-07,389.05
2012-12-10,394.35
2012-12-11,393.05
2012-12-12,395.25
2012-12-13,392.6
2012-12-14,392.4
2012-12-17,395.6
2012-12-18,397.7
2012-12-19,393.45
2012-12-20,395.6
2012-12-21,393.2
2012-12-24,397.0
2012-12-26,393.25
2012-12-27,393.3
2012-12-28,393.75
2012-12-31,391.5
