Date,JPPOWER
2012-01-02,34.05
2012-01-03,35.3
2012-01-04,34.4
2012-01-05,34.05
2012-01-06,33.5
2012-01-07,33.9
2012-01-09,33.65
2012-01-10,34.45
2012-01-11,34.7
2012-01-12,35.25
2012-01-13,39.25
2012-01-16,39.05
2012-01-17,40.65
2012-01-18,40.0
2012-01-19,40.95
2012-01-20,40.8
2012-01-23,40.65
2012-01-24,41.2
2012-01-25,43.6
2012-01-27,43.15
2012-01-30,42.2
2012-01-31,44.05
2012-02-01,44.05
2012-02-02,45.0
2012-02-03,45.25
2012-02-06,45.25
2012-02-07,44.9
2012-02-08,46.15
2012-02-09,45.9
2012-02-10,45.95
2012-02-13,46.1
2012-02-14,46.55
2012-02-15,49.0
2012-02-16,47.45
2012-02-17,47.3
2012-02-21,47.3
2012-02-22,45.2
2012-02-23,43.8
2012-02-24,44.55
2012-02-27,43.05
2012-02-28,43.8
2012-02-29,43.95
2012-03-01,43.95
2012-03-02,43.4
2012-03-03,43.65
2012-03-05,41.2
2012-03-06,39.5
2012-03-07,40.65
2012-03-09,41.7
2012-03-12,42.45
2012-03-13,43.95
2012-03-14,43.55
2012-03-15,42.4
2012-03-16,41.05
2012-03-19,40.5
2012-03-20,41.0
2012-03-21,41.6
2012-03-22,39.65
2012-03-23,40.0
2012-03-26,39.55
2012-03-27,40.4
2012-03-28,39.5
2012-03-29,39.6
2012-03-30,40.75
2012-04-02,41.4
2012-04-03,41.6
2012-04-04,41.75
2012-04-09,40.6
2012-04-10,41.0
2012-04-11,40.55
2012-04-12,42.0
2012-04-13,40.8
2012-04-16,40.9
2012-04-17,42.35
2012-04-18,41.5
2012-04-19,41.55
2012-04-20,42.05
2012-04-23,40.05
2012-04-24,40.3
2012-04-25,39.3
2012-04-26,39.4
2012-04-27,39.55
2012-04-28,39.7
2012-04-30,40.5
2012-05-02,40.25
2012-05-03,39.8
2012-05-04,39.2
2012-05-07,40.2
2012-05-08,38.75
2012-05-09,37.6
2012-05-10,37.5
2012-05-11,37.2
2012-05-14,36.95
2012-05-15,37.95
2012-05-16,36.9
2012-05-17,36.55
2012-05-18,36.1
2012-05-21,37.05
2012-05-22,36.55
2012-05-23,35.4
2012-05-24,35.7
2012-05-25,36.05
2012-05-28,36.3
2012-05-29,36.1
2012-05-30,35.0
2012-05-31,35.75
2012-06-01,36.75
2012-06-04,36.55
2012-06-05,36.25
2012-06-06,37.8
2012-06-07,37.65
2012-06-08,37.7
2012-06-11,37.35
2012-06-12,37.6
2012-06-13,37.0
2012-06-14,36.3
2012-06-15,36.45
2012-06-18,35.2
2012-06-19,34.8
2012-06-20,35.65
2012-06-21,36.0
2012-06-22,35.85
2012-06-25,35.5
2012-06-26,35.65
2012-06-27,36.25
2012-06-28,34.6
2012-06-29,34.85
2012-07-02,34.25
2012-07-03,34.55
2012-07-04,35.25
2012-07-05,36.05
2012-07-06,35.7
2012-07-09,34.75
2012-07-09,34.75
2012-07-10,35.1
2012-07-11,35.1
2012-07-12,34.95
2012-07-13,34.85
2012-07-16,34.5
2012-07-17,34.0
2012-07-18,34.1
2012-07-19,34.05
2012-07-20,33.8
2012-07-23,33.5
2012-07-24,33.55
2012-07-25,32.5
2012-07-26,31.2
2012-07-27,30.6
2012-07-30,31.65
2012-07-31,31.75
2012-08-01,32.2
2012-08-02,32.45
2012-08-03,32.4
2012-08-06,32.75
2012-08-07,32.5
2012-08-08,32.2
2012-08-09,31.4
2012-08-10,31.65
2012-08-13,31.75
2012-08-14,32.0
2012-08-16,31.85
2012-08-17,31.5
2012-08-21,31.75
2012-08-22,31.9
2012-08-23,31.4
2012-08-24,31.05
2012-08-27,28.5
2012-08-28,26.8
2012-08-29,26.3
2012-08-30,25.05
2012-08-31,25.55
2012-09-03,26.0
2012-09-04,26.0
2012-09-05,26.6
2012-09-06,26.6
2012-09-07,28.6
2012-09-08,28.6
2012-09-10,29.6
2012-09-11,30.2
2012-09-12,29.85
2012-09-13,30.2
2012-09-14,30.2
2012-09-17,31.8
2012-09-18,33.65
2012-09-20,32.0
2012-09-21,33.95
2012-09-24,35.4
2012-09-25,34.75
2012-09-26,34.6
2012-09-27,34.25
2012-09-28,35.25
2012-10-01,35.35
2012-10-03,35.15
2012-10-04,35.4
2012-10-05,35.25
2012-10-08,34.35
2012-10-09,34.2
2012-10-10,33.05
2012-10-11,36.35
2012-10-12,37.85
2012-10-15,37.15
2012-10-16,36.25
2012-10-17,36.5
2012-10-18,38.45
2012-10-19,38.2
2012-10-22,40.25
2012-10-23,38.8
2012-10-25,40.0
2012-10-26,39.35
2012-10-29,39.15
2012-10-30,39.0
2012-10-31,38.35
2012-11-01,38.35
2012-11-02,39.55
2012-11-05,38.25
2012-11-06,38.25
2012-11-07,38.2
2012-11-08,37.7
2012-11-09,36.85
2012-11-12,36.45
2012-11-13,36.6
2012-11-15,36.4
2012-11-16,37.05
2012-11-19,35.35
2012-11-20,34.35
2012-11-21,35.0
2012-11-22,36.8
2012-11-23,36.45
2012-11-26,37.5
2012-11-27,37.85
2012-11-29,39.3
2012-11-30,38.6
2012-12-03,39.35
2012-12-04,43.25
2012-12-05,43.9
2012-12-06,45.65
2012-12-07,45.5
2012-12-10,44.55
2012-12-11,44.7
2012-12-12,43.95
2012-12-13,42.25
2012-12-14,41.95
2012-12-17,41.5
2012-12-18,38.7
2012-12-19,38.95
2012-12-20,37.35
2012-12-21,36.25
2012-12-24,36.2
2012-12-26,36.95
2012-12-27,37.7
2012-12-28,37.8
2012-12-31,37.5
