Date,CHENNPETRO
2012-01-02,157.6
2012-01-03,158.95
2012-01-04,160.3
2012-01-05,159.3
2012-01-06,160.55
2012-01-07,160.25
2012-01-09,159.7
2012-01-10,161.8
2012-01-11,161.85
2012-01-12,161.9
2012-01-13,164.35
2012-01-16,165.2
2012-01-17,169.5
2012-01-18,166.35
2012-01-19,166.75
2012-01-20,168.7
2012-01-23,167.5
2012-01-24,167.5
2012-01-25,169.75
2012-01-27,169.3
2012-01-30,169.5
2012-01-31,169.95
2012-02-01,171.0
2012-02-02,171.15
2012-02-03,170.55
2012-02-06,170.05
2012-02-07,169.85
2012-02-08,172.0
2012-02-09,176.55
2012-02-10,175.6
2012-02-13,174.8
2012-02-14,174.55
2012-02-15,178.8
2012-02-16,178.3
2012-02-17,179.05
2012-02-21,179.75
2012-02-22,174.05
2012-02-23,174.9
2012-02-24,174.05
2012-02-27,170.3
2012-02-28,171.8
2012-02-29,173.45
2012-03-01,176.1
2012-03-02,173.45
2012-03-03,174.1
2012-03-05,172.7
2012-03-06,170.6
2012-03-07,170.35
2012-03-09,171.55
2012-03-12,171.7
2012-03-13,171.3
2012-03-14,170.5
2012-03-15,165.4
2012-03-16,164.1
2012-03-19,158.75
2012-03-20,158.55
2012-03-21,158.6
2012-03-22,157.0
2012-03-23,154.3
2012-03-26,155.2
2012-03-27,152.8
2012-03-28,151.9
2012-03-29,151.5
2012-03-30,153.15
2012-04-02,157.9
2012-04-03,159.45
2012-04-04,159.0
2012-04-09,156.6
2012-04-10,154.7
2012-04-11,154.8
2012-04-12,155.0
2012-04-13,154.75
2012-04-16,154.0
2012-04-17,152.85
2012-04-18,150.7
2012-04-19,149.6
2012-04-20,148.85
2012-04-23,148.4
2012-04-24,148.8
2012-04-25,148.95
2012-04-26,150.45
2012-04-27,149.7
2012-04-28,149.25
2012-04-30,150.2
2012-05-02,150.35
2012-05-03,148.75
2012-05-04,148.15
2012-05-07,149.65
2012-05-08,148.95
2012-05-09,148.45
2012-05-10,150.55
2012-05-11,147.85
2012-05-14,146.95
2012-05-15,144.1
2012-05-16,140.15
2012-05-17,141.1
2012-05-18,141.4
2012-05-21,141.35
2012-05-22,140.15
2012-05-23,140.45
2012-05-24,136.55
2012-05-25,133.6
2012-05-28,133.4
2012-05-29,134.2
2012-05-30,133.1
2012-05-31,132.15
2012-06-01,128.8
2012-06-04,126.2
2012-06-05,125.25
2012-06-06,124.5
2012-06-07,124.25
2012-06-08,124.65
2012-06-11,124.95
2012-06-12,125.35
2012-06-13,125.95
2012-06-14,124.4
2012-06-15,123.45
2012-06-18,123.25
2012-06-19,121.6
2012-06-20,121.9
2012-06-21,122.75
2012-06-22,121.85
2012-06-25,121.4
2012-06-26,121.6
2012-06-27,120.6
2012-06-28,120.45
2012-06-29,120.9
2012-07-02,120.75
2012-07-03,124.95
2012-07-04,125.45
2012-07-05,126.35
2012-07-06,124.9
2012-07-09,123.6
2012-07-09,123.6
2012-07-10,123.65
2012-07-11,123.75
2012-07-12,123.2
2012-07-13,122.55
2012-07-16,121.8
2012-07-17,121.1
2012-07-18,120.2
2012-07-19,119.85
2012-07-20,122.25
2012-07-23,124.1
2012-07-24,125.0
2012-07-25,124.85
2012-07-26,124.15
2012-07-27,124.0
2012-07-30,121.7
2012-07-31,121.4
2012-08-01,120.45
2012-08-02,120.45
2012-08-03,121.1
2012-08-06,122.85
2012-08-07,124.0
2012-08-08,124.75
2012-08-09,124.7
2012-08-10,124.75
2012-08-13,126.95
2012-08-14,129.35
2012-08-16,129.5
2012-08-17,129.95
2012-08-21,132.15
2012-08-22,131.15
2012-08-23,130.4
2012-08-24,136.7
2012-08-27,136.55
2012-08-28,135.0
2012-08-29,135.0
2012-08-30,133.1
2012-08-31,133.25
2012-09-03,131.35
2012-09-04,129.4
2012-09-05,126.75
2012-09-06,120.5
2012-09-07,124.15
2012-09-08,123.65
2012-09-10,123.05
2012-09-11,123.9
2012-09-12,123.2
2012-09-13,123.95
2012-09-14,123.6
2012-09-17,124.35
2012-09-18,125.9
2012-09-20,127.4
2012-09-21,128.75
2012-09-24,127.85
2012-09-25,127.6
2012-09-26,129.05
2012-09-27,123.0
2012-09-28,129.0
2012-10-01,130.95
2012-10-03,127.75
2012-10-04,127.8
2012-10-05,132.05
2012-10-08,130.3
2012-10-09,131.3
2012-10-10,129.25
2012-10-11,129.85
2012-10-12,129.4
2012-10-15,131.05
2012-10-16,131.25
2012-10-17,131.25
2012-10-18,131.7
2012-10-19,132.85
2012-10-22,131.9
2012-10-23,130.95
2012-10-25,129.95
2012-10-26,128.0
2012-10-29,130.55
2012-10-30,129.65
2012-10-31,129.7
2012-11-01,130.15
2012-11-02,130.7
2012-11-05,133.4
2012-11-06,137.0
2012-11-07,132.25
2012-11-08,135.2
2012-11-09,133.8
2012-11-12,134.55
2012-11-13,133.55
2012-11-15,128.25
2012-11-16,129.75
2012-11-19,126.6
2012-11-20,126.0
2012-11-21,125.15
2012-11-22,125.65
2012-11-23,125.25
2012-11-26,128.75
2012-11-27,126.9
2012-11-29,127.0
2012-11-30,128.0
2012-12-03,129.15
2012-12-04,129.2
2012-12-05,133.45
2012-12-06,140.35
2012-12-07,139.0
2012-12-10,139.7
2012-12-11,139.8
2012-12-12,139.6
2012-12-13,139.75
2012-12-14,139.85
2012-12-17,140.0
2012-12-18,139.7
2012-12-19,140.4
2012-12-20,139.65
2012-12-21,138.9
2012-12-24,139.2
2012-12-26,138.2
2012-12-27,136.95
2012-12-28,138.0
2012-12-31,138.05
