Date,GULFPETRO
2012-01-02,24.05
2012-01-03,24.65
2012-01-04,25.05
2012-01-05,25.7
2012-01-06,24.0
2012-01-07,23.55
2012-01-09,24.0
2012-01-10,25.75
2012-01-11,25.1
2012-01-12,26.0
2012-01-13,26.0
2012-01-16,25.3
2012-01-17,26.0
2012-01-18,26.35
2012-01-19,26.7
2012-01-20,26.0
2012-01-23,26.5
2012-01-24,25.55
2012-01-25,25.15
2012-01-27,25.7
2012-01-30,25.9
2012-01-31,27.0
2012-02-01,28.75
2012-02-02,27.5
2012-02-03,26.55
2012-02-06,26.55
2012-02-07,26.35
2012-02-08,27.4
2012-02-09,26.9
2012-02-10,26.7
2012-02-13,26.5
2012-02-14,27.5
2012-02-15,27.5
2012-02-16,26.6
2012-02-17,26.05
2012-02-21,28.1
2012-02-22,27.15
2012-02-23,27.15
2012-02-24,27.7
2012-02-27,28.25
2012-02-28,28.6
2012-02-29,29.25
2012-03-01,29.5
2012-03-02,29.6
2012-03-03,29.4
2012-03-05,29.3
2012-03-06,30.0
2012-03-07,30.7
2012-03-09,30.35
2012-03-12,31.95
2012-03-13,34.9
2012-03-14,35.25
2012-03-15,35.2
2012-03-16,34.85
2012-03-19,32.8
2012-03-20,34.35
2012-03-21,37.4
2012-03-22,36.2
2012-03-23,35.0
2012-03-26,34.5
2012-03-27,34.95
2012-03-28,34.65
2012-03-29,33.7
2012-03-30,33.25
2012-04-02,33.65
2012-04-03,33.9
2012-04-04,33.3
2012-04-09,32.75
2012-04-10,32.5
2012-04-11,35.6
2012-04-12,31.4
2012-04-13,32.1
2012-04-16,35.55
2012-04-17,36.05
2012-04-18,35.15
2012-04-19,33.85
2012-04-20,33.4
2012-04-23,33.8
2012-04-24,33.8
2012-04-25,33.25
2012-04-26,33.5
2012-04-27,35.4
2012-04-28,34.95
2012-04-30,34.8
2012-05-02,34.7
2012-05-03,34.05
2012-05-04,32.95
2012-05-07,32.5
2012-05-08,32.9
2012-05-09,31.3
2012-05-10,31.5
2012-05-11,30.45
2012-05-14,30.6
2012-05-15,30.65
2012-05-16,31.1
2012-05-17,30.5
2012-05-18,30.7
2012-05-21,30.15
2012-05-22,29.75
2012-05-23,28.8
2012-05-24,29.25
2012-05-25,29.4
2012-05-28,29.45
2012-05-29,30.9
2012-05-30,29.25
2012-05-31,30.35
2012-06-01,29.85
2012-06-04,30.0
2012-06-05,29.1
2012-06-06,29.4
2012-06-07,28.95
2012-06-08,28.25
2012-06-11,29.75
2012-06-12,29.95
2012-06-13,29.7
2012-06-14,29.15
2012-06-15,29.15
2012-06-18,29.75
2012-06-19,29.9
2012-06-20,29.3
2012-06-21,29.2
2012-06-22,29.1
2012-06-25,28.3
2012-06-26,28.0
2012-06-27,29.95
2012-06-28,34.55
2012-06-29,33.95
2012-07-02,33.7
2012-07-03,33.15
2012-07-04,32.0
2012-07-05,31.6
2012-07-06,31.2
2012-07-09,30.45
2012-07-10,30.0
2012-07-11,28.95
2012-07-12,28.75
2012-07-13,28.0
2012-07-16,27.1
2012-07-17,26.65
2012-07-18,25.9
2012-07-19,27.65
2012-07-20,27.5
2012-07-23,26.9
2012-07-24,27.25
2012-07-25,27.1
2012-07-26,26.0
2012-07-27,26.0
2012-07-30,26.9
2012-07-31,25.95
2012-08-01,27.7
2012-08-02,27.1
2012-08-03,26.65
2012-08-06,29.5
2012-08-07,28.65
2012-08-08,28.65
2012-08-09,26.75
2012-08-10,26.35
2012-08-13,26.0
2012-08-14,26.35
2012-08-16,25.75
2012-08-17,25.5
2012-08-21,25.4
2012-08-22,25.95
2012-08-23,25.75
2012-08-24,25.5
2012-08-27,25.95
2012-08-28,25.25
2012-08-29,24.7
2012-08-30,24.75
2012-08-31,24.0
2012-09-03,24.25
2012-09-04,24.35
2012-09-05,24.35
2012-09-06,24.85
2012-09-07,24.15
2012-09-08,24.3
2012-09-10,24.65
2012-09-11,24.8
2012-09-12,25.4
2012-09-13,24.75
2012-09-14,24.7
2012-09-17,24.55
2012-09-18,24.55
2012-09-20,25.0
2012-09-21,24.8
2012-09-24,25.05
2012-09-25,24.65
2012-09-26,24.9
2012-09-27,24.95
2012-09-28,24.9
2012-10-01,25.1
2012-10-03,27.3
2012-10-04,26.9
2012-10-05,26.6
2012-10-08,26.0
2012-10-09,26.2
2012-10-10,25.9
2012-10-11,26.35
2012-10-12,26.1
2012-10-15,26.85
2012-10-16,26.0
2012-10-17,26.65
2012-10-18,25.9
2012-10-19,27.2
2012-10-22,31.5
2012-10-23,28.95
2012-10-25,28.35
2012-10-26,28.65
2012-10-29,27.65
2012-10-30,26.8
2012-10-31,26.9
2012-11-01,27.65
2012-11-02,27.25
2012-11-05,27.0
2012-11-06,27.55
2012-11-07,27.25
2012-11-08,26.85
2012-11-09,27.2
2012-11-12,27.75
2012-11-13,27.2
2012-11-15,26.95
2012-11-16,26.85
2012-11-19,26.95
2012-11-20,26.65
2012-11-21,26.65
2012-11-22,27.15
2012-11-23,26.8
2012-11-26,26.5
2012-11-27,27.0
2012-11-29,27.4
2012-11-30,27.2
2012-12-03,27.85
2012-12-04,27.6
2012-12-05,30.15
2012-12-06,29.95
2012-12-07,29.15
2012-12-10,29.3
2012-12-11,30.3
2012-12-12,29.55
2012-12-13,29.2
2012-12-14,29.1
2012-12-17,28.7
2012-12-18,27.95
2012-12-19,28.05
2012-12-20,27.65
2012-12-21,27.05
2012-12-24,27.1
2012-12-26,27.05
2012-12-27,26.8
2012-12-28,26.8
2012-12-31,27.0
