Date,EIHOTEL
2012-01-02,84.55
2012-01-03,85.4
2012-01-04,86.0
2012-01-05,86.5
2012-01-06,86.05
2012-01-07,85.05
2012-01-09,85.15
2012-01-10,85.4
2012-01-11,85.95
2012-01-12,84.85
2012-01-13,85.5
2012-01-16,86.65
2012-01-17,87.2
2012-01-18,86.05
2012-01-19,86.0
2012-01-20,85.55
2012-01-23,85.0
2012-01-24,84.9
2012-01-25,86.85
2012-01-27,89.9
2012-01-30,87.1
2012-01-31,88.65
2012-02-01,89.05
2012-02-02,89.9
2012-02-03,90.6
2012-02-06,90.05
2012-02-07,88.85
2012-02-08,89.1
2012-02-09,90.0
2012-02-10,89.6
2012-02-13,89.0
2012-02-14,88.25
2012-02-15,88.95
2012-02-16,88.0
2012-02-17,88.2
2012-02-21,86.95
2012-02-22,83.5
2012-02-23,83.0
2012-02-24,83.5
2012-02-27,83.4
2012-02-28,83.95
2012-02-29,84.9
2012-03-01,87.95
2012-03-02,89.85
2012-03-03,98.5
2012-03-05,92.4
2012-03-06,90.6
2012-03-07,88.85
2012-03-09,87.9
2012-03-12,86.55
2012-03-13,88.8
2012-03-14,87.75
2012-03-15,86.6
2012-03-16,85.1
2012-03-19,85.2
2012-03-20,84.95
2012-03-21,86.45
2012-03-22,84.8
2012-03-23,84.9
2012-03-26,86.2
2012-03-27,85.2
2012-03-28,84.25
2012-03-29,84.45
2012-03-30,85.55
2012-04-02,86.0
2012-04-03,86.85
2012-04-04,86.05
2012-04-09,85.6
2012-04-10,85.0
2012-04-11,84.25
2012-04-12,85.0
2012-04-13,84.8
2012-04-16,85.0
2012-04-17,85.0
2012-04-18,84.85
2012-04-19,84.3
2012-04-20,84.45
2012-04-23,83.85
2012-04-24,84.3
2012-04-25,84.1
2012-04-26,83.75
2012-04-27,83.15
2012-04-28,83.05
2012-04-30,83.7
2012-05-02,83.6
2012-05-03,83.4
2012-05-04,82.35
2012-05-07,82.05
2012-05-08,81.15
2012-05-09,80.15
2012-05-10,79.85
2012-05-11,79.55
2012-05-14,77.25
2012-05-15,79.0
2012-05-16,78.65
2012-05-17,78.95
2012-05-18,78.6
2012-05-21,79.0
2012-05-22,78.15
2012-05-23,76.9
2012-05-24,76.8
2012-05-25,78.25
2012-05-28,77.1
2012-05-29,77.5
2012-05-30,77.2
2012-05-31,77.35
2012-06-01,77.1
2012-06-04,76.15
2012-06-05,78.05
2012-06-06,78.1
2012-06-07,79.0
2012-06-08,78.6
2012-06-11,78.9
2012-06-12,79.05
2012-06-13,77.6
2012-06-14,76.6
2012-06-15,76.45
2012-06-18,77.45
2012-06-19,76.65
2012-06-20,77.65
2012-06-21,78.7
2012-06-22,78.3
2012-06-25,77.95
2012-06-26,78.2
2012-06-27,78.05
2012-06-28,78.65
2012-06-29,80.2
2012-07-02,80.3
2012-07-03,80.5
2012-07-04,80.05
2012-07-05,82.25
2012-07-06,81.25
2012-07-09,80.35
2012-07-09,80.35
2012-07-10,84.5
2012-07-11,86.1
2012-07-12,83.9
2012-07-13,83.2
2012-07-16,81.25
2012-07-17,80.4
2012-07-18,80.5
2012-07-19,80.05
2012-07-20,79.75
2012-07-23,79.7
2012-07-24,79.15
2012-07-25,79.15
2012-07-26,78.05
2012-07-27,76.95
2012-07-30,77.7
2012-07-31,78.7
2012-08-01,78.9
2012-08-02,79.1
2012-08-03,79.7
2012-08-06,80.45
2012-08-07,82.45
2012-08-08,81.85
2012-08-09,79.75
2012-08-10,79.85
2012-08-13,79.45
2012-08-14,79.4
2012-08-16,79.25
2012-08-17,79.0
2012-08-21,79.1
2012-08-22,78.95
2012-08-23,79.6
2012-08-24,79.6
2012-08-27,79.05
2012-08-28,78.4
2012-08-29,77.8
2012-08-30,77.6
2012-08-31,76.95
2012-09-03,77.7
2012-09-04,77.8
2012-09-05,76.0
2012-09-06,76.05
2012-09-07,75.9
2012-09-08,76.45
2012-09-10,79.5
2012-09-11,79.3
2012-09-12,78.6
2012-09-13,79.1
2012-09-14,78.85
2012-09-17,78.45
2012-09-18,78.95
2012-09-20,77.2
2012-09-21,77.05
2012-09-24,77.25
2012-09-25,77.75
2012-09-26,78.05
2012-09-27,77.95
2012-09-28,80.1
2012-10-01,79.9
2012-10-03,79.25
2012-10-04,80.55
2012-10-05,79.25
2012-10-08,78.6
2012-10-09,78.55
2012-10-10,77.75
2012-10-11,77.4
2012-10-12,77.8
2012-10-15,77.3
2012-10-16,77.9
2012-10-17,77.75
2012-10-18,77.95
2012-10-19,77.7
2012-10-22,77.35
2012-10-23,77.1
2012-10-25,76.75
2012-10-26,76.35
2012-10-29,76.25
2012-10-30,75.8
2012-10-31,75.65
2012-11-01,75.45
2012-11-02,74.9
2012-11-05,73.4
2012-11-06,72.75
2012-11-07,73.05
2012-11-08,72.9
2012-11-09,72.0
2012-11-12,70.3
2012-11-13,71.35
2012-11-15,70.55
2012-11-16,70.15
2012-11-19,70.25
2012-11-20,69.8
2012-11-21,70.25
2012-11-22,69.85
2012-11-23,71.05
2012-11-26,71.6
2012-11-27,71.9
2012-11-29,71.65
2012-11-30,72.1
2012-12-03,73.2
2012-12-04,73.25
2012-12-05,73.2
2012-12-06,73.7
2012-12-07,72.9
2012-12-10,72.75
2012-12-11,71.95
2012-12-12,71.75
2012-12-13,71.2
2012-12-14,71.05
2012-12-17,70.45
2012-12-18,70.0
2012-12-19,70.0
2012-12-20,70.45
2012-12-21,69.45
2012-12-24,69.9
2012-12-26,69.35
2012-12-27,69.7
2012-12-28,69.95
2012-12-31,69.7
