Date,BAJAJHLDNG
2012-01-02,669.45
2012-01-03,689.2
2012-01-04,649.1
2012-01-05,652.85
2012-01-06,644.15
2012-01-07,648.8
2012-01-09,645.0
2012-01-10,656.75
2012-01-11,654.1
2012-01-12,652.8
2012-01-13,651.2
2012-01-16,640.4
2012-01-17,668.1
2012-01-18,654.0
2012-01-19,655.55
2012-01-20,649.75
2012-01-23,655.05
2012-01-24,668.95
2012-01-25,668.2
2012-01-27,670.4
2012-01-30,649.0
2012-01-31,670.7
2012-02-01,665.55
2012-02-02,674.95
2012-02-03,685.55
2012-02-06,690.2
2012-02-07,699.2
2012-02-08,738.65
2012-02-09,753.0
2012-02-10,746.6
2012-02-13,784.35
2012-02-14,769.45
2012-02-15,779.4
2012-02-16,807.55
2012-02-17,801.65
2012-02-21,813.15
2012-02-22,802.7
2012-02-23,801.1
2012-02-24,803.15
2012-02-27,792.55
2012-02-28,799.0
2012-02-29,807.5
2012-03-01,806.2
2012-03-02,804.55
2012-03-03,800.8
2012-03-05,804.65
2012-03-06,804.95
2012-03-07,812.95
2012-03-09,805.25
2012-03-12,805.35
2012-03-13,807.55
2012-03-14,806.55
2012-03-15,811.7
2012-03-16,805.65
2012-03-19,802.9
2012-03-20,810.55
2012-03-21,805.35
2012-03-22,805.1
2012-03-23,814.4
2012-03-26,805.3
2012-03-27,813.65
2012-03-28,814.95
2012-03-29,805.05
2012-03-30,815.15
2012-04-02,829.2
2012-04-03,810.7
2012-04-04,815.4
2012-04-09,815.7
2012-04-10,812.55
2012-04-11,811.05
2012-04-12,811.1
2012-04-13,812.65
2012-04-16,814.65
2012-04-17,818.2
2012-04-18,826.5
2012-04-19,838.15
2012-04-20,847.4
2012-04-23,840.6
2012-04-24,838.7
2012-04-25,834.4
2012-04-26,849.95
2012-04-27,842.7
2012-04-28,837.55
2012-04-30,843.25
2012-05-02,832.7
2012-05-03,814.2
2012-05-04,803.15
2012-05-07,803.95
2012-05-08,801.8
2012-05-09,800.8
2012-05-10,805.1
2012-05-11,804.8
2012-05-14,812.9
2012-05-15,815.65
2012-05-16,807.85
2012-05-17,805.35
2012-05-18,776.2
2012-05-21,768.4
2012-05-22,770.85
2012-05-23,755.8
2012-05-24,764.45
2012-05-25,760.7
2012-05-28,788.2
2012-05-29,771.55
2012-05-30,774.7
2012-05-31,787.45
2012-06-01,764.15
2012-06-04,764.9
2012-06-05,765.7
2012-06-06,770.35
2012-06-07,774.9
2012-06-08,765.15
2012-06-11,773.65
2012-06-12,765.8
2012-06-13,768.25
2012-06-14,767.9
2012-06-15,771.9
2012-06-18,772.2
2012-06-19,767.7
2012-06-20,767.0
2012-06-21,768.6
2012-06-22,765.2
2012-06-25,768.45
2012-06-26,769.8
2012-06-27,772.85
2012-06-28,775.6
2012-06-29,780.85
2012-07-02,786.95
2012-07-03,808.1
2012-07-04,825.75
2012-07-05,795.0
2012-07-06,797.2
2012-07-09,778.8
2012-07-09,778.8
2012-07-10,779.9
2012-07-11,779.75
2012-07-12,779.65
2012-07-13,779.9
2012-07-16,774.0
2012-07-17,764.2
2012-07-18,770.1
2012-07-19,766.85
2012-07-20,766.65
2012-07-23,769.3
2012-07-24,750.4
2012-07-25,755.85
2012-07-26,743.8
2012-07-27,736.95
2012-07-30,743.05
2012-07-31,766.1
2012-08-01,778.05
2012-08-02,775.65
2012-08-03,761.5
2012-08-06,750.35
2012-08-07,760.35
2012-08-08,760.3
2012-08-09,786.2
2012-08-10,787.45
2012-08-13,798.45
2012-08-14,795.65
2012-08-16,779.8
2012-08-17,786.65
2012-08-21,799.1
2012-08-22,804.15
2012-08-23,808.6
2012-08-24,800.9
2012-08-27,796.55
2012-08-28,786.3
2012-08-29,772.45
2012-08-30,768.9
2012-08-31,765.75
2012-09-03,772.1
2012-09-04,752.8
2012-09-05,748.9
2012-09-06,750.7
2012-09-07,762.9
2012-09-08,758.25
2012-09-10,750.1
2012-09-11,764.7
2012-09-12,764.35
2012-09-13,755.2
2012-09-14,763.5
2012-09-17,760.05
2012-09-18,760.65
2012-09-20,758.25
2012-09-21,787.5
2012-09-24,779.75
2012-09-25,770.0
2012-09-26,773.4
2012-09-27,795.85
2012-09-28,794.55
2012-10-01,802.9
2012-10-03,819.5
2012-10-04,838.6
2012-10-05,832.95
2012-10-08,837.5
2012-10-09,856.4
2012-10-10,850.9
2012-10-11,848.2
2012-10-12,869.95
2012-10-15,849.6
2012-10-16,844.3
2012-10-17,846.35
2012-10-18,849.7
2012-10-19,856.4
2012-10-22,843.95
2012-10-23,843.8
2012-10-25,861.2
2012-10-26,855.4
2012-10-29,847.25
2012-10-30,841.1
2012-10-31,868.85
2012-11-01,860.3
2012-11-02,861.2
2012-11-05,869.3
2012-11-06,878.1
2012-11-07,872.7
2012-11-08,875.5
2012-11-09,868.05
2012-11-12,870.0
2012-11-13,866.95
2012-11-15,859.15
2012-11-16,851.05
2012-11-19,854.65
2012-11-20,849.95
2012-11-21,840.0
2012-11-22,837.4
2012-11-23,833.4
2012-11-26,829.3
2012-11-27,833.9
2012-11-29,856.2
2012-11-30,859.3
2012-12-03,861.85
2012-12-04,867.75
2012-12-05,893.45
2012-12-06,908.05
2012-12-07,906.75
2012-12-10,913.0
2012-12-11,911.35
2012-12-12,910.75
2012-12-13,926.8
2012-12-14,930.65
2012-12-17,949.25
2012-12-18,976.15
2012-12-19,1008.1
2012-12-20,984.1
2012-12-21,994.7
2012-12-24,971.55
2012-12-26,971.05
2012-12-27,962.4
2012-12-28,1000.55
2012-12-31,979.0
