Date,HINDOILEXP
2012-01-02,91.0
2012-01-03,94.95
2012-01-04,98.15
2012-01-05,96.6
2012-01-06,96.0
2012-01-07,97.3
2012-01-09,97.75
2012-01-10,103.5
2012-01-11,104.1
2012-01-12,104.85
2012-01-13,106.25
2012-01-16,113.25
2012-01-17,112.55
2012-01-18,110.05
2012-01-19,114.2
2012-01-20,114.4
2012-01-23,117.25
2012-01-24,118.1
2012-01-25,117.65
2012-01-27,121.45
2012-01-30,112.65
2012-01-31,117.3
2012-02-01,121.25
2012-02-02,122.25
2012-02-03,122.25
2012-02-06,123.9
2012-02-07,121.1
2012-02-08,122.85
2012-02-09,128.2
2012-02-10,124.35
2012-02-13,126.7
2012-02-14,128.1
2012-02-15,133.35
2012-02-16,135.65
2012-02-17,137.1
2012-02-21,149.95
2012-02-22,136.15
2012-02-23,137.7
2012-02-24,133.5
2012-02-27,125.7
2012-02-28,134.7
2012-02-29,137.5
2012-03-01,135.65
2012-03-02,133.9
2012-03-03,132.8
2012-03-05,129.15
2012-03-06,124.15
2012-03-07,123.95
2012-03-09,129.0
2012-03-12,129.15
2012-03-13,133.35
2012-03-14,132.6
2012-03-15,126.3
2012-03-16,123.6
2012-03-19,116.6
2012-03-20,116.35
2012-03-21,121.55
2012-03-22,112.45
2012-03-23,117.95
2012-03-26,113.3
2012-03-27,113.9
2012-03-28,107.95
2012-03-29,108.6
2012-03-30,112.05
2012-04-02,119.0
2012-04-03,124.2
2012-04-04,124.7
2012-04-09,119.0
2012-04-10,117.4
2012-04-11,121.05
2012-04-12,123.05
2012-04-13,122.4
2012-04-16,122.75
2012-04-17,132.55
2012-04-18,129.85
2012-04-19,131.45
2012-04-20,126.55
2012-04-23,119.0
2012-04-24,122.65
2012-04-25,119.9
2012-04-26,119.05
2012-04-27,119.2
2012-04-28,121.6
2012-04-30,121.9
2012-05-02,124.35
2012-05-03,120.65
2012-05-04,113.0
2012-05-07,116.7
2012-05-08,112.7
2012-05-09,109.5
2012-05-10,108.9
2012-05-11,102.9
2012-05-14,100.2
2012-05-15,102.8
2012-05-16,104.2
2012-05-17,102.15
2012-05-18,102.45
2012-05-21,104.65
2012-05-22,100.9
2012-05-23,99.65
2012-05-24,101.8
2012-05-25,103.2
2012-05-28,104.3
2012-05-29,103.15
2012-05-30,100.05
2012-05-31,101.6
2012-06-01,98.25
2012-06-04,98.95
2012-06-05,99.0
2012-06-06,103.2
2012-06-07,108.25
2012-06-08,110.2
2012-06-11,109.55
2012-06-12,113.45
2012-06-13,120.75
2012-06-14,115.2
2012-06-15,117.05
2012-06-18,112.15
2012-06-19,115.6
2012-06-20,123.45
2012-06-21,131.5
2012-06-22,133.65
2012-06-25,127.55
2012-06-26,127.8
2012-06-27,128.7
2012-06-28,127.4
2012-06-29,131.5
2012-07-02,131.3
2012-07-03,134.75
2012-07-04,135.85
2012-07-05,139.45
2012-07-06,134.6
2012-07-09,129.55
2012-07-09,129.55
2012-07-10,133.55
2012-07-11,132.1
2012-07-12,129.05
2012-07-13,133.05
2012-07-16,128.8
2012-07-17,126.85
2012-07-18,124.4
2012-07-19,126.3
2012-07-20,124.5
2012-07-23,118.55
2012-07-24,117.4
2012-07-25,114.95
2012-07-26,112.15
2012-07-27,111.9
2012-07-30,116.95
2012-07-31,118.7
2012-08-01,119.8
2012-08-02,121.55
2012-08-03,122.65
2012-08-06,124.1
2012-08-07,124.8
2012-08-08,122.4
2012-08-09,120.2
2012-08-10,122.1
2012-08-13,122.3
2012-08-14,123.1
2012-08-16,120.85
2012-08-17,119.75
2012-08-21,122.55
2012-08-22,121.15
2012-08-23,123.35
2012-08-24,125.25
2012-08-27,120.2
2012-08-28,115.95
2012-08-29,115.85
2012-08-30,115.2
2012-08-31,115.3
2012-09-03,115.75
2012-09-04,116.65
2012-09-05,114.65
2012-09-06,116.15
2012-09-07,118.9
2012-09-08,118.9
2012-09-10,119.3
2012-09-11,117.65
2012-09-12,118.0
2012-09-13,116.45
2012-09-14,117.8
2012-09-17,122.65
2012-09-18,123.0
2012-09-20,117.75
2012-09-21,120.0
2012-09-24,118.65
2012-09-25,114.7
2012-09-26,114.85
2012-09-27,117.1
2012-09-28,116.3
2012-10-01,119.35
2012-10-03,118.25
2012-10-04,121.0
2012-10-05,119.2
2012-10-08,115.45
2012-10-09,114.7
2012-10-10,113.0
2012-10-11,113.5
2012-10-12,112.65
2012-10-15,111.15
2012-10-16,110.6
2012-10-17,109.45
2012-10-18,109.35
2012-10-19,106.6
2012-10-22,105.3
2012-10-23,105.45
2012-10-25,103.85
2012-10-26,102.15
2012-10-29,100.65
2012-10-30,99.55
2012-10-31,101.2
2012-11-01,99.2
2012-11-02,99.0
2012-11-05,98.1
2012-11-06,95.55
2012-11-07,97.7
2012-11-08,100.4
2012-11-09,99.5
2012-11-12,98.45
2012-11-13,98.7
2012-11-15,97.05
2012-11-16,97.15
2012-11-19,96.4
2012-11-20,94.4
2012-11-21,94.45
2012-11-22,94.4
2012-11-23,92.65
2012-11-26,95.6
2012-11-27,97.85
2012-11-29,98.5
2012-11-30,98.6
2012-12-03,100.7
2012-12-04,100.4
2012-12-05,99.95
2012-12-06,100.55
2012-12-07,107.95
2012-12-10,107.25
2012-12-11,106.65
2012-12-12,105.45
2012-12-13,100.2
2012-12-14,100.65
2012-12-17,100.65
2012-12-18,100.15
2012-12-19,100.85
2012-12-20,101.1
2012-12-21,102.25
2012-12-24,102.7
2012-12-26,100.9
2012-12-27,104.6
2012-12-28,102.4
2012-12-31,102.2
