Date,DQE
2012-01-02,22.5
2012-01-03,23.95
2012-01-04,22.8
2012-01-05,23.35
2012-01-06,23.05
2012-01-07,23.3
2012-01-09,23.6
2012-01-10,24.1
2012-01-11,24.4
2012-01-12,25.75
2012-01-13,26.15
2012-01-16,25.0
2012-01-17,25.0
2012-01-18,23.8
2012-01-19,23.95
2012-01-20,23.8
2012-01-23,23.25
2012-01-24,23.4
2012-01-25,24.15
2012-01-27,25.7
2012-01-30,26.3
2012-01-31,25.35
2012-02-01,25.6
2012-02-02,25.7
2012-02-03,28.55
2012-02-06,27.9
2012-02-07,26.6
2012-02-08,26.7
2012-02-09,27.4
2012-02-10,26.5
2012-02-13,28.7
2012-02-14,27.85
2012-02-15,27.6
2012-02-16,27.4
2012-02-17,27.4
2012-02-21,28.8
2012-02-22,27.45
2012-02-23,26.75
2012-02-24,27.05
2012-02-27,25.7
2012-02-28,26.35
2012-02-29,25.8
2012-03-01,25.55
2012-03-02,24.9
2012-03-03,25.55
2012-03-05,23.55
2012-03-06,24.3
2012-03-07,22.9
2012-03-09,22.55
2012-03-12,22.7
2012-03-13,23.85
2012-03-14,24.1
2012-03-15,24.05
2012-03-16,24.4
2012-03-19,24.3
2012-03-20,24.9
2012-03-21,24.85
2012-03-22,23.8
2012-03-23,23.6
2012-03-26,23.15
2012-03-27,23.65
2012-03-28,23.6
2012-03-29,23.0
2012-03-30,24.1
2012-04-02,26.15
2012-04-03,27.5
2012-04-04,27.15
2012-04-09,27.25
2012-04-10,26.5
2012-04-11,26.4
2012-04-12,26.85
2012-04-13,25.75
2012-04-16,25.5
2012-04-17,25.65
2012-04-18,25.6
2012-04-19,26.5
2012-04-20,26.7
2012-04-23,25.65
2012-04-24,24.5
2012-04-25,24.8
2012-04-26,24.25
2012-04-27,24.5
2012-04-28,24.35
2012-04-30,24.2
2012-05-02,24.25
2012-05-03,24.0
2012-05-04,22.95
2012-05-07,22.8
2012-05-08,22.25
2012-05-09,21.3
2012-05-10,21.4
2012-05-11,21.4
2012-05-14,21.0
2012-05-15,20.8
2012-05-16,21.0
2012-05-17,21.1
2012-05-18,21.15
2012-05-21,21.6
2012-05-22,21.25
2012-05-23,21.15
2012-05-24,20.9
2012-05-25,20.65
2012-05-28,22.5
2012-05-29,21.9
2012-05-30,22.5
2012-05-31,21.8
2012-06-01,21.05
2012-06-04,21.0
2012-06-05,20.7
2012-06-06,20.65
2012-06-07,20.75
2012-06-08,21.25
2012-06-11,21.6
2012-06-12,21.45
2012-06-13,21.15
2012-06-14,20.5
2012-06-15,20.8
2012-06-18,20.85
2012-06-19,20.6
2012-06-20,20.9
2012-06-21,21.0
2012-06-22,21.2
2012-06-25,21.3
2012-06-26,21.0
2012-06-27,23.4
2012-06-28,23.85
2012-06-29,23.6
2012-07-02,24.05
2012-07-03,23.85
2012-07-04,23.5
2012-07-05,24.35
2012-07-06,24.05
2012-07-09,23.35
2012-07-09,23.35
2012-07-10,24.2
2012-07-11,24.65
2012-07-12,23.35
2012-07-13,23.5
2012-07-16,23.65
2012-07-17,24.05
2012-07-18,24.25
2012-07-19,24.6
2012-07-20,23.65
2012-07-23,23.2
2012-07-24,22.9
2012-07-25,22.3
2012-07-26,22.25
2012-07-27,22.6
2012-07-30,22.45
2012-07-31,22.45
2012-08-01,22.6
2012-08-02,22.75
2012-08-03,23.15
2012-08-06,24.05
2012-08-07,24.5
2012-08-08,24.0
2012-08-09,23.85
2012-08-10,23.55
2012-08-13,21.75
2012-08-14,21.4
2012-08-16,20.9
2012-08-17,20.55
2012-08-21,20.8
2012-08-22,20.15
2012-08-23,20.7
2012-08-24,20.45
2012-08-27,20.5
2012-08-28,19.0
2012-08-29,18.4
2012-08-30,17.95
2012-08-31,18.1
2012-09-03,18.05
2012-09-04,18.05
2012-09-05,18.0
2012-09-06,17.9
2012-09-07,18.2
2012-09-08,17.65
2012-09-10,19.75
2012-09-11,18.7
2012-09-12,18.3
2012-09-13,18.8
2012-09-14,18.5
2012-09-17,18.25
2012-09-18,18.55
2012-09-20,18.25
2012-09-21,18.3
2012-09-24,18.75
2012-09-25,18.75
2012-09-26,19.0
2012-09-27,18.5
2012-09-28,18.55
2012-10-01,19.15
2012-10-03,19.6
2012-10-04,20.1
2012-10-05,19.65
2012-10-08,19.35
2012-10-09,20.05
2012-10-10,19.8
2012-10-11,20.25
2012-10-12,20.25
2012-10-15,19.9
2012-10-16,20.0
2012-10-17,22.4
2012-10-18,22.2
2012-10-19,21.6
2012-10-22,21.6
2012-10-23,21.35
2012-10-25,21.1
2012-10-26,20.85
2012-10-29,20.65
2012-10-30,20.0
2012-10-31,20.9
2012-11-01,20.4
2012-11-02,20.55
2012-11-05,20.6
2012-11-06,21.15
2012-11-07,20.45
2012-11-08,20.55
2012-11-09,20.55
2012-11-12,20.7
2012-11-13,20.95
2012-11-15,20.45
2012-11-16,19.6
2012-11-19,18.85
2012-11-20,18.75
2012-11-21,19.1
2012-11-22,19.0
2012-11-23,18.85
2012-11-26,19.6
2012-11-27,19.3
2012-11-29,19.9
2012-11-30,19.6
2012-12-03,20.0
2012-12-04,19.9
2012-12-05,20.2
2012-12-06,19.85
2012-12-07,20.5
2012-12-10,20.2
2012-12-11,20.15
2012-12-12,19.9
2012-12-13,19.25
2012-12-14,19.25
2012-12-17,19.2
2012-12-18,19.15
2012-12-19,19.5
2012-12-20,19.4
2012-12-21,18.95
2012-12-24,19.05
2012-12-26,18.8
2012-12-27,18.8
2012-12-28,18.55
2012-12-31,18.85
