Date,POLARIS
2012-01-02,122.55
2012-01-03,125.95
2012-01-04,124.3
2012-01-05,123.2
2012-01-06,129.1
2012-01-07,131.55
2012-01-09,136.6
2012-01-10,140.2
2012-01-11,140.35
2012-01-12,134.8
2012-01-13,137.35
2012-01-16,139.7
2012-01-17,140.2
2012-01-18,130.85
2012-01-19,134.4
2012-01-20,135.4
2012-01-23,135.75
2012-01-24,136.2
2012-01-25,136.25
2012-01-27,142.35
2012-01-30,139.1
2012-01-31,143.1
2012-02-01,143.9
2012-02-02,142.6
2012-02-03,147.75
2012-02-06,153.6
2012-02-07,151.5
2012-02-08,160.0
2012-02-09,157.35
2012-02-10,167.8
2012-02-13,161.9
2012-02-14,161.5
2012-02-15,165.45
2012-02-16,162.7
2012-02-17,164.0
2012-02-21,164.15
2012-02-22,156.85
2012-02-23,159.95
2012-02-24,161.1
2012-02-27,154.1
2012-02-28,159.0
2012-02-29,161.15
2012-03-01,156.8
2012-03-02,156.45
2012-03-03,156.55
2012-03-05,153.0
2012-03-06,150.2
2012-03-07,162.6
2012-03-09,169.6
2012-03-12,166.6
2012-03-13,168.5
2012-03-14,166.25
2012-03-15,166.55
2012-03-16,167.9
2012-03-19,164.05
2012-03-20,163.1
2012-03-21,166.35
2012-03-22,160.9
2012-03-23,170.35
2012-03-26,163.55
2012-03-27,165.15
2012-03-28,162.45
2012-03-29,159.0
2012-03-30,164.2
2012-04-02,166.6
2012-04-03,166.75
2012-04-04,165.0
2012-04-09,160.05
2012-04-10,160.95
2012-04-11,159.35
2012-04-12,156.85
2012-04-13,150.75
2012-04-16,154.45
2012-04-17,154.9
2012-04-18,157.5
2012-04-19,157.3
2012-04-20,154.45
2012-04-23,150.75
2012-04-24,141.55
2012-04-25,140.8
2012-04-26,136.75
2012-04-27,131.0
2012-04-28,132.5
2012-04-30,131.2
2012-05-02,128.95
2012-05-03,130.9
2012-05-04,131.2
2012-05-07,132.25
2012-05-08,130.85
2012-05-09,128.4
2012-05-10,127.95
2012-05-11,123.65
2012-05-14,120.4
2012-05-15,119.9
2012-05-16,115.6
2012-05-17,112.65
2012-05-18,113.05
2012-05-21,110.25
2012-05-22,104.45
2012-05-23,103.9
2012-05-24,110.95
2012-05-25,114.25
2012-05-28,114.4
2012-05-29,114.05
2012-05-30,110.4
2012-05-31,112.4
2012-06-01,106.6
2012-06-04,109.3
2012-06-05,106.3
2012-06-06,107.4
2012-06-07,115.95
2012-06-08,118.35
2012-06-11,119.0
2012-06-12,118.75
2012-06-13,116.8
2012-06-14,116.4
2012-06-15,119.95
2012-06-18,119.45
2012-06-19,123.0
2012-06-20,124.8
2012-06-21,123.45
2012-06-22,122.4
2012-06-25,120.95
2012-06-26,120.35
2012-06-27,126.45
2012-06-28,125.35
2012-06-29,127.45
2012-07-02,128.8
2012-07-03,127.8
2012-07-04,126.8
2012-07-05,128.5
2012-07-06,126.75
2012-07-09,121.6
2012-07-09,121.6
2012-07-10,124.5
2012-07-11,122.3
2012-07-12,121.25
2012-07-13,119.85
2012-07-16,115.2
2012-07-17,113.85
2012-07-18,114.2
2012-07-19,113.9
2012-07-20,115.85
2012-07-23,113.2
2012-07-24,113.8
2012-07-25,118.6
2012-07-26,112.3
2012-07-27,108.35
2012-07-30,113.5
2012-07-31,111.55
2012-08-01,113.3
2012-08-02,114.05
2012-08-03,112.35
2012-08-06,113.75
2012-08-07,114.4
2012-08-08,117.3
2012-08-09,115.75
2012-08-10,114.85
2012-08-13,114.0
2012-08-14,115.55
2012-08-16,116.1
2012-08-17,122.75
2012-08-21,124.5
2012-08-22,122.0
2012-08-23,124.95
2012-08-24,125.0
2012-08-27,120.15
2012-08-28,117.95
2012-08-29,116.6
2012-08-30,118.55
2012-08-31,116.35
2012-09-03,117.45
2012-09-04,121.7
2012-09-05,119.1
2012-09-06,121.4
2012-09-07,121.75
2012-09-08,122.85
2012-09-10,128.3
2012-09-11,137.85
2012-09-12,143.5
2012-09-13,139.9
2012-09-14,136.8
2012-09-17,135.2
2012-09-18,140.75
2012-09-20,143.05
2012-09-21,141.05
2012-09-24,134.6
2012-09-25,133.6
2012-09-26,130.35
2012-09-27,130.35
2012-09-28,130.15
2012-10-01,133.8
2012-10-03,135.95
2012-10-04,132.2
2012-10-05,129.25
2012-10-08,131.8
2012-10-09,134.2
2012-10-10,126.8
2012-10-11,128.3
2012-10-12,127.45
2012-10-15,127.15
2012-10-16,123.8
2012-10-17,125.75
2012-10-18,125.0
2012-10-19,126.15
2012-10-22,128.0
2012-10-23,128.65
2012-10-25,124.65
2012-10-26,122.1
2012-10-29,122.5
2012-10-30,119.75
2012-10-31,119.85
2012-11-01,119.8
2012-11-02,119.95
2012-11-05,119.8
2012-11-06,119.9
2012-11-07,119.45
2012-11-08,116.8
2012-11-09,115.85
2012-11-12,114.55
2012-11-13,114.75
2012-11-15,116.65
2012-11-16,117.7
2012-11-19,116.6
2012-11-20,116.95
2012-11-21,114.95
2012-11-22,115.5
2012-11-23,113.3
2012-11-26,114.85
2012-11-27,124.1
2012-11-29,123.15
2012-11-30,125.2
2012-12-03,124.75
2012-12-04,123.85
2012-12-05,123.4
2012-12-06,121.55
2012-12-07,122.0
2012-12-10,121.9
2012-12-11,119.95
2012-12-12,120.5
2012-12-13,117.05
2012-12-14,115.95
2012-12-17,114.3
2012-12-18,115.35
2012-12-19,115.2
2012-12-20,114.2
2012-12-21,114.35
2012-12-24,116.6
2012-12-26,115.6
2012-12-27,113.85
2012-12-28,115.5
2012-12-31,114.2
