Date,GAYAPROJ
2012-01-02,98.4
2012-01-03,98.85
2012-01-04,98.55
2012-01-05,104.4
2012-01-06,105.75
2012-01-07,106.0
2012-01-09,113.1
2012-01-10,119.6
2012-01-11,119.45
2012-01-12,117.75
2012-01-13,118.1
2012-01-16,119.85
2012-01-17,137.7
2012-01-18,135.1
2012-01-19,127.05
2012-01-20,126.15
2012-01-23,126.15
2012-01-24,129.8
2012-01-25,128.9
2012-01-27,139.3
2012-01-30,133.2
2012-01-31,131.65
2012-02-01,134.55
2012-02-02,132.35
2012-02-03,133.2
2012-02-06,141.15
2012-02-07,137.35
2012-02-08,138.55
2012-02-09,140.15
2012-02-10,138.95
2012-02-13,136.0
2012-02-14,147.45
2012-02-15,160.65
2012-02-16,181.15
2012-02-17,176.95
2012-02-21,170.25
2012-02-22,141.25
2012-02-23,142.45
2012-02-24,140.0
2012-02-27,131.05
2012-02-28,136.45
2012-02-29,136.75
2012-03-01,132.85
2012-03-02,133.3
2012-03-03,135.2
2012-03-05,130.35
2012-03-06,125.55
2012-03-07,122.5
2012-03-09,125.25
2012-03-12,127.3
2012-03-13,125.7
2012-03-14,125.2
2012-03-15,123.9
2012-03-16,120.3
2012-03-19,121.95
2012-03-20,125.15
2012-03-21,125.3
2012-03-22,121.6
2012-03-23,122.0
2012-03-26,119.3
2012-03-27,119.9
2012-03-28,115.7
2012-03-29,122.25
2012-03-30,125.3
2012-04-02,125.05
2012-04-03,131.85
2012-04-04,136.35
2012-04-09,132.3
2012-04-10,132.55
2012-04-11,131.3
2012-04-12,132.5
2012-04-13,129.45
2012-04-16,127.2
2012-04-17,128.7
2012-04-18,130.5
2012-04-19,130.6
2012-04-20,126.0
2012-04-23,126.1
2012-04-24,122.9
2012-04-25,119.9
2012-04-26,120.65
2012-04-27,120.05
2012-04-28,120.25
2012-04-30,120.8
2012-05-02,120.25
2012-05-03,118.5
2012-05-04,118.05
2012-05-07,117.75
2012-05-08,115.35
2012-05-09,112.25
2012-05-10,112.9
2012-05-11,111.7
2012-05-14,109.7
2012-05-15,108.7
2012-05-16,108.4
2012-05-17,106.35
2012-05-18,105.65
2012-05-21,105.45
2012-05-22,107.65
2012-05-23,105.65
2012-05-24,105.0
2012-05-25,107.1
2012-05-28,111.3
2012-05-29,114.45
2012-05-30,113.4
2012-05-31,106.45
2012-06-01,99.85
2012-06-04,97.55
2012-06-05,94.3
2012-06-06,99.65
2012-06-07,102.35
2012-06-08,101.15
2012-06-11,102.85
2012-06-12,102.7
2012-06-13,100.3
2012-06-14,99.7
2012-06-15,100.05
2012-06-18,101.35
2012-06-19,101.05
2012-06-20,100.0
2012-06-21,100.1
2012-06-22,99.5
2012-06-25,100.15
2012-06-26,97.15
2012-06-27,95.0
2012-06-28,96.25
2012-06-29,98.95
2012-07-02,103.6
2012-07-03,105.15
2012-07-04,104.85
2012-07-05,108.45
2012-07-06,110.0
2012-07-09,105.6
2012-07-09,105.6
2012-07-10,109.3
2012-07-11,108.9
2012-07-12,105.4
2012-07-13,105.1
2012-07-16,100.35
2012-07-17,99.3
2012-07-18,112.4
2012-07-19,117.7
2012-07-20,113.95
2012-07-23,105.5
2012-07-24,103.0
2012-07-25,99.95
2012-07-26,97.85
2012-07-27,98.95
2012-07-30,99.35
2012-07-31,98.9
2012-08-01,101.35
2012-08-02,101.45
2012-08-03,100.6
2012-08-06,102.45
2012-08-07,102.85
2012-08-08,100.05
2012-08-09,99.1
2012-08-10,99.5
2012-08-13,99.0
2012-08-14,99.7
2012-08-16,99.4
2012-08-17,100.3
2012-08-21,99.7
2012-08-22,98.2
2012-08-23,99.5
2012-08-24,99.15
2012-08-27,97.4
2012-08-28,94.05
2012-08-29,94.45
2012-08-30,94.15
2012-08-31,94.45
2012-09-03,92.4
2012-09-04,93.6
2012-09-05,92.45
2012-09-06,92.2
2012-09-07,94.6
2012-09-08,93.8
2012-09-10,91.4
2012-09-11,94.65
2012-09-12,93.55
2012-09-13,94.5
2012-09-14,93.6
2012-09-17,95.85
2012-09-18,96.55
2012-09-20,94.55
2012-09-21,101.35
2012-09-24,102.15
2012-09-25,103.2
2012-09-26,103.05
2012-09-27,102.1
2012-09-28,105.35
2012-10-01,115.25
2012-10-03,117.6
2012-10-04,115.0
2012-10-05,118.8
2012-10-08,116.35
2012-10-09,119.7
2012-10-10,117.05
2012-10-11,117.75
2012-10-12,117.9
2012-10-15,115.15
2012-10-16,111.85
2012-10-17,112.0
2012-10-18,114.25
2012-10-19,111.8
2012-10-22,113.65
2012-10-23,122.6
2012-10-25,120.9
2012-10-26,114.75
2012-10-29,112.5
2012-10-30,111.15
2012-10-31,111.15
2012-11-01,111.75
2012-11-02,111.95
2012-11-05,109.35
2012-11-06,109.5
2012-11-07,108.85
2012-11-08,108.0
2012-11-09,108.55
2012-11-12,110.85
2012-11-13,111.1
2012-11-15,108.3
2012-11-16,109.55
2012-11-19,108.0
2012-11-20,107.75
2012-11-21,115.0
2012-11-22,117.9
2012-11-23,117.3
2012-11-26,114.9
2012-11-27,117.4
2012-11-29,118.55
2012-11-30,116.8
2012-12-03,117.65
2012-12-04,117.8
2012-12-05,117.45
2012-12-06,120.0
2012-12-07,123.1
2012-12-10,124.1
2012-12-11,124.95
2012-12-12,125.35
2012-12-13,124.9
2012-12-14,125.65
2012-12-17,126.85
2012-12-18,125.3
2012-12-19,122.05
2012-12-20,122.15
2012-12-21,118.5
2012-12-24,118.1
2012-12-26,118.4
2012-12-27,115.8
2012-12-28,117.5
2012-12-31,115.35
